	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.CZ.5470.01A.01R.1503.07	TCGA.BP.4790.01A.01R.1305.07	TCGA.BQ.5892.01A.11R.1592.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11WQC.0626.SM.5EQMF	GTEX.145LU.0526.SM.5O9AT	TCGA.51.4079.11A.01R.1758.07
ATP5C1	5219.6	6079.61	9151.82	3874.05	7382.04	0.0	1.0	808.0	2335.28	2739.08
ATP5E	1832.01	1977.24	4869.99	559.28	1417.35	0.0	0.48	1059.11	915.51	1268.46
C12orf10	579.04	1081.39	2758.13	1242.34	1286.18	0.0	0.64	532.74	575.03	909.17
C14orf178	3.69	0.0	2.94	0.0	0.0	0.0	0.0	0.0	0.0	2.01
C16orf95	112.77	91.41	86.43	8.78	98.73	0.0	0.13	36.27	47.5	36.27
C16orf98	38.67	37.59	61.25	0.0	20.56	0.0	0.0	4.43	2.58	9.63
C17orf89	1044.52	1896.65	2956.17	392.44	2271.4	0.0	0.54	769.69	493.56	669.92
C19orf53	1896.65	3955.48	6337.83	1819.35	3589.58	0.0	1.03	1529.73	1208.34	2502.97
C2orf76	629.35	473.41	529.06	234.57	246.28	0.0	0.14	84.63	169.07	185.11
C6orf203	406.31	674.59	718.08	293.07	884.29	0.0	0.0	98.04	217.27	189.02
CLIC1	8363.13	8658.09	19082.0	9606.86	10014.87	0.0	1.08	9215.48	5479.15	7589.61
COMMD6	3372.43	5441.3	7537.18	3081.75	3419.52	3303.0	1685.71	3515.68	4123.49	3081.75
COPS5	1199.98	1417.35	2148.82	974.5	1066.48	0.0	0.77	830.75	708.18	848.22
COX17	872.1	1096.5	4869.99	532.74	1806.78	0.0	0.78	2645.74	954.43	1331.57
CSTB	443937.41	169390.27	3955.48	1651.0	1857.6	0.0	0.74	2555.58	457.25	2664.15
DNAJC15	224.97	363.56	1340.84	473.41	205.5	0.0	0.46	59.13	279.14	348.71
DOPEY2	1096.5	327.56	100.83	162.14	555.41	0.0	0.37	37.59	76.17	115.16
DPY30	3847.29	2875.3	2875.3	1096.5	1909.85	0.0	0.43	728.11	599.49	1015.93
DYNLL1	25708.25	21026.65	16496.96	6164.49	6294.04	0.0	0.16	6652.97	4358.66	5403.7
DYNLT1	7280.4	3847.29	8658.09	2351.53	4607.24	0.0	0.99	1639.59	4450.27	2835.7
EDF1	18689.27	20881.4	23656.34	4671.57	12244.81	0.0	1.22	4481.23	6652.97	9409.14
EIF4E2	1662.49	1477.58	1794.29	1030.12	1350.18	1143.1	301.33	825.0	753.83	1167.14
EMC4	5441.3	4419.52	4123.49	2119.22	2816.11	3395.89	2609.3	1135.2	1662.49	2400.97
EMC7	1572.76	2004.85	2855.44	1388.16	2148.82	0.0	0.57	665.29	981.29	1447.15
ERBB3	4937.99	3325.99	2178.83	2224.63	2555.58	848.22	909.17	460.44	432.53	1119.56
FAM104B	486.75	633.73	708.18	221.86	420.68	0.0	0.16	237.86	185.11	314.17
FAM177A1	2032.85	2090.03	1857.6	1167.14	2796.65	1286.18	2004.85	967.76	1721.16	2163.77
FAM218A	4.03	36.79	24.99	5.68	15.68	0.0	0.04	2.53	3.63	11.55
GABRG3	56.68	387.02	3.96	0.0	1.01	0.0	0.0	0.0	0.0	0.66
GDF5	0.09	88.88	16.75	5.63	0.34	0.0	0.09	30.78	143.01	20.26
GNG5	4481.23	3716.2	4903.87	1991.0	2976.74	0.0	1.03	2271.4	3081.75	4419.52
GTF2H5	97.36	115.97	195.72	75.64	100.13	0.0	0.0	28.45	46.18	67.12
HEBP2	8247.98	6471.02	2997.45	842.36	674.59	0.0	0.82	299.25	351.14	447.82
HIGD2A	3564.78	6652.97	8191.0	3257.52	6607.01	0.0	0.88	1331.57	1896.65	2777.33
HINT2	1781.89	1909.85	2609.3	759.08	2701.35	0.0	0.29	341.51	624.99	1119.56
HMGN3	1388.16	5219.6	14561.8	2163.77	7331.05	0.0	0.57	1378.57	1159.07	2384.37
HSBP1	3325.99	3716.2	3639.7	1359.57	1583.71	0.0	0.73	1216.75	1167.14	1407.55
IMP3	2976.74	1909.85	1519.15	995.0	1977.24	0.0	0.0	536.45	665.29	915.51
IVL	7.49798696E7	4.247174256E7	0.74	0.0	3.47	0.0	0.38	12.36	6.67	4.17
KB-1507C5.2	111.99	221.86	287.01	56.28	100.13	0.0	0.01	51.71	69.52	69.03
