	TCGA.L5.A4OS.01A.11R.A28J.31	TCGA.2H.A9GF.01A.11R.A37I.31	TCGA.L5.A8NT.01A.11R.A37I.31	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.FV.A23B.11A.11R.A16W.07	TCGA.DD.A1EL.11A.11R.A155.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.145MO.2326.SM.5NQ9K	TCGA.38.4625.01A.01R.1206.07	TCGA.MX.A663.01A.11R.A31P.31	TCGA.CD.8529.01A.11R.2343.13	TCGA.FE.A232.01A.11R.A14Y.07
ABCB9	102.97	743.43	185.11	23.59	17.77	29.48	11.04	4.31	0.0	100.13	195.72	140.04
AC007421.1	0.0	1.3	1.46	0.0	0.0	0.0	0.0	0.0	0.0	19.11	0.0	0.0
AC096677.1	39.22	88.26	105.89	0.0	2.12	5.06	3.11	3.89	0.0	57.89	90.77	63.0
ADAMTS6	178.77	175.07	109.66	1.38	5.41	4.17	2.34	2.18	0.0	92.7	30.56	4.78
ADCY4	559.28	1030.12	796.86	14.03	135.24	62.12	47.84	33.3	0.0	624.99	356.05	329.84
ADD1	4512.4	9808.75	3235.01	2047.0	2835.7	2384.37	2193.99	2520.38	0.0	4481.23	3280.18	4639.29
ADPRH	285.03	429.54	267.73	14.35	75.11	49.56	44.25	44.25	0.0	173.85	229.72	161.02
AGAP2	139.07	638.15	122.64	3.14	37.85	15.0	17.38	17.38	65.72	52.45	120.94	34.75
AKAP11	195.72	660.68	389.72	65.72	117.6	107.38	85.82	51.71	114.36	234.57	224.97	132.44
AL031666.2	5.59	3.44	3.76	0.0	2.56	0.97	0.58	0.65	0.0	6.52	9.27	0.99
AL132989.1	11.13	7.69	10.31	0.0	4.78	2.53	0.0	0.89	0.0	9.06	8.38	7.11
ANKDD1A	105.89	124.37	84.04	5.45	46.18	17.9	11.64	8.38	0.0	75.64	65.72	55.89
ANKMY2	301.33	733.19	215.77	100.83	163.28	148.09	120.94	80.01	0.0	325.29	307.69	289.02
AP5Z1	1191.69	1628.26	819.3	273.37	368.65	309.83	220.32	237.86	0.0	825.0	785.88	660.68
APH1B	297.17	1001.93	197.09	42.11	125.24	86.43	74.58	74.58	0.0	307.69	161.02	420.68
AQP12A	2.05	97.36	1.39	0.0	0.0	0.0	0.0	0.0	0.0	5.73	4.24	1.28
AQP12B	3.14	246.28	0.69	0.0	0.0	0.0	0.0	0.0	0.0	4.62	6.46	9.06
ARHGAP23	1175.27	1322.37	1167.14	19.25	134.3	74.58	45.85	40.93	0.0	651.58	571.05	540.19
ARHGAP27	1081.39	4419.52	9344.14	24.11	195.72	149.12	111.21	27.05	0.0	483.38	1225.22	575.03
ARID4A	211.31	137.14	209.84	120.94	289.02	176.29	139.07	130.6	0.0	417.77	236.21	135.24
ARL11	33.3	674.59	25.91	1.99	9.85	9.93	9.06	3.56	0.0	18.56	39.79	23.42
ATP13A2	525.39	1225.22	718.08	63.45	180.02	125.24	162.14	54.33	0.0	860.08	1295.13	902.89
BEGAIN	18.16	392.44	62.56	5.63	17.38	10.0	7.46	3.92	0.0	37.05	15.45	8.25
BRCA2	181.28	921.88	115.97	8.78	9.78	15.22	5.15	0.0	0.0	141.02	47.17	18.03
C17orf82	31.67	78.34	37.32	0.66	1.77	1.71	0.78	2.73	0.0	13.12	24.11	10.55
C19orf59	109.66	417.77	77.25	8.32	7.34	4.35	6.06	14.35	63.89	23.93	158.79	83.45
C20orf202	28.04	52.82	11.38	0.0	3.69	1.53	0.62	0.0	0.0	22.43	17.77	5.82
C8orf17	0.0	0.39	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.32	0.0
C8orf74	0.91	23.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	1.46	0.0
C9orf38	1.23	0.08	1.1	0.0	0.0	0.0	0.0	0.0	0.0	6.21	2.51	0.0
CARD9	165.57	412.0	89.51	7.63	44.57	30.78	20.11	11.21	0.0	64.34	148.09	54.72
CATSPER1	22.59	497.0	38.95	0.43	4.24	3.2	4.43	2.94	0.0	7.51	22.75	57.89
CC2D1B	819.3	813.63	514.56	228.13	285.03	273.37	255.0	242.88	447.82	423.61	457.25	780.44
CCDC116	31.67	28.04	6.89	1.68	1.73	1.69	2.81	0.74	0.0	36.27	3.47	4.28
CCR10	115.16	1331.57	29.7	5.45	4.5	1.46	7.28	4.78	0.0	81.71	224.97	67.59
CDK11A	2609.3	1183.45	1709.26	466.88	540.19	473.41	429.54	381.68	358.54	1359.57	1023.0	669.92
CDK11B	2591.27	1331.57	1721.16	507.46	708.18	674.59	555.41	583.07	633.73	1457.23	1340.84	1175.27
CDKL1	122.64	75.11	147.06	20.11	40.64	48.18	57.89	31.0	83.45	131.51	149.12	102.97
CDYL	473.41	551.56	447.82	58.3	112.77	108.9	95.34	67.12	0.0	341.51	291.04	249.73
CIB2	1008.9	1651.0	206.94	13.32	27.25	31.45	39.79	1.5	0.0	309.83	149.12	111.21
CKAP2	769.69	3982.99	536.45	24.99	94.01	63.89	49.21	18.7	0.0	361.04	267.73	77.25
CLIP1	921.88	1794.29	1561.89	289.02	551.56	583.07	262.2	124.37	0.0	688.78	599.49	813.63
CLPS	363.56	748.61	30.56	0.0	0.0	0.0	0.0	0.0	0.0	11.3	12.36	5.6748223844E8
COX19	253.23	403.5	305.55	45.85	120.1	100.13	80.01	81.14	176.29	353.59	201.25	132.44
CPNE6	8.99	70.51	6.16	2.76	2.32	1.69	3.38	0.34	0.0	6.52	11.55	6.52
CPNE9	5.19	71.5	12.45	0.0	1.2	0.0	0.0	0.0	0.0	3.92	6.73	2.58
CTBP1	3168.41	6745.86	2148.82	1733.13	2032.85	1857.6	1685.71	1427.22	1378.57	3103.19	3639.7	3303.0
CTD-2267D19.3	366.09	1135.2	194.36	79.45	97.36	117.6	51.71	33.78	0.0	137.14	241.19	176.29
CTRB2	7.82	45.21	37.32	0.0	0.0	0.0	0.0	0.0	0.0	3.82	28.04	88905.42
DBNL	3235.01	6983.79	2367.9	693.58	1081.39	1001.93	813.63	698.41	1572.76	1896.65	1745.2	2004.85
DEFB134	3.92	2.94	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79
DGKH	142.01	470.14	277.2	3.2	11.38	5.5	8.58	4.7	0.0	66.65	63.89	33.3
DGKQ	285.03	764.36	223.41	74.58	111.99	94.67	77.25	57.89	0.0	231.32	551.56	158.79
DLEU1	329.84	1242.34	351.14	167.9	244.57	171.45	253.23	187.71	0.0	264.03	100.83	135.24
DLEU7	16.88	59.55	21.47	1.58	3.41	2.86	4.03	2.53	0.0	6.31	15.68	8.32
DOCK6	1183.45	1561.89	1277.29	267.73	409.15	409.15	209.84	258.57	0.0	1674.06	947.83	1437.15
ELF1	1216.75	4704.07	1359.57	236.21	379.04	406.31	361.04	172.65	450.94	981.29	1051.79	753.83
EP400	381.68	351.14	329.84	47.5	94.01	86.43	57.08	28.24	121.79	366.09	256.78	167.9
FAM193A	356.05	476.71	271.48	90.77	189.02	134.3	97.36	127.0	139.07	392.44	480.04	320.8
FAM215A	5.77	16.88	1.08	0.0	1.41	0.0	0.0	0.0	0.0	5.15	2.46	0.0
FAM27A	138.1	239.52	50.98	9.93	12.27	11.82	15.45	36.79	0.0	65.72	343.89	0.0
FAM27D1	2.41	5.82	1.41	0.0	0.0	0.0	0.0	1.1	0.0	2.34	2.1	0.0
FAM27E1	7.22	16.27	3.56	0.0	0.0	1.11	1.35	0.0	0.0	4.21	5.23	0.0
FAM27E2	40.07	44.57	5.11	1.23	0.0	1.25	2.89	1.06	0.0	21.94	18.29	1.75
FAM27E3	83.45	99.43	50.63	9.27	5.45	2.23	12.74	5.87	0.0	22.26	69.03	4.03
FAM65A	1427.22	1794.29	1844.76	224.97	444.72	351.14	229.72	165.57	0.0	1794.29	1457.23	872.1
FMN1	38.4	72.52	87.03	1.22	5.11	8.51	15.68	7.11	0.0	37.59	120.94	21.16
FUT6	384.34	4268.94	2133.97	224.97	348.71	343.89	106.63	87.65	0.0	11.82	108.9	0.0
GAK	2119.22	3716.2	1322.37	1259.69	1127.35	1216.75	1059.11	1313.23	0.0	1977.24	2400.97	2240.11
GALNT5	12.36	309.83	318.57	0.0	0.49	0.0	2.16	0.0	0.0	36.27	348.71	13.72
GAS2L3	205.5	297.17	158.79	9.63	30.78	18.03	22.26	19.39	0.0	146.03	105.89	21.94
GJD3	37.05	122.64	20.86	5.68	0.0	0.0	0.0	2.61	0.0	17.51	76.71	13.52
GNL3L	148.09	239.52	301.33	20.86	60.39	46.84	33.54	30.56	0.0	341.51	525.39	75.11
GP5	10.55	14.56	5.92	2.25	2.92	1.75	4.66	0.78	0.0	6.94	3.44	1.66
GPR20	26.47	29.27	47.5	0.0	3.44	0.0	1.45	0.82	0.0	50.98	45.53	4.74
GPR21	16.27	10.16	25.54	0.0	0.0	0.0	0.74	1.68	0.0	16.15	11.21	5.59
HAUS3	389.72	301.33	178.77	32.59	99.43	84.63	68.55	60.82	0.0	176.29	255.0	97.36
HEATR2	693.58	902.89	438.59	114.36	191.67	164.42	175.07	128.79	0.0	738.29	836.53	351.14
HNRNPA1L2	275.28	384.34	281.09	66.18	94.67	55.1	55.89	65.26	0.0	147.06	93.35	169.07
HNRNPLL	595.34	890.44	679.29	144.01	206.94	195.72	182.55	206.94	0.0	708.18	392.44	457.25
HNRNPUL2-BSCL2	624.99	1594.73	718.08	169.07	239.52	232.94	164.42	146.03	0.0	1023.0	842.36	656.11
HOXB1	1.22	146.03	122.64	0.0	0.0	0.0	0.0	0.0	0.0	3.59	5.41	0.0
IGSF22	13.93	52.45	25.72	2.63	7.88	5.63	10.31	7.06	0.0	16.27	21.63	73.03
IKZF3	43.32	239.52	22.1	0.62	30.12	7.06	5.59	6.67	0.0	25.17	209.84	16.15
ILDR2	18.84	314.17	44.25	8.71	9.13	7.4	4.74	0.0	1.5	14.78	17.25	3.06
INPP5B	423.61	460.44	395.18	157.68	256.78	185.11	95.34	80.57	162.14	325.29	303.44	248.0
ITGA3	1073.91	2178.83	3103.19	23.93	157.68	84.04	63.45	56.28	3794.3	1628.26	2434.5	12160.22
KBTBD6	147.06	246.28	85.82	46.18	63.89	42.71	52.08	49.91	0.0	119.26	75.11	68.55
KBTBD7	84.04	275.28	51.71	68.55	88.26	77.25	85.82	47.5	0.0	114.36	115.97	67.12
KCNRG	17.0	51.71	24.11	1.79	5.87	3.47	4.21	2.16	0.0	11.47	15.45	9.85
KCTD10	808.0	2816.11	1819.35	91.41	258.57	195.72	152.28	183.82	633.73	1350.18	1081.39	860.08
KDM5C	1088.92	1242.34	1044.52	343.89	476.71	271.48	363.56	157.68	669.92	947.83	890.44	954.43
KPNA3	607.87	1519.15	718.08	195.72	260.38	283.05	251.48	248.0	0.0	819.3	329.84	237.86
KTI12	525.39	283.05	134.3	108.9	128.79	125.24	110.43	113.56	0.0	185.11	190.34	187.71
LCN8	194.36	29.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36	0.0	14.56
LYZL4	0.0	9.48	2.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.0
MAEA	1417.35	2502.97	1037.29	490.14	743.43	616.37	473.41	473.41	0.0	1295.13	1447.15	1572.76
MAFK	1551.09	1832.01	1963.57	723.08	463.65	392.44	444.72	830.75	0.0	974.5	1551.09	503.95
MAG	7.28	473.41	0.0	6.41	27.84	1.3	0.0	0.0	0.0	40.36	22.1	490.14
MAPKAPK3	802.41	1135.2	974.5	638.15	397.93	521.76	500.46	503.95	0.0	607.87	842.36	2835.7
MED12	674.59	915.51	540.19	78.34	180.02	98.73	119.26	94.01	189.02	842.36	748.61	457.25
MMP17	381.68	1073.91	134.3	12.64	15.56	5.63	8.92	18.7	0.0	110.43	108.9	24.46
MTRF1	381.68	753.83	320.8	142.01	206.94	193.01	164.42	116.78	0.0	279.14	139.07	105.15
NAA16	384.34	1073.91	336.79	68.07	129.69	86.43	97.36	75.64	176.29	297.17	214.27	100.13
NCOR2	1286.18	2816.11	2319.15	409.15	511.0	447.82	215.77	218.79	591.22	3103.19	2240.11	1359.57
NEK3	651.58	2163.77	303.44	87.65	173.85	194.36	109.66	183.82	0.0	555.41	209.84	123.5
NELFA	1015.93	1477.58	708.18	215.77	287.01	228.13	218.79	186.4	0.0	775.05	802.41	819.3
NOD1	473.41	583.07	441.64	18.29	72.01	40.07	29.48	21.32	0.0	371.22	256.78	1529.73
NOP14	599.49	1745.2	400.71	417.77	438.59	384.34	547.75	669.92	0.0	525.39	679.29	447.82
NOS3	264.03	2417.67	293.07	43.32	166.73	120.1	62.12	49.56	0.0	796.86	708.18	420.68
NPAS2	1175.27	2758.13	1794.29	198.47	307.69	113.56	336.79	271.48	0.0	536.45	1073.91	129.69
NR1D1	647.07	5403.7	866.07	476.71	231.32	579.04	536.45	571.05	0.0	307.69	647.07	1844.76
NRM	1015.93	1127.35	878.17	59.97	153.34	112.77	92.7	38.95	0.0	532.74	476.71	392.44
OSBPL5	343.89	928.3	1359.57	19.82	96.01	64.34	54.72	59.13	0.0	490.14	669.92	409.15
OTOF	10.88	277.2	1.45	0.0	0.56	0.54	1.23	0.37	0.0	10.96	8.65	0.61
PADI1	808.0	4066.71	17078.76	0.87	2.78	2.71	4.66	2.03	0.0	2.58	3.96	0.64
PADI3	11.38	12764.83	18.03	0.46	0.0	0.0	0.0	0.0	0.0	13.72	1.71	0.49
PADI4	24.63	356.05	11.55	9.2	10.47	1.16	14.03	4.31	0.0	9.48	2.1	18.03
PCDHA13	4.74	146.03	31.45	0.79	6.78	1.23	9.41	0.0	0.0	10.31	22.75	22.59
PCGF3	1225.22	2178.83	591.22	221.86	267.73	267.73	226.54	181.28	0.0	708.18	780.44	490.14
PDCD6IP	2720.15	2997.45	3639.7	698.41	1378.57	1277.29	825.0	759.08	0.0	2351.53	1883.54	1674.06
PHF11	1119.56	1583.71	1159.07	525.39	708.18	493.56	567.1	438.59	0.0	748.61	791.35	967.76
PIGG	1733.13	2485.67	1081.39	392.44	559.28	406.31	373.81	358.54	0.0	842.36	674.59	842.36
PKN3	429.54	521.76	182.55	13.72	38.67	28.45	13.52	21.47	0.0	511.0	183.82	181.28
PRKAR1B	435.55	607.87	289.02	283.05	305.55	234.57	201.25	287.01	0.0	543.96	339.14	392.44
PROB1	90.14	155.5	44.25	3.96	4.7	6.11	6.06	0.77	0.0	44.89	67.59	25.72
PRSS36	59.55	713.11	61.68	81.71	43.32	46.5	49.91	51.71	0.0	61.68	104.42	44.57
PXN	2664.15	4736.79	4181.07	361.04	575.03	514.56	387.02	239.52	0.0	2271.4	2451.44	2537.92
PYGB	2739.08	19482.97	4836.35	141.02	314.17	275.28	169.07	132.44	0.0	1331.57	4450.27	2303.12
RAB35	1183.45	1628.26	1119.56	228.13	368.65	387.02	239.52	226.54	0.0	612.11	830.75	567.1
RARA	1051.79	4388.98	915.51	555.41	624.99	320.8	403.5	713.11	0.0	1268.46	995.0	954.43
RASSF3	420.68	4388.98	808.0	21.63	185.11	229.72	124.37	74.58	551.56	743.43	848.22	124.37
RBM25	1685.71	934.76	1322.37	236.21	507.46	323.03	258.57	256.78	0.0	2148.82	1008.9	575.03
RC3H1	149.12	120.1	162.14	72.01	96.01	77.79	72.01	45.85	53.19	172.65	117.6	54.72
RCBTB1	265.87	753.83	301.33	54.72	170.25	133.36	99.43	44.57	0.0	289.02	229.72	583.07
RIMBP3B	2.43	11.38	1.81	0.0	0.0	0.0	0.0	0.0	0.0	1.75	2.76	0.0
RIPK3	450.94	723.08	381.68	8.58	70.51	34.75	36.53	25.35	0.0	271.48	693.58	273.37
RNASEH2B	854.13	2935.74	954.43	208.38	348.71	244.57	197.09	301.33	0.0	638.15	500.46	656.11
RNF103-CHMP3	7.4	134.3	8.92	0.0	2.43	1.87	5.63	0.0	0.0	2.23	3.79	3.66
RNF4	947.83	1044.52	723.08	323.03	435.55	353.59	318.57	299.25	0.0	890.44	1119.56	764.36
ROBO3	660.68	1936.53	314.17	57.08	98.73	55.49	30.34	34.02	0.0	743.43	164.42	88.26
RP11-1055B8.6	47.84	46.5	64.8	9.2	0.0	2.39	0.0	5.02	0.0	74.06	39.22	30.12
RP11-1055B8.7	199.85	684.02	165.57	27.25	63.0	53.57	21.32	14.24	0.0	343.89	121.79	163.28
RP11-45M22.4	7.11	36.01	5.77	0.0	0.0	0.0	0.83	1.38	0.0	3.38	19.39	20.86
RP11-481A20.11	7.28	117.6	9.93	0.0	0.0	0.0	0.0	0.0	0.0	15.22	6.57	10.79
RP11-830F9.6	5.96	323.03	8.85	0.0	1.69	3.72	0.0	1.16	0.0	9.56	11.55	9.2
RP11-934B9.3	6.41	28.86	32.82	0.0	0.64	0.0	0.0	0.0	0.0	19.53	0.0	4.31
RSG1	44.25	198.47	61.25	46.18	57.49	67.12	23.76	32.36	0.0	96.68	135.24	242.88
SBK3	10.55	63.0	34.51	0.0	2.51	1.5	0.0	0.0	0.0	12.55	18.97	0.0
SEPN1	1037.29	2701.35	1096.5	136.19	423.61	373.81	204.07	176.29	0.0	2520.38	2119.22	1242.34
SETD1B	435.55	738.29	551.56	87.65	134.3	128.79	91.41	76.71	105.89	406.31	265.87	208.38
SETDB2	107.38	237.86	146.03	54.72	120.1	75.11	64.34	57.89	0.0	142.01	132.44	95.34
SGK223	135.24	947.83	190.34	11.21	74.58	92.7	37.85	127.0	31.45	543.96	348.71	563.18
SH3BP2	1250.98	3081.75	684.02	463.65	473.41	441.64	356.05	305.55	249.73	603.67	1135.2	536.45
SLC25A41	12.55	115.16	27.05	9.41	8.58	2.14	1.77	6.11	0.0	10.96	7.34	10.39
SLC37A2	152.28	1551.09	124.37	3.2	58.3	36.79	29.7	3.06	0.0	66.18	173.85	48.52
SMC1A	941.27	1208.34	872.1	156.59	346.29	307.69	295.11	134.3	0.0	656.11	733.19	312.0
SPATA32	1.69	29.91	5.96	0.55	1.11	0.0	0.0	0.0	0.0	4.35	11.64	3.53
SPATA9	10.88	76.71	18.56	5.73	6.67	8.32	5.5	6.11	0.0	20.11	9.85	17.51
SPRY1	2351.53	3349.13	2303.12	103.69	656.11	287.01	256.78	438.59	0.0	3639.7	1651.0	1378.57
STARD13	198.47	1697.45	376.41	71.0	104.42	100.13	100.83	76.71	0.0	325.29	234.57	155.5
SVIL	1175.27	3515.68	4607.24	120.94	232.94	124.37	85.82	65.26	0.0	2875.3	583.07	902.89
SVOP	0.0	67.12	0.0	0.56	0.58	1.06	0.0	0.0	0.0	5.06	3.59	0.89
SYNGR4	4.1	120.1	13.93	0.99	4.58	4.43	2.41	1.62	0.0	6.26	5.87	1.71
TBC1D29	4.86	12.83	13.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	1.45
TCF12	470.14	1331.57	802.41	165.57	281.09	246.28	206.94	114.36	0.0	1167.14	866.07	387.02
TH	10.31	476.71	0.0	4.62	8.65	5.32	10.08	1.23	0.0	17.9	3.89	3.86
THRA	521.76	1757.34	389.72	101.54	180.02	151.22	132.44	116.78	193.01	1119.56	836.53	1059.11
THSD1	148.09	232.94	155.5	20.56	62.12	36.27	32.82	59.13	0.0	124.37	69.03	111.21
TNIP2	1340.84	1674.06	748.61	341.51	490.14	358.54	299.25	441.64	0.0	674.59	995.0	941.27
TNRC18	1529.73	4869.99	1794.29	242.88	314.17	258.57	198.47	167.9	543.96	2367.9	2271.4	759.08
TOP2A	3690.52	24153.43	688.78	29.48	27.05	63.0	145.02	10.39	0.0	785.88	1175.27	67.12
TP53TG5	31.9	41.52	90.77	0.0	2.63	0.0	0.0	0.0	0.0	16.75	11.3	2.16
TSG101	1794.29	4419.52	2224.63	981.29	1551.09	1617.0	1304.15	1477.58	0.0	1359.57	1417.35	1757.34
UEVLD	271.48	305.55	303.44	61.68	130.6	120.94	101.54	70.01	0.0	217.27	309.83	133.36
UNC13D	947.83	1529.73	1066.48	91.41	205.5	141.02	92.05	36.79	0.0	480.04	769.69	194.36
VPS36	638.15	1457.23	872.1	214.27	363.56	351.14	356.05	242.88	244.57	493.56	379.04	314.17
WBP4	400.71	759.08	373.81	140.04	217.27	214.27	172.65	177.53	209.84	384.34	258.57	177.53
WHSC1	848.22	1088.92	480.04	60.82	131.51	116.78	92.7	38.95	0.0	563.18	698.41	295.11
WNT1	2.14	67.59	5.92	0.0	1.66	0.0	0.0	0.0	0.0	5.11	3.86	0.0
YOD1	59.55	52.08	119.26	43.94	73.54	52.82	57.08	33.3	0.0	74.06	69.03	63.0
Z98049.1	1.0	0.6	5.15	0.0	0.0	0.0	0.0	0.0	0.0	1.66	1.13	1.53
ZBED6	81.14	80.57	157.68	8.06	69.03	63.45	18.16	4.54	0.0	130.6	166.73	40.07
ZNF341	127.89	136.19	100.83	19.82	47.84	28.24	25.72	47.84	0.0	74.58	92.7	75.11
ZNF727	62.56	49.56	9.41	0.0	0.59	0.57	0.0	0.0	0.0	15.0	0.87	0.67
ZNF792	81.71	88.26	61.68	7.57	23.59	22.26	9.2	4.62	0.0	84.04	69.52	45.21
