	TCGA.C8.A12L.01A.11R.A115.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.A8.A084.01A.21R.A00Z.07	TCGA.A8.A09G.01A.21R.A00Z.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.AR.A24Z.01A.11R.A169.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.B6.A0WZ.01A.11R.A109.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.BH.A209.11A.42R.A157.07	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0CH.11A.32R.A089.07	TCGA.BH.A1FC.11A.32R.A13Q.07	TCGA.A7.A0DC.11A.41R.A089.07.1	GTEX.131YS.0626.SM.5EGKL	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.38.4625.01A.01R.1206.07	GTEX.13NYC.2626.SM.5K7VN
AAR2	753.83	1088.92	698.41	780.44	764.36	733.19	743.43	497.0	988.12	571.05	819.3	785.88	780.44	1023.0	860.08	909.17	1023.0	688.78	967.76	490.14	525.39
AC007952.5	3.96	12.64	9.13	6.06	6.26	7.51	2.68	9.7	0.36	19.25	10.0	33.78	23.08	16.03	27.64	40.36	16.03	3.26	11.21	0.0	0.38
AC026703.1	88.26	49.21	32.59	7.75	30.78	54.33	11.3	108.14	37.05	31.9	620.67	336.79	536.45	688.78	759.08	567.1	688.78	57.89	68.07	0.0	309.83
AC062017.1	3.41	28.04	3.41	21.16	14.24	13.62	13.52	8.25	23.08	45.53	96.01	39.5	55.49	71.0	162.14	90.77	71.0	13.83	74.06	0.0	13.42
ACSM5	2.81	26.1	11.3	32.13	30.78	6.84	50.98	24.81	7.46	4.35	718.08	327.56	559.28	463.65	381.68	244.57	463.65	86.43	224.97	0.0	14.89
ACTN1	2335.28	4869.99	2319.15	1857.6	3395.89	5954.47	1769.57	3540.14	1467.37	2895.31	3018.3	6294.04	4450.27	4388.98	3982.99	4123.49	4388.98	5555.65	6079.61	0.0	1769.57
AKR1C3	126.12	642.59	137.14	80.01	1225.22	57.08	115.97	139.07	1030.12	156.59	5403.7	2956.17	2004.85	5751.61	6652.97	3491.39	5751.61	872.1	1277.29	0.0	656.11
AL358333.1	0.0	0.0	24.46	82.87	5.41	73.03	78.89	71.0	0.0	20.71	0.0	23.93	642.59	435.55	819.3	420.68	435.55	215.77	236.21	0.0	80.57
ALDH1L1	0.35	476.71	1.62	5.92	58.71	7.0	6.73	5.96	6.46	1.62	1487.87	305.55	665.29	1015.93	713.11	447.82	1015.93	108.9	273.37	0.0	31.45
ANKRD53	8.99	22.59	4.39	2.94	22.43	7.63	5.06	10.31	2.51	9.2	159.9	76.17	150.17	73.54	82.29	59.13	73.54	52.82	59.13	0.0	6.78
AVPR2	4.94	13.22	0.73	9.48	43.63	2.78	2.71	4.1	1.28	8.99	177.53	156.59	131.51	110.43	202.66	209.84	110.43	52.08	78.89	0.0	4.46
BTNL9	11.47	444.72	10.79	123.5	140.04	4.62	18.97	175.07	11.21	12.45	2895.31	1583.71	1447.15	1923.14	1369.04	1662.49	1923.14	403.5	514.56	0.0	224.97
C10orf111	5.02	7.17	1.58	4.46	5.68	0.33	4.43	1.57	6.36	3.14	3.76	6.31	9.93	6.41	9.2	12.36	6.41	3.63	5.96	0.0	1.93
C10orf128	57.08	129.69	33.3	149.12	297.17	164.42	48.87	214.27	59.13	73.03	1143.1	961.07	825.0	551.56	819.3	1175.27	551.56	309.83	954.43	0.0	104.42
C14orf180	0.0	0.69	0.29	4.43	30.12	0.0	4.1	0.75	0.55	0.0	1015.93	133.36	500.46	723.08	866.07	201.25	723.08	74.58	202.66	0.0	3.82
C18orf42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.59	2.81	4.21	6.21	6.73	2.27	6.21	0.0	0.0	0.0	0.0
C1R	6935.54	8538.88	6516.03	3280.18	9673.69	15392.14	2997.45	10585.95	4512.4	3639.7	27363.16	22692.63	19214.73	20170.07	23330.64	22380.2	20170.07	9673.69	12764.83	8778.97	10883.59
C1S	2061.24	4010.71	3235.01	2104.58	4937.99	7382.04	1259.69	6887.62	1923.14	1605.83	14663.09	13586.57	10154.69	9279.58	11112.3	10659.59	9279.58	5219.6	5517.27	0.0	5329.3
C1orf123	633.73	1135.2	567.1	791.35	1191.69	723.08	1662.49	819.3	802.41	1030.12	2148.82	1617.0	1467.37	1397.83	1794.29	1769.57	1397.83	1286.18	1583.71	0.0	1250.98
CABP1	3.06	39.5	10.39	21.78	23.42	11.82	7.75	8.71	4.62	4.35	156.59	41.22	111.99	66.18	66.65	40.07	66.18	13.42	41.22	0.0	4.94
CALB2	232.94	70.51	214.27	24.46	120.94	75.64	59.13	70.01	96.01	22.26	2895.31	1295.13	1208.34	2119.22	3018.3	1359.57	2119.22	167.9	244.57	0.0	54.72
CALM1	5711.87	7642.41	4419.52	7803.01	4210.15	11664.82	4481.23	7382.04	6561.36	8022.41	10084.54	10225.32	7485.11	8718.32	8078.22	9876.98	8718.32	5255.91	5403.7	6935.54	3614.55
CCDC178	1.03	13.72	0.0	8.65	52.82	3.06	3.92	3.26	5.32	2.29	327.56	307.69	264.03	137.14	241.19	303.44	137.14	72.01	253.23	0.0	1.66
CCDC92	775.05	802.41	642.59	642.59	620.67	708.18	743.43	607.87	480.04	825.0	1540.37	921.88	860.08	1159.07	1721.16	1104.13	1159.07	769.69	825.0	476.71	813.63
CDC42EP4	1896.65	2032.85	896.64	1350.18	1487.87	1295.13	1066.48	733.19	1427.22	693.58	2255.7	1529.73	1605.83	1709.26	1674.06	2047.0	1709.26	915.51	2303.12	0.0	1572.76
CETP	11.82	31.0	5.82	37.05	12.64	33.3	9.27	12.45	12.27	28.24	579.04	34.51	277.2	172.65	145.02	197.09	172.65	31.45	37.85	0.0	19.97
CHST7	29.7	71.5	22.1	16.27	49.56	33.54	14.35	33.54	56.28	29.06	142.01	79.45	87.65	82.29	144.01	88.26	82.29	55.1	68.55	0.0	33.54
CPA2	1.07	0.0	0.0	1.17	1.51	7.17	0.0	0.89	0.99	1.77	13.83	8.45	30.78	22.43	24.81	14.89	22.43	0.89	1.43	0.0	0.56
CST3	1639.59	9151.82	5147.73	3395.89	17804.06	4358.66	6164.49	9279.58	6250.56	7230.1	23656.34	15607.02	10440.2	18178.19	27363.16	18819.27	18178.19	6887.62	14163.58	8658.09	6745.86
CTIF	480.04	429.54	264.03	241.19	514.56	490.14	271.48	361.04	307.69	595.34	1208.34	698.41	854.13	1437.15	1551.09	842.36	1437.15	406.31	532.74	0.0	279.14
CYP2C9	0.0	0.0	0.0	2.12	0.0	0.0	0.0	0.0	0.0	0.0	2.58	2.66	0.38	2.73	1.5	4.62	2.73	0.56	0.54	0.0	0.0
F8	164.42	92.7	140.04	115.97	264.03	81.71	96.01	169.07	82.29	86.43	934.76	785.88	629.35	642.59	607.87	642.59	642.59	299.25	486.75	0.0	215.77
FABP4	19.25	221.86	156.59	995.0	3794.3	121.79	988.12	69.03	147.06	39.5	228208.61	99333.0	140478.49	103551.29	134755.94	98646.85	103551.29	3325.99	43236.64	0.0	1991.0
FAM213A	1104.13	4152.18	1008.9	842.36	1806.78	825.0	1709.26	1340.84	866.07	1030.12	8963.45	3443.31	6250.56	8191.0	6037.61	3847.29	8191.0	1397.83	2555.58	728.11	1437.15
FAM219B	629.35	660.68	318.57	514.56	642.59	297.17	497.0	438.59	217.27	595.34	1259.69	902.89	1119.56	1199.98	988.12	1001.93	1199.98	954.43	884.29	0.0	559.28
FDX1	169.07	226.54	77.79	237.86	157.68	161.02	87.03	208.38	127.89	108.9	206.94	287.01	283.05	242.88	246.28	327.56	242.88	149.12	381.68	0.0	185.11
GCOM1	3.35	1.19	5.96	1.85	29.7	2.46	26.1	0.88	0.0	6.26	105.15	36.27	87.65	113.56	25.72	92.7	113.56	6.84	35.0	0.0	12.0
GIMAP4	212.78	409.15	164.42	599.49	536.45	607.87	351.14	967.76	384.34	236.21	1745.2	2193.99	1572.76	890.44	1487.87	1745.2	890.44	733.19	884.29	0.0	796.86
GIMAP6	69.52	228.13	318.57	293.07	361.04	220.32	159.9	289.02	76.17	70.51	1081.39	1167.14	1023.0	769.69	780.44	728.11	769.69	158.79	764.36	0.0	234.57
GIMAP7	72.52	220.32	62.12	343.89	435.55	275.28	123.5	497.0	156.59	109.66	1519.15	1685.71	1583.71	785.88	1051.79	1923.14	785.88	392.44	1674.06	0.0	438.59
GNAI1	193.01	368.65	45.53	116.78	195.72	205.5	50.63	140.04	234.57	33.06	2451.44	1350.18	1628.26	1151.06	872.1	890.44	1151.06	381.68	381.68	194.36	373.81
GNAZ	22.75	19.11	37.85	32.59	90.77	4.46	61.68	61.68	147.06	64.34	297.17	237.86	231.32	177.53	201.25	287.01	177.53	82.87	139.07	0.0	6.31
