	GTEX.S341.1326.SM.4AD72	TCGA.AA.3496.11A.01R.1839.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AA.3527.11A.01R.A32Z.07	GTEX.1122O.1426.SM.5H11R	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.P4PP.1426.SM.3NM9L	GTEX.ZZ64.0726.SM.5GZX4	GTEX.1122O.1626.SM.5N9CX	GTEX.TKQ2.1226.SM.4DXSV	GTEX.R53T.1026.SM.48FCO	GTEX.Q2AH.1026.SM.48TZI	GTEX.X15G.0926.SM.4PQZE
AC026703.1	327.56	199.85	109.66	38.4	9.06	55.1	74.58	43.02	0.58	25.17	13.62	2.78	12.55
ACOT4	127.89	27.84	60.39	65.72	24.63	111.21	102.97	30.34	10.47	15.34	20.41	6.73	15.11
ACOX1	295.11	656.11	1388.16	1923.14	733.19	1540.37	2367.9	1369.04	409.15	353.59	400.71	420.68	417.77
ACSL5	7966.99	928.3	2400.97	2591.27	738.29	5831.91	6516.03	3491.39	102.97	171.45	101.54	82.29	214.27
ACSS2	497.0	1909.85	2645.74	3768.09	1407.55	5913.33	5441.3	3540.14	860.08	785.88	791.35	954.43	629.35
AHCYL2	366.09	1674.06	1594.73	2573.36	764.36	5147.73	5594.3	2537.92	178.77	341.51	248.0	139.07	117.6
AIM1	457.25	320.8	309.83	633.73	267.73	813.63	1023.0	551.56	41.52	60.39	52.45	16.63	27.44
AKR1B15	2.27	18.84	34.75	26.1	0.0	32.59	20.41	16.63	0.0	0.0	4.62	3.76	0.0
ANKDD1B	974.5	36.79	44.89	65.26	29.27	164.42	134.3	78.34	1.35	7.06	16.15	8.51	8.32
ANKS4B	2.16	47.84	163.28	281.09	23.76	1250.98	1340.84	616.37	0.0	0.0	0.0	0.0	0.0
ANPEP	2739.08	4066.71	6607.01	12943.04	579.04	31650.8	22072.07	6079.61	55.1	43.94	55.1	50.27	79.45
AP1S1	1350.18	1583.71	1498.22	2004.85	896.64	2119.22	1936.53	1628.26	403.5	483.38	647.07	346.29	567.1
APOBEC3B	13.62	158.79	332.14	381.68	59.55	529.06	1242.34	438.59	6.78	4.31	4.5	0.0	9.93
APOBR	144.01	131.51	470.14	896.64	214.27	2682.69	2520.38	1175.27	33.54	21.32	10.96	20.11	21.01
ATP10B	81.14	170.25	236.21	884.29	38.4	2434.5	2855.44	1709.26	16.15	16.39	6.31	3.0	1.5
ATP6V0D2	4.06	18.43	46.5	31.0	0.0	124.37	24.46	36.27	0.0	0.0	0.0	0.0	0.0
B3GNT8	20.86	420.68	698.41	854.13	429.54	1111.82	866.07	693.58	92.05	97.36	113.56	32.59	81.71
BAK1	307.69	759.08	1044.52	1721.16	743.43	1594.73	1295.13	1233.75	246.28	307.69	414.87	312.0	412.0
BPNT1	713.11	547.75	1059.11	1143.1	583.07	1277.29	1551.09	1111.82	267.73	381.68	339.14	327.56	253.23
BRI3BP	112.77	70.01	136.19	234.57	65.72	470.14	521.76	325.29	13.32	45.21	50.98	28.65	39.22
C15orf48	83.45	3467.27	2915.45	5791.62	387.02	57051.4	58250.19	35609.13	19.53	31.9	19.11	18.03	11.82
C2orf82	17.64	92.05	195.72	134.3	43.02	693.58	329.84	246.28	22.26	18.16	30.34	70.51	29.06
C3orf80	2.81	480.04	202.66	69.52	110.43	38.12	72.01	85.82	2.71	7.82	5.02	3.69	9.2
C3orf83	318.57	36.27	46.5	105.89	34.26	253.23	241.19	104.42	16.27	14.78	2.66	0.0	21.63
CAMK2N1	1277.29	2047.0	2573.36	3124.78	1628.26	4358.66	5672.41	2956.17	1191.69	995.0	1127.35	1304.15	1159.07
CASP5	11.04	150.17	51.35	679.29	42.71	830.75	764.36	555.41	0.0	6.84	0.0	0.0	1.28
CASP7	854.13	1088.92	1551.09	2664.15	819.3	3190.46	3443.31	2061.24	248.0	376.41	536.45	318.57	507.46
CBLN2	156.59	49.21	51.35	18.56	21.16	40.36	31.0	103.69	0.0	0.0	5.73	0.92	0.0
CCBE1	3794.3	802.41	251.48	103.69	241.19	81.14	120.1	279.14	15.8	18.7	24.11	71.5	28.65
CCL20	995.0	242.88	591.22	1199.98	88.26	708.18	620.67	642.59	3.11	0.0	0.0	0.0	0.0
CCL24	43.63	57.49	563.18	118.43	38.67	961.07	679.29	194.36	0.0	6.52	0.0	0.0	0.0
CCL28	1794.29	406.31	305.55	656.11	127.0	2384.37	2351.53	1030.12	44.25	130.6	54.33	52.82	114.36
CCL8	49.56	107.38	387.02	136.19	39.22	172.65	400.71	146.03	1.38	48.87	12.36	2.68	11.3
CD163L1	66.65	191.67	688.78	392.44	81.14	684.02	187.71	287.01	39.22	98.73	52.45	29.06	54.72
CDHR5	1.43	616.37	902.89	3955.48	175.07	15934.98	16496.96	6471.02	48.87	26.67	1.68	64.8	8.65
CDS1	414.87	59.13	139.07	194.36	35.76	532.74	872.1	353.59	32.36	63.45	63.89	14.89	44.89
CDX1	27.44	435.55	921.88	1096.5	111.99	9344.14	9945.68	5831.91	0.0	2.18	0.46	0.52	0.0
CEACAM8	0.92	2.97	6.84	4.86	0.0	6.26	6.52	41.81	0.0	0.0	0.0	1.39	0.0
CES2	1051.79	2133.97	2777.33	3349.13	1697.45	13492.72	13968.57	5751.61	493.56	511.0	414.87	507.46	583.07
CHP1	961.07	1498.22	2555.58	4481.23	1304.15	3847.29	4210.15	2935.74	860.08	599.49	825.0	967.76	764.36
CLCN2	119.26	303.44	371.22	738.29	293.07	1674.06	1277.29	656.11	57.89	100.83	103.69	83.45	104.42
CLDN3	746611.43	713.11	2502.97	2193.99	244.57	34396.12	25708.25	13681.08	2.84	2.92	5.02	7.4	9.13
CLDN4	20593.91	848.22	3395.89	4239.45	409.15	34396.12	30361.44	16727.26	11.82	21.47	17.0	25.91	13.83
CLN3	1936.53	1119.56	1794.29	1487.87	1111.82	3060.45	2739.08	2004.85	521.76	620.67	674.59	551.56	693.58
CPT2	312.0	571.05	1066.48	836.53	463.65	1225.22	1233.75	872.1	234.57	204.07	232.94	287.01	329.84
CRYM	177.53	98.04	141.02	96.01	92.7	450.94	460.44	209.84	8.85	10.39	2.23	4.7	2.03
CTSZ	6561.36	5183.54	6840.04	7130.55	4937.99	9279.58	7331.05	8022.41	2875.3	3081.75	3443.31	2163.77	2816.11
CYCS	1127.35	4736.79	6381.92	5219.6	3103.19	6935.54	6471.02	6121.9	1781.89	1819.35	2178.83	1769.57	2193.99
DBI	2835.7	6699.25	7537.18	8247.98	4769.75	12160.22	10014.87	10440.2	2434.5	2303.12	2816.11	1697.45	2720.15
DECR1	2255.7	2537.92	2816.11	3639.7	2133.97	4095.0	4152.18	3212.66	1639.59	1350.18	1286.18	1008.9	723.08
DEFB1	36106.23	275.28	543.96	463.65	32.82	2573.36	2303.12	878.17	0.0	0.0	191.67	13.22	18.16
DGAT1	1030.12	1963.57	2682.69	2777.33	1651.0	5006.93	4736.79	2682.69	665.29	995.0	1225.22	638.15	1119.56
DOLPP1	260.38	289.02	432.53	587.13	246.28	961.07	1008.9	536.45	77.79	137.14	158.79	107.38	159.9
DSC2	195.72	228.13	325.29	698.41	241.19	2047.0	3060.45	1388.16	30.56	29.27	17.77	17.9	23.08
EHHADH	133.36	214.27	271.48	346.29	138.1	397.93	387.02	205.5	60.39	76.17	85.22	101.54	127.89
ELF3	36357.37	1397.83	8134.41	7180.15	384.34	24660.96	25179.16	16496.96	90.77	69.52	14.67	55.89	18.29
ELOVL6	25.17	172.65	503.95	309.83	106.63	518.15	693.58	532.74	44.25	65.72	85.82	111.99	105.15
ENPP3	5255.91	102.97	85.22	129.69	9.48	743.43	536.45	301.33	12.93	15.0	10.96	7.22	4.43
EPB41L4B	854.13	186.4	473.41	728.11	138.1	2573.36	3768.09	1733.13	7.46	10.63	39.22	12.45	11.21
ETNK1	432.53	603.67	1233.75	2287.2	454.09	934.76	878.17	743.43	291.04	190.34	273.37	208.38	217.27
FABP2	17.64	117.6	105.15	191.67	0.0	1617.0	1963.57	1073.91	0.0	0.0	6.36	0.52	0.55
FRYL	525.39	836.53	1008.9	1096.5	599.49	2163.77	2451.44	1199.98	583.07	466.88	403.5	312.0	223.41
FSIP2	5.63	17.13	56.28	57.49	10.31	142.01	190.34	57.89	7.06	13.32	8.65	4.94	5.77
FUCA1	3614.55	1191.69	1697.45	3124.78	1023.0	4769.75	4388.98	3325.99	368.65	819.3	486.75	177.53	329.84
FUT3	1909.85	540.19	1037.29	2720.15	94.01	7331.05	5366.37	3168.41	15.45	8.99	1.66	12.0	8.38
FUT6	10512.82	95.34	265.87	361.04	26.47	2090.03	1651.0	718.08	9.85	0.0	0.84	1.62	0.89
