	TCGA.A7.A0DC.01A.11R.A00Z.07	TCGA.AR.A5QM.01A.11R.A27Q.07	TCGA.EW.A6SA.01A.21R.A32P.07	TCGA.A7.A0DC.01A.11R.A00Z.07.1	TCGA.D8.A27I.01A.11R.A16F.07	TCGA.A7.A3IZ.01A.11R.A213.07	TCGA.BH.A28Q.01A.11R.A16F.07	TCGA.LQ.A4E4.01A.11R.A266.07	TCGA.S3.AA12.01A.11R.A41B.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.98.A53H.01A.12R.A262.07	TCGA.BR.6852.01A.11R.1884.13	TCGA.CG.4477.01A.01R.1157.13	TCGA.BR.8366.01A.11R.2343.13	TCGA.B7.A5TK.01A.12R.A36D.31
ANXA8L1	3.86	34.26	0.85	3.86	29.27	0.0	2.68	2.73	0.89	573724.06	2343119.96	212.78	4.78	42.11	3.35	37.85
ANXA8L2	17.77	85.22	0.0	17.77	66.18	1.03	5.68	7.34	0.0	6014443.23	3913423.01	329.84	47.84	139.07	41.52	206.94
APOBEC3C	19.39	249.73	44.57	19.39	503.95	125.24	130.6	75.64	70.51	713.11	423.61	674.59	651.58	466.88	1250.98	1119.56
APOBEC3F	108.14	153.34	44.25	108.14	108.14	72.01	112.77	82.87	82.29	98.04	102.97	126.12	173.85	159.9	194.36	239.52
APOBEC3G	72.52	283.05	28.65	72.52	318.57	138.1	236.21	155.5	58.71	426.57	151.22	518.15	595.34	384.34	791.35	1183.45
APOBEC3H	3.08	35.76	2.92	3.08	16.27	6.16	10.88	2.84	7.46	30.34	50.63	61.25	67.12	51.35	117.6	110.43
ARPC2	2303.12	4358.66	5006.93	2303.12	5594.3	3690.52	4123.49	3847.29	3280.18	15934.98	13872.08	6840.04	5751.61	7857.29	8191.0	9279.58
BCL11B	0.34	13.52	1.45	0.34	47.17	2.39	13.22	1.87	2.68	1477.58	2255.7	88.26	61.68	58.3	122.64	63.0
BID	366.09	587.13	116.78	366.09	441.64	111.21	409.15	336.79	75.11	457.25	607.87	738.29	1286.18	507.46	1639.59	915.51
BRD7	769.69	854.13	934.76	769.69	1104.13	860.08	848.22	607.87	583.07	2224.63	1909.85	1023.0	1447.15	3168.41	1268.46	1674.06
C11orf45	3.23	28.24	3.06	3.23	45.85	12.45	7.57	21.78	11.82	131.51	186.4	27.44	25.54	26.47	92.05	28.24
