	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.EP.A3RK.11A.11R.A22L.07	GTEX.ZYT6.0626.SM.5E45V	GTEX.SJXC.1226.SM.4DM78	TCGA.69.7763.01A.11R.2170.07	TCGA.50.5942.01A.21R.1755.07	TCGA.69.7973.01A.11R.2187.07	TCGA.80.5608.01A.31R.1949.07	TCGA.44.7667.01A.31R.2066.07	TCGA.64.5774.01A.01R.1628.07	TCGA.73.4659.01A.01R.1206.07	TCGA.91.8497.01A.11R.2403.07	TCGA.05.4390.01A.02R.1755.07
AC020907.1	226.54	72.01	5.15	7.75	5.73	0.0	4.98	4.17	21.47	1.23	151.22	49.91	44.25	116.78	43.32	24.28	43.02
ALYREF	2367.9	3146.52	620.67	603.67	791.35	616.37	591.22	579.04	1487.87	1001.93	1950.0	1991.0	6079.61	3690.52	2061.24	1359.57	2875.3
ARHGEF39	35.5	12.45	9.93	10.0	5.23	11.47	4.03	10.39	41.81	37.32	343.89	323.03	187.71	406.31	212.78	65.26	336.79
ARL9	106.63	115.97	0.0	3.0	1.51	1.13	0.0	7.46	2.86	3.89	89.51	26.28	73.54	54.33	8.0	6.11	24.63
ARTN	167.9	256.78	11.47	0.0	0.0	1.73	2.94	3.0	71.0	24.46	100.83	63.0	204.07	111.21	84.63	69.03	164.42
ASF1B	1008.9	133.36	24.81	12.09	6.84	18.56	4.98	9.85	77.79	80.01	312.0	256.78	1191.69	521.76	325.29	105.89	500.46
AUNIP	44.25	1.55	7.17	2.84	5.45	10.63	15.8	7.11	13.93	5.54	67.59	34.02	134.3	54.33	56.68	14.67	58.71
AURKA	327.56	90.14	55.89	32.13	32.13	49.21	15.34	37.59	182.55	73.54	836.53	409.15	928.3	825.0	457.25	74.06	483.38
AURKB	567.1	180.02	19.82	24.81	7.17	38.12	8.51	18.03	128.79	62.12	1733.13	616.37	2163.77	1001.93	679.29	140.04	1572.76
BRCA1	351.14	40.64	84.04	18.56	12.93	37.32	26.47	66.65	52.08	63.0	307.69	114.36	497.0	211.31	99.43	41.22	153.34
BUB1	262.2	64.8	6.84	2.14	0.55	14.03	1.04	5.92	61.25	29.91	591.22	262.2	693.58	603.67	232.94	46.18	368.65
C14orf119	1417.35	1467.37	497.0	660.68	620.67	679.29	633.73	599.49	1991.0	1844.76	2895.31	3372.43	3349.13	4450.27	2255.7	1369.04	4181.07
C14orf80	356.05	242.88	366.09	38.95	151.22	133.36	277.2	314.17	118.43	77.25	454.09	414.87	486.75	518.15	414.87	167.9	438.59
CCNA2	162.14	52.45	16.63	6.26	4.28	33.3	6.06	13.03	56.28	39.79	297.17	267.73	769.69	540.19	242.88	61.68	698.41
CCNB1	2193.99	454.09	73.03	39.79	35.25	94.01	17.51	17.77	500.46	173.85	1896.65	961.07	3325.99	2209.26	1794.29	226.54	1991.0
CCNB2	500.46	197.09	14.03	7.34	4.17	20.11	3.14	14.89	136.19	52.08	764.36	426.57	1225.22	934.76	571.05	80.57	819.3
CCNE1	323.03	148.09	16.63	7.11	4.82	8.78	1.19	6.21	75.64	12.45	215.77	199.85	289.02	201.25	137.14	35.25	217.27
CDC25C	94.01	29.48	4.1	0.53	0.0	7.75	2.25	2.66	20.56	10.88	185.11	104.42	148.09	241.19	103.69	7.75	137.14
CDC6	265.87	44.25	20.86	4.03	3.96	19.82	2.12	5.19	47.17	40.07	511.0	171.45	1407.55	420.68	220.32	42.41	511.0
CDCA2	132.44	49.21	4.62	1.07	0.55	4.98	0.46	0.0	22.43	19.97	236.21	63.89	215.77	186.4	61.25	25.54	99.43
CDCA4	1963.57	947.83	35.25	28.45	33.06	43.32	33.78	26.1	198.47	143.01	420.68	281.09	579.04	567.1	346.29	135.24	669.92
CDCA5	595.34	103.69	23.25	9.63	4.58	13.93	7.17	10.08	74.58	54.33	547.75	323.03	1662.49	432.53	361.04	54.72	511.0
CDKN3	575.03	105.15	22.26	13.72	15.45	49.21	8.25	5.59	94.67	33.06	1008.9	551.56	2075.59	941.27	660.68	86.43	1259.69
CENPA	141.02	52.08	2.2	1.68	5.32	14.35	0.0	0.0	52.08	13.93	511.0	164.42	1697.45	698.41	291.04	31.67	356.05
CENPE	82.29	21.01	2.16	1.11	0.57	3.47	0.0	0.35	13.83	9.2	80.57	42.41	107.38	100.13	42.41	16.75	62.12
CENPF	435.55	176.29	16.27	6.16	3.03	11.04	5.32	3.99	147.06	41.52	872.1	423.61	1359.57	1277.29	332.14	64.34	406.31
CENPH	698.41	214.27	43.02	31.9	22.26	32.13	10.63	22.1	118.43	87.65	281.09	212.78	607.87	323.03	194.36	103.69	253.23
CENPK	387.02	77.79	15.68	12.93	3.96	29.27	5.68	0.0	60.82	38.12	236.21	125.24	176.29	327.56	142.01	73.03	170.25
CENPW	476.71	291.04	49.91	55.89	22.1	75.11	41.52	41.52	167.9	41.81	329.84	463.65	1073.91	656.11	387.02	133.36	733.19
CKAP2L	129.69	50.27	5.23	2.63	0.52	14.14	11.64	2.56	25.35	11.55	269.6	134.3	314.17	301.33	113.56	14.24	154.42
CKAP4	2319.15	2119.22	532.74	384.34	603.67	414.87	329.84	285.03	941.27	1313.23	2739.08	1909.85	1199.98	2537.92	1963.57	1199.98	1529.73
CNP	3928.15	1350.18	796.86	928.3	698.41	813.63	808.0	1183.45	1322.37	1096.5	1674.06	1286.18	1794.29	2520.38	1674.06	1225.22	1721.16
CPE	384.34	642.59	507.46	78.89	148.09	198.47	587.13	193.01	3443.31	1487.87	9606.86	6935.54	7857.29	18052.61	5831.91	3060.45	13033.07
