	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.AO.A0JG.01A.31R.A084.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.EW.A1OX.01A.11R.A144.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.RC.A7SF.01A.11R.A352.07	GTEX.145MF.0826.SM.5QGQA	GTEX.REY6.1226.SM.48FDR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
APPBP2	194.36	307.69	559.28	470.14	2271.4	733.19	497.0	2520.38	791.35	384.34	603.67	376.41	620.67	728.11	48.18	73.54	65.72	100.13	82.29	0.0	0.45
BCORL1	149.12	88.26	107.38	293.07	403.5	181.28	81.14	417.77	149.12	214.27	444.72	124.37	202.66	267.73	3.53	38.4	35.5	27.05	15.91	0.0	0.41
BPTF	518.15	713.11	796.86	1769.57	2240.11	1322.37	1001.93	4937.99	1709.26	836.53	1529.73	921.88	1447.15	2075.59	54.72	194.36	271.48	144.01	135.24	0.0	0.73
C17orf82	5.5	3.32	5.87	1.16	32.82	14.67	7.57	49.56	7.63	2.53	10.24	16.03	15.8	19.39	7.82	1.57	1.83	0.71	0.18	0.0	0.42
CALCOCO2	2209.26	2047.0	4607.24	4095.0	6426.31	3874.05	2875.3	6037.61	4123.49	3280.18	3325.99	3257.52	2895.31	2119.22	339.14	872.1	1457.23	1437.15	1183.45	2032.85	463.65
CASKIN2	244.57	217.27	249.73	656.11	521.76	490.14	323.03	713.11	180.02	279.14	460.44	248.0	647.07	218.79	63.0	195.72	164.42	84.63	223.41	0.0	0.24
CCNJ	67.59	54.33	71.5	83.45	112.77	96.01	82.87	130.6	108.14	85.22	127.89	94.01	107.38	108.9	7.75	21.63	30.12	6.94	11.04	0.0	0.45
CHD6	135.24	329.84	753.83	483.38	651.58	995.0	287.01	660.68	384.34	325.29	567.1	397.93	329.84	525.39	24.63	46.84	92.05	114.36	84.63	0.0	0.39
COIL	341.51	325.29	267.73	591.22	915.51	511.0	514.56	656.11	743.43	426.57	412.0	420.68	656.11	1008.9	49.56	135.24	183.82	124.37	101.54	0.0	0.31
COX6C	331809.5	355624.68	265802.39	242898.5	51775.15	391864.76	425853.18	120609.84	320506.81	253213.41	437825.58	527933.71	286861.53	492579.5	91404.92	33688.23	55491.3	21320.18	15392.14	7331.05	1167.14
CTD-2510F5.6	103.69	57.08	71.0	197.09	217.27	94.01	94.67	165.57	293.07	111.21	156.59	52.45	135.24	371.22	44.57	88.88	88.88	83.45	87.03	0.0	0.0
DHX40	567.1	454.09	688.78	1733.13	2255.7	1277.29	842.36	2645.74	1561.89	915.51	909.17	698.41	941.27	1529.73	109.66	94.01	109.66	209.84	212.78	0.0	0.48
DNAJC10	738.29	775.05	1008.9	854.13	3716.2	3690.52	688.78	4298.64	1832.01	947.83	764.36	1066.48	2004.85	1268.46	69.03	218.79	275.28	241.19	521.76	0.0	0.55
DYNLL2	860.08	902.89	1268.46	1397.83	1561.89	1191.69	1191.69	2032.85	1870.53	1135.2	1295.13	921.88	1340.84	1685.71	190.34	297.17	307.69	612.11	397.93	587.13	64.34
EPN3	583.07	258.57	860.08	2209.26	3614.55	2047.0	1477.58	4358.66	3212.66	1322.37	1437.15	1216.75	878.17	242.88	178.77	0.58	3.92	1.66	2.1	0.0	0.0
GPR137C	35.76	17.25	46.5	61.25	51.71	46.18	14.45	50.98	64.8	16.63	55.1	91.41	40.64	177.53	4.62	3.26	21.78	3.17	1.87	0.0	0.25
HEATR6	249.73	229.72	273.37	603.67	974.5	638.15	303.44	1233.75	486.75	255.0	454.09	314.17	429.54	595.34	21.01	71.0	78.34	50.98	40.93	0.0	0.17
