	TCGA.AO.A12G.01A.11R.A10J.07	TCGA.GL.A59R.11A.11R.A26U.07	TCGA.P4.A5ED.11A.11R.A28H.07	TCGA.CC.A5UD.01A.11R.A28V.07	TCGA.CC.A3MA.01A.11R.A213.07	GTEX.145MF.0826.SM.5QGQA	GTEX.QESD.2026.SM.447BI	GTEX.13SLX.1226.SM.5S2Q6	GTEX.13OW6.2626.SM.5IFF2	TCGA.38.4625.01A.01R.1206.07	GTEX.11OF3.1726.SM.5GU5Q
ABCB4	23.08	7.0	9.13	915.51	181.28	1447.15	397.93	52497.92	1096.5	0.0	22.26
ABCG5	1.13	4.1	8.92	400.71	52.08	1044.52	2255.7	2434.5	3039.3	0.0	0.0
ABCG8	0.0	8.99	11.38	511.0	51.35	1909.85	1844.76	3124.78	1159.07	0.0	0.0
AGT	197.09	57.89	287.01	23330.64	10959.3	28132.47	39510.91	66912.05	15934.98	0.0	151.22
AHSG	0.0	2.86	4.21	1923.14	4038.61	1656835.72	1656835.72	2068278.89	154794.07	0.0	0.16
AKR1C4	0.0	5.96	5.11	836.53	303.44	74243.68	22380.2	5479.15	18178.19	0.0	0.0
AKR1CL1	0.0	4.21	1.68	195.72	6.21	119.26	281.09	249.73	866.07	0.0	0.0
AL590714.1	0.0	0.0	0.0	785.88	620.67	114897.47	101420.22	92680.9	182810.84	0.0	0.0
ALAD	928.3	854.13	878.17	2502.97	2739.08	5147.73	4671.57	3690.52	5479.15	0.0	1008.9
APOA1	31.9	9.63	12.74	2434.5	26614.89	1.228163998E7	5199709.96	4.21783688E7	1.307221145E7	0.0	17.0
APOA2	0.0	0.0	3.63	53601.03	45072.75	2.941400607E7	2.821580058E7	2.079884286E7	2.138357795E7	0.0	2.32
APOA5	0.4	0.0	0.0	1081.39	624.99	22850.48	20170.07	170568.48	7280.4	0.0	0.0
APOB	0.32	1.91	0.97	1127.35	669.92	29943.43	11827.67	9215.48	13776.25	0.0	2.84
APOC3	0.0	0.0	21.78	14561.8	33224.42	7612821.45	1.24530853E7	1.032758687E7	7152418.87	0.0	0.84
AQP9	4.46	2.61	3.96	3212.66	371.22	29531.18	29736.59	5913.33	25708.25	0.0	17.0
ARG1	0.52	0.0	0.0	73.54	633.73	73730.83	23656.34	75803.72	30785.28	0.0	0.06
