	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.KN.8436.11A.01R.2315.07	TCGA.KN.8430.11A.01R.2315.07	TCGA.KN.8431.11A.01R.2315.07	TCGA.CJ.4900.01A.01R.1334.07	TCGA.CJ.4886.01A.01R.1305.07	TCGA.CZ.5464.01A.01R.1503.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.CJ.4890.01A.01R.1305.07	TCGA.B8.4620.11A.01R.1758.07	TCGA.B0.4712.11A.02R.1503.07	TCGA.CJ.5689.11A.01R.1541.07	TCGA.CZ.5469.11A.01R.1503.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CZ.5457.11A.01R.1503.07	TCGA.75.5122.01A.01R.1755.07
ALOX5AP	91.41	361.04	212.78	67.59	63.45	1745.2	497.0	764.36	780.44	1674.06	1359.57	94.01	450.94	128.79	860.08	351.14	3372.43
AMICA1	135.24	878.17	55.49	18.29	17.0	543.96	392.44	400.71	842.36	1340.84	642.59	41.52	237.86	21.63	507.46	83.45	1651.0
AOAH	73.03	84.63	49.91	10.71	12.74	514.56	444.72	647.07	1457.23	884.29	423.61	33.06	92.05	9.63	279.14	22.26	1286.18
ARHGAP30	753.83	884.29	61.25	64.34	14.24	567.1	373.81	571.05	1369.04	1030.12	267.73	42.11	111.99	58.3	157.68	82.29	738.29
ARHGDIB	1199.98	1832.01	2209.26	1721.16	1331.57	9673.69	12160.22	10808.41	13586.57	18052.61	7331.05	3303.0	3212.66	2573.36	5041.77	4481.23	12764.83
BCL2A1	67.59	11.64	31.67	9.06	9.48	483.38	126.12	209.84	476.71	738.29	269.6	16.39	47.17	5.02	82.87	38.4	988.12
BTK	17.25	32.59	11.3	5.19	5.19	518.15	186.4	249.73	511.0	507.46	231.32	9.06	46.84	4.66	142.01	22.75	679.29
BTLA	9.85	31.9	3.17	1.73	5.77	31.9	35.5	53.19	68.07	105.15	55.49	3.66	19.68	1.66	27.05	1.69	54.33
C10orf54	1313.23	616.37	733.19	457.25	361.04	1769.57	1583.71	1350.18	2303.12	2061.24	1662.49	295.11	780.44	483.38	961.07	624.99	1733.13
C1QA	688.78	1498.22	748.61	267.73	113.56	21617.82	11827.67	18689.27	30785.28	32092.64	9409.14	361.04	1977.24	285.03	4328.55	1340.84	34158.52
C1QB	595.34	1159.07	624.99	305.55	100.83	20030.74	11504.21	22225.61	40341.14	41763.8	6294.04	283.05	1259.69	309.83	3060.45	1757.34	50359.33
C1QC	540.19	974.5	486.75	201.25	92.7	14163.58	8840.04	13681.08	27363.16	26431.04	4869.99	189.02	1104.13	185.11	3280.18	995.0	42641.37
C1R	2664.15	15180.22	3395.89	1417.35	896.64	14065.74	6250.56	19482.97	15934.98	27745.15	19892.37	1674.06	8840.04	1819.35	8363.13	6745.86	12676.65
C1S	325.29	3212.66	1104.13	417.77	269.6	9409.14	3257.52	8538.88	8963.45	11424.74	9215.48	463.65	3794.3	525.39	4419.52	2163.77	6561.36
