	TCGA.L5.A4OF.01A.11R.A260.31	TCGA.LN.A49W.01A.11R.A260.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.LN.A9FO.01A.11R.A38D.31	GTEX.ZVP2.0626.SM.51MSO	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.YEC4.0826.SM.5P9FV	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.21.5782.01A.01R.1635.07	TCGA.66.2777.01A.01R.1201.07	TCGA.VQ.A8E3.01A.11R.A39E.31	TCGA.HU.8243.01A.11R.2343.13	TCGA.VQ.A8P5.01A.11R.A39E.31	TCGA.BR.8296.01A.11R.2343.13	TCGA.D7.8572.01A.11R.2343.13	TCGA.D7.6817.01A.11R.1884.13
AC011500.1	1.97	1.64	1.79	5.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.66	1.55	11.13	4.1	19.82	3.23	4.9
AL807752.1	23.59	28.04	50.98	19.39	0.0	0.0	4.1	0.0	5.92	0.0	9.7	0.0	3.03	3.63	0.0	9.63	3.76	0.0	0.16	22.92	232.94	12.93	32.13	11.04	45.21	8.25	7.88
APOBEC3B	186.4	15.34	323.03	170.25	3.86	6.62	29.06	110.43	27.05	72.52	32.36	18.56	23.76	21.94	0.0	6.89	5.41	0.0	0.28	52.82	2104.58	101.54	872.1	723.08	307.69	297.17	117.6
AQPEP	529.06	7.82	6.78	8.78	2.01	2.78	0.43	2.43	0.09	0.0	0.09	3.0	0.0	1.58	0.09	0.0	0.0	0.0	0.34	13.52	36.53	3.5	14.56	12.09	4.46	105.15	5.63
ARHGAP28	36.01	53.95	15.68	28.45	3.23	8.19	6.46	14.45	0.51	8.85	1.13	2.03	0.46	0.0	0.51	2.23	5.02	0.0	0.31	50.98	460.44	16.75	41.22	27.44	35.25	80.01	41.52
C12orf40	0.27	1.3	0.29	4.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2	6.26	1.22	2.84	4.1	2.63	0.66	1.53
C19orf67	2.07	0.38	1.97	7.0	0.44	1.68	1.25	0.0	0.0	0.0	0.0	0.0	1.08	0.0	0.0	0.03	0.0	0.0	0.0	0.0	11.82	10.08	29.06	4.9	7.46	10.96	3.5
C22orf26	3.86	12.83	7.63	11.82	8.38	1.99	3.69	5.54	3.47	1.27	2.39	4.66	1.71	1.83	0.82	1.19	3.82	0.0	0.0	8.45	32.36	5.77	6.57	6.31	5.77	5.41	7.46
C4orf26	5.87	8.38	12.18	38.4	0.0	0.0	1.38	0.0	0.0	0.0	1.53	0.0	0.05	0.06	1.99	1.81	0.0	0.0	0.0	22.59	371.22	10.16	5.92	6.31	12.18	9.7	1.79
CCNE1	353.59	180.02	242.88	525.39	10.39	5.92	6.89	19.53	8.85	29.7	22.75	8.78	4.03	0.85	5.45	1.35	0.36	0.0	0.51	318.57	796.86	177.53	170.25	366.09	224.97	248.0	161.02
CDSN	3.79	97.36	3.29	89.51	0.36	1.55	1.97	2.2	0.1	0.09	3.86	0.69	1.53	0.0	0.0	0.0	0.0	0.0	0.0	6.36	1183.45	8.85	0.0	0.0	1.5	0.0	3.11
CETN1	20.41	4.5	0.0	21.32	3.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.7	17.25	0.96	3.47	6.31	4.17	1.46	2.32
CHST5	8.85	1.71	1.85	4.98	3.03	0.0	0.21	0.0	0.53	1.99	0.54	0.0	2.29	0.16	1.71	2.61	4.21	0.0	0.1	6.01	15.11	12.74	153.34	2.61	9.27	13.32	23.42
CHST6	31.45	49.56	40.36	54.33	0.3	0.0	0.32	0.33	0.0	0.83	0.0	2.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.04	191.67	5.82	54.33	6.94	10.16	27.25	8.99
CLEC18A	14.45	17.25	12.93	73.54	2.18	0.36	5.02	0.0	4.46	0.0	0.28	6.67	5.92	6.31	1.27	5.59	2.18	0.0	0.56	29.91	74.58	27.64	24.11	37.59	20.11	10.88	19.11
CLEC18C	39.79	5.45	16.39	178.77	7.75	0.56	1.07	3.14	2.68	2.34	2.94	3.11	0.0	0.23	1.0	0.64	0.04	0.0	0.17	48.18	28.24	26.28	42.41	31.45	22.59	14.35	23.08
CNGB1	10.39	66.65	22.26	26.47	0.0	1.38	0.0	0.0	0.0	0.0	0.0	1.51	0.0	0.0	0.0	0.0	0.0	0.0	0.06	37.59	54.33	1.89	13.03	13.12	11.47	7.06	2.2
CTD-2260A17.2	15.0	21.01	21.63	18.97	12.18	13.83	14.89	11.55	7.57	12.74	12.36	8.92	13.83	10.47	21.16	15.0	8.99	0.0	0.1	21.01	40.36	12.74	14.67	12.55	21.94	22.75	18.29
DCTPP1	854.13	1023.0	934.76	1583.71	669.92	295.11	514.56	603.67	426.57	551.56	497.0	392.44	599.49	384.34	460.44	275.28	193.01	0.0	0.26	1295.13	1950.0	1233.75	1225.22	2976.74	1350.18	1259.69	2224.63
DEFB103B	0.0	0.0	35.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.97	149.12	1.46	3.29	0.0	2.92	0.0	0.48
DRD2	4.39	5.45	5.32	4.54	0.53	3.35	0.55	1.75	0.13	1.2	2.03	1.89	0.45	0.0	0.0	0.09	0.0	0.0	0.07	14.24	159.9	2.51	6.06	9.7	4.74	6.46	8.45
EFHC2	23.42	27.05	36.01	21.78	0.56	2.36	0.59	0.0	1.25	0.47	0.0	0.0	0.0	0.49	0.0	0.0	1.46	0.0	0.0	21.01	26.47	0.93	14.03	68.07	13.22	13.42	50.98
EXTL1	13.72	12.27	7.75	41.52	0.13	0.6	0.59	0.14	0.0	1.85	2.41	0.17	0.09	0.11	0.0	0.0	0.15	0.0	0.09	14.89	7.46	3.72	5.59	8.38	10.71	5.45	3.79
FAM9C	2.27	1.25	0.64	5.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.48	381.68	0.84	1.27	2.97	3.59	0.51	0.49
FSHB	0.0	2.1	17.64	59.55	0.0	0.73	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.55	0.74	1.81	2.73	10.63	7.51	0.0	1.19
GDAP2	239.52	518.15	126.12	205.5	74.58	133.36	91.41	76.17	60.39	72.52	108.14	135.24	83.45	137.14	88.26	101.54	110.43	145.02	45.53	241.19	571.05	246.28	226.54	141.02	189.02	275.28	190.34
GLB1L3	44.57	38.12	5.15	20.26	9.06	0.0	0.0	0.0	0.0	0.0	0.47	4.43	0.39	0.0	0.0	1.53	0.56	0.0	0.18	12.83	100.13	9.06	29.91	15.0	19.97	47.5	3.92
GPA33	43.02	3.89	1.28	5.54	0.0	0.0	0.82	0.33	0.77	3.06	0.0	5.32	3.86	0.0	0.78	0.0	0.34	0.0	0.0	2.29	20.56	371.22	23.42	7.69	14.24	30.78	137.14
GRK7	1.93	5.77	12.55	14.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	11.64	126.12	7.0	9.27	4.54	15.45	4.24	3.44
GSDMA	1.43	102.25	10.55	33.78	2.81	0.0	3.89	8.38	0.97	5.45	8.92	21.32	5.28	0.0	5.73	0.91	0.0	0.0	0.0	4.28	125.24	5.73	2.39	15.91	6.41	10.79	12.36
GUCA1A	0.65	11.38	2.2	13.62	1.03	0.0	0.68	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	18.56	127.89	6.62	16.51	21.94	8.38	11.64	4.66
H2AFB2	8.38	25.35	13.12	24.63	0.93	0.65	0.64	0.0	0.58	0.25	1.22	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.17	9.27	253.23	5.02	2.97	6.73	0.0	743.43	2.41
H2AFB3	7.17	22.92	11.55	22.26	1.07	0.75	0.75	0.0	0.69	0.33	1.39	0.0	0.0	0.0	0.0	0.92	0.0	0.0	0.0	9.41	255.0	5.11	3.06	6.84	0.0	353.59	2.51
HIST1H2AG	34.26	35.0	32.36	57.49	3.86	38.12	10.0	31.0	28.24	8.78	12.09	2.89	1.6	1.19	16.15	1.04	30.56	0.0	0.38	43.63	175.07	21.16	13.03	14.89	77.25	17.77	57.49
HIST1H4F	3.44	6.78	10.08	8.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.28	7.69	10.63	21.32	8.51	0.0	2.27	16.51
HIST2H2BF	62.56	392.44	98.04	497.0	1.89	6.06	11.73	3.17	3.86	6.89	3.35	4.06	0.0	24.11	4.1	57.08	7.22	0.0	0.0	93.35	441.64	122.64	529.06	190.34	167.9	397.93	819.3
