	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.AC.A2FB.11A.13R.A17B.07	TCGA.BH.A0DL.11A.13R.A115.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.BH.A1FB.11A.33R.A13Q.07	TCGA.E9.A1N9.11A.71R.A14D.07
ABCB5	3.89	5.82	3.03	7.94	2.16	1.0	0.59	2.71	0.0	3.79	0.0	0.0	5.19	24.99	53.95	182.55	24.99	127.89	69.52	37.85
ADARB1	198.47	127.89	167.9	224.97	237.86	128.79	24.28	118.43	78.89	112.77	87.03	96.01	98.73	457.25	320.8	403.5	457.25	368.65	262.2	283.05
AL117190.2	21.78	20.86	0.0	43.63	0.0	0.0	0.0	2.53	4.1	0.0	0.0	0.0	12.36	69.52	22.92	73.03	69.52	63.45	74.58	108.14
ALDH1A2	40.64	35.5	2.1	70.51	38.4	8.45	1.51	17.9	8.0	26.1	1.06	14.45	15.68	249.73	293.07	236.21	249.73	312.0	198.47	275.28
ALX4	25.54	8.51	1.97	44.25	3.5	0.99	0.31	2.63	1.28	8.58	0.35	1.55	5.96	43.02	101.54	69.03	43.02	49.91	123.5	74.06
ARHGAP40	81.71	2.1	0.39	232.94	2.2	17.38	0.0	87.03	0.0	28.45	0.38	0.83	1.08	249.73	108.9	206.94	249.73	759.08	454.09	264.03
ASTN1	8.51	6.21	0.64	9.63	2.73	0.0	0.27	2.89	0.3	3.92	1.23	1.87	4.58	11.3	26.47	21.01	11.3	17.64	14.03	13.42
ATG9A	507.46	543.96	423.61	708.18	470.14	457.25	389.72	444.72	460.44	567.1	674.59	532.74	587.13	819.3	802.41	825.0	819.3	854.13	780.44	954.43
BNC1	4.35	2.25	0.33	5.36	1.36	0.64	0.0	1.28	0.62	2.27	0.0	0.0	0.99	5.32	13.22	16.39	5.32	10.24	12.93	19.82
BOC	327.56	201.25	90.14	406.31	130.6	57.49	15.8	118.43	96.68	171.45	46.5	101.54	124.37	660.68	1388.16	1159.07	660.68	1127.35	1268.46	934.76
C17orf51	26.67	26.86	23.25	41.22	22.75	25.54	1.79	8.65	20.86	15.34	21.94	10.71	7.17	100.13	64.34	71.0	100.13	59.97	62.56	74.06
C9orf170	0.0	0.35	0.34	0.72	0.0	0.34	0.0	0.34	0.33	0.35	0.0	0.39	0.0	1.16	1.93	1.87	1.16	1.81	2.14	1.45
CCL23	24.81	12.93	1.07	35.76	8.65	1.06	1.22	3.11	6.84	4.17	3.32	12.83	7.63	61.68	320.8	94.01	61.68	38.4	12.27	22.59
CD209	23.25	11.82	7.28	95.34	7.46	21.16	3.0	3.86	0.32	12.83	5.87	21.47	43.63	281.09	384.34	226.54	281.09	412.0	72.01	68.07
CNTN1	63.45	86.43	75.64	198.47	55.89	10.39	0.87	28.65	9.27	38.12	0.67	7.46	24.46	120.1	255.0	229.72	120.1	234.57	242.88	241.19
COLGALT2	14.56	9.34	2.56	15.22	2.05	3.14	0.0	3.53	5.23	5.23	3.41	3.72	6.21	42.71	74.58	20.86	42.71	19.25	38.12	33.78
CPS1	50.27	29.48	6.11	141.02	18.16	11.55	1.16	17.64	7.11	19.25	15.91	17.25	12.0	172.65	144.01	101.54	172.65	126.12	113.56	65.26
CTIF	358.54	164.42	221.86	480.04	217.27	138.1	167.9	145.02	153.34	202.66	256.78	281.09	264.03	1437.15	854.13	764.36	1437.15	1135.2	575.03	733.19
CXCL2	39.79	23.76	1.41	493.56	7.46	3.66	3.2	5.36	6.11	16.75	1.38	14.89	22.59	854.13	426.57	1322.37	854.13	202.66	791.35	173.85
CYTH3	251.48	287.01	253.23	563.18	403.5	277.2	153.34	170.25	403.5	226.54	51.35	156.59	244.57	660.68	620.67	543.96	660.68	567.1	460.44	454.09
EDAR	2.41	0.57	0.0	5.19	0.0	0.0	0.0	0.56	0.0	1.2	0.0	0.0	0.89	2.48	5.02	11.13	2.48	1.97	7.34	10.31
ENPP6	8.71	1.93	1.27	16.15	3.38	0.3	0.54	3.79	4.9	1.62	0.0	0.73	3.89	8.19	50.63	38.4	8.19	10.79	20.41	30.12
ESYT2	1073.91	1167.14	934.76	1250.98	791.35	860.08	595.34	836.53	825.0	796.86	733.19	780.44	961.07	1662.49	1304.15	1259.69	1662.49	1407.55	1378.57	1407.55
F13A1	214.27	392.44	444.72	813.63	186.4	172.65	46.5	281.09	24.99	68.55	60.39	120.1	229.72	1757.34	2591.27	1437.15	1757.34	2417.67	753.83	470.14
FAM196B	15.45	3.35	0.0	27.84	0.0	0.85	0.21	3.29	0.25	12.83	0.25	1.36	1.83	8.32	63.0	105.89	8.32	45.53	106.63	87.65
FBXO10	45.53	66.65	40.93	86.43	78.89	53.57	25.72	53.19	82.87	49.56	57.89	48.87	42.41	76.17	87.03	107.38	76.17	86.43	105.15	77.25
FGFR1	808.0	764.36	334.46	1832.01	555.41	297.17	53.19	327.56	134.3	384.34	551.56	295.11	341.51	2664.15	2976.74	2701.35	2664.15	2720.15	2777.33	2573.36
FIGN	7.57	24.99	3.38	33.54	6.01	12.09	0.65	2.07	2.32	5.45	3.29	34.26	1.45	56.68	36.01	85.22	56.68	41.22	42.41	62.12
FOXL2	0.0	0.34	0.66	1.75	0.71	0.33	0.29	0.34	0.33	0.35	0.33	0.0	0.35	1.53	1.55	2.25	1.53	0.73	2.14	4.28
FREM1	55.89	26.67	6.01	55.1	25.17	12.0	0.57	25.72	7.0	20.26	0.0	21.94	18.16	253.23	285.03	209.84	253.23	195.72	149.12	186.4
GADD45B	647.07	860.08	1183.45	1551.09	591.22	579.04	309.83	559.28	358.54	638.15	161.02	1183.45	470.14	2061.24	1628.26	1023.0	2061.24	1457.23	1216.75	2224.63
GDPD3	73.03	66.18	20.41	239.52	31.45	35.5	12.74	28.24	18.03	58.3	6.89	57.89	31.67	186.4	96.68	185.11	186.4	130.6	214.27	85.22
GPR12	3.26	1.93	0.31	4.7	0.34	0.0	0.0	0.31	0.3	1.93	0.0	0.37	0.97	11.55	24.63	21.01	11.55	9.48	29.7	7.34
HAP1	22.59	3.08	1.01	31.22	1.08	10.24	0.31	1.69	0.67	8.58	0.99	0.0	0.71	14.14	33.3	49.56	14.14	14.67	75.64	46.84
HDAC4	94.01	68.55	68.55	100.83	91.41	75.64	43.02	58.3	38.67	80.57	27.44	34.75	59.97	114.36	191.67	204.07	114.36	181.28	172.65	126.12
HFM1	1.97	1.75	0.39	4.98	2.89	0.0	0.0	0.73	0.38	0.74	0.39	1.6	0.39	11.47	6.41	5.11	11.47	10.71	28.65	7.06
HS3ST4	9.48	0.95	0.0	14.03	0.0	0.0	0.0	0.0	0.0	10.39	0.0	0.0	0.3	39.22	39.5	76.17	39.22	26.47	132.44	75.64
ID4	368.65	178.77	44.89	450.94	102.25	43.63	13.03	50.98	13.62	72.52	3.86	185.11	50.27	785.88	1313.23	1572.76	785.88	1378.57	1617.0	842.36
KIF1B	232.94	239.52	211.31	361.04	224.97	205.5	127.89	132.44	154.42	226.54	169.07	170.25	182.55	343.89	339.14	466.88	343.89	403.5	423.61	376.41
KIRREL	289.02	248.0	273.37	497.0	417.77	189.02	26.47	162.14	42.41	299.25	21.63	61.68	156.59	616.37	642.59	878.17	616.37	684.02	540.19	559.28
KIT	295.11	224.97	24.11	429.54	53.95	73.03	17.13	68.07	59.13	255.0	7.46	53.57	85.22	1151.06	2609.3	1819.35	1151.06	1806.78	3349.13	1639.59
KLF5	208.38	54.33	39.79	327.56	87.65	21.78	3.96	77.79	339.14	115.16	15.68	7.94	54.33	454.09	543.96	532.74	454.09	325.29	915.51	532.74
KLK1	22.75	18.56	1.39	28.24	3.26	4.28	1.77	7.28	3.26	5.77	1.03	5.41	3.44	43.02	63.0	40.93	43.02	16.75	31.0	59.13
