	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.CN.5366.01A.01R.1436.07	TCGA.KM.8639.01A.11R.2403.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.MH.A857.01A.11R.A355.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.K7.AAU7.01A.11R.A38B.07	TCGA.YA.A8S7.01A.11R.A37K.07	TCGA.UB.A7MD.01A.12R.A352.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.13SLX.1226.SM.5S2Q6	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.A5GW.01A.11R.A27Q.07
AGPAT2	318.57	1487.87	2271.4	1896.65	1936.53	4328.55	4769.75	1651.0	2627.46	4181.07	4736.79	3901.01	9215.48	6381.92	4869.99	5872.48	2835.7	1008.9	656.11	1191.69
AKR1C4	0.0	0.0	0.0	136.19	0.0	7857.29	5517.27	620.67	12329.98	32994.92	22380.2	74243.68	35856.82	67846.12	46339.95	5479.15	100719.65	0.0	0.0	4.54
ALDH1L1	7.11	1.53	2682.69	1250.98	3039.3	6792.79	669.92	1322.37	21468.49	27553.49	40062.48	64632.75	17317.18	21172.91	43236.64	6840.04	46019.85	0.0	0.45	92.7
APOC4	0.0	1.41	0.93	50.27	0.0	19754.96	281.09	718.08	17681.08	16045.82	38966.94	61999.83	49666.0	40621.74	143430.26	56265.94	89523.81	0.0	0.0	0.0
ARMC6	379.04	412.0	507.46	420.68	392.44	743.43	616.37	1023.0	1167.14	2739.08	2537.92	2682.69	2591.27	1437.15	1745.2	1529.73	1407.55	0.0	0.0	532.74
ASPDH	1.69	1.77	2.2	58.71	4.24	2104.58	127.89	81.71	1806.78	4010.71	8778.97	14971.21	12943.04	4066.71	7331.05	18689.27	5403.7	0.0	0.24	4.74
ATF5	486.75	723.08	583.07	743.43	332.14	24490.61	1806.78	2609.3	5831.91	40904.3	9215.48	66449.85	73730.83	18431.96	9606.86	13033.07	11664.82	0.0	0.65	1015.93
C16orf87	101.54	98.73	104.42	148.09	126.12	287.01	232.94	232.94	191.67	493.56	620.67	353.59	480.04	156.59	201.25	303.44	232.94	0.0	0.22	155.5
C8G	0.0	8.25	15.68	27.64	9.56	24660.96	5672.41	2075.59	16157.44	9474.59	7695.57	31215.04	53230.77	15180.22	11504.21	142439.51	17437.64	0.0	0.35	74.58
CCDC152	3.96	8.78	51.71	41.52	63.89	432.53	146.03	312.0	503.95	1151.06	1757.34	1111.82	1183.45	629.35	665.29	5041.77	320.8	0.0	0.27	45.21
CES1	95.34	82.29	8.13	1844.76	24.81	208544.12	73730.83	139508.13	186652.11	1282030.25	499455.67	1273174.62	2599854.48	496005.67	1019901.63	589853.66	828417.36	665.29	228.13	121448.75
CFHR5	0.0	0.0	0.0	0.32	0.0	2855.44	94.01	85.82	4010.71	9025.81	297.17	3955.48	11745.96	4123.49	30151.71	143.01	15934.98	0.0	0.0	0.34
CYP1A1	0.0	0.8	1.53	0.0	0.64	52.82	20.26	9.41	775.05	1088.92	4181.07	9673.69	65082.31	186.4	1923.14	4639.29	718.08	0.0	0.06	0.47
CYP2B6	0.0	0.0	0.0	3.23	0.31	320.8	187.71	112.77	2119.22	156954.93	146444.06	25887.07	110983.6	5872.48	10883.59	8247.98	299043.36	0.0	0.0	3.92
EPHX1	420.68	909.17	4575.41	3564.78	3716.2	81809.59	7537.18	16045.82	73221.53	111755.56	258533.99	169390.27	236256.4	97288.74	208544.12	147462.67	506427.83	0.0	0.65	16157.44
FADS6	1.17	0.14	0.0	0.0	0.0	6.46	15.56	1.13	2.81	417.77	50.27	52.45	209.84	154.42	105.15	607.87	656.11	0.0	0.0	23.25
FAM163B	0.0	0.0	5.28	0.0	0.0	22.43	6.52	10.31	15.0	136.19	68.55	43.63	53.57	183.82	40.36	46.18	156.59	0.0	0.15	2.18
FAM47E	4.94	37.32	37.05	181.28	87.65	414.87	241.19	454.09	417.77	967.76	1111.82	656.11	988.12	909.17	669.92	791.35	988.12	0.0	0.41	78.89
GADD45G	36.01	149.12	75.64	182.55	198.47	1088.92	1250.98	860.08	4575.41	6037.61	41188.81	1745.2	11745.96	2739.08	3372.43	5219.6	4358.66	0.0	0.6	688.78
GCHFR	59.13	126.12	287.01	1639.59	166.73	3212.66	2032.85	866.07	3039.3	8658.09	4937.99	8538.88	8479.89	4937.99	3103.19	6471.02	3372.43	0.0	0.07	1250.98
GCKR	7.06	1.57	0.0	20.56	0.0	583.07	995.0	320.8	1857.6	4802.93	5954.47	1769.57	2835.7	3614.55	1857.6	2148.82	3303.0	0.0	0.39	8.0
GPT2	84.63	129.69	239.52	293.07	281.09	1819.35	599.49	514.56	1388.16	2915.45	7642.41	18304.63	1733.13	679.29	1340.84	1561.89	2855.44	0.0	0.42	139.07
GYG2	13.72	12.27	0.0	71.5	21.16	571.05	143.01	83.45	228.13	769.69	241.19	189.02	166.73	684.02	358.54	384.34	1477.58	0.0	0.09	57.08
HGFAC	0.55	2.1	0.69	159.9	1.04	249.73	141.02	224.97	201.25	5913.33	9344.14	33455.53	9409.14	5831.91	6426.31	17681.08	1369.04	0.0	0.62	1.14
IL27	0.0	3.82	0.95	3.26	1.62	212.78	37.05	25.91	314.17	417.77	115.16	470.14	1477.58	412.0	579.04	603.67	293.07	0.0	0.0	0.67
IRS2	201.25	47.17	130.6	137.14	39.22	255.0	215.77	140.04	624.99	651.58	638.15	1378.57	381.68	131.51	178.77	633.73	309.83	0.0	0.38	35.5
LRP5	165.57	400.71	325.29	961.07	209.84	2178.83	1721.16	1059.11	2193.99	3146.52	4419.52	2875.3	6471.02	3491.39	3419.52	2004.85	3212.66	0.0	0.61	928.3
MPST	967.76	1096.5	1015.93	2133.97	842.36	7280.4	4066.71	5711.87	6381.92	6607.01	8078.22	9025.81	12589.08	9606.86	10014.87	16269.83	11664.82	0.0	0.43	1001.93
MTHFS	466.88	802.41	909.17	1295.13	1233.75	5954.47	2090.03	1427.22	1806.78	9540.5	6121.9	8658.09	10585.95	5831.91	7081.29	11584.24	7857.29	0.0	0.07	1268.46
MYO18A	723.08	890.44	571.05	500.46	511.0	967.76	854.13	669.92	1073.91	1015.93	1015.93	1001.93	1119.56	947.83	967.76	902.89	1081.39	0.0	0.74	493.56
N4BP2L1	9.56	43.94	75.64	309.83	47.84	603.67	327.56	201.25	420.68	785.88	1639.59	1427.22	1651.0	674.59	896.64	1923.14	947.83	0.0	0.34	82.29
ORMDL3	1268.46	1457.23	1277.29	2104.58	1697.45	5633.22	3589.58	995.0	5041.77	7382.04	8598.28	8022.41	11345.82	6079.61	5831.91	11345.82	4903.87	1369.04	197.09	1639.59
PANX2	39.79	144.01	132.44	172.65	177.53	791.35	87.03	209.84	1721.16	2004.85	497.0	974.5	3372.43	1883.54	346.29	167.9	150.17	0.0	0.78	384.34
POR	1059.11	1259.69	2104.58	3060.45	3589.58	12676.65	3103.19	5076.84	19082.0	24832.5	63302.6	10014.87	51417.5	13872.08	12676.65	25708.25	28923.41	0.0	0.85	4575.41
PPAPDC2	74.58	118.43	218.79	156.59	204.07	277.2	275.28	111.21	291.04	412.0	884.29	435.55	314.17	334.46	376.41	334.46	511.0	0.0	0.25	273.37
PPP2R1B	253.23	241.19	336.79	251.48	318.57	1066.48	974.5	249.73	591.22	1268.46	575.03	647.07	2400.97	1709.26	733.19	1059.11	441.64	0.0	0.54	287.01
PROC	64.34	59.13	6.89	813.63	12.36	9088.59	3491.39	1457.23	9279.58	17437.64	23009.42	37121.34	22072.07	15075.35	20170.07	34876.28	16727.26	0.0	0.31	33.3
RP11-422N16.3	0.46	0.49	0.91	0.0	0.0	9.48	1.01	0.59	36.79	77.25	96.01	185.11	26.47	1.38	55.89	22.59	11.21	0.0	0.0	1.53
SLC22A18	116.78	246.28	389.72	2351.53	620.67	10084.54	3955.48	2335.28	9409.14	19892.37	4671.57	4181.07	10154.69	5872.48	1991.0	4010.71	14867.79	0.0	0.47	1295.13
