	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.CJ.4637.01A.02R.1325.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.97.7552.01A.11R.2039.07	GTEX.YFCO.0426.SM.4W1Z7	GTEX.14E7W.1326.SM.5RQIV	GTEX.13VXT.1426.SM.5LU4B	GTEX.13VXU.2726.SM.5LU4N	GTEX.11ZTT.0626.SM.5EQLM	TCGA.51.4080.11A.01R.1758.07	TCGA.56.7823.11A.01R.2247.07
ABCA13	518.15	3955.48	13.72	0.0	0.14	129.69	146.03	43.02	195.72	59.13	896.64	14.45	62.12
AC079354.1	341.51	1617.0	0.0	0.0	0.0	76.71	43.32	24.99	121.79	5.02	249.73	8.92	36.53
ADGB	3901.01	14065.74	2.01	0.0	0.0	82.87	84.63	47.17	162.14	5.02	346.29	13.83	53.95
ALS2CR12	89.51	61.25	10.31	0.0	0.23	40.93	43.63	17.0	99.43	13.12	112.77	16.88	35.76
AMY1C	195931.88	4433454.0	0.0	0.0	0.0	1096.5	1551.09	454.09	3847.29	22.92	4802.93	289.02	414.87
ANKRD66	6037.61	107203.06	0.0	0.0	0.0	150.17	264.03	43.63	547.75	0.0	1167.14	39.79	98.73
ANKUB1	224.97	3081.75	0.35	0.0	0.0	70.01	82.87	32.36	92.05	14.89	441.64	17.13	43.32
APOBEC4	1977.24	660.68	0.34	0.0	0.0	56.28	148.09	19.68	144.01	15.8	353.59	9.13	50.98
ARMC3	49666.0	220434.95	7.11	0.0	0.0	236.21	392.44	88.88	563.18	3.86	1119.56	34.02	167.9
ARMC4	1135.2	4239.45	13.83	0.0	0.0	145.02	241.19	76.71	312.0	22.1	909.17	35.25	73.54
C11orf88	69271.73	726195.27	0.34	0.0	0.0	591.22	2537.92	314.17	3280.18	55.89	5751.61	152.28	579.04
C1orf158	16611.71	85283.74	0.34	0.0	0.0	117.6	241.19	31.45	336.79	3.86	633.73	29.27	89.51
C1orf189	2061.24	16269.83	0.0	0.0	0.0	162.14	1191.69	69.52	397.93	0.0	1051.79	28.24	88.88
C1orf192	53601.03	506427.83	87.03	0.0	0.0	540.19	1183.45	202.66	1832.01	64.34	2537.92	151.22	417.77
C21orf128	103.69	199.85	2.07	0.0	0.0	42.11	72.52	4.06	45.53	9.41	46.5	14.78	18.56
C4orf22	1540.37	6652.97	3.41	0.0	0.0	133.36	231.32	67.59	299.25	5.96	454.09	23.93	85.82
C7orf57	688.78	3794.3	0.0	0.0	0.0	76.17	142.01	49.56	231.32	11.13	591.22	30.34	83.45
C9orf135	7589.61	32994.92	1.35	0.0	0.0	204.07	848.22	117.6	1322.37	13.93	1923.14	50.98	167.9
C9orf171	20170.07	336441.4	0.0	0.0	0.0	143.01	366.09	13.83	454.09	15.34	529.06	41.22	139.07
CAPSL	119776.72	677564.08	0.0	0.0	0.0	379.04	1127.35	204.07	1304.15	33.54	2777.33	73.03	241.19
CATSPERD	567.1	7537.18	0.0	0.0	0.0	102.97	825.0	40.93	738.29	5.82	1447.15	63.89	167.9
CCDC108	6337.83	38697.77	9.2	0.0	0.0	183.82	204.07	96.68	395.18	12.45	791.35	58.3	157.68
CCDC114	6516.03	20030.74	5.87	0.0	0.0	195.72	297.17	110.43	309.83	36.27	819.3	56.28	191.67
CCDC151	1233.75	5255.91	7.57	0.0	0.0	90.14	136.19	30.78	253.23	8.92	309.83	24.63	79.45
CCDC17	3280.18	11345.82	17.51	0.0	0.17	307.69	358.54	166.73	764.36	82.29	1151.06	118.43	283.05
CCDC170	591.22	3847.29	37.32	0.0	0.0	258.57	244.57	90.77	536.45	18.16	1745.2	87.03	157.68
CCDC78	5006.93	31650.8	88.26	0.0	0.01	432.53	775.05	289.02	1350.18	47.5	2240.11	190.34	483.38
CDHR4	10733.74	42346.82	16.51	0.0	0.0	262.2	325.29	115.97	796.86	34.26	1268.46	80.57	223.41
CNGA4	128.79	1529.73	6.46	0.0	0.0	65.72	103.69	30.34	201.25	2.07	351.14	24.63	33.54
DAW1	679.29	2417.67	2.03	0.0	0.0	126.12	182.55	69.52	476.71	3.53	1685.71	63.45	82.29
DCDC2B	269.6	2090.03	4.86	0.0	0.0	124.37	379.04	69.03	387.02	11.82	860.08	30.78	109.66
DNAI1	4769.75	19892.37	15.22	0.0	0.0	211.31	209.84	145.02	559.28	26.47	909.17	56.28	171.45
DNAI2	3690.52	13123.73	0.35	0.0	0.0	177.53	239.52	62.56	381.68	16.88	842.36	57.49	153.34
DRC1	4736.79	40904.3	2.03	0.0	0.0	186.4	366.09	66.18	497.0	17.77	954.43	50.27	123.5
DYDC2	23492.92	82951.62	4.7	0.0	0.0	234.57	1030.12	149.12	698.41	73.03	1059.11	73.03	341.51
EFCAB1	1081.39	5831.91	1.69	0.0	0.0	395.18	1340.84	281.09	2148.82	32.36	3639.7	163.28	341.51
FAM166B	4869.99	49322.93	11.64	0.0	0.0	366.09	599.49	140.04	872.1	21.47	1857.6	95.34	273.37
FAM183A	7911.95	29327.18	50.98	0.0	0.0	848.22	2224.63	363.56	3124.78	0.0	4298.64	301.33	728.11
FAM216B	4181.07	51417.5	0.0	0.0	0.0	486.75	860.08	119.26	1340.84	19.82	2895.31	67.59	218.79
GAS2L2	2434.5	16157.44	9.41	0.0	0.0	67.59	132.44	52.82	244.57	8.58	463.65	28.65	66.18
GPR123	142.01	107.38	0.0	0.0	0.0	8.32	5.59	5.82	17.25	1.35	14.67	3.86	6.62
GRIN3B	182.55	791.35	1.41	0.0	0.01	32.59	75.11	27.64	166.73	10.31	156.59	16.03	59.55
IFLTD1	150.17	896.64	0.0	0.0	0.0	46.18	38.12	19.39	66.18	8.13	163.28	9.93	21.47
KCNRG	327.56	1617.0	10.16	0.0	0.0	113.56	202.66	55.89	267.73	19.11	595.34	43.02	87.03
LRRC18	536.45	2351.53	1.71	0.0	0.0	67.12	73.54	20.11	161.02	4.39	368.65	42.71	49.91
LRRC46	3614.55	17927.91	42.71	0.0	0.0	426.57	743.43	172.65	1015.93	29.91	1685.71	104.42	314.17
MARCH10	500.46	1088.92	3.06	0.0	0.0	63.0	144.01	48.18	186.4	9.48	384.34	23.08	105.89
MORN5	647.07	2835.7	11.47	0.0	0.0	332.14	1127.35	63.0	1313.23	27.25	2287.2	62.56	262.2
MS4A8	182810.84	894051.48	10.79	0.0	0.0	1268.46	2384.37	444.72	3443.31	35.5	7695.57	149.12	555.41
PIH1D3	2075.59	8538.88	0.0	0.0	0.0	73.03	177.53	41.52	193.01	6.94	406.31	11.82	43.63
PTPRT	3665.02	3018.3	0.0	0.0	0.0	46.5	42.11	18.56	135.24	2.53	172.65	10.0	14.89
RP11-503N18.3	142.01	995.0	1.06	0.0	0.0	31.9	12.55	8.06	53.57	3.29	84.63	11.38	30.12
RSPH10B	176.29	802.41	6.21	0.0	0.0	53.57	68.55	21.63	144.01	9.41	204.07	17.38	46.5
RSPH4A	1111.82	11345.82	6.11	0.0	0.0	204.07	381.68	76.71	723.08	18.84	1605.83	57.08	145.02
SHH	16496.96	149521.18	38.67	0.0	0.13	226.54	134.3	100.13	275.28	31.0	63.89	52.45	53.95
SNTN	47642.77	365622.68	0.0	0.0	0.0	629.35	1963.57	314.17	2816.11	29.48	4671.57	172.65	457.25
SPAG6	12764.83	18431.96	5.06	0.0	0.0	301.33	830.75	128.79	1350.18	15.34	2895.31	78.34	275.28
SPATS1	253.23	13123.73	0.0	0.0	0.0	48.18	111.21	3.63	92.7	0.0	148.09	2.86	31.22
STOML3	5366.37	75803.72	0.0	0.0	0.0	132.44	293.07	75.64	289.02	0.0	713.11	16.51	98.04
TCTE1	187.71	909.17	1.04	0.0	0.0	82.87	116.78	35.5	251.48	15.0	381.68	29.27	66.65
TEKT1	8963.45	44145.15	0.34	0.0	0.0	299.25	921.88	122.64	1806.78	10.24	2417.67	90.77	256.78
TEKT2	14971.21	176583.6	15.45	0.0	0.0	208.38	397.93	157.68	941.27	49.21	1733.13	84.63	197.09
TEKT4	2976.74	12076.21	0.35	0.0	0.0	53.95	86.43	17.13	176.29	7.34	214.27	20.41	48.52
TEX26	85.22	529.06	0.0	0.0	0.0	29.91	68.55	0.0	27.44	0.0	47.5	2.1	27.05
TMEM190	35118.87	165904.25	1.81	0.0	0.0	988.12	2434.5	120.1	6337.83	69.03	5403.7	450.94	1059.11
TMEM212	325.29	2816.11	0.0	0.0	0.0	92.7	132.44	15.91	228.13	0.0	518.15	19.53	48.18
TTC29	1369.04	18950.18	1.69	0.0	0.0	119.26	187.71	34.75	320.8	12.18	521.76	29.27	88.26
TTLL9	688.78	3614.55	6.52	0.0	0.0	35.25	51.71	25.35	128.79	9.34	208.38	19.68	39.5
VSTM2L	6207.38	5219.6	12.45	0.0	0.58	842.36	860.08	41.22	743.43	10.47	6745.86	220.32	312.0
VWA3B	1529.73	10883.59	10.71	0.0	0.0	275.28	368.65	82.29	480.04	17.0	624.99	48.87	173.85
WDR16	2555.58	12076.21	6.46	0.0	0.0	336.79	438.59	205.5	872.1	28.45	1417.35	73.54	217.27
WDR38	18560.17	100719.65	2.03	0.0	0.0	242.88	1081.39	113.56	361.04	7.06	1721.16	66.65	237.86
WDR49	988.12	10512.82	12.27	0.0	0.0	100.13	111.99	50.63	234.57	18.03	463.65	53.95	84.04
WFDC2	1.736886224E7	2.009035788E7	1832.01	0.0	0.65	17078.76	18950.18	3235.01	25887.07	1498.22	79022.82	5183.54	6516.03
ZNF474	457.25	2335.28	3.41	0.0	0.0	87.03	81.71	20.56	141.02	28.45	211.31	22.92	53.57
ZSCAN4	89.51	102.97	2.41	0.0	0.09	14.35	8.25	3.89	8.38	2.89	38.95	1.25	3.06
