	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A3FM.01A.11R.A21D.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.OIZI.0726.SM.2XCEI	GTEX.P4QT.2626.SM.2I3FM	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.X4LF.0426.SM.3NMB5	GTEX.YF7O.0726.SM.4W213	GTEX.YB5E.0626.SM.4VDSE	GTEX.T8EM.0226.SM.3DB7C
AC119673.1	0.0	0.0	0.87	551.56	1437.15	2335.28	1030.12	961.07	974.5	1467.37	1322.37	178.77	981.29
AC131971.1	0.0	0.0	0.21	0.0	8.71	4.39	2.07	1.43	1.11	3.89	3.32	0.53	6.89
AL353791.1	3.41	0.0	0.22	1.11	63.89	19.97	18.03	3.44	13.22	23.76	27.84	11.13	23.08
AL953854.2	1.43	0.0	0.35	1.66	90.77	42.71	24.81	2.48	12.83	17.38	17.25	10.96	26.47
ALDH5A1	638.15	0.0	0.0	248.0	486.75	406.31	201.25	197.09	162.14	283.05	353.59	211.31	316.37
AP001885.1	0.0	0.0	0.14	0.0	6.21	0.26	0.48	0.23	0.0	2.32	2.43	0.73	0.73
BAZ1A	221.86	0.0	0.29	285.03	392.44	214.27	236.21	115.16	120.1	156.59	141.02	139.07	246.28
BTBD1	190.34	0.0	0.66	647.07	981.29	1175.27	718.08	733.19	791.35	775.05	921.88	791.35	909.17
BTNL8	1.1	0.0	0.21	1.68	36.53	77.79	13.12	12.74	18.97	56.28	37.32	11.73	34.75
C10orf112	0.0	0.0	0.12	0.42	31.9	36.27	22.26	16.03	4.5	17.13	30.34	20.71	19.11
C18orf54	2.07	0.0	0.27	3.59	33.06	24.63	14.24	4.7	11.3	15.68	11.04	6.01	11.3
CCDC176	46.18	0.0	0.06	121.79	503.95	571.05	283.05	336.79	373.81	507.46	476.71	334.46	656.11
CCDC68	40.07	0.0	0.47	14.35	173.85	126.12	30.12	63.45	37.59	185.11	55.49	29.27	118.43
CDK8	106.63	0.0	0.61	100.83	271.48	221.86	182.55	189.02	159.9	202.66	194.36	170.25	234.57
CEP57	301.33	0.0	0.32	303.44	796.86	1023.0	514.56	629.35	547.75	624.99	547.75	599.49	693.58
CERS6	128.79	0.0	0.49	177.53	483.38	397.93	218.79	181.28	281.09	373.81	303.44	199.85	341.51
CLIP4	6.36	0.0	0.75	454.09	1437.15	1388.16	738.29	808.0	624.99	878.17	848.22	848.22	1159.07
DNA2	15.91	0.0	0.66	4.98	37.59	21.63	26.47	19.68	20.26	21.01	27.25	17.51	29.06
EPM2A	48.87	0.0	0.26	26.28	147.06	94.01	112.77	83.45	123.5	150.17	102.97	77.25	122.64
EPM2AIP1	120.1	84.63	260.38	201.25	563.18	733.19	403.5	343.89	454.09	500.46	532.74	403.5	612.11
F8	164.42	0.0	0.0	80.57	368.65	432.53	214.27	175.07	173.85	297.17	255.0	186.4	420.68
FAM135A	39.79	0.0	0.56	39.22	176.29	177.53	85.22	78.89	85.22	125.24	147.06	94.01	130.6
FAM208A	258.57	651.58	486.75	447.82	1277.29	1340.84	825.0	698.41	733.19	1191.69	947.83	743.43	872.1
FAM218A	0.0	0.0	0.04	15.22	115.97	158.79	34.02	34.26	65.72	87.03	53.19	44.25	74.06
FAM227B	102.25	0.0	0.09	103.69	373.81	392.44	189.02	127.89	223.41	285.03	267.73	189.02	202.66
FAM92A1	22.59	0.0	0.71	441.64	698.41	567.1	397.93	361.04	264.03	642.59	521.76	376.41	454.09
FANCB	2.97	0.0	0.21	2.12	22.92	4.03	5.77	2.46	7.75	22.75	5.73	8.13	14.78
FGL2	35.25	0.0	0.31	77.25	780.44	599.49	447.82	127.89	204.07	363.56	426.57	186.4	231.32
FMO2	2.1	0.0	0.32	6.16	669.92	214.27	371.22	68.07	60.82	511.0	206.94	47.5	470.14
FMO3	3303.0	0.0	0.43	12.83	126.12	50.98	37.32	11.21	13.93	111.99	62.56	13.52	65.26
FSIP1	4.06	0.0	0.0	2.56	13.72	11.82	6.31	7.57	8.13	15.34	13.42	7.22	10.0
