	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.OXRL.0726.SM.3NM9A	GTEX.RM2N.0626.SM.48FD6	GTEX.P4PP.0726.SM.3NM9S	GTEX.Q2AH.1026.SM.48TZI	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39W.11A.11R.A213.07	GTEX.ZPU1.0826.SM.57WG2	TCGA.AG.3732.11A.01R.1660.07
ACSBG1	18.56	80.01	40.93	49.91	17.13	17.9	21.47	4.66	6.26	1.07	1.81	0.0	1.73	150.17
ACTL8	3.56	0.21	0.54	0.95	1.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.76
AFAP1L2	334.46	384.34	417.77	423.61	299.25	163.28	246.28	88.88	76.71	13.42	8.92	37.85	14.35	429.54
ATP2B3	24.46	82.87	8.85	33.54	13.93	3.2	8.78	0.48	1.62	0.0	0.58	0.0	0.0	22.43
ATP6V1G2	172.65	221.86	67.59	256.78	171.45	77.25	80.01	16.88	65.26	2.14	3.11	15.68	1.73	175.07
BMP8B	96.68	47.84	77.25	49.56	52.82	42.71	25.72	23.25	32.36	1.06	3.47	23.08	3.92	84.04
C10orf85	14.14	15.91	3.17	56.28	3.89	9.48	8.58	1.75	3.44	0.0	0.56	1.08	0.0	6.78
C16orf74	60.82	39.22	28.24	30.12	40.93	13.72	7.82	27.25	32.36	2.01	2.86	4.43	19.39	49.91
CDC37	4095.0	3982.99	4066.71	3742.05	3564.78	3467.27	3467.27	2895.31	3235.01	2997.45	1923.14	2104.58	1313.23	3372.43
CHADL	253.23	503.95	134.3	173.85	157.68	206.94	131.51	71.5	60.82	65.26	50.63	66.18	21.01	248.0
CMTM5	279.14	500.46	185.11	599.49	114.36	43.02	36.53	11.91	21.94	0.0	0.0	3.41	3.96	269.6
CNPY4	429.54	688.78	607.87	435.55	327.56	214.27	220.32	271.48	122.64	45.53	41.22	90.14	89.51	583.07
