	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.A2.A0YI.01A.31R.A10J.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.38.4625.01A.01R.1206.07
ADAMTS6	32.36	47.84	17.38	37.59	2.71	15.0	3.06	6.41	7.75	7.0	0.0	0.0
AKAP10	507.46	470.14	376.41	316.37	194.36	384.34	151.22	301.33	181.28	57.49	43.32	0.0
AKAP12	133.36	194.36	130.6	173.85	14.03	105.89	15.8	108.9	108.9	12.27	4.46	87.03
ALDH1L2	118.43	137.14	157.68	84.63	2.48	44.25	9.27	37.32	18.03	5.92	0.6	0.0
ANKFY1	599.49	521.76	334.46	493.56	212.78	473.41	215.77	327.56	197.09	92.05	53.57	0.0
ARMC9	454.09	397.93	426.57	221.86	253.23	432.53	120.1	275.28	224.97	37.85	5.68	0.0
ASAH2	47.17	36.01	18.16	22.43	7.4	18.84	17.0	15.22	12.45	8.85	9.93	0.0
BCL2L11	587.13	638.15	414.87	417.77	167.9	669.92	305.55	423.61	503.95	166.73	94.01	0.0
BVES	39.5	22.1	10.63	41.81	3.08	14.35	4.1	11.91	10.16	3.56	0.87	0.0
C17orf100	27.44	12.09	10.63	11.04	7.34	16.88	6.01	9.2	10.79	9.48	3.69	0.0
CCDC80	1745.2	1794.29	1950.0	2119.22	80.57	848.22	127.0	947.83	743.43	753.83	16.75	775.05
CCIN	10.39	12.27	2.39	8.51	0.83	5.41	2.16	2.97	0.66	1.16	0.0	0.0
CHRNA6	57.08	47.17	2.78	76.17	1.68	37.32	12.93	30.78	3.63	0.0	0.0	0.0
COL22A1	62.12	20.86	4.17	13.52	2.78	38.4	0.97	3.79	7.57	3.2	0.0	0.0
CRTAP	3847.29	4481.23	2915.45	4607.24	2193.99	2935.74	1923.14	3257.52	1605.83	1963.57	1857.6	0.0
CRYZL1	947.83	796.86	718.08	703.28	503.95	603.67	603.67	703.28	642.59	258.57	289.02	0.0
DCLK2	46.5	43.63	23.59	48.87	6.62	21.16	6.16	19.82	22.92	18.03	6.57	14.56
DDHD1	95.34	86.43	100.83	114.36	18.7	58.3	36.79	94.01	65.26	16.27	14.78	0.0
DFNA5	215.77	127.89	93.35	120.1	26.86	108.9	28.65	81.71	78.89	96.01	10.88	0.0
DHX36	1044.52	981.29	642.59	796.86	567.1	934.76	511.0	567.1	708.18	426.57	341.51	497.0
DMP1	5.45	3.53	0.36	3.53	1.1	0.66	0.0	1.13	0.67	0.0	0.0	0.0
DNAJC18	132.44	199.85	150.17	169.07	32.36	118.43	24.63	124.37	49.56	43.63	11.21	0.0
DOK6	28.65	21.94	9.63	69.03	0.59	11.55	2.56	7.17	6.62	4.46	0.0	0.0
EDNRA	420.68	376.41	119.26	343.89	22.59	171.45	30.78	115.16	119.26	35.25	4.06	0.0
EPC2	460.44	441.64	339.14	389.72	151.22	392.44	182.55	329.84	277.2	151.22	77.25	0.0
EXOC6B	244.57	279.14	206.94	202.66	65.72	214.27	115.97	181.28	186.4	62.56	44.57	108.9
F2R	571.05	1286.18	665.29	1417.35	232.94	612.11	249.73	507.46	444.72	305.55	13.93	0.0
FAT4	27.84	48.18	33.3	42.11	1.77	21.47	8.51	22.59	17.13	7.75	8.19	0.0
FOXF2	41.81	50.63	35.76	53.19	4.9	32.13	4.21	18.43	10.39	12.18	1.36	0.0
GAS7	258.57	368.65	255.0	412.0	17.0	144.01	41.22	73.03	93.35	53.95	6.01	0.0
GXYLT2	236.21	358.54	76.17	329.84	4.06	137.14	31.45	38.12	31.0	7.17	0.0	69.52
HMCN1	221.86	426.57	111.21	332.14	9.34	159.9	36.01	62.56	59.55	17.64	7.34	0.0
IBSP	195.72	34.51	5.73	612.11	17.38	47.84	1.07	35.5	42.11	5.63	3.76	0.0
IGDCC4	15.11	41.81	23.59	63.89	2.41	15.0	4.28	8.13	10.39	5.11	0.0	0.0
JAM3	295.11	334.46	223.41	303.44	64.8	190.34	98.04	145.02	187.71	95.34	20.41	0.0
KDM2B	307.69	312.0	260.38	301.33	144.01	289.02	165.57	232.94	221.86	149.12	66.18	0.0
KERA	28.65	45.53	2.97	26.47	0.0	8.99	1.17	4.31	2.84	0.0	0.0	0.0
KIAA0430	1081.39	961.07	651.58	769.69	406.31	808.0	660.68	713.11	480.04	217.27	205.5	0.0
KLHL42	281.09	368.65	289.02	248.0	108.14	271.48	94.01	242.88	314.17	67.59	45.53	156.59
LRCH2	17.9	31.0	8.99	18.03	1.79	8.71	2.97	14.24	7.22	3.08	0.82	0.0
LRIT3	13.93	8.19	4.35	7.11	2.07	2.76	2.66	4.35	0.41	0.87	2.16	0.0
LRRC17	329.84	483.38	63.45	305.55	28.86	193.01	32.82	77.25	45.53	12.27	3.47	0.0
LRRC4	61.25	29.7	22.75	40.36	9.78	29.27	17.0	21.78	16.39	2.07	1.25	0.0
LUZP1	287.01	281.09	223.41	237.86	68.07	154.42	118.43	97.36	150.17	45.21	14.35	0.0
MDGA1	63.0	100.13	29.48	51.71	2.16	43.94	15.68	11.91	17.38	7.94	1.97	0.0
MMP10	120.94	26.1	21.32	13.42	7.46	78.34	2.73	7.57	5.77	2.16	1.04	0.0
NCOA1	536.45	733.19	400.71	563.18	307.69	571.05	406.31	571.05	540.19	185.11	84.63	96.68
NDUFAF7	320.8	301.33	173.85	291.04	205.5	224.97	221.86	251.48	154.42	275.28	107.38	0.0
OR4F16	1.43	0.71	0.0	0.39	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0
OR4F29	1.41	0.71	0.0	0.39	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0
OR4F3	1.41	0.71	0.0	0.39	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0
PDZRN4	25.91	6.31	2.16	8.71	0.88	6.89	2.25	12.45	4.06	1.66	0.0	0.0
PLS1	633.73	417.77	187.71	169.07	152.28	373.81	134.3	303.44	165.57	295.11	204.07	0.0
POSTN	19618.49	18560.17	2956.17	17317.18	351.14	7857.29	1208.34	1781.89	1059.11	785.88	6.78	0.0
POTED	4.43	7.75	1.35	6.52	0.0	0.95	0.0	0.0	0.0	0.0	0.0	0.0
PYGO1	29.06	33.06	16.88	21.32	0.89	11.82	1.95	6.73	4.66	2.29	0.0	0.0
RAB23	316.37	403.5	110.43	226.54	45.85	158.79	151.22	59.13	102.25	43.94	73.54	0.0
RAB6C	70.51	102.97	48.52	69.52	3.59	69.52	21.01	1.16	55.49	0.75	0.0	0.0
RFTN2	43.94	44.89	34.75	51.71	10.63	43.63	17.25	31.45	19.53	14.14	2.73	0.0
RGPD8	121.79	57.89	67.59	54.72	5.59	66.18	23.93	30.12	19.39	5.59	7.06	0.0
RHOBTB1	214.27	185.11	143.01	217.27	53.57	148.09	29.27	154.42	163.28	58.3	6.21	0.0
RIPK3	351.14	483.38	56.28	108.14	22.59	339.14	27.84	83.45	37.85	45.53	5.87	0.0
RP11-366L20.2	55.89	54.33	7.17	41.81	0.71	28.45	0.79	10.16	4.39	1.19	0.0	0.0
RPGRIP1	21.01	32.82	12.18	38.4	8.65	17.9	13.22	16.27	21.01	10.96	3.86	0.0
RSPH10B	5.59	4.86	1.51	4.98	1.5	5.5	4.62	3.2	1.1	3.35	0.58	0.0
RUNX1T1	46.18	72.01	44.25	63.0	2.18	26.47	14.14	36.01	30.34	10.31	2.18	0.0
SCGB2A2	938500.81	1318073.06	1238359.56	4481.23	1751305.3	2279047.19	1668359.93	8805660.77	1578364.61	0.0	0.0	0.0
SEPSECS	226.54	187.71	109.66	150.17	70.51	167.9	103.69	152.28	65.72	106.63	154.42	0.0
SFRP2	10659.59	14361.31	3325.99	13123.73	273.37	5913.33	1167.14	1508.65	2777.33	2.97	0.0	0.0
SGCD	164.42	158.79	44.57	156.59	8.25	46.5	9.34	62.56	20.11	5.63	0.0	0.0
SH3PXD2B	500.46	591.22	409.15	507.46	218.79	343.89	138.1	183.82	110.43	144.01	133.36	0.0
SLC24A2	56.28	84.63	5.63	55.1	0.36	18.56	8.51	0.84	1.43	0.0	0.0	0.0
SMYD4	167.9	127.0	97.36	180.02	77.25	129.69	72.01	109.66	65.72	51.35	29.48	61.25
SNAI2	551.56	435.55	301.33	392.44	46.5	167.9	41.52	97.36	144.01	221.86	215.77	0.0
SNX25	483.38	426.57	180.02	291.04	94.67	146.03	112.77	137.14	149.12	54.72	30.12	0.0
ST6GAL2	125.24	140.04	17.38	74.06	0.82	38.67	3.69	12.93	9.41	3.11	0.0	0.0
SUSD5	73.03	18.84	20.86	30.78	1.43	23.42	5.06	2.32	8.06	3.76	0.0	0.0
SYT17	616.37	412.0	157.68	384.34	223.41	343.89	12.09	166.73	9.78	231.32	15.22	0.0
TAF1B	348.71	236.21	212.78	194.36	100.13	281.09	116.78	154.42	147.06	127.0	46.5	0.0
TCEANC2	127.0	146.03	73.54	193.01	72.52	111.99	88.26	67.12	69.52	36.01	30.56	76.71
TEX26	0.93	1.57	0.0	0.67	0.0	1.23	0.0	0.0	0.93	0.0	0.0	0.0
TMCC1	688.78	902.89	583.07	775.05	379.04	769.69	403.5	373.81	371.22	279.14	420.68	281.09
TNFAIP6	403.5	473.41	70.51	353.59	30.56	217.27	33.78	44.89	53.57	24.81	0.0	169.07
TRAK2	665.29	842.36	366.09	392.44	239.52	511.0	212.78	341.51	518.15	113.56	87.03	0.0
TRAM2	371.22	332.14	277.2	325.29	92.7	212.78	162.14	178.77	164.42	151.22	65.26	0.0
TRPS1	3564.78	5672.41	1832.01	1674.06	1096.5	3982.99	1572.76	1378.57	995.0	30.78	5.11	0.0
TTC14	1073.91	961.07	480.04	551.56	277.2	743.43	529.06	693.58	285.03	170.25	299.25	0.0
UNC5C	110.43	63.89	23.08	25.72	8.65	51.35	2.51	25.35	15.8	6.01	0.41	0.0
ZBTB34	162.14	127.0	81.14	136.19	40.36	86.43	90.77	86.43	60.39	27.05	13.12	0.0
ZNF321P	27.44	21.01	7.82	37.32	3.53	33.78	18.97	14.45	0.0	1.64	1.89	0.0
ZZEF1	412.0	343.89	211.31	309.83	135.24	314.17	119.26	173.85	128.79	62.56	33.3	0.0
