	TCGA.BH.A0HF.01A.11R.A056.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.CX.7086.01A.11R.2081.07	TCGA.KM.8639.01A.11R.2403.07	TCGA.MH.A561.01A.11R.A26U.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.21.5782.01A.01R.1635.07	TCGA.21.1081.01A.01R.0692.07	TCGA.90.7767.11A.01R.2125.07	TCGA.51.4081.11A.01R.1758.07
AC006116.20	4.24	647.07	17.9	35.5	2.16	0.0	1.35	36.01	92.7	13.62	17.0
C10orf99	221.86	2247670.86	1066.48	3820.7	0.0	9.06	2.12	239.52	1111.82	2.34	9.93
C12orf36	14.89	10808.41	1.77	291.04	0.0	1.17	0.0	99.43	244.57	0.69	1.1
C2orf48	6.89	100.13	11.91	12.0	0.64	0.0	0.36	10.71	51.71	1.01	1.97
CERS3	77.25	875652.15	884.29	2075.59	1.89	0.32	0.36	476.71	255.0	2.1	6.26
CYP2W1	23.93	1051.79	32.59	19.97	0.32	0.0	0.35	24.11	1111.82	9.56	1.2
DSG3	595.34	4.7062411207E8	4903.87	6607.01	0.0	0.0	0.0	941.27	1561.89	3.5	24.63
DSG4	0.34	830.75	9.56	2.34	0.0	0.0	0.0	5.59	0.95	0.0	0.0
EIF4G1	4607.24	7966.99	7180.15	10512.82	3467.27	3372.43	4010.71	16727.26	13215.02	4607.24	5041.77
FAM83C	31.45	794671.01	1199.98	884.29	0.32	0.0	0.0	181.28	287.01	0.0	3.99
FOXE1	102.97	402881.61	154.42	785.88	0.0	0.28	0.0	228.13	348.71	2.58	15.8
FOXN1	30.56	636586.81	101.54	532.74	0.59	0.0	1.31	52.08	182.55	4.06	4.7
FST	764.36	197.09	291.04	1143.1	2.48	0.0	2.71	1119.56	2816.11	139.07	108.14
GBP6	314.17	9975791.32	698.41	1844.76	0.0	0.0	0.0	540.19	483.38	25.72	15.56
GOLGA6L6	0.0	11.91	3.06	2.43	0.0	0.0	0.0	8.58	3.26	0.0	0.0
GPC1	1508.65	2351.53	1709.26	2796.65	796.86	1096.5	708.18	6652.97	6699.25	532.74	511.0
HES5	3.35	111.21	16.75	15.0	0.0	0.6	1.36	18.03	88.88	4.39	2.63
HHLA1	0.0	6.84	4.43	1.62	0.31	0.0	0.0	12.09	6.36	0.0	0.38
HMCES	1008.9	3742.05	1697.45	1561.89	567.1	872.1	775.05	1909.85	2367.9	1008.9	909.17
HOXB1	2.05	232.94	67.12	5.02	1.23	1.77	0.0	11.82	13.62	0.75	0.43
HR	169.07	5183.54	638.15	1551.09	4.06	10.08	1.04	273.37	928.3	31.9	53.57
HS6ST1	679.29	2193.99	1051.79	1059.11	599.49	346.29	381.68	1259.69	1639.59	403.5	532.74
IL20RB	31.45	746611.43	2895.31	2075.59	10.79	7.94	10.39	759.08	660.68	25.17	27.84
IL36B	2.34	1340.84	7.4	108.9	0.0	0.0	0.0	4.78	67.12	0.3	1.31
IL36G	78.89	12329.98	135.24	8134.41	2.78	0.0	0.0	612.11	2148.82	1.66	11.04
IL36RN	48.18	17078.76	56.28	4769.75	0.0	0.0	0.34	82.29	457.25	0.0	4.9
IRX4	23.59	292889.12	842.36	379.04	0.0	0.0	0.0	79.45	447.82	0.4	0.79
KLF5	571.05	30151.71	2303.12	6561.36	100.13	381.68	53.95	3257.52	7280.4	836.53	723.08
KLK13	346.29	3478417.29	583.07	5366.37	0.0	2.1	12.18	41.22	5147.73	20.56	17.38
KREMEN2	8.32	5329.3	1208.34	376.41	0.33	0.0	0.0	260.38	563.18	2.36	3.99
KRT24	27.05	65535.0	186.4	7180.15	0.92	0.0	0.0	18.03	703.28	0.36	5.82
KRT6B	3901.01	9.677103146E8	21172.91	82951.62	0.33	0.0	0.71	5672.41	1806.78	9.78	62.56
KRTDAP	1883.54	1622738.51	2976.74	30999.42	1.62	2.46	9.41	327.56	5219.6	6.67	63.0
LYNX1	124.37	4621724.04	2119.22	5751.61	36.27	19.39	120.1	178.77	1313.23	122.64	204.07
MAGEA11	42.41	63.45	3.5	476.71	0.0	0.0	0.0	15.22	116.78	0.0	1.04
MMP1	414.87	507.46	155.5	1794.29	5.82	0.31	0.68	4769.75	4328.55	22.43	244.57
OTOP3	14.78	738.29	16.03	31.9	0.0	0.0	0.0	7.22	131.51	0.0	0.36
PABPC1	25179.16	164758.26	37121.34	47974.16	5831.91	10154.69	7382.04	43840.21	59474.18	17197.56	23656.34
PGLYRP3	9.41	1212874.47	175.07	1208.34	0.0	0.0	0.0	71.5	336.79	0.0	4.94
PGLYRP4	6.78	127486.83	379.04	1096.5	0.0	0.0	0.67	70.01	162.14	2.73	9.93
