	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.MH.A561.01A.11R.A26U.07	TCGA.SX.A71S.01A.11R.A33Z.07	TCGA.G7.A8LE.01A.11R.A36F.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1399T.0826.SM.5IFES	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.VN.A88I.01A.11R.A352.07	TCGA.XJ.A9DK.01A.11R.A37L.07	TCGA.KC.A7FE.01A.12R.A33R.07	GTEX.13O61.1726.SM.5KM46
AC018755.1	42.41	22.43	27.84	31.45	37.85	7.0	1.79	4.58	10.08	18.29	5.45	10.55	9.41	9.93	10.24	4.17	0.0	0.12	28.45	26.67	27.84	23.93
ACTL7B	0.33	0.33	0.31	0.32	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.58	0.14
APBA3	301.33	316.37	457.25	379.04	454.09	293.07	212.78	145.02	182.55	211.31	258.57	237.86	228.13	258.57	269.6	234.57	0.0	0.59	547.75	392.44	403.5	414.87
C15orf48	2591.27	221.86	529.06	1233.75	954.43	115.16	49.91	15.56	11.55	62.56	31.22	64.8	54.33	8.51	28.24	3.26	0.0	0.13	158.79	334.46	2537.92	172.65
C21orf2	651.58	616.37	928.3	995.0	872.1	476.71	476.71	214.27	769.69	291.04	228.13	253.23	237.86	591.22	651.58	507.46	0.0	0.69	1216.75	872.1	878.17	921.88
C22orf39	1051.79	567.1	642.59	723.08	638.15	454.09	287.01	234.57	438.59	447.82	403.5	279.14	265.87	587.13	412.0	463.65	0.0	0.55	1143.1	848.22	1008.9	579.04
DDX39A	1508.65	1023.0	1001.93	921.88	909.17	669.92	503.95	244.57	366.09	412.0	275.28	303.44	279.14	466.88	429.54	195.72	0.0	1.38	1286.18	1407.55	1008.9	896.64
DNM1	3847.29	1030.12	995.0	4972.34	4268.94	34.51	24.28	9.93	251.48	31.45	28.24	28.24	12.0	37.05	209.84	20.41	0.0	0.58	303.44	98.73	167.9	94.67
EID2	353.59	241.19	273.37	318.57	231.32	226.54	194.36	181.28	215.77	182.55	214.27	169.07	152.28	172.65	204.07	106.63	0.0	0.21	293.07	314.17	267.73	236.21
FAM21D	738.29	358.54	473.41	423.61	366.09	353.59	281.09	228.13	185.11	204.07	248.0	153.34	269.6	332.14	224.97	242.88	0.0	0.28	473.41	679.29	450.94	334.46
FEM1A	228.13	277.2	397.93	389.72	325.29	116.78	131.51	77.79	221.86	199.85	73.03	187.71	114.36	115.16	215.77	102.25	0.0	0.38	392.44	373.81	441.64	285.03
FGFBP3	36.53	21.47	23.42	26.28	24.81	8.38	17.9	11.91	13.62	6.67	9.13	8.45	9.63	17.77	12.0	1.87	0.0	0.13	59.97	47.84	56.68	43.32
FKRP	318.57	224.97	269.6	314.17	299.25	162.14	119.26	115.16	135.24	82.87	96.68	107.38	115.97	102.25	181.28	84.63	0.0	0.55	371.22	368.65	366.09	473.41
GBA2	1594.73	1331.57	1594.73	1857.6	1806.78	591.22	497.0	406.31	651.58	503.95	343.89	454.09	444.72	620.67	693.58	273.37	0.0	1.27	1806.78	1721.16	1674.06	1519.15
GLI4	376.41	339.14	267.73	426.57	392.44	239.52	197.09	59.13	256.78	155.5	132.44	123.5	138.1	220.32	224.97	108.14	0.0	0.82	624.99	454.09	480.04	371.22
HIST3H2A	583.07	432.53	480.04	87.65	162.14	50.27	25.54	1.69	12.45	18.56	3.26	40.64	31.22	4.66	40.64	5.68	0.0	0.75	974.5	346.29	769.69	194.36
HIST3H2BB	34.02	30.12	17.9	10.08	5.87	14.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7	0.0	0.0	0.0	0.0	34.51	29.91	21.63	10.16
INPP5E	197.09	126.12	201.25	267.73	234.57	76.17	76.17	28.45	66.18	77.25	64.8	65.72	61.25	91.41	79.45	78.34	0.0	0.66	283.05	191.67	166.73	155.5
IRGQ	197.09	237.86	307.69	262.2	260.38	80.01	72.52	46.84	95.34	69.52	53.19	102.97	74.06	48.18	83.45	42.41	47.5	175.07	346.29	314.17	303.44	214.27
LRRC14	454.09	384.34	397.93	480.04	406.31	171.45	163.28	74.06	152.28	117.6	194.36	136.19	139.07	199.85	161.02	70.51	0.0	0.72	595.34	529.06	647.07	490.14
MED26	98.04	105.15	88.26	140.04	131.51	63.89	60.82	57.89	66.18	64.8	66.65	72.52	135.24	96.68	77.25	58.71	0.0	0.17	176.29	256.78	173.85	141.02
MLH3	555.41	318.57	426.57	447.82	348.71	113.56	134.3	155.5	100.83	212.78	85.22	141.02	154.42	182.55	256.78	88.88	0.0	0.39	473.41	371.22	329.84	334.46
MYL3	2895.31	540.19	1331.57	2032.85	1073.91	28.04	32.36	101.54	19.68	58.3	17.51	75.11	17.13	4.13	42.41	29.91	0.0	0.45	329.84	17.38	567.1	85.22
NGDN	1030.12	796.86	769.69	830.75	791.35	693.58	417.77	575.03	633.73	583.07	511.0	529.06	435.55	551.56	603.67	283.05	0.0	0.91	928.3	1015.93	819.3	878.17
NUDT17	109.66	91.41	76.17	99.43	96.01	40.36	23.59	10.96	22.1	27.64	11.73	17.38	19.68	19.25	41.52	4.43	0.0	0.33	142.01	104.42	92.7	59.55
OSGEP	854.13	412.0	450.94	733.19	616.37	563.18	429.54	368.65	432.53	395.18	363.56	325.29	371.22	612.11	830.75	271.48	0.0	0.65	1111.82	1259.69	743.43	642.59
PGS1	1081.39	954.43	802.41	878.17	921.88	171.45	167.9	101.54	107.38	249.73	205.5	194.36	189.02	169.07	229.72	94.67	0.0	0.83	713.11	525.39	483.38	612.11
PPP2R3B	197.09	66.65	119.26	197.09	106.63	43.63	39.5	15.11	39.5	63.0	33.3	48.18	43.02	49.21	55.1	24.63	0.0	0.6	323.03	289.02	221.86	148.09
PRKRIP1	796.86	599.49	651.58	981.29	974.5	255.0	205.5	112.77	209.84	164.42	157.68	142.01	190.34	258.57	283.05	119.26	0.0	0.61	974.5	995.0	819.3	587.13
PWWP2B	100.83	87.03	189.02	145.02	176.29	47.84	63.0	14.35	23.76	92.05	66.65	73.54	75.64	53.95	55.89	36.53	0.0	0.52	400.71	389.72	312.0	339.14
SF3B2	3589.58	3235.01	3564.78	3303.0	3515.68	2148.82	1806.78	1628.26	1832.01	2061.24	1551.09	1950.0	1407.55	1709.26	2075.59	1794.29	0.0	1.01	3665.02	3955.48	3589.58	3168.41
SLC10A4	0.97	0.97	1.5	1.87	1.97	0.09	0.0	0.71	2.92	1.33	0.0	0.43	0.13	0.16	1.1	0.0	0.0	0.0	4.66	2.18	1.5	3.82
TBC1D10A	447.82	299.25	414.87	460.44	409.15	277.2	265.87	127.89	332.14	414.87	271.48	412.0	303.44	376.41	223.41	551.56	0.0	0.69	665.29	791.35	579.04	743.43
TEPP	27.05	8.32	8.32	26.1	14.35	0.75	0.0	2.1	1.17	1.69	3.03	0.8	0.36	0.85	0.29	0.0	0.0	0.22	51.71	43.32	17.25	40.07
TF	8.38	5.87	4.24	18.29	29.06	2786455.11	3406832.48	2039804.27	2825352.59	2068278.89	1.271475112E7	1864037.21	4165330.83	8273118.55	2375828.71	1355129.16	0.0	0.62	166.73	1059.11	47.17	444.72
TMEM251	1037.29	521.76	967.76	743.43	669.92	381.68	358.54	325.29	376.41	329.84	444.72	444.72	269.6	234.57	395.18	154.42	0.0	0.0	665.29	1242.34	1242.34	902.89
TMEM80	848.22	723.08	723.08	1151.06	813.63	444.72	246.28	143.01	320.8	389.72	258.57	180.02	209.84	353.59	376.41	121.79	0.0	0.42	1529.73	1119.56	802.41	1037.29
TRIM3	291.04	185.11	260.38	366.09	346.29	217.27	141.02	70.01	165.57	162.14	93.35	133.36	71.5	157.68	153.34	97.36	0.0	0.96	559.28	624.99	420.68	229.72
TTC9B	2.23	3.2	6.21	3.69	2.63	1.46	2.86	2.78	0.16	0.18	0.0	0.54	0.54	2.97	0.13	0.0	0.0	0.2	5.73	6.52	8.06	3.66
TXNIP	29531.18	21468.49	23986.58	18052.61	20737.16	5672.41	2104.58	2720.15	525.39	2303.12	3039.3	2303.12	4937.99	4481.23	7803.01	3372.43	0.0	0.84	8022.41	10659.59	5751.61	16157.44
ZNF256	87.65	49.91	74.06	98.73	78.89	40.64	36.79	3.89	34.51	32.82	23.93	11.82	13.62	28.24	33.06	7.63	0.0	0.51	63.89	103.69	81.71	64.8
ZNF317	483.38	438.59	490.14	460.44	444.72	332.14	379.04	251.48	246.28	206.94	229.72	248.0	228.13	264.03	212.78	122.64	0.0	0.59	563.18	536.45	536.45	392.44
ZNF354B	176.29	161.02	113.56	264.03	228.13	64.34	42.41	33.54	65.26	64.8	33.06	39.22	30.56	49.91	82.87	22.92	0.0	0.91	299.25	327.56	231.32	157.68
ZNF497	68.55	59.55	80.57	128.79	101.54	24.11	25.17	7.22	30.12	28.86	16.75	18.84	19.25	28.04	26.28	16.88	0.0	0.13	73.03	69.52	69.03	56.68
ZNF585A	341.51	242.88	211.31	301.33	236.21	162.14	146.03	199.85	165.57	149.12	75.11	136.19	165.57	145.02	145.02	90.14	0.0	0.55	293.07	277.2	253.23	242.88
ZNF586	167.9	108.14	101.54	141.02	130.6	98.73	37.05	41.52	52.82	51.35	109.66	38.4	50.63	66.18	61.25	42.11	0.0	0.49	147.06	307.69	178.77	163.28
ZNF625-ZNF20	50.98	43.32	75.64	79.45	68.07	8.13	3.5	9.41	13.12	13.52	6.78	12.09	7.69	27.44	18.16	8.45	0.0	0.06	66.65	65.26	38.4	30.78
ZNF672	327.56	341.51	587.13	476.71	480.04	287.01	295.11	170.25	336.79	277.2	307.69	299.25	273.37	241.19	246.28	307.69	0.0	0.65	738.29	698.41	547.75	511.0
ZNF775	400.71	341.51	612.11	514.56	599.49	135.24	158.79	37.32	224.97	138.1	104.42	116.78	162.14	121.79	149.12	58.3	0.0	0.22	703.28	397.93	514.56	387.02
ZNF836	111.21	136.19	189.02	189.02	224.97	50.27	11.13	24.11	49.56	84.04	34.75	30.56	53.57	37.05	70.51	26.86	0.0	0.09	183.82	316.37	221.86	163.28
ZSCAN18	1745.2	1733.13	1923.14	2384.37	1936.53	921.88	403.5	59.55	854.13	603.67	283.05	231.32	563.18	166.73	612.11	158.79	0.0	0.92	2319.15	2468.49	2047.0	1551.09
