	TCGA.EK.A2IR.01A.11R.A180.07	GTEX.P4QT.0626.SM.3NMCP	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.85.7698.01A.11R.2125.07	TCGA.77.7140.01A.41R.2045.07	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.BR.8682.01A.11R.2402.13	TCGA.BR.8362.01A.11R.2343.13	TCGA.BR.8588.01A.11R.2402.13
ABCC3	361.04	3372.43	503.95	104.42	780.44	373.81	2047.0	2104.58	4419.52	1322.37
AC011897.1	63.45	38.67	0.0	0.41	102.97	8.58	56.68	105.15	172.65	86.43
AC068533.7	0.0	42.41	0.0	0.08	15.11	14.14	115.97	54.72	301.33	52.82
AC079602.1	0.0	1.138002091E7	0.0	0.0	0.31	0.0	244.57	6652.97	155.5	64.34
ACTR1B	928.3	1135.2	0.0	0.88	928.3	808.0	941.27	1304.15	1143.1	1250.98
ADAP1	466.88	336.79	0.0	0.61	190.34	28.04	825.0	2271.4	4836.35	1721.16
ADD3	444.72	1051.79	624.99	108.14	1583.71	1909.85	2701.35	4607.24	2384.37	1769.57
AK9	7.69	61.68	0.0	0.26	24.63	18.84	96.68	175.07	105.89	82.29
AL118506.1	0.0	39.5	0.0	0.09	3.23	1.79	22.1	82.87	16.63	10.24
AL590708.2	1.97	16.03	0.0	0.27	4.58	3.63	1.99	28.86	2.92	12.55
ALG11	40.93	89.51	0.0	0.13	92.05	44.89	181.28	275.28	253.23	145.02
ALS2CL	201.25	2451.44	0.0	1.03	231.32	37.32	329.84	688.78	521.76	256.78
ANKRD10	954.43	1359.57	0.0	1.06	1340.84	327.56	2609.3	3768.09	2047.0	2384.37
ANXA13	0.19	2.73	0.0	0.0	1.03	0.0	463.65	379.04	571.05	152.28
ARGLU1	830.75	2739.08	1111.82	603.67	1447.15	316.37	1896.65	2976.74	1487.87	2777.33
ARHGEF7	239.52	616.37	0.0	0.38	503.95	152.28	1119.56	1651.0	1175.27	981.29
ARRB1	78.89	186.4	0.0	0.52	124.37	50.27	1081.39	1051.79	884.29	684.02
ASL	547.75	1605.83	0.0	0.41	441.64	470.14	1015.93	1662.49	9215.48	1073.91
ATP7B	17.9	87.65	0.0	0.35	16.39	8.19	265.87	559.28	234.57	305.55
C10orf76	143.01	316.37	0.0	0.64	228.13	137.14	395.18	518.15	395.18	397.93
C2CD2	122.64	346.29	124.37	92.7	141.02	144.01	532.74	540.19	373.81	351.14
CACNA1C	1.83	71.0	0.0	0.62	49.91	23.08	289.02	320.8	155.5	303.44
CAMK2G	346.29	575.03	0.0	0.55	483.38	211.31	620.67	1540.37	718.08	624.99
CASP10	85.22	209.84	121.79	198.47	258.57	81.71	500.46	339.14	693.58	412.0
CBX7	127.0	624.99	0.0	0.36	260.38	85.82	934.76	1225.22	529.06	563.18
CCDC64B	10.55	2609.3	0.0	0.48	246.28	31.45	353.59	733.19	974.5	450.94
CCDC69	30.78	743.43	0.0	0.69	181.28	39.79	651.58	878.17	316.37	473.41
CDC42EP5	38.95	1135.2	0.0	0.69	387.02	148.09	1477.58	1651.0	1896.65	2502.97
CEACAM18	0.0	0.0	0.0	0.0	0.0	0.0	12.64	23.25	2.68	0.0
CGN	58.71	1059.11	0.0	0.56	224.97	91.41	743.43	2367.9	1991.0	379.04
CISH	63.45	264.03	0.0	0.41	164.42	135.24	312.0	336.79	559.28	293.07
CLIC5	1.06	32.82	0.0	0.1	15.45	1.33	87.03	500.46	265.87	164.42
CMTR2	77.25	329.84	0.0	0.0	187.71	98.73	379.04	395.18	312.0	226.54
COG3	134.3	381.68	0.0	0.57	283.05	131.51	397.93	679.29	674.59	583.07
CREB3L3	0.0	25.35	0.0	0.0	0.32	0.31	35.0	18.16	4.62	3.47
CREBRF	43.63	102.25	0.0	0.34	125.24	59.13	381.68	395.18	228.13	183.82
CRY2	145.02	441.64	0.0	0.41	312.0	129.69	525.39	457.25	371.22	299.25
CTB-133G6.1	0.0	1.91	0.0	0.0	11.82	0.0	198.47	68.07	21.16	44.89
CTD-2207O23.3	0.0	0.0	0.0	0.0	3.53	0.0	71.0	56.28	25.72	3.69
CTSS	118.43	1111.82	0.0	0.28	1605.83	503.95	3614.55	4671.57	5594.3	3901.01
CYB5B	1208.34	1023.0	0.0	0.77	1250.98	1350.18	1199.98	1417.35	1844.76	1936.53
DCUN1D2	119.26	334.46	0.0	0.75	215.77	69.52	320.8	438.59	392.44	299.25
DECR2	327.56	591.22	0.0	0.68	271.48	185.11	759.08	780.44	708.18	599.49
DIS3	273.37	409.15	264.03	110.43	343.89	305.55	450.94	525.39	466.88	529.06
DLEU7	2.2	1.62	0.0	0.0	6.06	2.32	16.15	6.46	22.1	16.88
