	TCGA.AC.A3BB.01A.21R.A19W.07	TCGA.A8.A07C.01A.11R.A034.07	TCGA.C8.A278.01A.11R.A169.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.E2.A15M.01A.11R.A12D.07	TCGA.C8.A132.01A.31R.A115.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.D5.6540.01A.11R.1723.07	TCGA.F4.6809.01A.11R.1839.07	TCGA.AD.6895.01A.11R.1928.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
AATK	40.93	8.51	6.46	8.51	11.82	18.43	273.37	19.82	22.43	121.79	26.86	0.0	0.44
ABCA7	387.02	86.43	116.78	71.0	91.41	206.94	1857.6	1159.07	1225.22	647.07	591.22	0.0	0.82
ACAP3	435.55	161.02	180.02	81.71	204.07	511.0	454.09	376.41	878.17	1498.22	1216.75	0.0	1.31
ACD	454.09	150.17	271.48	217.27	251.48	529.06	679.29	656.11	866.07	813.63	718.08	0.0	0.61
AHNAK2	285.03	29.06	96.68	117.6	242.88	301.33	961.07	563.18	684.02	525.39	4419.52	0.0	0.57
AK1	2758.13	1111.82	1015.93	438.59	775.05	1397.83	7695.57	6426.31	2367.9	5403.7	3874.05	1781.89	341.51
AKAP17A	301.33	77.25	153.34	105.15	138.1	246.28	616.37	518.15	441.64	559.28	503.95	0.0	1.03
ARHGAP27	371.22	103.69	248.0	147.06	199.85	249.73	713.11	915.51	559.28	651.58	1844.76	0.0	1.03
ARHGEF18	599.49	341.51	223.41	90.77	373.81	265.87	314.17	371.22	507.46	447.82	647.07	0.0	0.54
ARSA	1233.75	197.09	684.02	400.71	444.72	723.08	1208.34	1023.0	1467.37	769.69	536.45	0.0	1.01
ATG16L2	507.46	87.65	208.38	108.14	204.07	246.28	921.88	1304.15	780.44	579.04	483.38	0.0	1.16
AVPI1	371.22	84.63	186.4	65.26	131.51	90.77	830.75	2004.85	463.65	521.76	713.11	0.0	0.39
BBC3	483.38	35.76	57.08	42.11	92.05	162.14	287.01	346.29	532.74	825.0	995.0	0.0	0.24
BCL2L15	8.71	8.92	8.19	3.86	21.78	16.27	3639.7	3690.52	125.24	376.41	808.0	0.0	0.42
CAPN15	813.63	262.2	285.03	185.11	224.97	435.55	532.74	438.59	1037.29	2163.77	1757.34	0.0	0.91
CDC42EP5	947.83	52.82	92.05	12.93	155.5	258.57	5112.16	6079.61	1639.59	1819.35	902.89	0.0	0.69
CDPF1	204.07	47.17	206.94	96.01	92.7	180.02	457.25	450.94	332.14	239.52	336.79	0.0	0.15
CENPT	480.04	166.73	253.23	127.0	206.94	470.14	961.07	836.53	1073.91	1023.0	1167.14	0.0	1.17
CEP170B	414.87	135.24	161.02	77.79	84.04	271.48	395.18	507.46	941.27	395.18	1304.15	0.0	0.83
CHKB	902.89	215.77	525.39	312.0	595.34	595.34	2303.12	1806.78	1909.85	1427.22	1313.23	0.0	1.22
CHST4	0.93	0.0	0.35	0.0	1.95	2.05	1175.27	848.22	0.75	1.14	51.35	0.0	0.05
COG1	559.28	281.09	547.75	896.64	447.82	476.71	1529.73	1457.23	490.14	642.59	753.83	0.0	0.82
CPSF3L	1662.49	1233.75	1268.46	1030.12	1313.23	1950.0	2303.12	2682.69	3146.52	3564.78	3874.05	1662.49	1594.73
CTD-2330K9.3	2.63	0.93	2.18	0.0	0.0	1.43	9.93	4.03	1.55	9.27	20.86	0.0	0.04
CTRL	10.39	3.89	4.9	4.54	8.58	7.88	29.27	18.43	56.28	25.35	78.89	0.0	0.56
