	TCGA.AZ.4323.01A.21R.1839.07	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.A7M9.01A.23R.A352.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.5R.AA1C.01A.11R.A41C.07	TCGA.3K.AAZ8.01A.12R.A39D.07	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.ZYT6.0626.SM.5E45V	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13SLX.1226.SM.5S2Q6	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.R53T.0326.SM.48FEC	TCGA.52.7809.01A.21R.2125.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.BR.8295.01A.11R.2343.13	TCGA.MX.A666.01A.11R.A31P.31	TCGA.CD.8526.01A.11R.2343.13	TCGA.VQ.A922.01A.11R.A414.31	TCGA.BR.8296.01A.11R.2343.13	TCGA.MX.A663.01A.11R.A31P.31	TCGA.A5.A1OH.01A.21R.A22K.07	TCGA.N8.A4PN.01A.11R.A28V.07
AL021546.6	17.13	0.0	74.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.13	0.0	0.0	11.04	0.0	0.0	3.76	0.0	14.35	13.32
ALOX12	8.0	5.36	20.26	68.07	0.79	7.63	10.16	4.35	7.11	0.61	4.54	1.17	2.53	3.53	1.45	0.2	1.13	8.71	2.16	8.51	1.0	108.9	6.46	120.1	110.43	181.28	91.41	10.88	30.12	35.0	54.72
AMPH	157.68	0.0	18.84	18.29	0.56	0.55	0.93	2.81	5.5	7.46	6.16	3.59	3.32	3.41	14.67	18.43	4.82	13.83	10.47	70.51	1.69	43.94	54.33	21.16	46.84	26.47	53.95	55.89	77.25	53.95	158.79
APOA2	8.78	978355.0	1727194.55	221968.2	1462493.73	447025.24	894051.48	8330662.65	8564869.49	1.631844115E7	2.941400607E7	1.099237559E7	100719.65	2.821580058E7	5611673.89	5163792.94	2.079884286E7	8330662.65	2.138357795E7	5128124.01	6581567.44	13.42	20.56	10883.59	6037.61	15.22	84.63	7.28	9540.5	3.38	4.62
APOBEC2	314.17	0.0	64.34	28.45	2.71	0.0	0.0	3.32	0.84	3.47	0.0	9.34	1.51	0.78	5.77	3.17	0.59	1.07	0.0	1.66	0.0	3.76	14.45	275.28	25.72	412.0	6.78	64.34	126.12	81.71	1457.23
ARL10	253.23	11.21	68.07	27.64	6.41	4.1	34.02	6.57	10.88	7.4	16.51	28.04	6.52	33.78	9.13	24.28	20.71	17.13	9.7	12.45	20.86	76.71	80.01	19.25	99.43	53.57	92.7	47.5	85.22	60.39	191.67
ART5	98.73	0.0	98.73	137.14	0.0	0.0	0.0	0.0	17.25	139.07	0.0	6.31	0.0	35.76	20.71	0.0	0.0	57.89	4.86	20.71	30.34	13.93	249.73	88.88	90.77	105.89	68.55	6.36	154.42	114.36	320.8
B3GNT8	69.52	4.28	104.42	59.13	2.2	9.2	6.16	9.63	5.59	12.93	2.16	34.26	9.56	15.91	33.78	8.38	14.89	1.64	7.22	8.65	11.55	171.45	154.42	57.08	104.42	119.26	206.94	33.54	167.9	37.05	198.47
BIRC7	13.32	0.96	239.52	204.07	0.0	0.0	1.25	0.0	2.05	0.0	4.24	0.0	0.0	4.21	11.3	0.0	0.0	5.59	9.56	0.0	0.0	34.02	23.76	20.11	8.0	6.36	44.25	11.55	53.19	262.2	82.87
BMP8A	37.85	5.41	14.14	10.47	0.0	1.77	0.92	3.17	1.5	2.66	2.27	2.97	0.34	1.64	0.84	3.72	0.92	2.01	5.23	2.36	0.0	6.26	144.01	48.52	44.57	121.79	209.84	104.42	78.89	4.94	2.2
BRDT	0.57	0.0	81.71	84.04	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	3.53	34.26	0.19	18.84	5.23	83.45	104.42	91.41	4.94	19.97	58.71	40.36	0.38
C10orf82	38.67	0.0	14.89	44.25	0.0	0.0	0.0	0.69	0.37	0.0	0.0	0.0	0.64	0.65	0.65	0.0	0.51	3.99	0.93	1.55	0.0	74.06	186.4	127.0	61.25	95.34	49.91	11.82	143.01	140.04	64.8
C14orf132	438.59	0.0	182.55	220.32	0.0	0.0	23.76	53.95	63.89	45.21	65.72	55.49	82.29	17.0	36.01	24.81	14.35	2.58	23.93	76.71	81.71	142.01	293.07	172.65	78.34	128.79	129.69	53.57	273.37	244.57	420.68
CADPS	915.51	0.0	194.36	379.04	0.49	3.44	0.0	1.58	21.16	7.94	0.0	0.01	0.89	0.04	31.22	0.11	12.0	6.26	3.79	50.63	0.0	28.24	70.01	58.71	39.79	16.51	71.0	67.59	199.85	90.14	24.81
CCDC36	31.22	0.0	15.11	55.1	0.95	0.0	0.0	1.38	0.25	0.0	0.0	0.19	0.0	1.64	3.59	0.0	0.69	0.93	1.99	3.03	0.52	6.46	9.78	45.21	15.34	14.45	25.17	37.32	31.0	50.98	134.3
CCDC8	267.73	0.44	79.45	285.03	0.44	1.07	2.43	8.65	6.73	3.26	9.85	17.9	1.08	5.5	42.71	21.94	13.83	6.46	11.3	34.02	2.56	603.67	514.56	559.28	17.9	197.09	358.54	37.85	368.65	669.92	1191.69
CCND2	915.51	6.57	94.67	239.52	5.68	9.48	21.63	47.84	31.0	22.59	21.78	10.96	6.73	55.1	88.88	51.35	52.45	23.76	28.45	58.3	9.63	180.02	647.07	1001.93	423.61	435.55	332.14	332.14	1250.98	2133.97	941.27
CCNJL	119.26	1.97	221.86	68.07	1.14	0.72	1.14	9.56	3.69	6.84	0.0	3.53	1.71	6.36	34.02	22.92	16.88	12.36	9.7	30.56	3.11	149.12	384.34	305.55	241.19	122.64	295.11	58.71	208.38	153.34	131.51
CMTM3	890.44	49.91	825.0	961.07	50.27	96.01	108.9	122.64	128.79	85.82	79.45	77.79	88.88	127.0	208.38	205.5	201.25	122.64	195.72	189.02	96.01	603.67	813.63	603.67	432.53	454.09	665.29	373.81	1233.75	1199.98	1151.06
CSDC2	209.84	0.85	35.0	27.44	1.75	0.0	2.2	0.71	7.57	11.3	0.0	4.46	12.09	4.31	9.7	92.7	2.66	6.26	5.59	12.09	6.57	34.02	115.16	16.27	26.86	30.34	82.87	68.07	116.78	223.41	220.32
