	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.C8.A12L.01A.11R.A115.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.A8.A09G.01A.21R.A00Z.07	TCGA.A7.A426.01A.22R.A24H.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.B6.A0WZ.01A.11R.A109.07	GTEX.YFC4.1426.SM.5IFJG	GTEX.131YS.0626.SM.5EGKL	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13FTY.2226.SM.5J1ND	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.CV.7183.01A.11R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.13NYC.2626.SM.5K7VN
AAAS	1359.57	785.88	819.3	1225.22	503.95	769.69	1378.57	836.53	796.86	693.58	638.15	878.17	1529.73	1259.69	1119.56	1216.75	1572.76	381.68	713.11	540.19	387.02	0.0	0.48	447.82	825.0
AC004017.1	36.01	0.0	20.26	14.24	0.0	5.45	64.34	12.45	0.0	0.0	0.0	5.32	33.3	16.15	49.56	33.78	52.08	0.0	20.41	0.0	0.0	0.0	0.0	0.0	1.66
AC019294.1	6.11	0.0	2.84	4.17	0.44	0.43	7.94	1.16	0.0	0.92	0.0	0.0	1.13	1.13	3.99	3.17	2.63	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0
AC020922.1	56.68	9.7	14.89	55.49	2.81	5.77	44.25	12.83	1.22	6.94	11.13	21.01	57.89	29.48	15.22	27.64	80.57	0.48	2.12	0.0	1.33	0.0	0.54	0.0	3.26
AC093157.1	17.0	3.96	5.28	12.0	2.56	4.66	17.64	6.31	5.15	5.73	3.92	4.58	21.63	12.45	15.56	6.84	5.68	0.36	2.76	0.82	0.77	0.0	0.27	0.0	2.94
AGER	255.0	26.86	30.34	202.66	13.72	55.1	249.73	47.84	12.64	126.12	63.45	37.85	642.59	88.88	138.1	138.1	320.8	24.99	60.39	12.55	22.26	0.0	0.28	4.31	146.03
AMT	204.07	38.67	135.24	480.04	56.68	46.84	791.35	197.09	33.3	125.24	40.07	103.69	884.29	1044.52	693.58	514.56	1397.83	31.67	157.68	7.0	13.52	0.0	0.99	3.72	143.01
AMY2B	842.36	46.5	138.1	392.44	187.71	49.91	473.41	201.25	18.03	253.23	34.02	141.02	423.61	802.41	483.38	866.07	1277.29	44.25	127.89	0.0	11.38	0.0	1.17	3.69	176.29
ANKS3	656.11	224.97	325.29	551.56	148.09	201.25	1030.12	423.61	197.09	223.41	204.07	339.14	733.19	486.75	414.87	470.14	651.58	115.97	256.78	46.5	55.1	0.0	0.78	40.36	209.84
ARAP1	3901.01	1216.75	848.22	1697.45	559.28	753.83	1977.24	1119.56	638.15	836.53	703.28	674.59	3124.78	2119.22	2335.28	1331.57	2032.85	460.44	616.37	921.88	368.65	0.0	0.77	532.74	483.38
ARHGEF17	1111.82	318.57	444.72	941.27	106.63	170.25	836.53	466.88	269.6	429.54	148.09	289.02	872.1	723.08	896.64	587.13	624.99	371.22	293.07	85.82	18.03	0.0	0.99	16.51	199.85
BBS1	1397.83	273.37	412.0	854.13	454.09	376.41	656.11	921.88	312.0	409.15	291.04	543.96	1268.46	1151.06	1096.5	1216.75	1397.83	152.28	651.58	132.44	100.83	0.0	0.57	78.89	305.55
C14orf93	414.87	90.14	177.53	242.88	120.94	136.19	297.17	283.05	128.79	187.71	147.06	199.85	295.11	341.51	363.56	285.03	264.03	87.65	202.66	83.45	109.66	0.0	0.02	111.21	172.65
C19orf45	147.06	3.59	20.26	24.46	8.92	7.4	66.18	21.63	1.71	46.84	7.11	32.13	36.27	23.42	15.8	32.13	61.25	0.91	10.88	0.0	3.69	0.0	0.29	5.41	4.54
C1QL1	281.09	59.13	18.16	20.26	0.83	1.57	73.54	10.79	28.24	5.11	4.74	4.78	75.11	29.48	88.88	34.02	50.27	1.81	21.32	6.62	0.0	0.0	0.35	2.18	24.28
C1orf220	43.94	9.13	1.16	23.42	0.75	23.76	19.11	15.91	0.0	8.51	4.54	14.24	14.89	14.67	11.04	14.78	5.92	1.87	4.58	0.0	0.0	0.0	0.21	0.0	1.83
C5orf56	303.44	48.52	56.28	285.03	34.02	234.57	267.73	137.14	124.37	215.77	265.87	141.02	293.07	647.07	318.57	242.88	486.75	63.0	175.07	16.15	66.65	0.0	0.38	9.2	120.1
C9orf37	457.25	123.5	178.77	309.83	30.34	178.77	423.61	232.94	154.42	149.12	117.6	185.11	295.11	258.57	353.59	332.14	264.03	45.21	275.28	72.52	80.01	0.0	0.73	78.34	226.54
CASP16	351.14	17.38	41.52	8.0	1.2	1.93	43.02	87.65	3.59	8.38	15.34	23.08	72.52	8.99	26.28	6.94	17.77	0.0	18.84	0.59	0.0	0.0	0.08	0.45	5.15
CATSPER3	45.85	9.06	9.2	29.48	2.89	13.22	29.06	21.94	5.73	21.78	4.78	18.03	40.93	13.72	21.94	28.24	44.89	4.06	12.55	2.05	10.31	0.0	0.11	2.23	10.47
CCDC130	1167.14	587.13	559.28	1081.39	199.85	314.17	1745.2	642.59	327.56	684.02	323.03	813.63	848.22	1030.12	1073.91	1096.5	1015.93	329.84	775.05	265.87	285.03	0.0	1.19	100.13	525.39
CCS	2061.24	587.13	866.07	1628.26	287.01	703.28	1819.35	896.64	638.15	679.29	684.02	884.29	1936.53	1191.69	1268.46	1286.18	1733.13	189.02	1015.93	583.07	423.61	0.0	0.53	318.57	802.41
COL9A2	3081.75	63.45	109.66	1096.5	9.27	77.25	1059.11	967.76	29.06	55.89	47.5	285.03	1605.83	1008.9	435.55	384.34	1001.93	13.12	688.78	8.45	3.03	0.0	0.58	2.61	62.56
CRELD1	2163.77	381.68	660.68	830.75	303.44	988.12	988.12	660.68	371.22	836.53	363.56	647.07	1437.15	872.1	769.69	981.29	1388.16	536.45	447.82	181.28	255.0	0.0	0.47	161.02	620.67
CROCC	361.04	84.04	287.01	591.22	17.77	130.6	878.17	199.85	50.27	88.88	66.18	95.34	796.86	444.72	376.41	403.5	366.09	34.51	84.04	47.84	26.47	0.0	0.74	31.67	121.79
CRYGS	122.64	21.63	33.78	75.11	20.11	23.93	128.79	35.0	17.77	54.33	9.2	42.71	77.25	36.01	100.13	56.68	33.78	27.84	29.91	8.0	9.78	0.0	0.84	1.08	32.13
DEFB124	22.75	0.0	0.0	6.21	0.0	12.09	23.93	1.33	0.0	6.94	0.0	0.0	38.67	16.03	7.17	12.55	6.16	1.85	1.22	0.0	0.0	0.0	0.0	0.0	10.24
DFNB59	186.4	33.3	108.9	50.98	17.51	20.86	98.04	55.1	61.68	30.56	36.79	69.03	166.73	170.25	99.43	112.77	143.01	30.56	44.57	3.96	8.99	0.0	0.46	1.62	17.38
DND1	23.25	0.82	4.1	3.82	0.49	0.88	17.0	4.17	2.66	3.99	3.63	0.82	8.51	0.45	3.08	3.59	2.41	0.95	1.55	1.71	0.0	0.0	0.42	0.26	3.44
EGFL8	981.29	52.08	137.14	366.09	24.11	83.45	967.76	158.79	55.89	48.18	48.18	226.54	503.95	438.59	660.68	241.19	305.55	40.93	269.6	46.84	134.3	0.0	0.73	66.18	406.31
ERAS	9.06	2.36	1.57	0.84	0.0	0.78	3.89	3.2	0.74	1.28	1.87	0.0	7.63	8.92	2.71	3.41	2.78	0.0	0.56	0.0	0.53	0.0	0.16	0.0	0.0
FAM193B	1781.89	587.13	819.3	1477.58	358.54	500.46	2384.37	607.87	301.33	583.07	429.54	620.67	2004.85	1519.15	1427.22	2104.58	1733.13	279.14	743.43	353.59	332.14	0.0	1.45	93.35	836.53
FAM228B	796.86	120.1	101.54	226.54	201.25	133.36	262.2	316.37	183.82	201.25	60.82	234.57	536.45	536.45	723.08	371.22	389.72	212.78	267.73	38.95	49.91	0.0	0.37	28.04	144.01
FAM50B	830.75	163.28	220.32	246.28	279.14	114.36	336.79	305.55	265.87	122.64	14.89	170.25	166.73	713.11	480.04	167.9	336.79	67.12	381.68	90.14	121.79	0.0	0.32	198.47	291.04
FGD3	2956.17	40.07	82.87	642.59	43.94	100.13	941.27	603.67	64.34	134.3	47.84	1909.85	921.88	116.78	353.59	540.19	1388.16	15.45	231.32	143.01	43.94	0.0	0.39	100.13	151.22
GGTLC3	9.7	4.06	0.0	10.08	0.0	4.78	44.25	1.43	1.06	5.02	0.62	4.7	5.11	56.28	9.7	11.3	11.3	0.0	12.09	0.0	0.0	0.0	0.0	0.0	0.0
GJC2	121.79	6.78	27.25	71.0	2.53	11.55	90.14	30.12	13.42	9.63	5.63	9.93	40.36	109.66	76.71	31.22	14.35	6.67	34.51	9.06	9.63	0.0	0.17	9.48	18.29
HSD17B3	88.26	3.23	17.38	17.51	0.0	2.76	28.65	2.71	8.25	9.41	4.82	9.56	20.86	30.34	19.11	46.18	59.13	0.93	14.14	6.26	0.0	0.0	0.79	0.0	49.91
