	TCGA.LL.A740.01A.21R.A32P.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.A2.A0EY.01A.11R.A034.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.AC.A3HN.01A.11R.A213.07	TCGA.E9.A1N9.11A.71R.A14D.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
AC016885.1	187.71	0.0	547.75	3.06	0.0	2.76	2.1	0.0	0.0	0.0	0.0	0.0
ADAM23	33.78	11.64	36.27	17.64	15.22	37.59	19.53	32.36	100.13	283.05	0.0	0.53
AK1	1733.13	438.59	2573.36	693.58	297.17	2004.85	1088.92	435.55	3443.31	1437.15	1781.89	341.51
ALKBH4	314.17	85.82	346.29	171.45	68.07	325.29	149.12	62.12	159.9	341.51	0.0	0.0
AP2S1	5329.3	5995.9	6121.9	3018.3	5219.6	3742.05	2485.67	1540.37	8479.89	4937.99	0.0	0.47
APOBR	164.42	78.89	397.93	23.76	10.63	228.13	70.01	13.22	43.63	121.79	0.0	0.21
B3GAT3	961.07	312.0	1277.29	457.25	312.0	878.17	579.04	164.42	406.31	684.02	0.0	0.93
BOP1	848.22	102.97	1199.98	320.8	42.71	607.87	414.87	58.71	551.56	808.0	0.0	0.85
BRMS1	1242.34	329.84	2061.24	642.59	384.34	1359.57	693.58	314.17	693.58	1639.59	0.0	0.37
C11orf31	4152.18	1437.15	4836.35	2193.99	1991.0	2351.53	1857.6	1259.69	4575.41	3235.01	0.0	0.95
C19orf47	356.05	217.27	447.82	246.28	195.72	323.03	314.17	173.85	521.76	368.65	0.0	0.39
C19orf70	2367.9	540.19	2956.17	1277.29	463.65	1923.14	1175.27	497.0	1447.15	2287.2	0.0	0.47
C7orf43	743.43	293.07	708.18	339.14	239.52	607.87	358.54	171.45	536.45	503.95	0.0	0.84
C9orf139	4.1	0.38	3.56	0.42	0.0	4.86	0.42	0.0	1.03	2.14	0.0	0.52
C9orf16	1857.6	1242.34	2627.46	775.05	679.29	2915.45	1023.0	785.88	4937.99	4607.24	0.0	0.83
C9orf169	53.57	8.38	71.5	7.63	24.46	76.71	33.06	6.57	62431.08	34635.37	0.0	0.43
CAMK1G	6.67	2.14	21.01	1.36	1.35	2.43	1.39	0.35	0.0	1.69	0.0	0.0
CARD11	72.52	7.34	77.25	28.86	10.16	117.6	36.01	18.29	42.11	124.37	0.0	0.61
CARD9	145.02	4.66	358.54	9.27	32.13	90.77	62.56	22.75	37.85	128.79	0.0	0.34
CCDC124	2739.08	275.28	2645.74	620.67	226.54	2075.59	1268.46	206.94	3395.89	2591.27	0.0	1.0
CCDC157	117.6	32.36	127.0	33.78	11.04	87.03	62.12	40.07	34.02	61.25	0.0	0.03
CCDC28B	120.1	31.22	175.07	28.86	21.78	241.19	66.18	36.27	129.69	41.81	0.0	0.58
CCDC97	612.11	397.93	988.12	426.57	389.72	660.68	525.39	376.41	339.14	540.19	0.0	0.08
CDH24	105.89	29.7	171.45	30.12	49.21	130.6	55.1	34.02	180.02	109.66	0.0	0.61
CLTA	5076.84	2451.44	6207.38	4181.07	2351.53	3540.14	3039.3	3540.14	5076.84	5555.65	0.0	0.96
DENND1C	507.46	132.44	961.07	186.4	98.04	438.59	327.56	105.89	974.5	928.3	0.0	0.67
