	GTEX.T6MO.1426.SM.4DM73	TCGA.BP.4795.01A.02R.1420.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.B0.5712.11A.01R.1672.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.A4.8516.01A.11R.2404.07	TCGA.4A.A93X.01A.11R.A37K.07	TCGA.EV.5903.01A.11R.1592.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.2Z.A9J3.01A.12R.A38C.07	TCGA.5P.A9K6.01A.11R.A42S.07
ADORA2A	77.79	514.56	114.36	111.99	38.12	26.47	39.79	87.03	69.03	21.47	43.32
ADRA2B	8.45	59.55	17.77	67.12	5.5	2.32	2.89	18.84	10.88	3.38	11.04
AMIGO2	178.77	738.29	186.4	884.29	43.32	21.01	34.02	133.36	80.01	2.71	35.76
ANGPT1	42.71	389.72	148.09	285.03	3.69	1.3	2.48	100.83	62.56	2.32	32.36
AOC3	193.01	2303.12	665.29	3982.99	40.07	16.03	32.82	591.22	400.71	10.08	182.55
ARHGAP15	113.56	1044.52	264.03	518.15	132.44	109.66	49.91	255.0	231.32	22.26	190.34
BEND4	0.58	0.74	0.71	2.32	0.67	0.0	0.0	0.68	0.0	0.0	0.37
BMP3	1286.18	1.45	1.03	17.13	0.33	0.0	0.34	2.66	1.91	0.0	0.35
BPIFB1	5.156897276E7	3.66	0.36	2.71	0.0	0.0	0.0	1.35	0.0	0.0	0.0
C7	72.52	20593.91	13776.25	23986.58	55.49	6.31	6.52	7537.18	2209.26	1.39	2287.2
CALHM2	1259.69	1044.52	241.19	728.11	108.14	90.77	52.82	224.97	114.36	33.78	132.44
CAMK4	28.45	51.71	26.86	34.75	13.62	4.13	3.5	32.82	33.06	0.97	11.04
CCL26	50.27	131.51	46.18	125.24	4.06	1.97	0.0	20.11	20.26	0.0	15.22
CD302	536.45	743.43	518.15	579.04	65.26	48.18	15.45	260.38	114.36	7.57	113.56
CDH11	4769.75	1467.37	830.75	599.49	22.59	3.92	3.59	486.75	221.86	2.36	59.97
CNTN1	195.72	287.01	303.44	447.82	1.97	0.0	0.0	175.07	72.52	0.32	15.11
COL15A1	629.35	1628.26	1936.53	819.3	75.11	44.57	9.06	1175.27	688.78	6.84	125.24
COL1A1	6516.03	12589.08	6121.9	3467.27	1044.52	314.17	71.0	3060.45	2417.67	185.11	656.11
COL1A2	13872.08	19348.38	8305.36	9808.75	3212.66	339.14	99.43	6935.54	3564.78	241.19	1015.93
CPXM1	1561.89	167.9	373.81	269.6	30.56	2.94	0.39	332.14	246.28	1.36	88.26
CRB2	0.73	2.97	156.59	239.52	2.36	1.3	0.37	66.65	12.36	0.67	2.56
CRISPLD2	802.41	1044.52	463.65	1088.92	51.35	21.78	16.75	420.68	381.68	7.4	214.27
CSRP1	7230.1	13586.57	3491.39	29124.6	2119.22	1378.57	780.44	4358.66	3060.45	1081.39	2224.63
EYA4	51.71	50.27	25.54	62.56	0.99	0.31	1.73	10.88	3.79	0.0	2.12
FGF7	748.61	414.87	295.11	791.35	7.75	1.31	5.68	121.79	21.32	1.68	17.64
FOXD2	84.04	46.5	26.28	40.36	4.46	1.68	3.63	15.68	10.55	6.06	7.0
GABRP	902.89	507.46	95.34	454.09	3.63	0.64	1.04	63.89	58.3	6.84	46.84
GLI2	76.71	134.3	41.22	63.89	2.76	0.68	0.39	21.47	14.45	0.37	4.43
GNG2	339.14	543.96	325.29	320.8	89.51	55.89	26.86	249.73	162.14	18.56	92.7
GUCY1A2	76.17	167.9	141.02	119.26	5.06	1.95	1.43	108.14	61.25	1.01	17.25
HEPH	221.86	878.17	327.56	624.99	18.16	10.08	5.73	205.5	135.24	6.01	37.05
