	TCGA.BH.A18V.01A.11R.A12D.07	TCGA.GI.A2C8.11A.22R.A16F.07	TCGA.CV.6959.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NZ9.0926.SM.5KM12	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.13G51.0426.SM.5K7Z5	GTEX.13111.2326.SM.5LZUQ	GTEX.13NYC.2626.SM.5K7VN	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL
ACTA1	0.57	1336472.68	141455.6	0.0	0.97	204.07	155.5	21.32	22.26	128373.58	1715263.94	767601.56	8102860.22
ASB10	0.0	1359.57	114.36	0.0	0.0	3.06	1.28	0.0	0.0	40.36	291.04	86.43	967.76
ASB5	0.0	5112.16	493.56	0.0	0.0	13.03	4.03	2.68	1.75	220.32	555.41	3901.01	4869.99
C10orf71	0.0	7857.29	318.57	0.0	0.0	13.93	15.91	0.04	1.48	131.51	1159.07	974.5	7966.99
C20orf166	0.0	20737.16	325.29	0.0	0.0	4.46	3.89	0.91	1.75	103.69	2104.58	176.29	5255.91
CAPN3	74.58	15075.35	1617.0	0.0	0.79	327.56	208.38	117.6	120.94	334.46	3901.01	579.04	6840.04
CASQ1	1.35	55491.3	3794.3	0.0	0.33	62.12	43.63	5.02	6.52	1594.73	32315.87	6294.04	39510.91
CHRNA1	3.56	1225.22	105.89	0.0	0.0	65.72	27.84	8.0	6.26	101.54	497.0	10084.54	536.45
CKM	2.81	951601.81	63302.6	0.0	1.13	309.83	129.69	19.97	20.11	56265.94	462789.59	195931.88	1890058.21
CMYA5	9.34	34396.12	4419.52	0.0	0.43	137.14	111.21	25.72	29.27	1277.29	21617.82	6121.9	42346.82
COX6A2	2.2	101420.22	15824.9	0.0	0.0	170.25	42.11	8.71	5.82	13492.72	258533.99	42641.37	998912.34
CSRP3	0.0	131071.0	5112.16	0.0	0.35	8.45	6.11	0.95	2.27	339.14	258533.99	10512.82	711250.37
DUPD1	0.0	1417.35	84.63	0.0	0.0	3.82	5.77	0.0	2.12	26.47	100.13	180.02	1417.35
EXTL1	0.61	363.56	46.5	0.0	0.09	22.26	25.91	8.32	5.11	26.67	435.55	29.48	503.95
FBXO40	0.0	3716.2	209.84	0.0	0.0	2.86	1.22	0.15	0.46	57.89	232.94	46.84	2119.22
HFE2	0.0	10585.95	1259.69	0.0	0.0	5.06	5.19	0.09	1.14	915.51	3124.78	1819.35	3515.68
KCNA7	0.0	842.36	69.03	0.0	0.0	9.93	5.36	1.79	0.22	14.14	297.17	65.72	616.37
KCNT1	3.69	94.67	19.68	0.0	0.54	18.97	13.42	5.11	5.77	10.39	146.03	47.17	110.43
KLHL40	0.0	5517.27	728.11	0.0	0.13	5.96	2.29	2.16	1.71	187.71	2555.58	275.28	8840.04
LMOD2	0.67	42054.3	2209.26	0.0	0.22	4.7	4.86	1.07	1.81	1540.37	10512.82	14361.31	25005.23
LRRC14B	0.91	616.37	39.5	0.0	0.09	5.5	5.63	2.86	0.0	9.06	92.05	4.35	1073.91
MRGPRX2	0.0	2.14	1.62	0.0	0.0	1.87	1.91	0.0	0.0	1.11	2.12	1.19	2.68
MYBPC1	1.31	218912.29	15607.02	0.0	0.82	525.39	151.22	4.7	10.16	6207.38	290865.98	195931.88	938500.81
MYBPC2	1.3	23169.48	6294.04	0.0	0.17	202.66	51.35	8.0	5.68	1304.15	100023.92	28328.16	2573.36
MYF6	0.0	7433.4	1259.69	0.0	0.0	5.28	2.51	0.73	0.74	403.5	8421.31	8538.88	12676.65
MYH1	0.0	7331.05	463.65	0.0	0.19	29.06	8.71	5.32	5.36	1651.0	3847.29	4543.8	836.53
MYH2	0.0	294926.33	38966.94	0.0	0.0	42.11	49.91	12.0	20.71	36864.92	186652.11	119776.72	118949.35
MYH7	0.0	425853.18	14461.21	0.0	0.0	7.94	8.65	1.68	3.08	5711.87	85876.94	57051.4	1890058.21
MYL1	1.25	828417.36	34876.28	0.0	0.0	19.53	17.77	4.24	3.44	40904.3	800198.39	269512.87	1255646.43
MYLPF	16.39	223512.12	20593.91	0.0	0.18	708.18	241.19	42.11	36.79	29736.59	531605.79	154794.07	149521.18
MYOG	0.0	1674.06	273.37	0.0	0.04	3.5	2.25	0.0	1.04	463.65	607.87	23009.42	5441.3
MYOM3	3.96	4328.55	1216.75	0.0	0.23	56.68	29.7	5.59	1.39	902.89	5076.84	1096.5	9025.81
MYOT	3.76	44145.15	3146.52	0.0	0.27	87.65	40.64	2.94	2.1	2796.65	13492.72	4769.75	221968.2
MYPN	0.0	4481.23	529.06	0.0	0.14	6.01	5.11	0.58	0.32	275.28	1044.52	3303.0	2119.22
NEB	9.7	109455.64	16611.71	0.0	0.83	1073.91	423.61	74.58	64.8	8134.41	78476.96	77934.88	130165.62
NMRK2	0.0	4937.99	583.07	0.0	0.0	24.11	12.74	6.46	5.73	403.5	1721.16	547.75	21026.65
NRAP	0.0	52863.07	5711.87	0.0	0.0	15.34	11.3	1.25	2.51	3515.68	46986.85	14461.21	106462.55
PPP1R3A	0.0	4903.87	205.5	0.0	0.0	2.16	2.12	0.0	0.16	127.0	183.82	363.56	1674.06
PYGM	1.87	120609.84	11664.82	0.0	0.39	409.15	214.27	96.68	67.12	4481.23	23492.92	15392.14	65990.84
RP11-766F14.2	0.0	1175.27	88.26	0.0	0.0	4.13	5.19	1.08	0.25	45.85	387.02	277.2	547.75
RPL3L	3.06	11267.44	1208.34	0.0	0.31	52.82	13.03	1.99	0.96	450.94	2133.97	1233.75	3443.31
SLC36A2	0.0	1015.93	43.94	0.0	0.0	4.31	2.84	0.56	0.79	18.29	111.21	55.89	353.59
SMPX	1.33	21320.18	3257.52	0.0	0.27	32.13	55.1	1.5	9.7	1322.37	42937.97	18819.27	447025.24
TMOD4	12.55	14561.8	1388.16	0.0	0.11	40.64	29.7	0.43	8.71	854.13	5751.61	3847.29	14461.21
TNNC2	25.17	279017.26	42346.82	0.0	0.44	8134.41	2018.8	287.01	279.14	36610.26	649962.87	119776.72	136637.07
TNNI1	6.84	189257.69	13681.08	0.0	0.04	195.72	176.29	15.34	31.45	2758.13	76330.98	127486.83	1290947.48
TNNT1	82.87	207103.59	40062.48	0.0	0.73	13492.72	7081.29	647.07	703.28	8247.98	35118.87	74243.68	254974.66
TNNT3	4.46	189257.69	40621.74	0.0	0.48	1508.65	624.99	87.65	18.29	55107.99	531605.79	558035.51	185362.8
TRDN	0.0	19214.73	2319.15	0.0	0.0	73.03	42.71	1.35	8.06	1487.87	11504.21	13586.57	10440.2
TRIM63	2.27	6079.61	878.17	0.0	0.16	25.35	10.24	3.79	35.0	87.03	20737.16	607.87	3443.31
TTN	2.53	15392.14	1561.89	0.0	0.18	21.78	18.7	7.4	9.56	693.58	6121.9	5219.6	10440.2
XIRP2	0.0	48307.85	3467.27	0.0	0.0	12.83	11.64	2.71	2.73	718.08	47642.77	5441.3	45386.27
