	TCGA.D8.A27L.01A.11R.A16F.07	TCGA.AO.A0JF.01A.11R.A056.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.D6.A4Z9.01A.11R.A24Z.07	TCGA.CN.A6V3.01A.12R.A34R.07	TCGA.XR.A8TF.01A.11R.A36F.07	TCGA.FV.A3I1.11A.11R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.14E1K.0326.SM.5S2PE	TCGA.66.2768.01A.01R.0851.07	TCGA.60.2697.01A.11R.2125.07	TCGA.22.1002.01A.01R.0692.07
ALOXE3	24.99	3.29	7382.04	2271.4	323.03	228.13	0.0	0.0	0.0	0.0	60.82	10.08	10.79
ANXA2	24153.43	28723.62	107948.72	100719.65	55107.99	54349.29	1733.13	2720.15	3349.13	1781.89	53973.86	26431.04	26067.14
APOBEC3A	64.8	16.88	3982.99	878.17	785.88	974.5	3.56	15.22	18.29	5.92	1721.16	81.71	137.14
ARHGEF4	72.52	54.72	26986.43	7433.4	1359.57	1331.57	0.0	14.14	21.94	23.42	417.77	68.55	332.14
C12orf54	7.0	13.62	909.17	2682.69	38.95	45.85	0.0	2.16	2.05	0.0	351.14	21.94	146.03
C19orf81	9.41	0.0	366.09	246.28	20.11	23.42	0.0	0.0	0.0	0.0	251.48	0.0	13.93
C3orf72	0.73	0.75	22.92	47.84	10.96	5.5	0.0	0.0	0.0	0.0	27.25	2.01	14.03
CBR3	281.09	438.59	5954.47	3060.45	603.67	684.02	9.48	25.72	14.24	7.69	450.94	178.77	139.07
CD44	4298.64	5711.87	7911.95	9740.98	7966.99	16611.71	60.82	273.37	197.09	92.05	12853.63	4639.29	4481.23
DSC3	146.03	63.45	1.09164457E7	1.018540392E7	2895.31	3419.52	0.0	0.77	0.0	0.16	3103.19	72.01	842.36
DSG3	78.89	85.22	4.7062411207E8	1.846220966E8	5006.93	4972.34	0.0	0.0	0.0	0.58	6887.62	84.63	603.67
