	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.MX.A663.01A.11R.A31P.31	TCGA.ET.A3DQ.01A.11R.A19O.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.E8.A417.01A.21R.A23N.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.BJ.A0ZH.01A.11R.A10U.07
ADCYAP1R1	642.59	2224.63	0.0	0.01	71.0	547.75	20.11	3.17	15.34	31.0	17.77
ANKRD6	620.67	808.0	0.0	0.54	267.73	688.78	236.21	236.21	162.14	253.23	170.25
ARHGEF37	107.38	117.6	0.0	0.18	206.94	708.18	30.56	8.13	9.85	45.21	21.78
BAI1	114.36	37.32	0.0	0.69	53.95	99.43	3.59	3.82	44.89	11.21	3.86
BVES	14.24	21.32	0.0	0.4	115.97	379.04	8.78	4.82	4.21	14.24	7.28
CACNB2	55.1	52.08	0.0	0.65	125.24	113.56	19.53	19.11	10.79	46.18	23.76
CALN1	39.79	16.51	0.0	0.0	1.57	30.12	0.4	0.0	0.0	1.08	0.0
CAPN5	343.89	473.41	0.0	0.58	647.07	1519.15	124.37	69.52	59.13	151.22	125.24
CELF2	309.83	336.79	92.7	58.71	260.38	497.0	161.02	96.68	71.5	202.66	104.42
CHSY3	61.68	87.03	0.0	0.21	95.34	92.7	21.16	8.38	9.13	37.85	9.7
CLEC11A	1977.24	1242.34	0.0	0.39	713.11	1388.16	260.38	108.9	111.21	406.31	177.53
CYTL1	248.0	813.63	0.0	0.0	90.77	426.57	37.59	6.11	12.55	57.49	61.68
DRD2	103.69	285.03	0.0	0.07	94.01	12.09	5.41	0.0	0.0	11.21	1.53
ENOX2	166.73	181.28	0.0	0.16	153.34	201.25	96.68	89.51	78.34	127.0	68.55
FAM134B	1427.22	1225.22	69.52	103.69	525.39	463.65	271.48	224.97	214.27	297.17	178.77
FGF14	579.04	698.41	0.0	0.09	45.21	543.96	33.78	5.87	5.92	30.12	7.46
IRX6	163.28	193.01	0.0	0.0	11.91	307.69	0.89	0.47	0.45	4.5	0.82
ITGA6	2468.49	3794.3	0.0	0.78	878.17	2777.33	490.14	457.25	473.41	599.49	470.14
KIAA1549	37.05	68.07	0.0	0.27	146.03	100.83	27.44	16.88	13.03	39.22	14.89
LEPR	723.08	866.07	0.0	0.16	265.87	457.25	85.82	76.71	43.63	130.6	66.65
LGALSL	152.28	239.52	0.0	0.22	409.15	363.56	132.44	94.67	81.71	103.69	102.97
