	TCGA.44.6147.01A.11R.1755.07	TCGA.55.8096.01A.11R.2241.07	TCGA.38.4625.01A.01R.1206.07	TCGA.55.8514.01A.11R.2403.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.86.A4P7.01A.11R.A24X.07	TCGA.ET.A25O.01A.11R.A16R.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.IM.A3ED.01A.11R.A206.07
AC020907.1	48.87	19.11	0.0	85.22	0.3	64.8	0.0	0.0	0.43
ACAD8	1733.13	1628.26	0.0	7180.15	1.07	2271.4	1088.92	1151.06	791.35
ACOXL	37.32	6.52	0.0	239.52	0.0	131.51	17.64	10.24	20.86
AGR3	4038.61	8134.41	0.0	10659.59	0.29	4512.4	0.0	3.96	27.44
ANKK1	40.93	58.3	0.0	136.19	0.3	23.59	1.93	5.63	2.51
ANKRD65	934.76	563.18	63.89	1594.73	466.88	830.75	131.51	232.94	185.11
ANO9	379.04	287.01	0.0	2895.31	0.99	1313.23	40.07	107.38	205.5
AQP3	7230.1	3540.14	514.56	24153.43	665.29	3716.2	6.36	71.0	76.17
ARHGAP8	297.17	638.15	0.0	1923.14	0.21	791.35	220.32	599.49	429.54
ARID3B	105.15	114.36	0.0	275.28	0.73	180.02	42.71	65.26	77.79
ARMC9	336.79	703.28	0.0	4123.49	0.0	808.0	376.41	291.04	314.17
ASIC1	92.05	30.34	0.0	76.17	0.22	99.43	8.0	8.65	13.62
ATP6V1C2	204.07	165.57	0.0	2502.97	0.91	438.59	149.12	30.78	64.34
B3GNT8	251.48	187.71	0.0	764.36	0.12	629.35	115.97	229.72	106.63
B3GNTL1	186.4	256.78	0.0	547.75	0.64	480.04	151.22	150.17	88.88
BAIAP2L1	934.76	860.08	0.0	1857.6	0.61	961.07	327.56	376.41	325.29
BMPER	16.88	4.43	0.0	215.77	0.39	521.76	3.47	13.72	86.43
C11orf48	3395.89	2976.74	0.0	4512.4	0.35	3190.46	1674.06	1721.16	1674.06
C20orf196	194.36	346.29	0.0	684.02	0.16	197.09	159.9	135.24	152.28
C6orf123	27.25	26.28	0.0	53.57	0.06	47.84	15.11	12.74	14.67
CA10	43.63	91.41	0.0	260.38	0.13	40.93	0.34	1.35	0.37
CABP4	78.34	267.73	0.0	279.14	0.49	80.57	5.63	16.63	15.0
CCDC129	108.14	320.8	0.0	176.29	0.08	102.25	0.0	0.0	0.4
CCDC57	1417.35	947.83	432.53	2935.74	169.07	2209.26	466.88	616.37	703.28
CCDC68	110.43	76.17	0.0	507.46	0.47	271.48	12.93	10.71	30.34
CD7	379.04	271.48	0.0	2895.31	0.42	454.09	19.39	137.14	91.41
CDH26	183.82	64.34	0.0	808.0	0.21	112.77	10.96	10.08	6.36
CELF3	56.68	18.7	0.0	39.79	0.21	3.76	0.0	0.93	0.0
CNGB1	38.12	8.38	0.0	50.27	0.06	13.12	0.35	1.38	3.11
CRYM	525.39	665.29	0.0	4639.29	0.0	902.89	0.84	3.82	2.43
CSNK2B-LY6G5B-1181	63.0	59.13	0.0	145.02	0.48	127.89	34.75	40.07	35.0
DAGLB	500.46	633.73	0.0	1397.83	0.57	551.56	234.57	351.14	348.71
DNAH17-AS1	1.19	0.85	0.0	2.58	0.08	0.79	0.0	0.0	0.0
DNHD1	177.53	236.21	0.0	1135.2	1.06	283.05	104.42	63.45	78.34
DTX2	1208.34	854.13	0.0	3060.45	0.72	1313.23	287.01	273.37	293.07
EFNA1	6561.36	3124.78	0.0	12076.21	0.79	5711.87	1498.22	2956.17	2573.36
ELF5	299.25	175.07	0.0	941.27	0.0	39.5	2.61	1.08	3.96
ELL3	251.48	206.94	0.0	547.75	0.36	353.59	164.42	214.27	149.12
FAM182B	65.72	17.9	0.0	376.41	0.27	220.32	11.04	6.89	22.92
FAM19A4	0.62	0.0	0.0	4.98	0.0	0.6	0.0	0.0	0.48
FAM212B	72.01	63.0	0.0	251.48	0.32	100.83	100.13	63.0	57.49
FAM227A	90.14	124.37	0.0	289.02	0.18	129.69	8.85	15.56	46.5
FAM27E1	8.85	10.88	0.0	17.64	0.16	10.39	1.5	0.0	2.16
FKSG62	2.07	1.36	0.0	52.45	0.14	5.54	0.0	4.98	1.5
FZD9	483.38	19.53	0.0	49.91	0.19	102.25	1.75	0.0	1.91
GABRR2	8.25	31.22	0.0	53.57	0.74	18.43	6.26	4.03	3.56
GCAT	358.54	532.74	0.0	2047.0	0.21	438.59	177.53	460.44	214.27
GFRA3	205.5	356.05	0.0	1250.98	0.0	307.69	0.83	6.89	2.14
GLB1L3	312.0	172.65	0.0	1407.55	0.18	780.44	0.0	13.12	25.54
GOLGA7B	10.79	9.93	0.0	88.88	0.02	17.77	1.19	1.27	0.75
HS6ST1	825.0	555.41	0.0	1498.22	0.59	607.87	205.5	269.6	379.04
HSH2D	684.02	281.09	0.0	947.83	0.58	723.08	136.19	171.45	158.79
HSPB9	53.95	82.87	0.0	214.27	0.09	59.97	22.1	11.3	26.1
HTR3E	1.55	0.97	0.0	1.33	0.0	0.0	0.0	0.0	0.0
IFITM1	9474.59	3665.02	27745.15	55107.99	669.92	18950.18	1023.0	4239.45	2384.37
IGSF9B	183.82	327.56	0.0	665.29	0.57	299.25	19.68	36.27	63.45
IKBKB	1508.65	1378.57	0.0	2193.99	1.22	1331.57	559.28	551.56	738.29
IL20	1.58	0.65	0.0	34.51	0.0	2.73	0.0	0.0	0.0
IPO4	1427.22	674.59	0.0	1551.09	0.0	921.88	420.68	567.1	559.28
KCNA3	31.0	55.1	0.0	251.48	0.08	58.71	2.01	6.11	16.27
KCNJ1	81.71	66.18	0.0	91.41	0.26	5.82	0.54	3.41	1.13
KCNQ4	32.36	7.75	0.0	148.09	0.54	32.82	5.96	6.41	6.57
KIAA0020	915.51	607.87	0.0	1191.69	0.36	802.41	309.83	343.89	432.53
KIAA1324	1745.2	191.67	0.0	3168.41	0.06	583.07	7.22	28.04	14.03
KIAA2022	8.25	1.64	0.0	20.26	0.01	10.63	0.29	0.6	1.45
KRT15	2627.46	934.76	0.0	9151.82	0.93	4358.66	150.17	256.78	497.0
KRTAP5-6	3.96	1.03	0.0	1.91	0.0	3.53	0.0	0.0	0.0
LPAR2	802.41	507.46	0.0	915.51	0.53	1066.48	234.57	305.55	301.33
LRG1	579.04	743.43	0.0	2351.53	0.09	470.14	83.45	133.36	205.5
LRRTM1	9.56	16.51	0.0	140.04	0.01	15.68	0.46	4.35	2.23
MAFK	708.18	909.17	0.0	2240.11	0.87	1199.98	438.59	503.95	412.0
MAP1LC3A	1819.35	1044.52	0.0	2935.74	0.65	1331.57	409.15	1088.92	536.45
METAP1D	81.71	126.12	0.0	194.36	0.32	81.71	39.22	30.34	38.12
MROH6	633.73	1340.84	0.0	4419.52	0.87	872.1	336.79	497.0	241.19
MS4A15	1628.26	525.39	0.0	819.3	0.1	521.76	31.22	2.29	1.01
MS4A18	8.51	6.78	0.0	21.63	0.0	3.96	0.0	0.0	0.0
MSLNL	0.0	11.3	0.0	115.16	0.44	2.78	0.0	0.0	0.0
MSTO1	1519.15	1191.69	1073.91	5255.91	718.08	2645.74	536.45	647.07	1111.82
MYO18A	575.03	518.15	0.0	2061.24	0.74	808.0	260.38	379.04	400.71
NELFCD	1806.78	1417.35	0.0	2468.49	1.1	1477.58	1199.98	1023.0	1066.48
NELL1	392.44	447.82	0.0	178.77	0.06	483.38	0.0	0.0	0.0
NHLH2	0.13	0.0	0.0	43.94	0.0	2.23	0.0	0.42	0.78
NR2E1	8.06	2.01	0.0	77.79	0.15	1.2	0.0	0.39	0.0
NRGN	738.29	620.67	0.0	4038.61	0.44	1991.0	373.81	423.61	251.48
NUPR1L	65.26	934.76	0.0	3190.46	0.11	20.86	127.89	148.09	31.45
ODF2L	1044.52	713.11	0.0	2400.97	0.68	656.11	511.0	497.0	426.57
OPLAH	633.73	575.03	0.0	620.67	0.71	371.22	60.82	68.55	53.19
P2RX3	1.31	4.9	0.0	14.03	0.0	1.57	0.0	0.6	0.95
P2RY6	205.5	521.76	0.0	1991.0	0.39	483.38	96.01	366.09	189.02
PLXNB3	248.0	447.82	0.0	1397.83	0.93	483.38	16.88	9.93	16.51
PNLIP	0.0	0.0	0.0	64.34	0.0	0.0	0.0	1.06632494645E9	0.0
PNMA5	2.18	49.91	0.0	358.54	0.25	1.75	0.0	1.03	1.06
POLB	1397.83	974.5	0.0	1487.87	0.73	1191.69	305.55	305.55	403.5
POU3F2	113.56	28.45	0.0	88.88	0.0	15.34	0.0	0.0	0.0
PPAP2C	2485.67	1639.59	0.0	9279.58	0.0	3419.52	258.57	1295.13	616.37
PPP1R1B	1059.11	1286.18	0.0	6471.02	0.13	743.43	258.57	244.57	647.07
PRODH	665.29	7857.29	0.0	23820.89	0.24	8078.22	95.34	258.57	525.39
PRR5-ARHGAP8	28.24	37.59	0.0	297.17	0.0	63.45	22.59	32.36	42.41
PTK7	3124.78	1950.0	1322.37	5292.48	237.86	2417.67	1369.04	1295.13	2032.85
PUSL1	384.34	480.04	0.0	825.0	0.59	753.83	246.28	269.6	187.71
PXMP4	363.56	486.75	0.0	830.75	0.0	400.71	205.5	153.34	165.57
R3HDM4	1909.85	1457.23	2351.53	6121.9	1437.15	3146.52	947.83	1388.16	1104.13
RAPSN	6.73	4.7	0.0	88.26	0.38	13.22	0.0	3.76	1.91
REM2	40.93	29.91	0.0	150.17	0.48	30.34	13.42	10.0	9.27
RFPL3S	25.91	37.59	0.0	92.05	0.78	45.21	1.81	9.41	7.75
RGS2	2720.15	1529.73	0.0	3257.52	0.54	1697.45	18.16	113.56	329.84
RHBDL1	136.19	426.57	0.0	343.89	0.78	114.36	21.94	32.36	8.78
RIIAD1	323.03	84.63	0.0	118.43	0.0	50.27	0.0	0.0	0.0
RNASE1	34158.52	18950.18	0.0	44145.15	0.92	19482.97	915.51	2720.15	5006.93
RNF141	890.44	791.35	0.0	941.27	0.45	796.86	376.41	341.51	397.93
RP11-159D12.5	63.89	154.42	0.0	583.07	0.96	107.38	44.25	43.63	49.56
RP11-196G11.1	28.24	59.13	0.0	106.63	0.13	35.0	8.0	33.78	18.16
RUSC1	1225.22	1030.12	0.0	2609.3	0.85	2400.97	260.38	400.71	500.46
SCAMP2	2163.77	2451.44	0.0	4937.99	0.18	2645.74	1487.87	2090.03	1909.85
SCGB3A1	44145.15	48.52	0.0	118949.35	0.05	8901.53	19.82	79.45	80.01
SCUBE2	651.58	109.66	0.0	872.1	0.21	220.32	9.56	36.53	75.64
SERPIND1	42.41	18.03	0.0	1529.73	0.0	85.82	0.0	7.0	0.54
SERPINI2	62.56	25.91	0.0	52.08	0.13	28.86	0.0	2.92	0.0
SIX1	607.87	1015.93	81.14	941.27	444.72	444.72	7.57	29.48	19.68
SLC12A7	947.83	1277.29	0.0	2468.49	0.99	1030.12	476.71	563.18	476.71
SLC5A5	9.34	16.51	0.0	480.04	0.06	6.01	0.0	111.99	0.16
SMTN	872.1	1183.45	0.0	1037.29	0.48	1259.69	193.01	305.55	336.79
SNX21	403.5	503.95	0.0	1397.83	0.77	392.44	343.89	441.64	305.55
SOHLH2	96.68	199.85	0.0	400.71	0.18	0.91	3.96	0.69	2.94
SPACA4	32.13	24.63	0.0	96.68	0.33	34.75	0.96	3.47	1.07
SPAG1	460.44	130.6	0.0	368.65	0.31	242.88	30.78	39.79	92.05
SRPK3	176.29	197.09	0.0	476.71	0.64	100.83	3.96	2.43	1.25
ST6GALNAC1	1407.55	607.87	0.0	1844.76	0.24	1781.89	2.18	14.14	43.94
STX10	1304.15	1781.89	0.0	3212.66	0.73	2104.58	860.08	1030.12	759.08
SUSD2	2720.15	381.68	0.0	7803.01	0.2	1651.0	38.12	220.32	275.28
SYP	53.95	30.78	0.0	246.28	0.3	108.9	11.73	24.28	14.35
TAC4	532.74	5.5	0.0	248.0	0.1	47.84	0.0	4.1	2.05
TBC1D8	728.11	825.0	0.0	1487.87	0.51	353.59	117.6	127.89	134.3
TCF7L1	348.71	162.14	0.0	836.53	0.78	543.96	58.3	177.53	148.09
TEKT3	107.38	5.06	0.0	76.17	0.01	24.63	1.97	24.81	3.0
TFAP2D	1.13	32.36	0.0	118.43	0.0	0.0	0.0	0.0	0.0
TFAP2E	72.01	32.82	0.0	194.36	0.49	60.82	9.56	10.16	15.8
TFDP3	0.65	0.68	0.0	6.78	0.01	0.0	0.0	0.0	0.0
TMC5	2090.03	2701.35	1044.52	3372.43	285.03	1487.87	2.48	28.45	40.36
TMEM249	21.78	21.78	0.0	32.13	0.36	20.11	0.0	2.51	4.28
TMEM61	76.17	28.04	0.0	802.41	0.14	123.5	13.52	32.13	14.35
TMEM70	1268.46	1322.37	0.0	1781.89	0.4	836.53	293.07	351.14	291.04
TMEM88B	0.0	14.24	0.0	88.26	0.0	63.89	8.92	0.0	7.4
TMEM89	4.94	12.27	0.0	28.65	0.0	4.74	0.0	2.39	0.0
TNIP3	9.78	14.89	0.0	218.79	0.0	50.27	0.67	2.46	9.7
TOX	92.05	31.45	0.0	178.77	0.01	65.26	1.83	10.55	17.51
TRIM36	30.34	21.47	0.0	587.13	0.09	12.83	5.82	8.85	7.75
TRIM46	74.06	98.73	0.0	305.55	0.44	137.14	1.66	15.45	31.9
UBL4B	1.89	2.34	0.0	11.3	0.06	2.51	1.2	0.67	1.35
UFSP1	96.01	81.71	0.0	180.02	0.0	125.24	43.63	35.76	25.72
USP26	0.34	0.0	0.0	2.12	0.0	0.0	0.0	0.0	0.0
WNT7B	215.77	305.55	406.31	703.28	71.5	314.17	8.51	18.03	25.72
Z98049.1	2.66	3.2	0.0	19.53	0.0	5.23	0.97	1.53	2.1
ZDHHC11	808.0	1225.22	0.0	1030.12	0.74	718.08	10.08	21.94	34.02
ZDHHC11B	579.04	470.14	0.0	708.18	0.72	454.09	13.62	13.52	24.11
