	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.LN.A7HW.01A.22R.A354.31	TCGA.IG.A3I8.01A.11R.A24K.31	TCGA.QK.A8ZB.01A.11R.A39I.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.UF.A7JJ.01A.11R.A34R.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
AANAT	7.34	9.56	1.53	1.23	1.97	2.14	0.44	0.0	0.22
ACADM	866.07	2032.85	414.87	518.15	426.57	1322.37	525.39	0.0	0.17
ACOT11	1457.23	543.96	81.14	70.51	297.17	563.18	417.77	0.0	0.19
ALDH18A1	854.13	902.89	423.61	420.68	785.88	1378.57	981.29	0.0	0.11
ANKHD1-EIF4EBP3	460.44	356.05	61.25	73.03	112.77	287.01	186.4	0.0	0.37
ARFIP2	2224.63	1183.45	559.28	1001.93	1295.13	1508.65	1051.79	0.0	0.95
ASPG	22072.07	6745.86	1781.89	52.45	167.9	4268.94	113.56	0.0	0.16
BLNK	3146.52	3443.31	13.03	16.27	693.58	579.04	423.61	0.0	0.0
BNIP3	29531.18	7695.57	669.92	698.41	2468.49	4607.24	1781.89	0.0	0.77
CARHSP1	16269.83	4937.99	1088.92	1508.65	5711.87	8778.97	6652.97	0.0	0.53
CBLC	5872.48	4066.71	392.44	0.0	1111.82	1030.12	1417.35	0.0	0.0
CCDC12	3690.52	8305.36	1037.29	974.5	974.5	1896.65	1540.37	0.0	0.75
CDKN1A	13776.25	4704.07	2004.85	2032.85	10225.32	9673.69	4512.4	1199.98	189.02
CNFN	857631.47	400098.69	18689.27	4769.75	26614.89	65990.84	21617.82	0.0	0.31
CPA4	52135.28	3639.7	49.21	33.78	343.89	961.07	785.88	158.79	132.44
CRCT1	1877002.62	437825.58	2816.11	909.17	6164.49	3372.43	1977.24	0.0	0.0
CTRL	85.82	12.0	5.36	28.04	27.64	59.97	21.16	0.0	0.56
DBI	30999.42	20170.07	10014.87	2915.45	11189.6	16843.62	7230.1	0.0	0.28
