	TCGA.E9.A245.01A.22R.A16F.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.AN.A041.01A.11R.A034.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.E9.A5UO.01A.11R.A28M.07	GTEX.13FTY.2226.SM.5J1ND	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07
ACOT11	42.71	24.81	101.54	17.13	145.02	26.86	9.41	8.51	2.92	7.17
ACRV1	3.06	2.34	5.73	0.71	3.66	0.0	0.0	0.0	0.0	0.0
AFAP1L1	50.98	148.09	156.59	92.05	169.07	94.67	78.89	82.29	8.45	29.06
AGAP4	85.22	81.14	171.45	29.7	139.07	60.39	19.25	68.07	26.47	12.09
AIP	1721.16	988.12	1617.0	1457.23	2384.37	1037.29	848.22	928.3	1119.56	890.44
ANKRD40	536.45	457.25	941.27	490.14	693.58	420.68	334.46	275.28	199.85	255.0
ARHGAP11B	71.5	67.59	98.73	34.75	55.89	33.78	9.48	7.63	4.82	2.43
B3GALT4	299.25	400.71	540.19	145.02	780.44	115.97	43.32	71.0	17.0	11.91
BABAM1	1639.59	1427.22	2537.92	1685.71	2682.69	1407.55	1216.75	1191.69	1369.04	1119.56
BLOC1S3	199.85	361.04	400.71	175.07	348.71	170.25	101.54	88.88	98.73	95.34
BRCA1	138.1	194.36	329.84	132.44	397.93	100.83	71.0	58.71	46.5	12.93
C10orf88	161.02	163.28	223.41	109.66	169.07	102.97	50.27	50.27	34.51	28.45
C16orf3	14.03	18.7	31.45	3.79	16.39	15.11	3.17	1.77	4.74	0.0
C16orf59	76.71	75.64	102.97	47.5	279.14	31.67	13.93	12.36	12.36	2.14
C17orf47	2.27	1.87	3.17	1.19	2.81	1.33	0.0	0.0	0.0	0.0
C17orf53	22.75	38.67	106.63	25.54	145.02	29.06	7.28	13.22	8.99	5.68
C1D	718.08	583.07	693.58	638.15	830.75	669.92	624.99	575.03	567.1	555.41
CANT1	2255.7	2664.15	6164.49	1896.65	5329.3	2468.49	368.65	457.25	241.19	277.2
CCDC43	332.14	454.09	995.0	438.59	819.3	299.25	130.6	159.9	81.14	103.69
CCNJ	78.89	68.55	106.63	57.49	70.01	31.22	27.05	19.39	8.78	19.11
CDC6	111.99	217.27	441.64	145.02	447.82	29.91	11.04	20.26	12.09	3.96
CENPK	69.03	141.02	142.01	57.89	305.55	39.5	6.67	5.63	6.46	3.96
CPB1	1578364.61	1250.98	1535204.12	1108362.75	489177.0	2.291835145E7	12.93	6.84	9.06	3.72
DBF4	177.53	175.07	291.04	143.01	251.48	138.1	36.27	46.5	35.76	70.51
DGKQ	178.77	166.73	193.01	154.42	318.57	143.01	53.95	84.63	74.58	52.08
DHX8	802.41	775.05	1233.75	603.67	934.76	567.1	293.07	329.84	281.09	275.28
E2F2	21.94	31.22	43.32	25.54	87.65	8.19	1.38	3.32	1.23	0.71
EIF1AD	551.56	514.56	595.34	497.0	555.41	392.44	301.33	285.03	291.04	373.81
EME1	34.26	57.89	139.07	42.41	215.77	22.92	3.72	7.88	5.11	6.52
EXOC2	389.72	420.68	2351.53	384.34	3467.27	395.18	226.54	214.27	88.88	133.36
FAM103A1	595.34	575.03	665.29	571.05	2271.4	563.18	332.14	314.17	305.55	312.0
FAM72B	30.12	38.67	47.17	23.42	72.01	3.32	17.77	13.93	11.47	0.75
FEN1	346.29	521.76	583.07	351.14	884.29	176.29	99.43	173.85	100.83	63.0
FER1L6	1.31	2.89	20.41	1.01	17.0	1.11	0.52	0.0	0.0	0.0
HES2	3.44	11.3	65.26	8.0	43.02	27.25	2.66	0.6	0.0	0.0
HIST1H1T	8.0	6.26	12.45	0.73	7.46	0.0	2.2	0.0	0.0	0.0
HIST2H3C	51.35	37.32	81.14	9.56	38.67	28.86	0.0	3.89	1.57	0.97
KIF18B	59.13	57.49	157.68	40.36	134.3	3.92	2.05	0.8	1.83	0.73
KIFC1	262.2	256.78	460.44	223.41	620.67	100.83	7.17	13.52	2.43	3.56
KLHL23	218.79	110.43	234.57	115.97	253.23	70.51	84.04	92.05	49.91	65.72
LRRC37A	33.78	34.02	82.87	11.3	76.17	48.52	4.1	27.25	7.57	8.51
MAP4K2	483.38	320.8	346.29	258.57	633.73	217.27	97.36	119.26	82.29	54.33
MCM10	48.18	59.55	106.63	43.32	107.38	2.94	1.75	2.39	0.54	1.08
MCM2	289.02	323.03	647.07	221.86	902.89	275.28	36.79	36.01	23.93	22.43
METTL2A	343.89	262.2	480.04	307.69	373.81	277.2	190.34	197.09	157.68	173.85
MRPS23	1794.29	1250.98	2701.35	1651.0	2178.83	674.59	651.58	764.36	587.13	612.11
NKIRAS2	620.67	698.41	995.0	497.0	1199.98	412.0	466.88	423.61	371.22	381.68
NRM	299.25	329.84	603.67	303.44	785.88	180.02	100.13	94.01	59.97	94.01
NSF	1059.11	1233.75	1662.49	1127.35	1268.46	518.15	318.57	327.56	119.26	191.67
PAQR4	728.11	341.51	738.29	115.16	607.87	112.77	42.41	24.99	24.11	29.7
PCNA	1923.14	2434.5	3540.14	1883.54	4543.8	1304.15	633.73	642.59	551.56	480.04
PIGW	172.65	194.36	320.8	178.77	293.07	67.59	96.01	77.25	72.52	100.13
PKMYT1	256.78	283.05	607.87	130.6	954.43	111.21	18.43	23.76	11.13	33.06
POLQ	24.63	18.16	38.4	17.51	66.18	12.18	0.73	3.23	0.66	0.68
PPP1R11	1662.49	1733.13	2434.5	1457.23	2468.49	1369.04	1111.82	1030.12	954.43	819.3
PPP1R8	753.83	743.43	825.0	669.92	808.0	616.37	348.71	392.44	283.05	329.84
PSMD3	1806.78	2485.67	3847.29	2018.8	3372.43	2018.8	1870.53	1794.29	1268.46	1487.87
RBM15B	518.15	426.57	665.29	379.04	480.04	327.56	137.14	242.88	177.53	154.42
RMI2	128.79	303.44	379.04	169.07	486.75	53.95	13.72	22.43	15.22	7.46
RP11-133K1.2	0.0	1.33	1.43	0.0	1.69	0.0	0.0	0.0	0.0	0.0
SCNN1B	476.71	105.15	902.89	43.63	934.76	60.82	2.86	7.69	1.11	2.16
SEPT9	3768.09	3419.52	6935.54	4123.49	4704.07	2468.49	2032.85	2502.97	1498.22	1806.78
SERF1B	2555.58	521.76	1397.83	1721.16	3491.39	1096.5	267.73	291.04	165.57	171.45
SGOL1	36.01	49.56	87.65	46.84	94.67	7.75	4.86	6.16	5.32	2.89
SLC26A2	61.25	105.15	599.49	92.05	429.54	53.19	17.25	26.86	5.02	10.96
SLC35F1	2.41	9.06	11.04	4.58	15.22	2.12	0.64	1.79	0.57	0.59
SLC36A4	185.11	125.24	99.43	92.05	293.07	84.63	64.8	75.64	48.52	72.52
SRP68	1340.84	1388.16	2133.97	1487.87	1963.57	1159.07	974.5	947.83	842.36	860.08
SUMO2	8363.13	6337.83	12329.98	6561.36	7280.4	4972.34	2485.67	2956.17	2485.67	2417.67
TRIM37	511.0	316.37	684.02	389.72	651.58	285.03	145.02	150.17	101.54	84.04
TRPC4	3.23	8.13	12.18	9.63	15.34	3.5	1.25	3.08	0.58	1.14
USP32	738.29	638.15	1023.0	738.29	1378.57	583.07	454.09	497.0	297.17	358.54
VAT1	3303.0	1583.71	4607.24	1896.65	5403.7	1605.83	1104.13	1066.48	713.11	780.44
