	TCGA.AR.A1AX.01A.11R.A12P.07	TCGA.E9.A2JT.01A.22R.A18M.07	TCGA.AO.A0JC.01A.11R.A056.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.ZJ.AAXA.01A.11R.A42T.07	TCGA.EK.A2PM.01A.11R.A18M.07	TCGA.D6.A74Q.01A.11R.A34R.07	TCGA.IQ.A61H.01A.11R.A30B.07	TCGA.CQ.6225.01A.11R.1915.07	TCGA.85.7697.01A.11R.2125.07	TCGA.BR.8296.01A.11R.2343.13	TCGA.IN.7808.01A.11R.2203.13	GTEX.13QJC.0826.SM.5RQKC
AD000671.6	32.13	82.87	102.97	0.0	12.45	3.44	18.97	9.7	0.89	23.42	19.97	61.25	30.12
APBB1IP	463.65	1216.75	1417.35	299.25	37.85	6.46	41.52	29.91	10.63	99.43	392.44	954.43	500.46
ARHGAP9	1059.11	2875.3	4607.24	170.25	78.34	20.11	273.37	157.68	146.03	473.41	703.28	2148.82	3614.55
ATP8A1	177.53	423.61	674.59	603.67	10.24	7.11	8.78	63.45	11.38	45.85	289.02	674.59	1286.18
BTK	490.14	1498.22	2004.85	132.44	37.85	7.57	104.42	58.3	34.75	123.5	339.14	693.58	624.99
BTLA	165.57	607.87	928.3	35.5	1.75	3.69	4.9	11.38	0.84	36.53	73.03	185.11	540.19
CCR4	217.27	353.59	379.04	8.32	2.43	0.91	7.22	6.11	0.3	36.01	96.68	106.63	212.78
CD28	186.4	441.64	559.28	76.71	5.28	1.57	11.21	12.36	2.36	41.22	114.36	260.38	205.5
CD37	3168.41	15285.81	20170.07	591.22	170.25	33.54	271.48	176.29	76.71	759.08	2875.3	9088.59	6840.04
CD3D	1001.93	2758.13	5995.9	314.17	38.67	9.2	426.57	195.72	14.89	309.83	463.65	1819.35	2400.97
CD3E	1551.09	4543.8	8778.97	638.15	43.63	8.78	260.38	116.78	35.5	381.68	896.64	2777.33	7081.29
CD3G	426.57	1159.07	1008.9	318.57	3.2	0.62	57.08	16.15	3.79	66.18	209.84	432.53	476.71
CD52	6516.03	24490.61	50011.46	1457.23	723.08	68.07	1151.06	1183.45	595.34	1417.35	3018.3	21617.82	10154.69
CD79B	872.1	5517.27	8363.13	223.41	16.63	5.5	136.19	71.0	9.2	341.51	363.56	1498.22	995.0
CD8A	791.35	1605.83	2573.36	39.79	11.64	11.55	117.6	67.12	9.48	177.53	293.07	848.22	2018.8
CD96	371.22	819.3	1119.56	137.14	5.96	56.28	59.55	44.25	43.32	116.78	295.11	493.56	860.08
CDC42SE2	915.51	2163.77	2645.74	647.07	178.77	271.48	327.56	289.02	251.48	351.14	718.08	1015.93	1199.98
CEACAM21	137.14	314.17	412.0	32.59	8.19	1.55	22.59	12.74	4.17	35.25	45.53	215.77	228.13
CLEC10A	189.02	246.28	1073.91	103.69	9.41	0.0	11.64	20.56	7.88	115.97	89.51	165.57	109.66
CLEC2D	698.41	1757.34	3235.01	438.59	26.1	50.63	127.89	90.14	27.64	231.32	381.68	934.76	1208.34
CLNK	18.97	40.64	59.13	0.68	0.48	0.0	5.19	1.91	1.16	3.26	14.67	47.5	30.56
COLQ	57.08	74.58	120.1	52.08	16.51	4.82	11.21	13.12	2.36	24.11	35.76	211.31	43.63
CXCL13	2664.15	8598.28	11035.54	31.0	8.99	11.04	1457.23	647.07	25.54	1111.82	2335.28	4481.23	32767.0
CYTH4	420.68	1088.92	1088.92	130.6	47.17	15.0	103.69	71.5	23.59	177.53	186.4	536.45	591.22
CYTIP	575.03	1477.58	2485.67	329.84	13.93	13.12	215.77	75.11	24.81	277.2	764.36	1477.58	1745.2
DOCK10	547.75	1037.29	1295.13	307.69	23.42	12.0	89.51	51.35	9.48	97.36	251.48	642.59	346.29
DOCK2	587.13	1551.09	1594.73	234.57	46.18	8.06	84.63	56.68	7.4	181.28	426.57	928.3	738.29
EVI2A	595.34	791.35	2255.7	84.63	30.78	25.17	82.87	99.43	19.97	152.28	264.03	466.88	934.76
EVI2B	988.12	2915.45	4704.07	341.51	48.18	15.8	115.16	100.83	18.03	283.05	995.0	2758.13	3235.01
FAM65B	435.55	1909.85	2178.83	56.28	5.59	7.75	22.1	20.41	3.29	103.69	316.37	1191.69	947.83
FGD2	220.32	1030.12	921.88	29.7	66.18	15.45	45.85	22.59	12.36	129.69	417.77	825.0	1250.98
FGD3	728.11	1073.91	1208.34	38.67	195.72	16.88	262.2	40.64	88.26	122.64	224.97	669.92	791.35
FLT3	70.51	100.13	147.06	2.56	1.64	1.46	4.31	3.5	1.77	13.12	16.75	39.79	36.01
FMNL1	981.29	2537.92	3060.45	209.84	92.05	31.0	248.0	158.79	148.09	417.77	802.41	1605.83	1427.22
GNG2	438.59	1167.14	1250.98	620.67	27.05	16.39	52.08	77.79	21.78	157.68	325.29	551.56	242.88
GPR65	181.28	379.04	490.14	148.09	17.38	2.58	27.05	19.82	5.32	37.05	105.89	165.57	166.73
HVCN1	325.29	2627.46	2758.13	307.69	47.17	33.3	68.55	47.17	39.79	189.02	289.02	1225.22	339.14
IKZF3	271.48	830.75	327.56	37.59	1.93	0.47	5.23	8.38	14.14	51.71	178.77	521.76	429.54
IL2RG	2047.0	5183.54	10440.2	376.41	105.15	35.25	447.82	260.38	295.11	674.59	1540.37	3589.58	4450.27
IPCEF1	131.51	193.01	277.2	83.45	6.46	3.0	4.9	5.77	5.32	27.64	132.44	117.6	1066.48
IRF8	967.76	2591.27	2303.12	133.36	39.22	6.67	51.35	43.02	5.96	181.28	713.11	1572.76	896.64
ITK	281.09	532.74	1159.07	96.68	6.78	0.88	20.86	22.1	0.0	56.28	236.21	457.25	819.3
KLRG1	173.85	435.55	395.18	70.01	4.66	1.51	16.03	14.14	0.8	14.78	49.21	119.26	151.22
MYO1F	486.75	854.13	890.44	110.43	70.51	16.03	100.83	91.41	23.59	206.94	591.22	764.36	825.0
MYO1G	336.79	961.07	1167.14	49.91	22.75	6.46	92.7	37.59	12.55	151.22	228.13	607.87	368.65
PARVG	595.34	1757.34	3081.75	166.73	96.01	21.63	205.5	121.79	54.72	217.27	460.44	1583.71	1896.65
PDCD1	150.17	417.77	587.13	2.03	5.36	1.75	18.97	15.68	0.79	50.63	74.06	218.79	954.43
PIK3CD	406.31	1135.2	1295.13	176.29	26.67	73.54	144.01	161.02	92.7	228.13	381.68	872.1	624.99
PLEK	1008.9	1745.2	3280.18	234.57	63.89	24.28	120.94	92.7	33.78	205.5	267.73	791.35	463.65
PTPN22	173.85	279.14	454.09	88.88	8.25	3.5	19.39	20.26	3.86	57.49	162.14	343.89	234.57
PTPRC	2163.77	5147.73	6561.36	435.55	43.94	7.88	92.7	127.89	23.08	473.41	1081.39	2319.15	2935.74
RAB33A	77.79	214.27	223.41	113.56	5.45	3.41	23.25	9.41	6.94	23.42	36.27	63.0	28.45
RASAL3	420.68	1388.16	1519.15	197.09	33.06	13.52	115.16	57.89	81.14	143.01	397.93	780.44	733.19
RASGRP1	209.84	406.31	507.46	195.72	3.69	12.09	12.55	28.65	63.0	131.51	72.52	173.85	154.42
RASSF2	450.94	1250.98	1030.12	164.42	36.01	6.31	46.84	67.59	28.24	162.14	289.02	486.75	202.66
RGL4	61.25	206.94	334.46	1.0	2.34	1.51	18.56	4.39	1.08	39.22	46.5	141.02	52.45
SCML4	105.89	332.14	409.15	27.25	1.35	0.0	5.11	3.63	0.48	15.91	139.07	237.86	348.71
SEPT1	334.46	1427.22	1991.0	1.598261246E7	0.0	0.0	8.85	15.8	0.0	80.57	18.29	142.01	2.669377385E7
SEPT6	1628.26	3589.58	5872.48	647.07	420.68	44.25	212.78	130.6	521.76	336.79	1051.79	1832.01	1304.15
SLA	521.76	1159.07	1529.73	78.34	45.53	13.62	72.01	74.58	16.63	177.53	412.0	825.0	748.61
SLAMF1	169.07	486.75	775.05	89.51	2.48	0.93	22.1	12.45	6.41	98.73	73.03	221.86	271.48
SLC25A45	289.02	417.77	651.58	66.18	25.35	9.93	84.04	37.32	72.52	84.04	140.04	307.69	387.02
SP140	384.34	1313.23	1447.15	35.5	14.24	8.92	194.36	35.76	59.97	105.89	368.65	651.58	738.29
SSTR3	15.91	37.85	48.52	0.62	0.0	0.0	3.06	0.78	0.41	2.68	9.34	12.74	34.75
TAGAP	277.2	995.0	1104.13	52.45	12.45	10.88	59.97	16.15	5.11	117.6	228.13	490.14	303.44
TNFRSF9	76.71	124.37	199.85	0.0	2.76	1.91	12.0	9.7	0.56	29.27	35.76	158.79	27.44
