	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.CJ.4908.01A.01R.1426.07	TCGA.BP.4959.01A.01R.1334.07	TCGA.CW.5584.01A.01R.1541.07	TCGA.BP.4991.01A.01R.1334.07	TCGA.B0.5710.01A.11R.1672.07	TCGA.B0.5690.01A.11R.1541.07	TCGA.CJ.4902.01A.01R.1426.07	TCGA.CJ.4872.01A.01R.1305.07	TCGA.CZ.5452.01A.01R.1503.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.BQ.5892.01A.11R.1592.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
AC006116.20	647.07	7280.4	7.4	5.28	0.0	7.0	18.03	1.79	4.35	5.28	7.69	0.0	6.21	0.0	0.0	0.37
AC011897.1	397.93	854.13	91.41	13.32	36.01	75.64	97.36	81.14	45.85	45.85	37.32	2.1	11.82	6.78	0.0	0.41
AC138969.4	412.0	808.0	483.38	189.02	147.06	1369.04	1340.84	796.86	529.06	607.87	201.25	133.36	612.11	532.74	0.0	1.11
ACTR5	93.35	232.94	163.28	102.97	111.99	157.68	183.82	150.17	194.36	134.3	108.14	138.1	108.14	97.36	0.0	0.58
ADAMTS2	7.75	103.69	540.19	86.43	348.71	511.0	669.92	348.71	529.06	358.54	50.98	138.1	163.28	6.52	0.0	1.22
ADRA1D	3.89	59.13	3.56	0.77	0.36	4.9	8.0	2.53	5.06	1.23	0.36	0.0	1.39	0.43	0.0	0.37
AKR1CL1	0.0	0.0	17.13	0.0	0.0	3.92	53.57	2.58	25.17	16.27	2.51	3.35	0.0	0.0	0.0	0.0
ANKDD1A	40.07	61.25	82.87	30.56	49.21	52.08	77.25	62.56	77.25	68.07	22.59	6.73	27.64	15.8	0.0	0.33
ANKRD20A2	19.97	11.04	1.41	0.0	2.36	3.82	2.86	1.07	0.0	0.0	1.04	0.0	0.0	0.83	0.0	0.0
ANXA2R	28.04	88.26	102.25	15.91	53.57	81.14	154.42	103.69	75.64	115.97	67.12	7.06	14.56	8.85	0.0	0.43
AP3M2	218.79	171.45	426.57	110.43	336.79	409.15	529.06	435.55	432.53	392.44	187.71	173.85	299.25	217.27	0.0	0.72
ATF6B	1870.53	2319.15	1870.53	780.44	1350.18	1551.09	2018.8	1844.76	1794.29	1447.15	1313.23	738.29	1030.12	633.73	0.0	0.88
ATOH7	0.69	2.29	21.78	2.68	2.46	12.0	16.15	8.32	11.73	11.04	2.84	5.82	0.38	3.82	0.0	0.17
AWAT2	0.0	0.0	1.77	0.0	0.0	0.35	4.7	0.36	2.16	0.4	0.0	0.0	0.0	0.0	0.0	0.0
B3GALTL	55.49	132.44	172.65	87.65	204.07	167.9	341.51	248.0	145.02	206.94	72.01	67.59	79.45	85.22	0.0	0.32
BFSP1	29.48	30.12	38.12	13.42	29.06	49.21	57.49	54.33	36.53	35.5	17.9	7.34	7.88	8.71	0.0	0.0
BNIP2	1119.56	1950.0	1104.13	708.18	633.73	1447.15	1745.2	1508.65	995.0	1304.15	728.11	262.2	486.75	417.77	470.14	132.44
BTN2A1	73.03	236.21	780.44	223.41	536.45	813.63	813.63	684.02	728.11	563.18	497.0	181.28	480.04	159.9	0.0	0.6
C10orf10	642.59	514.56	11035.54	2351.53	4239.45	4268.94	14663.09	6935.54	13123.73	6207.38	2956.17	460.44	4095.0	244.57	0.0	0.0
C1QTNF5	172.65	327.56	3372.43	854.13	1628.26	2468.49	2777.33	4358.66	3491.39	2537.92	825.0	2032.85	872.1	1369.04	0.0	0.4
C1orf198	381.68	896.64	836.53	241.19	642.59	423.61	796.86	603.67	698.41	651.58	183.82	187.71	420.68	255.0	0.0	0.15
C8orf4	356.05	403.5	1167.14	297.17	356.05	825.0	2573.36	1427.22	825.0	1191.69	231.32	77.79	220.32	75.64	0.0	0.55
CACNG6	9.34	0.0	2.43	0.38	0.0	0.35	2.14	0.71	0.36	1.2	0.0	0.0	0.34	0.0	0.0	0.0
CAPN11	9.63	14.35	77.79	3.47	17.9	71.0	111.21	31.67	88.88	40.93	2.86	2.12	2.14	2.16	0.0	0.04
CASP7	547.75	376.41	567.1	493.56	444.72	854.13	1030.12	708.18	603.67	595.34	511.0	157.68	486.75	217.27	0.0	0.45
CBLN2	0.0	215.77	1.71	0.0	4.98	3.06	90.14	10.79	0.34	6.67	0.33	0.39	1.33	0.39	0.0	0.06
CCDC147	9.78	34.02	19.11	5.32	10.31	8.78	18.43	13.32	13.42	10.96	5.96	0.42	8.0	1.69	0.0	0.04
CDH20	4.98	9.63	2.46	0.38	0.35	1.39	4.66	0.0	0.72	0.8	0.35	0.0	0.35	0.41	0.0	0.13
CDH8	11.55	1.45	23.93	3.38	24.81	42.41	76.17	14.78	60.39	16.75	15.8	2.03	8.85	0.0	0.0	0.1
CEACAM19	1359.57	723.08	112.77	6.31	30.56	253.23	124.37	83.45	185.11	65.26	28.86	20.41	28.45	16.51	0.0	0.79
CHSY3	8.71	50.63	137.14	40.07	55.1	90.77	175.07	136.19	125.24	77.79	12.45	1.66	26.1	7.51	0.0	0.21
CNPY4	201.25	450.94	638.15	248.0	409.15	514.56	665.29	748.61	633.73	688.78	267.73	164.42	190.34	162.14	0.0	0.09
CNTROB	571.05	575.03	738.29	348.71	420.68	669.92	703.28	532.74	551.56	571.05	441.64	397.93	607.87	309.83	0.0	0.77
COL21A1	85.82	808.0	406.31	166.73	87.65	476.71	346.29	145.02	193.01	460.44	59.13	2.94	153.34	7.63	0.0	0.57
