	GTEX.11P82.1026.SM.5BC5J	GTEX.U4B1.1126.SM.4DXV3	GTEX.145MN.1726.SM.5SIA6	GTEX.144GM.1226.SM.5LU52	GTEX.147JS.2526.SM.5S2Q8	GTEX.WHWD.1226.SM.4OOS1	GTEX.13FTW.1826.SM.5IJEN	GTEX.133LE.1526.SM.5IFEN	GTEX.13OW6.2126.SM.5N9GL	GTEX.VJYA.2026.SM.4KL1K	GTEX.XV7Q.2126.SM.4BRVX	GTEX.12KS4.2426.SM.5LU8P	GTEX.PX3G.1426.SM.48U1J	GTEX.ZAB4.2226.SM.5HL97	GTEX.Q2AH.1226.SM.48TZL	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13PVQ.2126.SM.5L3FW	GTEX.13S7M.1826.SM.5RQK6	GTEX.ZVT3.2126.SM.59HL2	GTEX.P78B.1826.SM.3P5YX
AC021860.1	1.07	0.16	5.41	3.59	4.39	4.5	1.51	3.89	9.48	10.08	0.52	21.47	13.83	7.88	0.0	0.0	0.39	2.1	10.63	23.42	15.91
ACHE	447.82	217.27	379.04	454.09	651.58	221.86	283.05	299.25	236.21	511.0	128.79	206.94	603.67	429.54	665.29	0.0	0.59	80.57	206.94	486.75	96.68
ADAM33	37.05	56.28	59.97	32.59	1044.52	74.58	63.0	74.06	551.56	454.09	181.28	551.56	275.28	860.08	37.05	0.0	0.84	53.19	373.81	1015.93	353.59
ADAMTS16	2.01	2.41	2.53	1.25	133.36	3.69	1.97	3.14	78.89	9.06	0.0	22.1	25.35	77.25	1.27	0.0	0.0	2.36	19.39	32.13	10.71
AFAP1L2	177.53	70.51	106.63	141.02	656.11	178.77	142.01	114.36	301.33	226.54	161.02	316.37	265.87	395.18	92.7	0.0	0.47	108.9	208.38	384.34	217.27
AKAP6	8.51	7.17	11.73	10.88	75.11	16.15	12.09	9.7	59.55	55.49	7.22	80.57	52.82	74.58	3.59	0.0	0.15	24.46	95.34	133.36	23.42
ALAS2	0.0	3.76	3.96	4.35	25.17	0.0	0.0	0.0	33.78	2.61	0.0	1.57	5.06	8.92	8.32	0.0	0.0	8.13	22.59	31.67	23.42
ARHGAP6	28.45	38.67	20.86	24.63	177.53	23.76	35.76	42.41	162.14	178.77	19.39	208.38	114.36	185.11	22.75	0.0	0.49	117.6	256.78	325.29	84.04
ARHGEF25	100.83	73.54	99.43	62.56	1143.1	114.36	116.78	194.36	872.1	738.29	183.82	961.07	947.83	1127.35	89.51	0.0	0.61	94.67	595.34	769.69	395.18
ARMCX4	40.93	40.07	59.13	44.57	291.04	49.91	76.71	101.54	194.36	161.02	78.34	199.85	189.02	232.94	21.16	0.0	0.69	40.93	111.99	229.72	190.34
ATP1B2	16.03	14.78	13.72	14.89	208.38	38.67	11.47	17.0	77.79	72.01	46.84	109.66	90.14	135.24	19.53	0.0	0.01	62.56	68.07	218.79	123.5
B4GALNT1	7.57	7.82	12.36	10.88	145.02	10.47	17.13	18.56	83.45	48.52	17.25	67.12	39.22	98.04	13.12	0.0	0.92	19.53	38.4	115.16	24.81
BCHE	40.93	43.94	21.63	25.91	567.1	38.4	24.81	46.84	543.96	638.15	34.75	450.94	316.37	473.41	17.51	0.0	0.19	43.02	167.9	182.55	58.3
BEND5	19.68	32.59	26.47	22.59	138.1	20.86	18.43	30.78	102.97	116.78	40.36	165.57	125.24	113.56	17.77	0.0	0.25	32.36	52.08	237.86	164.42
BOC	48.52	43.02	56.28	67.59	603.67	84.63	92.7	64.8	420.68	249.73	112.77	540.19	460.44	753.83	73.03	0.0	0.48	209.84	616.37	583.07	248.0
C14orf144	17.77	8.0	11.82	0.0	20.11	60.39	38.67	43.63	27.64	2.61	27.05	18.29	21.63	7.75	55.49	0.0	0.0	0.0	5.92	9.41	5.45
C6orf25	4.74	5.77	4.24	1.97	29.27	11.21	4.94	2.94	11.82	17.13	2.16	11.55	8.85	16.88	8.71	0.0	0.27	1.38	24.63	39.79	14.89
CAV3	3.06	0.0	1.17	0.0	7.88	1.43	2.14	1.17	2.68	5.36	1.13	8.58	2.94	7.0	0.0	0.0	0.0	0.96	2.05	5.5	1.68
CDHR4	0.0	0.74	0.09	0.23	7.28	0.78	0.88	0.39	4.17	2.51	1.14	0.67	3.86	6.11	0.0	0.0	0.0	0.72	2.32	6.78	2.46
CLEC4F	10.88	4.82	3.69	3.38	29.7	6.94	2.01	10.55	13.42	3.79	2.14	20.41	16.27	6.21	2.53	0.0	0.0	2.32	5.32	18.56	15.8
CNTN2	5.73	2.78	3.99	9.2	36.01	6.52	6.62	3.47	26.67	14.45	6.16	21.01	17.77	37.59	2.68	0.0	0.0	7.94	9.78	22.43	9.48
COL4A5	115.97	90.14	49.56	108.9	1151.06	81.71	66.18	205.5	540.19	85.82	110.43	753.83	109.66	301.33	88.26	0.0	0.66	205.5	409.15	460.44	271.48
COL6A2	1135.2	1639.59	1437.15	1950.0	20310.37	1709.26	1844.76	2255.7	10154.69	8538.88	2434.5	11745.96	9088.59	13306.94	1594.73	0.0	1.53	4869.99	7803.01	9151.82	4769.75
CXCL12	866.07	961.07	447.82	860.08	10585.95	1295.13	543.96	988.12	5751.61	3395.89	1697.45	4802.93	4512.4	6561.36	785.88	0.0	0.32	624.99	1923.14	4543.8	1936.53
CYGB	334.46	429.54	249.73	412.0	4575.41	381.68	633.73	624.99	2777.33	511.0	679.29	1350.18	723.08	1806.78	444.72	0.0	0.26	470.14	514.56	1369.04	819.3
CYS1	33.06	27.84	25.35	26.67	273.37	32.59	27.25	45.53	305.55	169.07	38.67	287.01	248.0	190.34	24.63	0.0	0.0	11.21	181.28	301.33	116.78
