	TCGA.E9.A2JT.01A.22R.A18M.07	TCGA.EW.A1P7.01A.21R.A144.07	TCGA.BH.A0BW.11A.12R.A115.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.CJ.4882.01A.02R.1426.07	TCGA.KK.A8I4.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.HC.A48F.01A.11R.A250.07	TCGA.EJ.5494.01A.01R.1580.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.KK.A8IC.01A.11R.A36G.07	TCGA.KK.A59X.01A.11R.A29R.07	TCGA.2A.A8VT.01A.11R.A37L.07	TCGA.EJ.7792.01A.11R.2118.07	TCGA.CH.5788.01A.11R.1580.07	TCGA.ZG.A9LS.01A.12R.A41O.07	TCGA.HC.7077.01A.11R.1965.07	GTEX.13QJC.0826.SM.5RQKC
ABCB4	265.87	111.21	93.35	50.27	134.3	33.3	7.34	18.16	17.51	39.79	15.91	23.76	9.93	16.63	26.47	49.91	9.06	61.25
ADORA2A	842.36	307.69	229.72	23.08	403.5	100.13	34.51	24.99	51.35	89.51	73.03	52.82	36.27	105.15	39.22	143.01	28.04	135.24
AIRE	2.41	2.92	6.16	0.27	4.17	4.66	0.0	2.12	0.74	1.91	1.75	0.0	2.58	0.75	0.0	5.96	0.0	10.88
AJAP1	10.16	5.45	7.63	6.26	37.05	22.26	0.95	1.28	4.46	14.89	10.55	3.99	5.19	16.88	4.39	29.48	2.78	70.01
AL354898.1	2.25	2.32	0.44	2.73	2.05	0.84	0.0	0.78	0.0	1.62	0.0	0.0	0.0	0.87	0.0	1.55	0.0	0.68
ARHGAP30	2018.8	1183.45	1059.11	120.94	423.61	265.87	40.93	57.89	94.67	187.71	100.13	49.91	70.51	189.02	49.56	244.57	21.78	785.88
BLK	1572.76	536.45	339.14	3.14	135.24	71.5	0.0	0.0	4.62	8.45	11.64	0.39	1.38	19.11	1.1	65.72	0.71	3665.02
C5orf20	33.06	25.91	34.02	0.0	21.16	6.57	0.27	0.0	0.0	2.16	0.3	0.0	1.77	3.89	0.6	10.24	0.26	3.17
CADM3	334.46	236.21	143.01	371.22	122.64	121.79	0.0	0.75	19.53	63.89	70.51	9.7	14.14	63.0	5.59	314.17	5.92	32.82
CAPN11	31.0	28.45	56.68	66.65	22.1	22.1	1.36	2.94	4.7	9.85	22.1	5.41	4.1	9.56	5.11	37.85	7.51	9.7
CARD8	1397.83	796.86	1023.0	1191.69	872.1	497.0	224.97	231.32	466.88	540.19	417.77	325.29	423.61	457.25	389.72	674.59	277.2	1781.89
CCL19	25530.66	11909.94	7485.11	2682.69	6561.36	4268.94	10.63	115.97	209.84	1175.27	1023.0	115.97	167.9	2367.9	154.42	5831.91	28.04	1369.04
CCL21	3060.45	2287.2	2701.35	43537.38	11035.54	1340.84	6.26	68.55	500.46	703.28	2133.97	256.78	198.47	981.29	85.22	3716.2	63.45	5517.27
