	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.3K.AAZ8.01A.12R.A39D.07	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.BR.4279.01A.01R.1131.13	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	GTEX.14BMU.1126.SM.5RQJ8	GTEX.RTLS.2626.SM.46MUJ	GTEX.13PVQ.2126.SM.5L3FW	GTEX.13S7M.1826.SM.5RQK6	GTEX.ZVT3.2126.SM.59HL2
ABCB5	0.0	1.27	0.0	2.51	21.63	0.0	3.11	0.0	2.07	5.23	4.06	7.69	29.27
ADCYAP1	0.0	0.3	0.69	4.5	46.84	0.44	28.04	9.63	12.64	236.21	47.5	42.71	58.71
AFAP1	13.12	15.22	20.26	87.65	457.25	128.79	47.17	98.04	154.42	249.73	226.54	264.03	329.84
AP4E1	31.67	28.24	26.47	117.6	78.89	47.5	37.05	36.79	60.39	43.32	60.39	65.26	80.57
ARHGAP22	19.97	16.03	37.85	63.89	64.34	15.22	35.25	21.16	17.38	48.52	53.19	39.5	70.51
AZI2	291.04	447.82	397.93	1617.0	1397.83	447.82	1427.22	848.22	753.83	1242.34	775.05	1268.46	1167.14
BARX1	0.0	1.27	0.0	1462493.73	1583.71	36.53	1359.57	728.11	244.57	2075.59	186.4	1088.92	1286.18
BNC2	2.66	3.53	1.27	22.59	140.04	3.32	16.03	29.91	39.22	106.63	60.82	82.87	104.42
BTBD10	127.89	136.19	119.26	392.44	525.39	297.17	432.53	223.41	353.59	435.55	384.34	441.64	587.13
C1QTNF3	115.16	89.51	119.26	87.65	651.58	30.78	435.55	85.82	199.85	412.0	98.04	480.04	629.35
C1orf21	193.01	202.66	73.03	1001.93	1721.16	251.48	703.28	256.78	555.41	1844.76	414.87	1313.23	1259.69
CACNA1C	5.32	1.91	5.59	64.34	154.42	20.71	63.0	31.9	74.06	126.12	63.89	123.5	177.53
CACNA1G	0.49	0.0	0.0	0.23	7.46	2.32	0.0	1.35	0.93	5.02	2.63	5.5	10.88
CBLN4	0.43	0.62	1.07	4.31	9.7	0.0	0.0	0.0	0.0	0.0	3.35	3.41	12.74
CCDC109B	40.93	21.32	20.41	201.25	466.88	122.64	299.25	204.07	191.67	241.19	423.61	301.33	460.44
CCSER2	102.97	102.97	151.22	444.72	743.43	258.57	318.57	309.83	423.61	884.29	480.04	854.13	1151.06
CDHR1	1.03	0.0	2.41	35.76	64.34	2.97	0.79	2.84	3.14	34.26	7.75	20.11	69.03
CHRM2	0.34	0.0	0.0	83.45	186.4	1.93	11.73	2.27	4.54	125.24	4.86	88.88	138.1
CLMP	6.89	2.61	1.62	78.89	438.59	27.25	204.07	228.13	167.9	743.43	212.78	532.74	476.71
COL21A1	19.11	3.63	1.66	133.36	136.19	57.08	10.24	4.13	18.43	105.15	18.97	85.82	134.3
COL6A1	1909.85	412.0	896.64	1295.13	6561.36	2367.9	525.39	1844.76	1909.85	6337.83	2555.58	4358.66	6792.79
CPXM2	33.06	6.89	2.18	84.04	483.38	18.03	24.11	24.28	80.57	665.29	91.41	511.0	441.64
CREBRF	52.82	38.95	67.12	277.2	334.46	98.04	131.51	162.14	167.9	239.52	329.84	312.0	507.46
CSMD2	0.58	8.06	0.54	3.2	18.29	3.2	3.29	2.89	3.0	9.06	5.36	12.0	12.36
DGKB	0.0	0.66	2.56	0.0	14.89	0.0	0.74	0.59	4.24	35.0	2.46	17.77	17.0
DIRC3	1.38	0.73	1.23	15.56	16.75	0.8	7.94	13.22	6.73	28.04	4.7	12.55	14.24
DIS3	110.43	120.94	102.97	379.04	457.25	273.37	155.5	264.03	291.04	351.14	309.83	283.05	403.5
DR1	208.38	733.19	220.32	555.41	934.76	500.46	854.13	500.46	571.05	507.46	674.59	713.11	915.51
DYNLT3	490.14	232.94	490.14	490.14	791.35	426.57	521.76	457.25	441.64	1037.29	728.11	825.0	1066.48
DZIP1	16.27	6.89	7.94	52.82	185.11	20.56	44.57	37.85	46.18	224.97	63.0	161.02	228.13
EDNRB	147.06	26.28	52.82	6840.04	412.0	94.67	239.52	177.53	108.9	1104.13	397.93	490.14	595.34
EFEMP2	275.28	88.88	121.79	629.35	2287.2	279.14	620.67	753.83	387.02	1844.76	486.75	1388.16	1685.71
EIF4E3	26.47	10.96	8.25	241.19	389.72	98.04	381.68	256.78	323.03	483.38	334.46	395.18	444.72
ENTHD1	0.0	0.0	0.0	0.25	9.63	0.27	0.0	0.0	0.99	2.73	2.58	1.69	11.82
EPM2A	29.91	28.65	66.65	125.24	99.43	33.3	77.79	63.0	66.18	162.14	58.3	84.63	120.1
F2RL1	205.5	172.65	164.42	164.42	1540.37	656.11	2178.83	1051.79	638.15	2384.37	1008.9	1359.57	1806.78
FAM163A	0.0	0.95	0.41	7.22	47.84	2.66	7.06	4.17	6.36	94.67	21.63	7.82	36.53
FBXO32	305.55	173.85	114.36	358.54	1096.5	178.77	215.77	105.15	341.51	1977.24	878.17	1008.9	1001.93
FGF14	6.46	2.61	5.41	84.04	105.89	0.68	25.54	34.75	24.28	202.66	19.68	32.82	108.14
FGF2	4.17	0.83	12.93	24.81	234.57	8.92	24.81	17.0	30.12	218.79	49.21	96.01	208.38
FGFR1OP2	314.17	110.43	312.0	521.76	934.76	447.82	669.92	417.77	612.11	555.41	559.28	802.41	915.51
FREM1	0.92	1.01	0.0	58.71	127.0	6.11	21.63	24.28	12.45	197.09	17.64	81.71	87.65
FRYL	131.51	52.82	127.89	629.35	988.12	336.79	283.05	460.44	426.57	301.33	872.1	728.11	1407.55
GLCE	209.84	204.07	267.73	236.21	928.3	262.2	684.02	262.2	392.44	470.14	490.14	656.11	1044.52
GPR65	23.76	6.06	17.25	271.48	198.47	52.08	84.04	41.22	28.24	111.21	127.0	144.01	142.01
GPRASP1	7.88	3.53	7.06	50.98	102.97	8.0	20.26	33.54	41.22	172.65	63.89	113.56	152.28
GRIA1	0.0	0.41	0.0	241.19	13.42	3.08	0.0	0.64	4.1	13.22	4.21	9.48	16.88
GRIA2	0.0	0.42	0.0	2.34	14.67	0.0	1.93	3.29	6.84	43.32	3.69	9.78	16.51
HOXB5	5.77	23.08	1.6	41.22	125.24	21.47	53.19	38.67	30.34	122.64	30.56	65.26	106.63
HS3ST3A1	8.99	0.73	1.55	3.11	77.79	1.95	3.44	11.82	9.48	51.71	44.57	47.5	111.21
IFI16	323.03	264.03	114.36	753.83	1963.57	575.03	511.0	819.3	764.36	941.27	1721.16	1437.15	2148.82
INMT	162.14	11.64	31.45	1709.26	470.14	20.11	123.5	43.02	45.85	169.07	41.81	295.11	318.57
INPP5F	31.22	47.84	58.71	86.43	181.28	100.13	76.71	60.39	138.1	205.5	140.04	211.31	209.84
INPP5K	312.0	214.27	438.59	1561.89	1304.15	343.89	748.61	733.19	796.86	599.49	647.07	1340.84	1561.89
JAM3	63.0	24.63	28.45	249.73	743.43	111.21	206.94	204.07	217.27	860.08	366.09	493.56	708.18
JAZF1	129.69	62.56	111.21	211.31	327.56	134.3	149.12	119.26	124.37	381.68	175.07	281.09	341.51
