	TCGA.E9.A1RH.01A.21R.A169.07	TCGA.A2.A0EY.01A.11R.A034.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.E2.A153.11A.31R.A12D.07	TCGA.E9.A1N9.11A.71R.A14D.07	TCGA.BH.A0DK.11A.13R.A089.07	GTEX.ZAJG.0626.SM.5HL8X	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13PVQ.1826.SM.5L3GU	GTEX.113JC.0926.SM.5H114	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ABCA12	206.94	525.39	679.29	514.56	684.02	463.65	36.53	40.07	0.44	0.44	0.0	0.33
ALDH18A1	1008.9	2090.03	1388.16	813.63	796.86	1135.2	764.36	791.35	387.02	232.94	0.0	0.11
APOD	932018.1	348306.01	561916.97	338781.54	539026.74	602247.76	696613.03	851707.37	7485.11	11504.21	0.0	0.87
ARL6IP5	878.17	4010.71	3419.52	3540.14	2627.46	3372.43	1709.26	3768.09	1030.12	1561.89	0.0	0.8
BCAP29	1733.13	3820.7	3146.52	1397.83	1477.58	1769.57	1023.0	1378.57	620.67	743.43	0.0	0.61
BPHL	384.34	825.0	1167.14	406.31	624.99	620.67	287.01	320.8	96.68	171.45	0.0	0.28
BSCL2	1745.2	6426.31	3716.2	2119.22	1896.65	2855.44	1540.37	1208.34	607.87	444.72	0.0	0.58
C18orf32	1001.93	3349.13	3443.31	1662.49	1639.59	2417.67	1111.82	1781.89	1350.18	1350.18	0.0	0.79
C1orf115	351.14	1331.57	1437.15	934.76	1331.57	854.13	195.72	713.11	163.28	171.45	0.0	0.44
C1orf229	3.41	14.78	10.16	6.89	7.63	6.67	3.14	0.0	4.7	7.63	0.0	0.08
C1orf74	107.38	182.55	195.72	96.68	94.67	133.36	84.63	49.91	22.59	13.72	0.0	0.09
CAB39L	94.01	1242.34	1540.37	954.43	1023.0	947.83	316.37	693.58	536.45	928.3	0.0	0.11
CABLES1	105.89	633.73	376.41	384.34	454.09	361.04	211.31	406.31	16.39	12.0	0.0	0.32
CARS2	397.93	1605.83	1151.06	954.43	974.5	934.76	693.58	713.11	1127.35	915.51	0.0	0.71
CATSPERB	3.23	194.36	190.34	163.28	43.32	57.08	53.57	51.71	50.63	7.69	0.0	0.53
CCDC160	0.0	483.38	269.6	182.55	151.22	214.27	79.45	95.34	0.0	3.5	0.0	0.0
CCDC167	249.73	1674.06	688.78	366.09	242.88	414.87	325.29	301.33	260.38	204.07	0.0	0.06
CCNC	1551.09	1963.57	1977.24	1369.04	1540.37	1628.26	836.53	808.0	1167.14	941.27	1639.59	193.01
CDK6	26.47	295.11	299.25	139.07	130.6	99.43	69.03	66.65	49.91	125.24	0.0	0.48
CECR6	24.46	69.03	97.36	41.81	57.08	62.12	7.22	5.41	3.76	2.18	0.0	0.09
COG8	232.94	423.61	320.8	307.69	295.11	264.03	236.21	246.28	116.78	113.56	145.02	79.45
CRYL1	647.07	1594.73	836.53	551.56	769.69	656.11	567.1	273.37	679.29	607.87	0.0	0.51
CUL4A	995.0	1745.2	1936.53	1250.98	1250.98	1359.57	954.43	896.64	1023.0	791.35	785.88	135.24
DCAF6	1519.15	4512.4	2417.67	1268.46	1508.65	1697.45	688.78	872.1	1044.52	1277.29	0.0	0.73
DECR1	1277.29	4671.57	3060.45	1832.01	2434.5	2104.58	2061.24	1769.57	1304.15	1508.65	0.0	0.66
DERA	497.0	684.02	921.88	575.03	660.68	688.78	343.89	447.82	507.46	514.56	0.0	0.45
DLAT	555.41	660.68	808.0	518.15	507.46	571.05	346.29	447.82	187.71	190.34	0.0	0.0
DMRTC2	1.3	46.18	63.89	15.91	18.84	18.16	0.67	3.44	0.0	0.0	0.0	0.16
DNAJC5	493.56	1304.15	1167.14	836.53	713.11	703.28	490.14	426.57	497.0	603.67	0.0	0.79
DPAGT1	624.99	1757.34	1832.01	825.0	1008.9	1167.14	1073.91	1015.93	669.92	842.36	0.0	0.55
DPY19L3	141.02	269.6	368.65	277.2	255.0	251.48	181.28	229.72	187.71	299.25	75.11	72.01
DUSP16	264.03	2119.22	1529.73	1498.22	1350.18	1794.29	1023.0	819.3	258.57	165.57	0.0	0.32
EEF1E1	389.72	934.76	921.88	497.0	457.25	571.05	435.55	612.11	406.31	285.03	0.0	0.04
ERCC2	400.71	540.19	543.96	454.09	323.03	379.04	450.94	309.83	256.78	190.34	0.0	0.4
EXOC6	204.07	660.68	397.93	447.82	373.81	417.77	229.72	242.88	116.78	92.05	0.0	0.16
FBXO48	25.54	43.32	48.52	38.12	37.59	38.4	20.41	17.9	10.24	14.56	0.0	0.03
FDXACB1	33.54	102.25	88.88	65.26	52.45	77.25	49.21	33.54	14.67	6.31	0.0	0.0
FOXRED2	463.65	417.77	599.49	197.09	242.88	281.09	107.38	170.25	40.93	42.11	0.0	0.21
FUNDC1	616.37	1639.59	884.29	603.67	587.13	679.29	466.88	473.41	159.9	132.44	0.0	0.16
FZD3	54.33	194.36	193.01	146.03	111.21	161.02	79.45	92.7	56.28	72.52	25.17	26.86
GALNT1	1216.75	1378.57	1628.26	1001.93	981.29	1001.93	764.36	1008.9	314.17	503.95	0.0	0.56
GDPD4	0.0	3.32	3.47	0.35	3.53	2.73	0.0	0.79	0.0	3.47	0.0	0.12
GLB1	802.41	1487.87	3235.01	988.12	1001.93	1216.75	660.68	928.3	327.56	291.04	0.0	0.19
GLE1	166.73	878.17	514.56	423.61	543.96	595.34	366.09	403.5	152.28	108.14	521.76	111.21
GMDS	753.83	3303.0	2061.24	575.03	547.75	1015.93	830.75	591.22	182.55	195.72	0.0	0.59
GPR107	728.11	1605.83	1104.13	830.75	988.12	909.17	555.41	511.0	525.39	497.0	0.0	0.78
GTF3A	1870.53	4639.29	5555.65	1909.85	2319.15	2104.58	2537.92	3060.45	2255.7	2240.11	0.0	0.83
HARBI1	67.12	157.68	147.06	92.05	99.43	123.5	105.15	54.33	18.16	27.84	0.0	0.0
HINT3	236.21	796.86	819.3	571.05	555.41	543.96	320.8	540.19	334.46	271.48	0.0	0.37
HSD11B1L	39.79	432.53	327.56	146.03	125.24	215.77	182.55	161.02	264.03	336.79	0.0	0.28
HSPD1	6607.01	9151.82	10368.08	5711.87	6935.54	6381.92	6699.25	6792.79	3928.15	3540.14	5711.87	507.46
IDH3G	890.44	1794.29	1617.0	1350.18	1378.57	1151.06	1088.92	660.68	1167.14	1268.46	0.0	0.93
IER3IP1	660.68	1950.0	2591.27	1159.07	1111.82	1350.18	493.56	1268.46	620.67	723.08	0.0	0.71
IL2RB	45.53	132.44	99.43	76.17	52.82	69.52	33.06	13.52	9.85	8.0	0.0	0.16
KCTD18	273.37	387.02	318.57	334.46	323.03	334.46	269.6	228.13	236.21	126.12	0.0	0.0
KDM1B	339.14	392.44	525.39	251.48	191.67	275.28	201.25	217.27	51.35	57.89	0.0	0.39
LAMP1	4575.41	9808.75	10808.41	6652.97	5672.41	7032.37	4010.71	5366.37	2090.03	2537.92	0.0	1.01
LRP11	466.88	830.75	974.5	525.39	647.07	620.67	389.72	669.92	161.02	215.77	0.0	0.42
MAGEH1	373.81	579.04	624.99	454.09	473.41	525.39	277.2	547.75	232.94	507.46	0.0	0.61
MANBA	316.37	708.18	591.22	473.41	483.38	514.56	371.22	429.54	117.6	214.27	0.0	0.43
MCTS1	1551.09	1819.35	2351.53	934.76	1037.29	1096.5	1104.13	1081.39	543.96	571.05	0.0	0.43
MIPEP	389.72	1617.0	775.05	483.38	480.04	674.59	463.65	289.02	178.77	208.38	0.0	0.0
MPC2	4239.45	18431.96	9151.82	3874.05	5183.54	6337.83	1167.14	2004.85	1378.57	1572.76	1259.69	206.94
MRPL49	1259.69	1651.0	1721.16	1427.22	1594.73	1551.09	1233.75	1081.39	733.19	688.78	0.0	0.6
MRPS35	1639.59	2133.97	2351.53	1304.15	1268.46	1651.0	819.3	748.61	426.57	256.78	0.0	0.0
MRS2	463.65	769.69	1073.91	463.65	543.96	435.55	473.41	363.56	281.09	283.05	0.0	0.39
MTIF3	1044.52	2209.26	2591.27	1551.09	1896.65	1819.35	1350.18	1594.73	713.11	848.22	0.0	0.44
NCKAP5	3.59	129.69	153.34	92.05	59.13	121.79	50.98	40.93	16.51	24.46	0.0	0.0
NEU1	941.27	3190.46	2434.5	1477.58	1304.15	1457.23	1073.91	934.76	223.41	314.17	0.0	0.36
NSUN7	100.13	139.07	150.17	118.43	105.15	113.56	108.14	84.04	23.76	55.49	0.0	0.32
PCCA	291.04	1909.85	1923.14	941.27	1331.57	1313.23	633.73	785.88	466.88	603.67	0.0	0.64
PDE12	194.36	267.73	285.03	301.33	264.03	314.17	132.44	221.86	186.4	162.14	0.0	0.04
