	TCGA.E2.A10B.01A.11R.A10J.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.E9.A245.01A.22R.A16F.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.AO.A0J7.01A.11R.A034.07	TCGA.ZP.A9CY.01A.11R.A38B.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.FE.A232.01A.11R.A14Y.07
AC005082.1	0.0	0.0	0.97	13.32	6.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC006132.1	19.53	17.51	38.67	61.25	110.43	5.5	3.44	1.85	1.77	1.35	0.0	7.11
AC007375.1	0.0	0.0	1.97	1.0	4.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACACA	866.07	521.76	1044.52	1242.34	1832.01	463.65	183.82	195.72	303.44	414.87	420.68	341.51
ACYP1	325.29	361.04	660.68	253.23	1111.82	128.79	61.68	41.81	47.84	57.08	60.82	500.46
ADIPOR2	7857.29	2319.15	8598.28	6887.62	10368.08	2075.59	954.43	1369.04	1066.48	1437.15	1685.71	507.46
AFAP1L2	974.5	890.44	130.6	2367.9	2468.49	29.27	36.53	16.15	17.51	24.28	35.25	1447.15
AHSA1	2855.44	2468.49	3039.3	4210.15	4972.34	2384.37	1651.0	1437.15	1685.71	1175.27	1963.57	1487.87
ALOXE3	56.68	5.68	13.42	4.9	49.56	0.0	0.0	0.0	0.0	0.0	0.6	10.08
ANK1	10.08	17.64	460.44	183.82	146.03	14.24	4.74	0.8	3.96	7.69	4.43	9.85
AP000349.1	90.77	363.56	0.0	595.34	1073.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP3M2	400.71	426.57	392.44	633.73	967.76	81.14	44.89	36.53	34.26	36.27	38.67	211.31
APEX1	3039.3	4639.29	3515.68	5403.7	6037.61	2335.28	1662.49	1721.16	1977.24	2240.11	1447.15	2796.65
APOBEC3B	241.19	162.14	110.43	575.03	381.68	33.78	27.44	6.36	10.88	5.87	16.63	63.45
AQP6	38.95	2.1	4.66	13.62	38.4	6.36	0.57	1.83	8.38	1.0	4.66	2.63
ARHGEF3	753.83	587.13	698.41	1369.04	1757.34	66.18	32.59	14.45	22.1	31.22	49.21	249.73
ASIC1	295.11	70.01	180.02	156.59	307.69	6.57	2.61	2.27	4.06	0.75	1.89	8.65
ASPHD1	318.57	38.95	1159.07	1540.37	1037.29	9.56	11.13	13.12	17.64	6.36	16.39	195.72
ATG3	1225.22	1437.15	1008.9	967.76	1233.75	728.11	583.07	503.95	305.55	679.29	518.15	1030.12
ATP1A3	281.09	23.93	334.46	1407.55	902.89	2.51	0.72	0.0	2.94	2.2	1.2	3.38
BMI1	3794.3	872.1	2367.9	2400.97	3280.18	808.0	312.0	295.11	212.78	389.72	403.5	579.04
C14orf142	400.71	305.55	406.31	540.19	723.08	384.34	277.2	255.0	147.06	228.13	195.72	205.5
C15orf56	7.57	7.06	5.36	28.04	12.45	0.0	0.0	0.45	0.0	0.47	0.96	54.72
C22orf39	441.64	567.1	599.49	802.41	967.76	395.18	303.44	273.37	249.73	281.09	316.37	836.53
CAMK2N2	37.32	29.7	371.22	151.22	140.04	75.11	18.97	14.45	9.41	6.21	5.82	11.91
CASKIN1	44.89	9.41	55.49	43.94	83.45	0.73	0.0	0.0	0.0	0.0	0.0	13.22
CDCA4	191.67	214.27	145.02	260.38	860.08	59.97	30.12	28.45	22.26	28.45	26.28	242.88
CELF4	32.59	6.52	226.54	287.01	173.85	4.74	0.0	0.71	3.23	1.87	0.75	91.41
CHRM4	14.24	1.36	9.93	8.65	33.3	0.49	0.57	0.48	0.0	0.0	0.0	2.25
CHRNB2	47.17	11.47	356.05	397.93	239.52	0.72	0.75	0.66	0.0	0.0	0.0	0.36
CITED1	3081.75	47.17	1073.91	79.45	4481.23	9.27	2.86	10.96	26.28	9.13	5.77	26800.01
COMMD3-BMI1	1397.83	483.38	1551.09	2319.15	1250.98	718.08	0.0	11.04	260.38	141.02	176.29	325.29
COPS3	1268.46	802.41	1295.13	2090.03	1781.89	688.78	603.67	563.18	493.56	629.35	624.99	743.43
CORO6	490.14	24.63	21.94	612.11	8247.98	15.56	8.99	3.53	9.56	2.94	12.83	1268.46
CPLX2	77.79	0.06	2997.45	4769.75	483.38	4.24	0.0	0.0	0.0	1.33	0.0	2.41
CXCL14	150561.19	8901.53	8840.04	142439.51	168220.2	121.79	162.14	947.83	713.11	954.43	1073.91	2720.15
