	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.S341.1326.SM.4AD72	TCGA.BQ.5879.01A.11R.1592.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13FH7.0126.SM.5KLZ1	GTEX.Y8E4.0126.SM.4VBQ2	TCGA.FL.A1YV.11A.12R.A32Y.07	GTEX.13VXT.1626.SM.5IJES
ABHD16A	954.43	995.0	703.28	1037.29	1369.04	507.46	1304.15	1832.01	1388.16	2351.53
AC016757.3	8.13	6.94	1.41	22.1	0.0	0.27	16.51	30.12	84.04	221.86
AC090186.1	191.67	551.56	212.78	297.17	0.0	0.36	470.14	1088.92	995.0	1088.92
AC104809.3	0.0	15180.22	0.0	0.0	0.0	0.15	3.32	21.16	46.84	50.63
ARHGAP6	23.59	55.89	110.43	66.18	0.0	0.49	836.53	603.67	193.01	251.48
ARIH2OS	7.57	85.82	8.85	21.01	0.0	0.0	44.57	90.77	113.56	65.26
ASXL3	0.66	60.39	9.48	0.39	0.0	0.25	15.45	111.99	17.25	41.81
BBS5	63.0	281.09	96.01	157.68	0.0	0.43	223.41	293.07	185.11	540.19
BRD1	248.0	698.41	299.25	293.07	0.0	0.83	435.55	656.11	660.68	775.05
C22orf29	48.52	575.03	144.01	185.11	0.0	0.34	208.38	412.0	511.0	309.83
C22orf39	289.02	567.1	336.79	323.03	0.0	0.55	902.89	1447.15	921.88	1167.14
C2CD5	264.03	595.34	256.78	307.69	0.0	0.26	435.55	796.86	693.58	902.89
C2orf57	0.0	0.88	0.0	0.0	0.0	0.0	0.54	0.54	0.96	2.25
C2orf66	0.35	0.0	0.0	0.0	0.0	0.27	0.57	3.2	3.2	7.4
C5orf56	30.78	224.97	47.5	139.07	0.0	0.38	264.03	384.34	426.57	314.17
C9orf172	3.63	5.68	2.81	6.67	0.0	0.39	3.0	9.63	7.88	51.35
C9orf9	24.63	764.36	38.67	120.94	0.0	0.0	406.31	563.18	291.04	764.36
CAPS	518.15	1.430483875E7	199.85	202.66	0.0	0.01	796.86	2895.31	4123.49	9945.68
CAPS2	37.32	265.87	77.25	92.7	0.0	0.1	111.99	251.48	136.19	180.02
CBX7	88.88	1175.27	244.57	656.11	0.0	0.36	1175.27	1519.15	2720.15	2720.15
CCDC12	1427.22	1896.65	1044.52	1857.6	0.0	0.75	2271.4	2178.83	3190.46	3060.45
CCDC178	18.97	87.03	2.71	5.41	0.0	0.0	26.67	161.02	21.78	48.52
CCDC36	3.35	22.1	2.76	1.11	0.0	0.2	14.14	10.08	10.96	33.06
CCL16	1.39	4.9	0.0	0.0	0.0	0.0	1.77	1.22	15.34	12.83
CIRBP	6516.03	22225.61	2193.99	10084.54	0.0	0.75	13872.08	20310.37	28923.41	28525.2
CMTR1	438.59	679.29	450.94	447.82	0.0	0.84	624.99	555.41	780.44	1015.93
COMMD6	6935.54	7803.01	2537.92	5292.48	3303.0	1685.71	6381.92	9279.58	14663.09	6207.38
CTC-786C10.1	7.34	18.29	9.06	1.81	0.0	0.22	24.81	10.79	13.42	13.42
CXXC1	423.61	1529.73	395.18	656.11	0.0	1.1	1295.13	1923.14	2163.77	2555.58
CYP46A1	6.36	29.48	19.53	5.19	0.0	0.39	14.56	64.8	50.63	110.43
DCTN3	1233.75	1651.0	1250.98	1639.59	0.0	0.85	2739.08	2451.44	3491.39	2485.67
DHX35	111.99	138.1	88.88	105.15	0.0	0.73	205.5	180.02	239.52	412.0
DND1	0.83	4.9	1.77	1.14	0.0	0.42	4.9	12.18	10.71	10.47
DPH7	255.0	718.08	103.69	262.2	0.0	0.93	371.22	981.29	909.17	1111.82
DPY19L2	13.62	86.43	27.44	53.57	0.0	0.59	201.25	1583.71	258.57	708.18
DTWD1	348.71	1378.57	169.07	371.22	0.0	0.56	551.56	1023.0	1407.55	532.74
DUSP26	1.69	52.08	3.35	1.07	0.0	0.18	33.54	12.64	371.22	31.22
DXO	201.25	426.57	205.5	371.22	0.0	1.01	563.18	665.29	629.35	1096.5
EGLN2	1583.71	1268.46	571.05	669.92	0.0	0.95	1388.16	1594.73	2090.03	1977.24
EID3	9.63	37.32	8.92	13.52	0.0	0.27	53.95	68.55	115.97	98.73
EIF3L	5995.9	22850.48	9151.82	9088.59	8305.36	316.37	12244.81	16157.44	31650.8	15075.35
EIF4A2	7966.99	12676.65	6337.83	6607.01	6983.79	1781.89	7803.01	9945.68	15392.14	8134.41
ELANE	0.0	4.39	0.0	3.0	0.0	0.65	17.77	3.72	1.2	6.73
ELF2	361.04	723.08	438.59	371.22	0.0	0.48	480.04	660.68	612.11	432.53
EPC1	417.77	660.68	198.47	221.86	169.07	507.46	651.58	769.69	684.02	753.83
EZH1	139.07	915.51	251.48	307.69	0.0	0.82	651.58	866.07	1225.22	1175.27
FAM188A	454.09	607.87	318.57	237.86	0.0	0.6	387.02	518.15	454.09	612.11
FAM53B	72.52	258.57	163.28	139.07	0.0	0.42	432.53	915.51	500.46	909.17
FANCL	417.77	473.41	212.78	295.11	0.0	0.48	312.0	854.13	624.99	718.08
FRA10AC1	480.04	848.22	218.79	392.44	0.0	0.54	665.29	813.63	830.75	981.29
FRS3	49.91	164.42	76.17	95.34	0.0	0.31	150.17	285.03	193.01	339.14
FSCN3	0.0	3.44	0.71	0.0	0.0	0.15	1.16	4.24	1.83	10.16
GARNL3	34.26	186.4	87.03	85.82	0.0	0.26	149.12	497.0	441.64	2520.38
GNA14	97.36	76.17	42.41	11.3	0.0	0.42	77.25	156.59	90.14	101.54
GPM6A	0.69	17.9	8.32	12.09	0.0	0.0	571.05	1572.76	208.38	124.37
GRK4	16.88	108.14	31.67	46.18	0.0	0.24	126.12	170.25	83.45	162.14
GSTM2	91.41	3928.15	42.71	518.15	0.0	1.22	1250.98	5711.87	4639.29	13306.94
