	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CJ.4874.01A.01R.1305.07	TCGA.BP.4759.01A.01R.1289.07	TCGA.A3.3324.01A.02R.1325.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.1269C.0226.SM.5EGKS	GTEX.Y3I4.0226.SM.4TT27	GTEX.ZVT3.0726.SM.5GICN	GTEX.11ZTS.1126.SM.5LU9X	GTEX.14A5H.0726.SM.5Q5DW	GTEX.13S86.1126.SM.5RQJX
AAAS	547.75	660.68	612.11	836.53	0.0	0.48	1023.0	1295.13	1477.58	1191.69	603.67	1066.48
ABCA2	490.14	381.68	447.82	1216.75	0.0	0.84	954.43	1594.73	3124.78	2417.67	934.76	1359.57
ABCC10	255.0	111.21	153.34	244.57	0.0	0.35	371.22	441.64	473.41	679.29	336.79	620.67
AC021860.1	0.75	1.11	3.92	14.35	0.0	0.39	8.06	42.71	123.5	40.36	14.89	53.95
ADAMTS13	89.51	10.39	21.94	50.98	0.0	0.59	126.12	134.3	246.28	183.82	38.95	154.42
AKR1E2	1.68	20.26	44.89	37.05	0.0	0.71	77.25	96.01	40.07	124.37	26.67	100.83
ANAPC5	848.22	1331.57	1331.57	1477.58	0.0	0.56	2119.22	2303.12	2555.58	2240.11	1487.87	2047.0
APOA1	6.21	1.41	0.87	2.29	0.0	0.12	84.04	46.84	327.56	169.07	17.13	153.34
ARL17B	189.02	93.35	60.82	149.12	0.0	0.24	194.36	271.48	343.89	267.73	176.29	249.73
ARMCX2	19.39	521.76	647.07	1001.93	0.0	0.77	2502.97	1378.57	6337.83	3081.75	1313.23	1733.13
ARVCF	114.36	208.38	217.27	303.44	0.0	0.57	848.22	1073.91	2502.97	1651.0	339.14	785.88
ASPSCR1	343.89	341.51	334.46	289.02	0.0	0.84	915.51	1135.2	1259.69	1183.45	842.36	1096.5
ATG4B	647.07	629.35	642.59	836.53	0.0	0.69	1572.76	1583.71	1923.14	2047.0	1639.59	2047.0
ATXN7L2	53.19	21.63	48.87	85.22	0.0	0.43	277.2	251.48	384.34	470.14	191.67	486.75
BRICD5	29.06	8.13	4.98	74.58	0.0	1.2	316.37	521.76	348.71	555.41	325.29	575.03
C15orf61	136.19	112.77	129.69	108.14	0.0	0.39	194.36	232.94	177.53	197.09	177.53	246.28
C16orf46	19.39	29.7	21.32	48.87	0.0	0.0	234.57	166.73	325.29	323.03	107.38	366.09
C9orf96	55.49	25.54	24.63	37.05	0.0	0.17	54.72	98.73	120.94	75.64	29.91	63.89
CAPS	432.53	47.5	69.03	181.28	0.0	0.01	1127.35	2224.63	4239.45	2555.58	543.96	1259.69
CATSPERG	18.03	97.36	82.29	29.91	0.0	0.38	145.02	151.22	98.04	158.79	114.36	198.47
CCDC13	15.11	11.91	12.27	20.11	0.0	0.13	81.71	170.25	183.82	113.56	48.52	79.45
CCDC149	7.94	148.09	202.66	201.25	0.0	0.77	229.72	376.41	341.51	429.54	336.79	348.71
CCDC36	0.15	2.12	2.97	6.46	0.0	0.2	22.26	30.12	46.18	44.25	10.79	15.11
CCNO	143.01	0.38	0.88	2.32	0.0	0.0	236.21	476.71	563.18	525.39	205.5	466.88
CCS	473.41	860.08	1259.69	1051.79	0.0	0.53	1806.78	1870.53	1819.35	1977.24	642.59	1508.65
CHST8	3.41	3.5	3.38	2.68	0.0	0.2	12.74	22.26	12.09	17.13	8.51	14.14
