	TCGA.4Z.AA81.01A.11R.A39I.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.ZVZP.0926.SM.5GIDB	GTEX.P4QS.1126.SM.3NMD5	GTEX.QLQW.1626.SM.4R1K1	GTEX.Y5V6.2026.SM.5IFHO	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.HU.A4G9.01A.11R.A24K.31	TCGA.F1.6874.01A.11R.1884.13	TCGA.EL.A3GO.01A.11R.A206.07
AC026703.1	2.14	356.05	974.5	438.59	961.07	417.77	1073.91	1733.13	2119.22	2193.99	2468.49	0.0	0.28	0.96	0.89	211.31
ACAD10	161.02	269.6	318.57	571.05	1594.73	638.15	1733.13	1322.37	1331.57	1286.18	1127.35	0.0	0.17	540.19	412.0	329.84
ACTRT3	3.08	27.25	49.56	68.07	90.14	162.14	101.54	47.5	46.18	49.91	50.98	0.0	0.0	33.54	9.56	56.28
AGMAT	82.29	18.03	16.03	295.11	2591.27	400.71	1977.24	3874.05	6561.36	7230.1	5041.77	105.15	131.51	236.21	198.47	5.59
AIFM1	723.08	587.13	830.75	2018.8	4038.61	3168.41	6294.04	4639.29	6607.01	5791.62	5329.3	0.0	0.07	878.17	995.0	476.71
AK4	64.8	579.04	432.53	384.34	4937.99	1183.45	4903.87	3768.09	5872.48	4903.87	5751.61	995.0	764.36	1104.13	20.86	28.45
AL360004.1	0.0	0.0	0.73	0.31	3.63	4.5	3.0	1.11	1.13	2.92	0.0	0.0	0.01	0.0	1.62	0.2
ALDH1B1	228.13	149.12	172.65	872.1	2976.74	1561.89	1540.37	3081.75	2417.67	2271.4	2537.92	1417.35	5255.91	547.75	473.41	299.25
ALDH1L1	52.08	4.7	43.63	2976.74	11424.74	1498.22	6250.56	4038.61	5913.33	6699.25	7180.15	0.0	0.45	3.23	32.82	94.01
ALDH4A1	85.22	1781.89	1183.45	2417.67	8598.28	2997.45	7695.57	11745.96	13033.07	16045.82	13306.94	0.0	0.47	224.97	231.32	107.38
ALPL	33.78	269.6	180.02	53.19	4298.64	341.51	3794.3	2209.26	3955.48	3212.66	3564.78	0.0	0.0	29.06	137.14	269.6
ANK2	0.33	5.15	89.51	387.02	4210.15	4095.0	4937.99	2119.22	4095.0	2758.13	5479.15	0.0	0.2	16.63	12.74	256.78
ANO3	0.0	0.49	0.44	28.65	31.45	4.31	42.71	18.84	26.28	19.25	12.93	0.0	0.02	0.24	1.51	35.0
ANXA9	860.08	547.75	163.28	460.44	813.63	285.03	1199.98	555.41	647.07	603.67	651.58	0.0	0.23	44.89	19.82	339.14
AOX1	4.31	21.94	271.48	1350.18	8191.0	1199.98	5147.73	4575.41	5366.37	4328.55	7803.01	0.0	0.52	0.0	43.02	7.69
AP1G1	255.0	1551.09	529.06	1104.13	1617.0	1628.26	2004.85	988.12	1023.0	1313.23	1119.56	409.15	397.93	825.0	1008.9	679.29
AQP3	198.47	8866908.99	3223059.86	5292.48	13399.51	4181.07	10440.2	3349.13	5255.91	4769.75	4298.64	514.56	665.29	55.89	148.09	18.43
ARSE	4.86	51.71	368.65	559.28	1508.65	476.71	2434.5	1529.73	4.17	2104.58	4.39	0.0	0.0	69.03	215.77	4.66
ATXN1L	70.51	117.6	190.34	417.77	575.03	480.04	503.95	529.06	507.46	633.73	583.07	0.0	0.4	234.57	327.56	244.57
BHMT2	2.46	0.0	4.98	2287.2	10512.82	4607.24	13215.02	9474.59	14361.31	14867.79	14461.21	0.0	0.73	3.47	7.69	37.85
BNIP3	30.34	29531.18	7695.57	934.76	3303.0	1781.89	3103.19	2682.69	3742.05	3395.89	3847.29	0.0	0.77	32.59	518.15	559.28
C5orf15	866.07	607.87	1015.93	1857.6	2004.85	3690.52	2976.74	2133.97	1936.53	1950.0	1551.09	0.0	0.56	796.86	1081.39	1250.98
CALB1	0.0	1.89	24.46	1617.0	3018.3	4836.35	5147.73	8901.53	7433.4	7280.4	8963.45	0.0	0.49	6.26	6.46	6.11
CERKL	14.24	23.76	88.26	135.24	165.57	231.32	232.94	239.52	232.94	199.85	251.48	0.0	0.27	10.31	61.25	26.86
CHRNA4	0.0	0.0	0.0	5.15	35.0	3.79	31.9	59.97	74.06	111.99	61.68	0.0	0.04	0.0	0.87	3.17
CLEC18C	1.83	2.29	11.55	193.01	961.07	119.26	759.08	1023.0	1745.2	1977.24	890.44	0.0	0.17	9.2	10.71	0.0
CNTNAP3B	49.21	11.13	49.21	76.17	251.48	309.83	267.73	75.64	25.72	116.78	301.33	0.0	0.36	8.71	14.78	17.77
CPM	37.59	140.04	309.83	1697.45	2133.97	4388.98	2739.08	1350.18	1225.22	1950.0	1950.0	226.54	191.67	39.79	587.13	854.13
CPN2	0.0	0.91	5.59	101.54	974.5	24.81	733.19	256.78	947.83	866.07	1030.12	0.0	0.01	0.0	1.81	1.19
CRB2	0.0	0.0	0.0	34.51	107.38	87.03	80.01	224.97	228.13	346.29	171.45	0.0	0.0	0.0	2.2	3.35
CRHBP	0.0	18.29	25.72	162.14	500.46	1104.13	500.46	563.18	1697.45	1322.37	1208.34	0.0	0.09	0.0	1.75	63.45
CTSH	3018.3	7589.61	3690.52	14262.1	52135.28	25354.3	49322.93	16157.44	37379.55	34876.28	31650.8	0.0	0.0	8305.36	9409.14	3280.18
CYP27B1	16.51	31.22	66.65	44.25	1030.12	85.22	708.18	303.44	1208.34	3716.2	521.76	0.0	0.24	37.32	30.78	66.18
DAD1	3419.52	7081.29	5329.3	7180.15	9151.82	9215.48	8778.97	6207.38	7589.61	6250.56	7032.37	0.0	0.99	3419.52	3847.29	4903.87
DDN	1.22	57.08	0.0	33.3	138.1	108.9	100.13	339.14	551.56	551.56	483.38	0.0	0.32	4.24	4.31	3.32
DDX10	368.65	202.66	819.3	420.68	780.44	674.59	909.17	1088.92	1950.0	1378.57	1447.15	0.0	0.47	353.59	376.41	356.05
DHFRL1	22.43	28.45	98.04	134.3	146.03	176.29	206.94	128.79	106.63	125.24	162.14	0.0	0.0	71.0	78.34	111.21
DHTKD1	277.2	447.82	169.07	470.14	1286.18	674.59	872.1	1037.29	1233.75	1447.15	1417.35	414.87	353.59	363.56	429.54	323.03
DOK6	2.43	2.23	17.38	22.26	205.5	44.89	167.9	81.14	137.14	131.51	96.01	0.0	0.31	0.84	18.29	35.25
EAF2	117.6	55.1	115.16	221.86	277.2	253.23	444.72	567.1	854.13	674.59	884.29	0.0	0.21	37.05	88.88	35.76
EHD3	18.56	1037.29	155.5	281.09	348.71	571.05	460.44	612.11	947.83	780.44	688.78	0.0	0.44	19.97	84.04	102.25
ELP4	141.02	339.14	293.07	368.65	470.14	400.71	579.04	341.51	397.93	334.46	341.51	0.0	0.03	251.48	231.32	295.11
ENPEP	15.11	13.42	4.9	511.0	3982.99	961.07	4038.61	3212.66	4639.29	4419.52	4066.71	0.0	0.12	16.88	133.36	457.25
FAH	126.12	265.87	547.75	1417.35	2485.67	1794.29	2133.97	3257.52	5183.54	4268.94	4358.66	0.0	0.17	285.03	397.93	361.04
FAHD1	291.04	669.92	693.58	842.36	2090.03	1529.73	2451.44	2502.97	3257.52	2796.65	3419.52	444.72	1183.45	423.61	753.83	426.57
FAM20C	128.79	70.01	267.73	1008.9	2627.46	769.69	2351.53	2434.5	2720.15	3742.05	2915.45	0.0	0.61	403.5	961.07	271.48
FAM50B	9.56	23.76	131.51	346.29	555.41	366.09	848.22	392.44	400.71	450.94	473.41	0.0	0.32	85.82	329.84	163.28
FCN3	55.1	40.36	31.45	208.38	878.17	703.28	1259.69	368.65	1508.65	802.41	529.06	0.0	0.79	15.34	115.16	100.13
FGF1	3.66	153.34	18.03	258.57	961.07	728.11	1286.18	2351.53	2739.08	2032.85	2335.28	0.0	0.0	2.36	21.47	381.68
FKBP5	599.49	325.29	981.29	2537.92	2609.3	1896.65	2956.17	1359.57	2178.83	612.11	1199.98	0.0	0.12	69.03	902.89	309.83
FN3K	332.14	64.8	180.02	825.0	2061.24	1008.9	2351.53	2335.28	3467.27	4575.41	3768.09	0.0	0.41	860.08	802.41	318.57
G6PC	0.0	0.0	0.0	473.41	6079.61	16.39	3039.3	1757.34	4123.49	5517.27	4512.4	0.0	0.0	0.0	1.68	0.0
GADL1	0.0	0.0	0.28	11.3	8.19	0.0	11.47	1.35	1.71	3.11	4.86	0.0	0.0	0.0	0.62	0.0
GALNT11	376.41	638.15	1963.57	2451.44	6745.86	3928.15	9606.86	4704.07	6250.56	6294.04	5555.65	0.0	0.64	525.39	525.39	674.59
GATSL3	43.02	7180.15	7280.4	241.19	620.67	277.2	511.0	441.64	733.19	525.39	595.34	0.0	0.54	51.35	78.89	529.06
GLDC	9.85	7.11	0.0	1151.06	3614.55	7695.57	4543.8	1540.37	1457.23	2018.8	1745.2	0.0	0.35	3.56	8.19	59.13
GLG1	368.65	703.28	575.03	1963.57	2682.69	2468.49	3212.66	2004.85	1950.0	2240.11	2119.22	0.0	0.93	808.0	1781.89	1437.15
GLYATL1	0.0	8.51	0.0	718.08	6079.61	571.05	5954.47	5041.77	10440.2	9409.14	12853.63	0.0	0.16	1.87	9.13	0.62
GPX3	198.47	13306.94	8479.89	48643.87	299043.36	68793.23	212926.09	453265.5	772940.66	711250.37	668235.84	0.0	1.17	96.01	981.29	17558.94
GSPT2	7.11	14.67	33.54	253.23	244.57	295.11	307.69	161.02	126.12	130.6	159.9	0.0	0.13	4.62	16.63	93.35
HDAC6	995.0	334.46	490.14	2255.7	3874.05	981.29	3303.0	2777.33	3515.68	4181.07	3690.52	0.0	1.08	791.35	1216.75	1721.16
HECW1	0.34	0.0	2.14	32.13	348.71	96.68	209.84	409.15	629.35	620.67	718.08	0.0	0.13	2.16	28.65	9.27
HGD	1.53	19.68	162.14	2351.53	7032.37	1806.78	5292.48	3235.01	6294.04	4937.99	5366.37	0.0	0.36	323.03	435.55	921.88
HPD	0.0	1.41	15.91	571.05	9540.5	1175.27	5112.16	16960.78	30785.28	29943.43	25354.3	0.0	0.36	3.44	16.63	6.94
IL17RB	8.25	50.98	1151.06	775.05	3372.43	1457.23	2255.7	1639.59	2796.65	1950.0	2627.46	0.0	0.41	1151.06	547.75	29.48
JPH4	0.93	0.44	9.27	76.71	34.02	35.76	38.4	71.5	55.89	46.84	39.79	0.0	0.0	0.78	3.47	10.08
KCNJ10	3.63	3.0	1.77	412.0	1477.58	764.36	2384.37	348.71	656.11	796.86	674.59	27.64	63.0	0.87	13.22	32.82
KIFAP3	218.79	497.0	595.34	616.37	954.43	836.53	909.17	591.22	688.78	583.07	665.29	0.0	0.48	99.43	218.79	397.93
KMO	7.88	18.03	12.0	48.52	915.51	137.14	567.1	559.28	1088.92	1066.48	1001.93	0.0	0.04	3.59	17.25	3.44
KRT6A	22380.2	2.01760973986E9	2.41604469791E9	6.52	2.12	0.93	0.13	38.12	52.45	1.57	52.82	0.0	1.17	1.07	4.28	0.0
KRT85	0.6	1.5	0.13	2.58	4.94	0.75	2.97	8.32	6.06	8.58	3.99	0.0	0.0	0.0	0.56	0.0
LCMT2	46.84	120.1	186.4	283.05	307.69	293.07	279.14	165.57	132.44	122.64	170.25	0.0	0.0	119.26	133.36	49.21
LMX1B	8.13	26.86	0.0	12.64	34.75	21.32	26.86	98.73	108.14	119.26	70.51	0.0	0.0	0.0	0.55	1.39
MAPT	28.24	244.57	194.36	61.68	525.39	205.5	381.68	1119.56	1304.15	1844.76	1628.26	0.0	0.13	0.62	40.36	13.83
MCAT	384.34	490.14	507.46	514.56	808.0	708.18	884.29	738.29	954.43	1051.79	1340.84	0.0	0.0	463.65	400.71	351.14
METTL21B	42.41	77.25	122.64	116.78	303.44	166.73	220.32	220.32	441.64	426.57	275.28	0.0	0.36	82.87	119.26	178.77
MRPL34	1242.34	1806.78	1857.6	2287.2	3564.78	2855.44	3982.99	3874.05	4010.71	4836.35	3928.15	0.0	0.4	1781.89	2090.03	1977.24
MSH3	100.13	161.02	180.02	191.67	316.37	218.79	231.32	325.29	497.0	409.15	432.53	0.0	0.13	111.99	100.83	159.9
MTNR1A	0.0	0.0	0.0	10.16	110.43	29.91	71.0	30.12	59.13	56.28	34.02	0.0	0.0	8.19	17.77	0.0
MYLK3	0.0	0.45	0.0	11.82	19.53	31.45	43.63	63.45	53.57	76.17	56.68	0.0	0.0	0.0	1.23	14.78
NIPSNAP1	483.38	3103.19	1477.58	1819.35	2682.69	2384.37	3190.46	3124.78	4038.61	3874.05	4038.61	2758.13	325.29	909.17	890.44	728.11
