	TCGA.AR.A1AH.01A.11R.A12D.07	TCGA.BH.A0HK.01A.11R.A056.07	TCGA.BH.A0DK.01A.21R.A056.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.XUJ4.1026.SM.4BOPB	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.58.A46L.01A.11R.A24H.07	TCGA.56.8304.01A.11R.2326.07	TCGA.77.8143.01A.11R.2247.07	GTEX.ZP4G.1926.SM.57WDZ	GTEX.13D11.1226.SM.5IFGA
AC026703.1	26.1	128.79	58.71	356.05	974.5	130.6	0.0	0.28	158.79	363.56	723.08	334.46	100.83
ACAT2	693.58	301.33	713.11	4481.23	1844.76	1051.79	0.0	0.0	1844.76	1143.1	2895.31	2367.9	466.88
AHNAK2	35.0	236.21	155.5	4639.29	7230.1	1104.13	0.0	0.57	1794.29	2303.12	3060.45	7537.18	1674.06
ALOX12B	0.0	16.15	7.51	23492.92	8363.13	125.24	0.0	0.16	42.41	312.0	197.09	376.41	4.31
BMP7	8.78	307.69	141.02	23009.42	19214.73	1331.57	0.0	0.54	642.59	2835.7	3564.78	5292.48	150.17
C12orf54	4.43	74.06	29.48	909.17	2682.69	157.68	0.0	0.0	191.67	441.64	1088.92	353.59	66.18
CAPN14	1.83	10.79	2.97	327.56	2004.85	5183.54	0.0	0.35	6.57	217.27	78.89	27745.15	1.1
CBR1	1030.12	1896.65	1175.27	10296.45	6935.54	4152.18	0.0	0.87	2004.85	4512.4	3716.2	15392.14	1757.34
CDHR1	0.0	14.03	8.51	6381.92	90146.51	412.0	0.0	0.41	133.36	348.71	414.87	2287.2	4.46
CHCHD10	884.29	5006.93	2645.74	5913.33	11504.21	3742.05	0.0	0.6	3190.46	4937.99	9808.75	4066.71	620.67
CIDEB	63.0	320.8	146.03	3874.05	6792.79	1135.2	0.0	0.58	303.44	373.81	457.25	981.29	293.07
CRNN	0.0	10.08	1.51	971597.0	706337.4	28723.62	0.0	0.0	9.85	373.81	438.59	4558095.38	3.56
CSTB	1844.76	2956.17	2537.92	443937.41	169390.27	51775.15	0.0	0.74	5517.27	32767.0	25530.66	288856.81	1286.18
CTNND1	2119.22	775.05	1857.6	20593.91	8840.04	5441.3	1674.06	536.45	4903.87	3928.15	4358.66	5183.54	1745.2
DAPP1	220.32	187.71	242.88	915.51	679.29	836.53	148.09	351.14	242.88	316.37	616.37	1583.71	105.89
DEFB103A	0.0	0.0	0.0	239554.43	954.43	118.43	0.0	0.0	1.31	9.63	25.54	16611.71	0.0
DNASE1L3	3.92	109.66	38.4	1286.18	1044.52	400.71	0.0	0.0	50.27	567.1	258.57	3103.19	22.43
DYNAP	0.0	1.53	0.0	1674.06	20.26	1030.12	0.0	0.04	0.0	29.7	46.84	10014.87	0.0
F12	3.17	334.46	303.44	1447.15	1388.16	536.45	0.0	0.66	387.02	389.72	591.22	1023.0	17.38
FAM83F	106.63	217.27	406.31	7382.04	5711.87	607.87	0.0	0.31	490.14	775.05	1697.45	599.49	5.63
FGFBP1	12.93	579.04	249.73	4194303.0	767601.56	9409.14	0.0	0.03	1572.76	1551.09	5255.91	54349.29	12.45
GBP6	0.56	146.03	79.45	9975791.32	1123834.93	4152.18	0.0	0.17	409.15	2090.03	571.05	29531.18	7.51
GCLC	336.79	688.78	583.07	7081.29	6164.49	1081.39	1143.1	1519.15	2061.24	1628.26	5791.62	2104.58	409.15
GPR157	181.28	135.24	120.94	4181.07	954.43	463.65	80.57	212.78	189.02	281.09	921.88	1936.53	47.5
GRHL3	4.7	84.63	27.44	80683.28	31650.8	1923.14	0.0	0.38	559.28	693.58	571.05	10084.54	7.34
HCN2	1.6	1.69	15.45	109.66	7.88	35.76	0.0	0.27	7.34	5.92	38.12	30.34	1.62
HES2	1.22	37.59	52.08	40062.48	43537.38	796.86	0.0	0.13	400.71	423.61	785.88	1008.9	2.43
HMGCR	373.81	368.65	463.65	4066.71	2287.2	1304.15	0.0	0.0	1037.29	463.65	1639.59	2032.85	450.94
HMGCS1	497.0	2367.9	748.61	8134.41	3190.46	2417.67	172.65	414.87	2895.31	2468.49	3614.55	4671.57	723.08
IL20RB	8.78	27.64	23.93	746611.43	2201414.44	1697.45	0.0	0.87	540.19	1467.37	1870.53	9606.86	8.06
KRT15	1883.54	6207.38	3303.0	1.054459145E7	2.10891839E7	77934.88	0.0	0.93	5479.15	53973.86	75280.1	187950.38	10.0
KRT5	1896.65	14065.74	8191.0	4.3607468381E8	8.2510357921E8	231394.29	0.0	0.8	52135.28	90146.51	82378.63	447025.24	33.54
KRT6A	11.55	5831.91	2573.36	2.01760973986E9	2.41604469791E9	267651.2	0.0	1.17	50359.33	91404.92	42054.3	887875.81	32.13
KRT78	1.64	19.39	18.56	164758.26	26614.89	9279.58	0.0	0.39	38.67	327.56	281.09	215898.44	0.27
