	TCGA.CR.7391.01A.11R.2016.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.50.5068.01A.01R.1628.07	TCGA.50.5935.11A.01R.1858.07	TCGA.50.6595.11A.01R.1858.07	GTEX.131YS.0926.SM.5IJB9	GTEX.T2IS.0526.SM.32QP9
AC090186.1	249.73	361.04	199.85	0.0	0.36	981.29	473.41	579.04	1340.84	624.99
ACYP1	144.01	218.79	190.34	0.0	0.69	698.41	232.94	283.05	265.87	309.83
ANXA2R	33.78	33.06	25.17	0.0	0.43	111.99	49.91	65.72	80.01	157.68
APOBEC3G	551.56	143.01	70.01	0.0	0.44	1540.37	435.55	567.1	1127.35	1030.12
ATG4C	141.02	64.34	65.26	0.0	0.0	258.57	167.9	171.45	246.28	201.25
AURKC	14.56	64.8	17.0	0.0	0.34	82.29	29.27	32.36	15.68	46.5
BAG2	100.83	25.91	45.85	0.0	0.64	466.88	211.31	307.69	738.29	514.56
BBS4	157.68	84.63	43.02	0.0	0.57	830.75	320.8	384.34	521.76	353.59
C11orf74	232.94	115.97	164.42	0.0	0.07	1183.45	486.75	368.65	825.0	703.28
C12orf60	27.44	8.38	3.35	0.0	0.0	136.19	35.0	41.81	70.01	55.89
C1orf54	325.29	170.25	149.12	0.0	0.2	2193.99	854.13	656.11	1909.85	967.76
C5orf45	162.14	163.28	55.89	271.48	129.69	1457.23	432.53	536.45	591.22	723.08
C5orf56	82.87	41.22	19.25	0.0	0.38	624.99	285.03	490.14	928.3	748.61
CASP1	890.44	1857.6	1295.13	0.0	0.46	2645.74	1340.84	1437.15	2502.97	2895.31
CLK1	713.11	2018.8	656.11	0.0	0.45	3847.29	890.44	2417.67	3325.99	3146.52
COPS8	775.05	409.15	651.58	0.0	0.67	2004.85	1044.52	878.17	1233.75	1088.92
CT45A2	0.0	0.0	0.0	0.0	0.0	0.0	5.28	4.06	0.0	3.449777448E7
DHRS4-AS1	55.89	34.51	21.63	0.0	0.22	314.17	119.26	90.14	229.72	134.3
DKFZP779J2370	5.41	24.81	0.0	0.0	0.0	117.6	39.5	41.81	54.33	71.5
DNAJC19	525.39	387.02	356.05	0.0	0.77	1745.2	587.13	759.08	1001.93	1477.58
ECHDC1	884.29	679.29	748.61	0.0	0.51	1662.49	1529.73	1628.26	2502.97	1268.46
ELAC1	103.69	54.72	49.91	0.0	0.0	265.87	187.71	180.02	242.88	193.01
FAM118B	231.32	135.24	159.9	0.0	0.32	1233.75	532.74	420.68	371.22	275.28
FAM200B	633.73	420.68	358.54	0.0	0.39	1529.73	909.17	921.88	1350.18	1457.23
FAM229B	139.07	36.27	44.89	0.0	0.28	2090.03	483.38	392.44	748.61	995.0
FOPNL	607.87	327.56	373.81	0.0	0.51	1008.9	579.04	583.07	1175.27	981.29
FRG1	796.86	825.0	896.64	0.0	0.53	2018.8	896.64	902.89	1781.89	1340.84
GNLY	748.61	189.02	180.02	0.0	0.22	836.53	1561.89	1733.13	3257.52	4298.64
GSTT2	29.27	5.87	30.12	0.0	0.73	567.1	242.88	62.12	84.04	563.18
GSTT2B	1.68	3.5	11.82	0.0	0.53	155.5	102.97	34.75	22.1	195.72
GZMA	575.03	139.07	80.01	0.0	0.21	2271.4	409.15	743.43	1896.65	1674.06
HMGN2	8363.13	3847.29	5255.91	10585.95	4575.41	17681.08	12329.98	12160.22	23009.42	21468.49
IDNK	102.25	143.01	80.57	0.0	0.23	403.5	258.57	279.14	521.76	532.74
IFT46	384.34	162.14	214.27	0.0	0.07	1467.37	490.14	432.53	540.19	688.78
IL15	92.05	64.34	52.08	0.0	0.49	647.07	178.77	264.03	563.18	368.65
ILK	1923.14	1051.79	1427.22	0.0	0.77	4239.45	3419.52	3768.09	4903.87	4181.07
KANSL2	346.29	318.57	260.38	0.0	0.59	1233.75	463.65	587.13	1015.93	665.29
KLRG1	56.28	8.58	4.13	0.0	0.01	140.04	58.3	105.15	204.07	108.9
LAYN	234.57	118.43	273.37	0.0	0.6	1369.04	423.61	332.14	728.11	373.81
LOH12CR2	4.62	3.41	1.64	0.0	0.0	44.89	21.32	24.11	66.65	45.85
LYRM5	351.14	371.22	226.54	309.83	309.83	967.76	599.49	684.02	1295.13	1037.29
MAT2B	1143.1	638.15	656.11	0.0	0.61	3168.41	1617.0	1781.89	3901.01	2319.15
MGMT	339.14	28.65	38.95	0.0	0.53	1617.0	567.1	409.15	339.14	1268.46
MYL12A	10733.74	9808.75	10585.95	0.0	1.19	20593.91	17927.91	17804.06	32092.64	21320.18
N4BP2L1	107.38	53.57	46.5	0.0	0.34	1096.5	575.03	780.44	988.12	684.02
N6AMT2	110.43	50.98	60.39	0.0	0.08	412.0	236.21	281.09	353.59	320.8
NECAP2	1250.98	1066.48	1001.93	0.0	0.73	3039.3	1844.76	1844.76	2573.36	3716.2
NFU1	693.58	620.67	679.29	0.0	0.64	3168.41	1119.56	1183.45	2451.44	2193.99
NIPSNAP3A	555.41	325.29	457.25	0.0	0.37	1457.23	669.92	587.13	1709.26	1498.22
PMPCB	738.29	723.08	633.73	0.0	0.93	1757.34	981.29	981.29	1350.18	1143.1
PPP3CB	603.67	346.29	412.0	620.67	279.14	947.83	656.11	684.02	1159.07	769.69
PQLC3	454.09	143.01	248.0	0.0	0.35	1498.22	780.44	638.15	1519.15	1008.9
PYURF	1066.48	1388.16	1183.45	0.0	0.83	3690.52	1909.85	1844.76	2682.69	2287.2
RAB28	208.38	153.34	119.26	0.0	0.53	463.65	363.56	490.14	890.44	660.68
RNF130	1008.9	211.31	314.17	0.0	0.8	2075.59	2075.59	2384.37	2664.15	2520.38
RPA2	651.58	490.14	289.02	0.0	0.3	1745.2	733.19	796.86	1508.65	1407.55
RRAS2	543.96	532.74	813.63	0.0	0.62	934.76	884.29	785.88	1159.07	638.15
SARNP	1286.18	1127.35	1322.37	0.0	0.91	4181.07	1487.87	1467.37	2609.3	2255.7
SETD4	139.07	132.44	167.9	0.0	0.44	551.56	194.36	329.84	543.96	426.57
SFT2D1	819.3	808.0	759.08	0.0	0.77	2178.83	1191.69	1359.57	1551.09	1208.34
SLC35A1	221.86	264.03	151.22	0.0	0.46	1088.92	860.08	1037.29	2835.7	1733.13
SMIM8	45.85	53.19	69.52	0.0	0.29	234.57	115.97	126.12	279.14	341.51
SPIN2B	100.13	52.82	67.59	0.0	0.41	412.0	189.02	190.34	307.69	379.04
SRSF7	1685.71	1397.83	1015.93	0.0	0.62	5791.62	1977.24	2434.5	3639.7	3081.75
SYCP3	4.94	2.46	2.61	0.0	0.27	55.1	2.23	5.5	21.47	14.14
TBRG1	368.65	320.8	209.84	329.84	118.43	836.53	660.68	723.08	612.11	633.73
TMEM242	132.44	109.66	118.43	114.36	189.02	224.97	157.68	159.9	267.73	187.71
TMIGD2	10.63	5.59	3.38	0.0	0.19	36.79	17.51	44.25	33.06	35.5
TNFSF10	3847.29	3349.13	2434.5	1806.78	1674.06	12589.08	3081.75	7331.05	18689.27	15392.14
ZC2HC1A	79.45	53.95	62.56	0.0	0.16	796.86	303.44	256.78	830.75	476.71
ZMYM6NB	457.25	99.43	221.86	0.0	0.68	2915.45	1551.09	1709.26	2835.7	3982.99
ZNF487	58.71	24.28	22.43	0.0	0.09	341.51	145.02	137.14	212.78	420.68
ZNF599	61.25	15.68	31.0	0.0	0.35	205.5	138.1	118.43	181.28	201.25
ZNF684	50.27	12.64	16.88	0.0	0.17	166.73	79.45	90.14	102.97	113.56
ZNF706	3820.7	4639.29	4066.71	0.0	1.17	4704.07	2271.4	2367.9	5954.47	5147.73
