	TCGA.BH.A0B3.11B.21R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.BH.A18N.11A.43R.A12D.07	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.11ZTT.2326.SM.5EQLG	GTEX.YB5K.1626.SM.5IFIN	GTEX.ZQG8.0726.SM.5P9H9	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.KL.8339.01A.11R.2315.07	TCGA.KN.8421.01A.11R.2315.07	GTEX.13112.2126.SM.5GCO4	GTEX.13OVL.1826.SM.5KLZR	TCGA.38.4625.01A.01R.1206.07
AASS	264.03	206.94	206.94	271.48	543.96	299.25	808.0	728.11	660.68	4.43	29.48	8.25	105.15	147.06	147.06	0.0
ABCB11	1.06	1.14	1.14	1.45	4.66	1.69	6.41	4.94	4.13	0.97	2.48	0.64	0.0	0.0	0.38	0.0
ABCB6	400.71	559.28	559.28	480.04	902.89	2193.99	1242.34	995.0	848.22	343.89	603.67	74.58	616.37	258.57	189.02	0.0
ABHD15	271.48	432.53	432.53	316.37	866.07	612.11	1023.0	954.43	1340.84	101.54	152.28	48.52	55.49	231.32	161.02	0.0
ACACA	612.11	1008.9	1008.9	921.88	1437.15	2061.24	2875.3	4268.94	1457.23	961.07	769.69	265.87	251.48	684.02	713.11	0.0
ADCK3	1199.98	1674.06	1674.06	1304.15	4066.71	3768.09	6037.61	6561.36	4481.23	155.5	547.75	429.54	189.02	1674.06	1594.73	0.0
ADH1A	30.78	65.72	65.72	24.81	49.56	73.03	74.58	181.28	283.05	1.51	0.35	0.0	0.0	1.87	15.45	0.0
ADRBK2	327.56	555.41	555.41	368.65	1388.16	1225.22	1304.15	2468.49	890.44	15.34	23.59	18.7	31.0	34.75	32.36	65.26
AIFM2	406.31	1008.9	1008.9	759.08	1369.04	1685.71	1242.34	1397.83	2047.0	32.13	47.84	470.14	299.25	122.64	121.79	0.0
AKAP12	579.04	1883.54	1883.54	1143.1	2287.2	1674.06	4543.8	3540.14	2537.92	0.0	14.03	21.94	8.92	281.09	253.23	87.03
ALOX5AP	616.37	738.29	738.29	620.67	848.22	796.86	785.88	1037.29	1447.15	91.41	361.04	438.59	33.3	205.5	107.38	0.0
