	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.WHSB.0326.SM.5FQSD	GTEX.QXCU.0626.SM.2TC69	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WY7C.0426.SM.3NB3C	GTEX.XUJ4.1426.SM.4BONT	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.WHPG.1426.SM.3NMBB	GTEX.13VXU.2726.SM.5LU4N	GTEX.XPVG.1026.SM.4B64Y	GTEX.ZY6K.0326.SM.5SIBB	GTEX.145LS.1226.SM.5Q5D9
ABCC6	0.0	0.26	1709.26	143.01	796.86	167.9	389.72	896.64	1437.15	1286.18	195.72	647.07	13.03	1066.48	693.58	293.07
ACADL	0.0	0.1	1909.85	299.25	1015.93	86.43	343.89	896.64	921.88	1208.34	351.14	412.0	30.34	1617.0	476.71	320.8
AKR7A2	0.0	0.16	1540.37	283.05	1066.48	536.45	1233.75	1594.73	1331.57	1685.71	748.61	796.86	426.57	1233.75	748.61	647.07
AL078585.1	0.0	0.0	8.65	5.23	0.0	0.0	0.0	6.94	10.08	13.52	3.53	0.0	3.82	2.86	8.0	0.0
ALDH3B1	148.09	463.65	6337.83	476.71	2935.74	764.36	2997.45	3820.7	3168.41	5006.93	507.46	2303.12	163.28	4210.15	2956.17	3419.52
ATPIF1	0.0	0.65	7803.01	1388.16	4298.64	2537.92	4038.61	6337.83	5441.3	5954.47	3564.78	2976.74	1896.65	4769.75	4512.4	3540.14
B3GALT4	0.0	0.25	813.63	155.5	353.59	150.17	295.11	400.71	660.68	486.75	285.03	341.51	132.44	536.45	283.05	141.02
BPNT1	0.0	0.0	813.63	205.5	651.58	497.0	688.78	866.07	830.75	1023.0	373.81	633.73	162.14	780.44	620.67	532.74
C14orf93	0.0	0.02	223.41	63.0	158.79	67.12	140.04	195.72	228.13	281.09	96.68	117.6	70.51	189.02	169.07	129.69
C15orf38	0.0	0.33	796.86	172.65	356.05	273.37	420.68	490.14	563.18	665.29	223.41	441.64	101.54	629.35	460.44	193.01
