	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.E2.A108.01A.13R.A10J.07	GTEX.Q734.0626.SM.2I3EF	TCGA.60.2715.01A.01R.0851.07	GTEX.Y5LM.0626.SM.4V6G4	GTEX.12WSK.0926.SM.5CVNQ	GTEX.PWN1.2626.SM.2I3FH	GTEX.P4QT.2626.SM.2I3FM	GTEX.132QS.0326.SM.5IJFN	GTEX.ZV7C.0126.SM.57WDE	GTEX.PWCY.2326.SM.2I3EQ	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.T8EM.0226.SM.3DB7C
AC008964.1	389.72	389.72	688.78	684.02	267.73	19.68	19.68	38.67	95.34	20.86	30.34	34.75	7.06	18.03	5.36	10.0	27.44
ADAM19	137.14	137.14	248.0	307.69	543.96	28.24	12.64	101.54	155.5	45.21	62.56	27.84	12.45	8.65	12.93	23.25	18.16
ADCY3	854.13	854.13	1111.82	902.89	1388.16	607.87	299.25	713.11	1208.34	503.95	733.19	775.05	332.14	420.68	236.21	669.92	620.67
AIF1	2061.24	2061.24	3372.43	11992.79	2609.3	400.71	61.68	728.11	1427.22	368.65	638.15	460.44	66.18	241.19	117.6	172.65	204.07
ARHGAP30	412.0	412.0	764.36	2351.53	547.75	61.25	19.97	269.6	289.02	52.45	182.55	109.66	26.28	34.26	32.36	43.63	34.51
C16orf54	100.83	100.83	204.07	1051.79	100.83	16.39	5.11	56.68	105.89	6.11	19.68	17.9	3.59	6.06	10.47	1.68	5.28
C1R	18304.63	18304.63	25708.25	20451.65	22225.61	10440.2	2209.26	16843.62	33455.53	13586.57	10440.2	7966.99	1127.35	2163.77	1286.18	3018.3	2434.5
C1S	9540.5	9540.5	13123.73	11992.79	11664.82	5995.9	1119.56	8778.97	12329.98	4298.64	5147.73	5594.3	255.0	432.53	507.46	1030.12	1551.09
C2CD4A	28.45	28.45	128.79	50.27	79.45	4.54	0.51	1.23	13.83	0.99	5.06	1.17	1.08	0.0	0.0	4.39	1.58
CD209	36.01	36.01	218.79	878.17	173.85	14.24	5.87	25.91	73.54	25.54	24.99	23.08	5.32	10.71	6.78	5.32	15.11
CD27	395.18	395.18	1088.92	4607.24	384.34	67.12	22.1	159.9	476.71	86.43	72.01	133.36	195.72	363.56	307.69	218.79	98.04
CD48	1277.29	1277.29	2133.97	4769.75	848.22	82.29	64.34	211.31	493.56	34.02	99.43	138.1	14.03	16.39	34.75	21.94	84.63
CIITA	260.38	260.38	669.92	4419.52	373.81	98.73	20.11	84.04	363.56	11.21	91.41	118.43	24.81	20.71	45.21	55.49	100.13
CORO1A	1745.2	1745.2	2816.11	4972.34	2075.59	366.09	131.51	909.17	1963.57	312.0	780.44	309.83	99.43	159.9	142.01	187.71	273.37
CPXM2	587.13	587.13	1037.29	289.02	273.37	88.88	86.43	361.04	511.0	98.73	236.21	82.87	22.75	48.87	124.37	29.7	44.57
CRTAM	46.84	46.84	162.14	118.43	45.21	3.35	5.32	11.64	35.5	3.69	4.98	16.03	2.05	0.0	1.55	2.66	12.0
CTC-479C5.12	36.01	36.01	32.59	76.17	69.52	15.34	11.21	22.59	82.29	23.42	23.42	20.11	22.43	15.34	13.03	34.26	21.78
DCC	4.24	4.24	12.0	173.85	5.92	0.39	0.0	2.94	8.58	0.36	0.0	0.39	0.0	0.0	0.0	0.0	0.36
DMBT1	6.21	6.21	3.76	8840.04	1498.22	0.13	1.39	0.8	83.45	15.91	4.03	0.45	0.72	0.95	0.79	1.68	1.22
DOK2	183.82	183.82	511.0	3491.39	532.74	68.07	6.94	130.6	348.71	31.67	126.12	46.5	8.92	23.08	9.06	15.11	29.27
ENPP6	8.0	8.0	10.47	7.22	6.21	3.69	2.1	5.77	9.78	2.89	3.2	5.02	2.39	2.27	0.72	1.73	2.84
F13A1	460.44	460.44	1794.29	3060.45	825.0	255.0	135.24	629.35	1216.75	316.37	426.57	376.41	60.39	125.24	109.66	101.54	169.07
FAM26F	669.92	669.92	1540.37	2417.67	232.94	33.78	18.16	116.78	507.46	11.38	113.56	22.75	9.85	14.35	11.04	63.45	73.54
FBLN1	6037.61	6037.61	5672.41	11504.21	6745.86	2777.33	1378.57	9606.86	12160.22	2502.97	4123.49	4298.64	363.56	674.59	819.3	241.19	1233.75
FCN1	153.34	153.34	199.85	3847.29	255.0	125.24	27.64	61.25	204.07	4.5	11.73	34.26	2.89	3.79	19.97	3.35	7.34
FPR2	8.45	8.45	17.64	320.8	36.27	6.78	4.35	14.35	38.12	3.11	7.51	4.98	2.36	0.05	1.55	0.97	2.39
FYB	406.31	406.31	660.68	1721.16	202.66	24.81	12.83	107.38	215.77	30.56	46.18	75.11	4.58	3.89	10.16	13.83	21.47
GLIPR2	1030.12	1030.12	1119.56	1417.35	1127.35	791.35	265.87	575.03	1340.84	293.07	379.04	234.57	209.84	309.83	420.68	323.03	171.45
GNA15	156.59	156.59	318.57	909.17	698.41	30.12	5.63	60.82	124.37	24.81	58.71	36.27	8.0	10.79	2.66	15.68	12.93
GPR114	34.51	34.51	56.68	318.57	52.82	2.05	1.6	14.89	29.91	8.32	14.14	5.23	1.55	1.46	1.68	11.73	6.57
GSDMA	17.38	17.38	30.34	26.86	97.36	1.43	1.03	9.85	39.22	2.89	9.56	14.89	0.26	4.1	0.67	1.39	0.23
GYPC	941.27	941.27	2367.9	3235.01	1745.2	660.68	351.14	738.29	1104.13	376.41	830.75	414.87	205.5	366.09	291.04	620.67	312.0
HAPLN3	403.5	403.5	890.44	295.11	743.43	130.6	11.04	78.34	202.66	35.76	119.26	46.18	19.82	58.3	34.02	53.95	54.33
HCLS1	1369.04	1369.04	2163.77	2367.9	1583.71	379.04	178.77	1119.56	1498.22	358.54	995.0	599.49	141.02	127.89	121.79	332.14	277.2
HLA-DOB	113.56	113.56	246.28	273.37	183.82	11.38	11.38	32.59	127.0	15.45	30.56	20.11	0.0	13.83	5.23	8.45	40.07
HLA-DQB2	186.4	186.4	1498.22	713.11	674.59	21.47	14.67	77.25	376.41	1.27	112.77	54.33	9.78	72.01	23.25	127.89	26.47
IL18BP	555.41	555.41	1216.75	808.0	860.08	171.45	198.47	229.72	1923.14	277.2	255.0	205.5	111.21	91.41	186.4	381.68	275.28
KIF3C	111.21	111.21	124.37	307.69	182.55	72.52	47.17	78.34	175.07	48.87	104.42	77.25	31.9	33.06	82.29	103.69	50.27
LBP	97.36	97.36	3303.0	82.29	38.67	27.44	3.17	15.34	79.45	29.27	39.22	14.45	3.63	24.28	3.29	16.51	13.93
LCP1	1605.83	1605.83	4358.66	8305.36	1950.0	291.04	90.14	830.75	1467.37	69.03	414.87	395.18	43.63	50.63	63.0	63.45	125.24
