	GTEX.RTLS.1326.SM.46MUN	GTEX.Y5LM.0426.SM.4VBRO	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1399T.0826.SM.5IFES	GTEX.13FTZ.0526.SM.5IJCW	GTEX.S7SE.0926.SM.2XCD6	GTEX.111FC.1126.SM.5GZWU	GTEX.ZE7O.0826.SM.57WCP	GTEX.Q734.0626.SM.2I3EF	GTEX.WK11.0526.SM.3NB3O	TCGA.43.5670.11A.01R.2125.07	TCGA.51.4081.11A.01R.1758.07
AC135178.1	7.63	3.59	3.92	17.25	10.0	10.88	8.06	13.32	12.0	17.38	13.72	5.54	8.65	19.97	90.77	60.39	85.82	92.7	58.71	68.07	34.75	31.67
AKNA	57.49	22.26	61.25	164.42	108.9	118.43	131.51	81.71	93.35	414.87	248.0	130.6	77.25	262.2	1277.29	1498.22	629.35	884.29	1119.56	1104.13	974.5	1066.48
ALB	1.450452687E7	3070409.25	5.228884881E7	3.286389077E7	7.343680617E7	3.286389077E7	2.372656541E7	7353500.77	2.8412057E7	1.748967224E7	1.940600651E7	2.669377385E7	2.596383117E7	2.8412057E7	2.58	0.0	426.57	19.68	2.81	10.79	11.73	33.06
ASTN2	38.67	28.86	47.17	63.0	66.65	56.68	98.04	53.19	39.79	94.67	77.25	120.94	34.26	100.13	94.01	253.23	226.54	291.04	209.84	69.52	155.5	57.89
ATP2A3	29.91	10.08	25.91	92.7	176.29	52.45	85.82	52.82	43.63	63.45	366.09	72.52	102.25	239.52	1081.39	4769.75	1781.89	780.44	1407.55	2485.67	830.75	1096.5
BCL11B	1.17	0.54	6.46	19.25	17.13	4.98	2.46	6.52	3.08	17.25	21.63	8.65	6.11	43.32	63.0	339.14	36.01	29.48	167.9	86.43	36.01	43.32
C11orf89	0.0	0.0	0.11	1.68	5.87	1.33	4.62	6.01	0.68	2.86	11.3	2.1	3.0	6.26	19.39	41.52	27.84	19.97	57.49	33.3	28.45	47.5
CARD11	7.17	0.1	4.5	34.26	22.75	14.24	52.45	11.38	14.03	28.65	132.44	54.33	11.73	94.01	460.44	1008.9	281.09	181.28	547.75	579.04	158.79	181.28
CARD16	176.29	212.78	265.87	173.85	748.61	409.15	297.17	166.73	329.84	228.13	854.13	612.11	497.0	591.22	5292.48	2997.45	3589.58	2664.15	3874.05	3955.48	2133.97	1477.58
CASP1	71.5	129.69	363.56	223.41	525.39	447.82	146.03	130.6	616.37	201.25	457.25	738.29	316.37	660.68	2075.59	2178.83	3325.99	1359.57	2816.11	2682.69	1487.87	1498.22
CCDC153	13.72	2.25	7.94	17.51	13.72	9.93	17.51	10.47	3.53	24.11	23.25	19.82	13.32	36.27	76.17	368.65	444.72	1437.15	242.88	193.01	547.75	109.66
CD247	46.5	12.0	26.86	94.67	93.35	78.89	80.01	155.5	59.97	97.36	339.14	102.25	53.95	267.73	1781.89	743.43	1242.34	532.74	624.99	1159.07	341.51	327.56
CD7	77.25	14.03	21.32	182.55	64.8	81.71	102.25	141.02	221.86	144.01	529.06	115.97	90.77	325.29	1304.15	769.69	753.83	353.59	447.82	738.29	285.03	708.18
CD96	16.88	4.58	14.03	93.35	20.41	9.85	79.45	12.93	7.75	29.27	563.18	33.06	16.63	189.02	866.07	819.3	307.69	242.88	325.29	426.57	241.19	236.21
CELF2	14.24	8.58	17.51	24.28	45.21	12.64	36.79	15.11	6.21	24.63	129.69	18.56	17.9	75.64	728.11	1167.14	466.88	251.48	1104.13	591.22	909.17	607.87
CLIC3	26.28	5.36	2.41	25.17	20.71	12.55	22.26	29.48	20.26	35.25	52.45	22.75	3.14	46.84	2400.97	3349.13	2004.85	9088.59	1594.73	7280.4	1225.22	915.51
CMA1	4.28	0.0	3.66	2.84	10.08	0.0	6.31	10.71	0.0	0.0	14.14	13.72	6.11	27.25	246.28	19.11	0.0	80.57	33.78	20.11	23.59	32.59
CTSG	3.14	36.79	96.01	7.28	212.78	9.85	12.18	2.48	12.45	5.02	34.51	55.49	87.03	85.22	1769.57	262.2	79.45	316.37	320.8	162.14	165.57	221.86
CTSW	10.47	7.4	56.68	110.43	134.3	49.21	279.14	151.22	41.81	103.69	180.02	186.4	70.01	500.46	3372.43	2875.3	2032.85	1051.79	1304.15	3018.3	764.36	988.12
DEF6	36.53	16.27	34.51	87.03	73.03	58.3	70.01	94.01	89.51	62.56	249.73	92.05	87.03	223.41	503.95	1225.22	684.02	759.08	878.17	915.51	514.56	753.83
DNAJB4	163.28	229.72	205.5	167.9	267.73	183.82	295.11	187.71	703.28	159.9	371.22	198.47	140.04	400.71	3325.99	470.14	8840.04	813.63	1313.23	1216.75	660.68	323.03
DOCK8	25.17	16.51	53.19	23.42	118.43	38.4	85.22	14.89	262.2	86.43	244.57	161.02	130.6	85.22	529.06	1397.83	244.57	258.57	1857.6	733.19	703.28	733.19
EDA2R	4.78	2.12	2.48	1.19	3.23	1.39	5.06	1.39	0.0	9.13	53.19	12.55	10.39	146.03	135.24	114.36	36.01	98.73	111.99	30.56	58.3	28.04
