	TCGA.G2.A2EF.01A.12R.A18C.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.CV.7183.01A.11R.2016.07	TCGA.CV.5966.01A.11R.1686.07	TCGA.QK.A64Z.01A.11R.A30B.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.D6.6823.01A.11R.1915.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CN.5359.01A.01R.1436.07	TCGA.CQ.A4CG.01A.11R.A266.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ABCG4	1.16	64.34	3.29	118.43	0.23	1.79	25.72	8.19	96.68	5.5	6.26	0.0	0.15
AC129492.6	1.45	400.71	143.01	39.79	0.24	1.51	35.25	35.25	205.5	43.32	2.32	0.0	0.18
AL626787.1	1.17	3.69	19.25	2.05	1.6	6.73	6.52	2.2	4.7	3.0	2.14	0.0	0.04
ALOX12B	0.3	23492.92	8363.13	2875.3	1.48	5.19	854.13	175.07	2104.58	902.89	8.71	0.0	0.16
ALOXE3	2.89	7382.04	2271.4	1350.18	17.64	21.32	435.55	387.02	1175.27	420.68	7.46	0.0	0.21
AMN	13.32	2835.7	4450.27	30.78	12.93	15.45	651.58	316.37	126.12	88.88	58.71	0.0	0.68
ANK3	32.13	642.59	616.37	525.39	47.84	466.88	454.09	221.86	684.02	387.02	379.04	0.0	0.02
ANKRD35	6.41	7485.11	8538.88	363.56	2.71	40.36	156.59	21.78	293.07	65.72	5.87	0.0	0.38
ANXA9	9.7	547.75	163.28	447.82	8.65	8.38	113.56	83.45	283.05	44.57	3.69	0.0	0.23
ATG9B	23.59	7130.55	2271.4	231.32	10.88	11.91	320.8	44.89	603.67	73.03	14.78	0.0	0.56
ATP6V1C2	29.7	7803.01	7280.4	221.86	21.16	22.92	141.02	417.77	802.41	285.03	27.84	0.0	0.91
BPIFC	0.29	120.1	146.03	884.29	0.0	1.35	146.03	8.65	503.95	117.6	0.47	0.0	0.09
BSPRY	0.62	5831.91	3168.41	493.56	4.03	15.34	336.79	82.29	878.17	323.03	9.34	0.0	0.35
C2orf54	10.79	44761.41	29736.59	665.29	2.01	38.95	125.24	84.63	454.09	195.72	9.34	0.0	0.09
CCDC64B	10.39	8901.53	8363.13	1277.29	11.13	166.73	1096.5	155.5	1313.23	248.0	27.64	0.0	0.48
CDSN	4.06	11267.44	23.93	28525.2	1.73	0.0	1844.76	78.34	10512.82	1151.06	12.55	0.0	0.0
CERS4	38.4	18431.96	4268.94	2591.27	607.87	1143.1	2178.83	1721.16	3124.78	1183.45	808.0	0.0	0.68
CLIC3	165.57	37639.55	18950.18	5329.3	209.84	108.14	2720.15	559.28	3467.27	753.83	41.22	0.0	0.34
