	GTEX.WYVS.1926.SM.4PQZ2	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.ZVP2.0626.SM.51MSO	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZF2S.3026.SM.4WWCH	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.13PVR.0126.SM.5S2PY	GTEX.UPK5.1426.SM.4JBHH	GTEX.13NZ9.0926.SM.5KM12	GTEX.PVOW.1026.SM.2XCF9	GTEX.ZXG5.0826.SM.5GID6	GTEX.WZTO.0426.SM.3NM99	GTEX.RN64.1226.SM.2TC6E	GTEX.PLZ4.0726.SM.2TC6Q
ABRA	0.72	0.04	0.56	0.33	0.75	0.1	0.09	0.95	0.3	0.09	0.8	0.07	1.22	0.0	1.0	4.9	3.14	8.92	1.31	9.34	6.06
AC092964.2	2.68	0.0	0.0	0.0	0.0	5.5	0.0	0.0	0.0	0.0	0.0	0.0	13.62	0.0	0.0	10.55	6.26	6.94	9.93	16.15	11.73
ACTA1	7.69	1.01	5.59	13.32	16.88	1.87	2.51	34.02	16.63	9.2	10.47	2.05	52.82	0.24	9.34	204.07	20.86	214.27	25.17	92.7	54.33
ARHGDIG	8.78	0.0	0.0	4.62	9.93	4.24	5.82	3.92	0.0	2.36	11.73	0.0	6.78	0.0	3.11	2.76	17.13	18.97	21.16	9.34	24.63
ASPRV1	30.78	8.45	5.02	13.03	11.64	21.32	5.45	16.03	9.48	8.51	13.62	13.03	23.93	18.43	19.25	83.45	60.82	53.95	42.11	30.78	23.93
ASXL3	13.03	4.62	4.86	7.06	6.94	17.64	3.76	4.13	8.71	10.79	3.23	14.24	25.17	16.03	5.36	13.62	14.56	18.29	12.74	25.17	6.46
ATG16L2	444.72	180.02	59.55	212.78	163.28	244.57	108.9	400.71	151.22	139.07	199.85	115.16	493.56	177.53	412.0	1674.06	633.73	435.55	785.88	620.67	1066.48
ATP1A2	14.24	13.32	1.23	18.56	46.5	2.84	3.38	19.39	12.09	3.14	31.45	3.32	65.72	2.51	21.78	108.14	88.88	348.71	217.27	961.07	218.79
BANP	237.86	239.52	153.34	209.84	172.65	195.72	130.6	264.03	128.79	195.72	161.02	157.68	414.87	195.72	194.36	473.41	204.07	271.48	283.05	379.04	202.66
BRAF	180.02	127.0	75.11	82.87	92.05	116.78	81.71	147.06	104.42	102.97	70.01	102.97	224.97	70.01	148.09	281.09	470.14	341.51	599.49	460.44	232.94
C15orf26	3.69	0.0	0.32	0.91	0.95	12.09	0.0	0.0	0.85	3.66	1.53	3.0	11.82	5.02	4.74	121.79	93.35	36.01	19.68	19.11	36.27
C1orf54	836.53	265.87	83.45	265.87	114.36	514.56	117.6	156.59	182.55	117.6	444.72	120.1	698.41	75.11	447.82	848.22	884.29	1388.16	1313.23	1127.35	947.83
CCL5	1066.48	265.87	21.78	1044.52	159.9	551.56	143.01	1119.56	180.02	113.56	532.74	212.78	1378.57	260.38	878.17	1685.71	4836.35	1832.01	4298.64	3039.3	1378.57
CD244	135.24	42.71	6.89	23.42	14.35	94.67	18.7	69.03	20.41	14.56	66.65	11.13	151.22	9.78	124.37	417.77	299.25	130.6	182.55	159.9	92.7
CD247	218.79	46.5	12.0	83.45	36.53	71.5	51.71	87.03	47.17	24.99	63.89	53.19	187.71	57.08	193.01	547.75	1322.37	190.34	872.1	854.13	271.48
CD7	444.72	141.02	14.03	95.34	31.67	84.63	103.69	113.56	35.5	31.22	34.26	32.36	260.38	76.71	197.09	371.22	769.69	140.04	759.08	728.11	447.82
CDH26	7.0	2.51	3.79	0.38	4.43	4.43	0.33	3.76	0.09	0.57	3.47	1.58	11.64	4.31	2.86	82.87	37.32	55.49	129.69	156.59	29.06
CHD2	289.02	172.65	93.35	232.94	314.17	269.6	264.03	236.21	228.13	253.23	198.47	283.05	373.81	224.97	202.66	532.74	629.35	457.25	1216.75	718.08	381.68
CNOT6L	212.78	93.35	111.21	176.29	139.07	287.01	90.14	256.78	147.06	143.01	234.57	275.28	242.88	173.85	125.24	318.57	587.13	463.65	400.71	536.45	283.05
COLGALT2	3.79	0.79	0.06	0.0	0.43	8.58	0.85	0.0	1.36	2.18	9.63	5.92	20.11	7.63	3.32	55.89	94.01	503.95	194.36	265.87	172.65
CREB5	78.89	8.65	2.1	11.91	35.76	14.56	24.28	5.82	10.08	2.89	8.99	3.0	125.24	6.67	12.93	341.51	142.01	155.5	316.37	373.81	102.97
CRKL	417.77	334.46	351.14	242.88	435.55	447.82	303.44	603.67	351.14	327.56	400.71	400.71	738.29	356.05	420.68	896.64	660.68	796.86	532.74	466.88	669.92
CXCR2	27.84	5.45	8.85	11.04	23.08	10.31	9.48	23.42	2.23	8.06	11.64	18.43	37.59	14.14	18.43	679.29	718.08	23.93	39.22	52.08	723.08
FAM174B	297.17	79.45	54.72	43.02	50.63	84.63	85.82	90.77	115.16	72.52	13.52	69.03	728.11	53.19	94.01	872.1	1175.27	540.19	738.29	497.0	728.11
FAM181B	1.85	0.84	0.32	0.48	0.0	0.51	0.0	0.51	0.0	0.0	0.56	0.0	2.41	0.0	0.09	3.72	1.57	198.47	18.97	10.24	4.74
FAM65B	102.97	81.14	22.75	33.3	31.67	30.78	31.67	28.65	10.63	36.01	28.86	37.05	291.04	38.67	66.18	967.76	665.29	90.77	185.11	137.14	1950.0
GNLY	423.61	99.43	10.47	138.1	22.75	125.24	53.19	148.09	23.25	15.0	159.9	62.56	450.94	76.17	201.25	947.83	5366.37	1340.84	1697.45	1977.24	1628.26
GPBP1	660.68	466.88	417.77	466.88	511.0	532.74	450.94	595.34	432.53	392.44	511.0	432.53	1685.71	466.88	616.37	1487.87	1991.0	1378.57	1457.23	2163.77	848.22
GPR174	19.97	3.03	0.95	2.92	2.2	6.06	0.0	7.75	2.34	2.05	6.01	0.0	12.64	0.0	7.17	114.36	143.01	47.5	83.45	74.58	20.26
GZMB	226.54	80.01	5.41	35.25	11.64	89.51	13.83	100.13	11.64	4.66	15.91	30.12	228.13	34.26	180.02	1001.93	2720.15	158.79	753.83	1073.91	909.17
HCAR2	57.08	6.36	0.48	2.1	8.45	20.71	2.97	13.22	1.07	3.0	0.78	4.13	116.78	0.66	10.24	4123.49	2047.0	743.43	1030.12	603.67	1437.15
HCAR3	34.75	5.11	1.46	1.68	3.86	18.43	0.0	19.25	0.0	0.0	0.0	1.13	101.54	1.99	5.63	2537.92	743.43	212.78	406.31	281.09	872.1
HES4	150.17	42.11	12.27	67.12	35.0	9.78	42.41	42.41	37.32	14.03	44.89	29.91	236.21	45.85	19.82	256.78	92.05	175.07	389.72	583.07	76.17
HP	6183532.28	3028138.0	6014443.23	1.307221145E7	3.671840259E7	3.174442598E7	1.533154663E7	1.785716745E7	1.430483875E7	1.598261246E7	3.066309426E7	1.501602794E7	2186208.16	1.512047268E7	1.381756339E7	260.38	41.22	30572.63	255.0	90.14	2417.67
HSH2D	76.71	14.24	0.03	108.14	10.71	20.26	14.14	33.3	17.9	4.74	8.65	14.03	117.6	16.88	47.5	406.31	872.1	71.5	277.2	244.57	220.32
IL15	120.94	16.88	17.9	145.02	33.3	36.27	58.3	35.25	38.12	42.41	62.12	90.14	163.28	31.22	157.68	769.69	674.59	255.0	432.53	186.4	98.73
IPCEF1	31.22	12.64	1.28	10.16	4.43	17.38	6.57	17.9	6.31	7.69	21.01	27.84	44.57	8.13	17.77	187.71	249.73	75.64	88.26	154.42	31.67
KCNJ2	44.89	14.24	5.02	6.52	6.78	29.27	5.02	19.11	13.32	9.7	28.86	4.1	26.1	4.98	20.11	110.43	78.34	79.45	97.36	16.27	31.0
KLHL40	0.68	0.01	0.42	0.95	0.97	0.58	0.06	0.58	0.53	0.0	0.45	0.0	2.25	0.0	1.46	5.96	0.77	6.21	0.29	1.1	0.79
KLRD1	153.34	63.89	3.35	66.18	11.91	19.25	4.28	96.68	18.56	16.03	53.57	22.26	115.16	50.27	67.12	366.09	941.27	63.0	201.25	500.46	162.14
KLRF1	40.07	18.03	9.27	17.9	18.43	29.06	13.12	31.45	12.36	0.0	10.79	18.03	61.25	18.16	50.27	303.44	669.92	44.89	202.66	99.43	127.0
KLRK1	157.68	41.52	5.02	107.38	18.16	33.3	34.26	61.25	34.51	13.72	49.91	24.99	112.77	39.5	119.26	583.07	1457.23	221.86	872.1	860.08	201.25
LAT2	587.13	177.53	64.34	189.02	45.53	457.25	178.77	197.09	100.83	155.5	269.6	323.03	825.0	118.43	305.55	1551.09	1662.49	543.96	400.71	620.67	941.27
LOXHD1	1.66	0.0	0.75	0.38	0.74	4.1	1.0	0.05	0.34	1.66	0.44	0.0	5.45	2.58	0.0	16.51	36.53	16.03	47.5	57.08	38.67
MAP3K7CL	65.72	40.93	73.03	47.5	43.32	115.16	43.94	119.26	75.11	38.4	41.81	46.5	137.14	35.0	75.64	150.17	291.04	275.28	295.11	387.02	660.68
MKNK2	1857.6	1331.57	780.44	1159.07	1457.23	1594.73	1008.9	2047.0	1151.06	902.89	1617.0	1208.34	3103.19	1359.57	1605.83	3372.43	1883.54	3280.18	4268.94	9740.98	5403.7
MLC1	17.51	0.78	0.48	3.44	10.55	28.24	3.32	12.0	2.48	0.65	6.73	1.33	11.38	1.81	11.3	60.82	94.67	41.81	29.27	78.89	39.22
MYBPC2	4.03	0.0	4.66	2.34	4.03	0.0	0.0	9.93	3.82	2.03	5.77	0.06	29.48	0.34	6.52	202.66	8.58	860.08	6.94	47.84	7.28
MYH1	3.53	0.0	1.66	1.71	2.41	0.23	0.0	6.78	3.29	1.6	5.63	0.0	9.56	0.0	6.21	29.06	8.51	17.9	7.28	8.32	5.54
MYLPF	38.12	4.39	16.63	29.7	35.0	16.03	4.21	102.25	41.22	25.17	43.32	10.55	105.89	5.96	47.17	708.18	99.43	1709.26	38.95	127.89	56.28
MYOT	16.15	6.06	0.96	1.95	15.56	1.77	1.87	11.47	3.06	4.58	9.41	0.07	19.11	5.92	9.48	87.65	10.39	87.65	8.06	56.68	34.51
NFKBID	159.9	49.91	16.27	39.79	34.02	23.76	62.56	33.78	24.99	36.27	35.5	35.25	264.03	33.06	41.52	363.56	624.99	126.12	343.89	1233.75	180.02
OTUD1	236.21	70.51	81.14	98.73	67.12	147.06	89.51	112.77	43.94	122.64	88.88	87.65	470.14	89.51	205.5	934.76	1208.34	854.13	890.44	638.15	974.5
PCDHA1	1.55	1.07	0.0	0.0	2.46	5.11	0.0	0.93	0.0	0.0	0.0	0.0	20.71	0.0	0.0	20.26	44.57	6.46	3.26	6.21	2.56
PCDHGB3	18.03	4.31	1.11	1.17	3.08	15.22	2.81	11.21	0.57	5.54	17.77	7.11	28.45	18.7	6.41	4.03	47.5	15.0	26.47	67.59	43.02
PDCD7	176.29	148.09	94.01	100.13	76.17	151.22	95.34	139.07	97.36	115.16	105.15	96.01	176.29	67.12	165.57	536.45	400.71	403.5	334.46	376.41	217.27
PHF20	162.14	94.67	69.52	63.45	105.89	218.79	88.88	147.06	76.71	92.7	165.57	117.6	157.68	75.64	100.83	246.28	521.76	395.18	483.38	624.99	269.6
PIP5K1B	14.45	3.82	10.55	5.02	6.78	10.08	0.0	16.39	7.34	0.72	13.93	1.08	24.81	0.25	14.78	514.56	748.61	500.46	325.29	384.34	154.42
POLR2M	301.33	159.9	183.82	187.71	299.25	341.51	165.57	293.07	198.47	202.66	223.41	275.28	412.0	169.07	228.13	543.96	669.92	1208.34	679.29	878.17	679.29
PPP1R15A	1540.37	525.39	251.48	503.95	651.58	316.37	693.58	447.82	417.77	718.08	297.17	688.78	3443.31	518.15	764.36	11992.79	5872.48	9151.82	7130.55	20170.07	5183.54
PPP2R2B	46.84	6.36	1.31	18.03	3.53	14.45	3.17	5.77	12.55	0.02	6.41	6.21	20.56	13.12	30.12	73.03	182.55	260.38	88.26	301.33	151.22
PRF1	543.96	102.25	12.36	157.68	47.5	223.41	63.45	277.2	43.94	27.25	124.37	103.69	470.14	129.69	348.71	1233.75	2004.85	214.27	764.36	647.07	620.67
PYGM	20.71	3.89	8.06	21.47	16.03	5.77	4.43	38.67	17.0	5.77	14.67	3.86	88.26	9.7	14.89	409.15	88.26	708.18	97.36	169.07	180.02
PYHIN1	66.65	24.99	1.27	19.25	8.19	21.63	3.96	39.79	9.34	0.73	27.64	6.26	113.56	10.55	60.82	244.57	532.74	91.41	275.28	141.02	49.56
RASGRP1	53.95	5.63	0.38	8.92	4.62	18.03	3.08	17.9	5.77	0.22	10.96	2.34	36.53	5.36	19.68	147.06	279.14	56.68	218.79	212.78	52.08
