	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.85.7710.11A.01R.2125.07	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.VQ.A8PQ.01A.11R.A414.31	GTEX.145ME.1026.SM.5O9B4	GTEX.WHPG.0426.SM.4M1XW	GTEX.POMQ.0826.SM.3P61H	GTEX.S7SF.0626.SM.4AD4V	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.FY.A2QD.01A.11R.A19O.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.EL.A3ZK.11A.11R.A23N.07	TCGA.BJ.A28X.11A.11R.A22L.07	TCGA.EL.A3T0.11A.12R.A22L.07	TCGA.EM.A1CV.11A.11R.A13Y.07	GTEX.133LE.0326.SM.5P9G4	GTEX.RWS6.0626.SM.2XCAS	GTEX.13111.0226.SM.5EQ55	GTEX.Q734.0526.SM.2I3EH	GTEX.OXRK.0626.SM.2HMJ5	GTEX.W5WG.1426.SM.4KKZP	GTEX.Y8E4.0126.SM.4VBQ2	GTEX.V1D1.0926.SM.4JBHQ
ADCY7	595.34	1001.93	351.14	928.3	260.38	316.37	642.59	224.97	20.86	4.58	211.31	35.76	236.21	493.56	175.07	21.63	98.73	194.36	262.2	163.28	137.14	204.07	70.51	120.94
AMICA1	1594.73	2047.0	674.59	713.11	325.29	579.04	1457.23	368.65	41.52	16.51	376.41	165.57	316.37	1066.48	273.37	22.92	249.73	339.14	620.67	61.68	183.82	514.56	309.83	309.83
ANKRD44	854.13	967.76	555.41	1037.29	96.01	95.34	371.22	255.0	73.54	23.25	147.06	33.06	194.36	540.19	133.36	51.71	95.34	149.12	351.14	106.63	85.22	154.42	89.51	131.51
ARHGAP30	1733.13	1628.26	579.04	988.12	323.03	759.08	872.1	177.53	24.46	17.77	379.04	84.63	277.2	753.83	194.36	20.71	224.97	201.25	358.54	121.79	201.25	490.14	153.34	133.36
ARHGAP9	4607.24	2739.08	1378.57	1923.14	460.44	848.22	1437.15	312.0	55.1	27.05	981.29	185.11	629.35	2287.2	454.09	17.13	297.17	363.56	486.75	161.02	336.79	915.51	190.34	197.09
BCL2L14	65.72	72.52	529.06	567.1	571.05	518.15	454.09	161.02	0.33	1.0	7.88	2.34	5.06	27.84	2.92	0.27	6.16	15.8	2.41	2.51	0.96	4.9	9.27	5.19
BEND4	31.9	37.59	22.1	30.34	9.78	3.11	15.0	2.89	0.0	0.0	3.89	0.0	0.93	13.83	1.95	0.0	1.3	0.0	3.79	0.0	1.35	2.43	0.54	0.53
BIN2	1806.78	1051.79	518.15	954.43	224.97	429.54	665.29	172.65	21.94	11.13	356.05	90.77	226.54	616.37	161.02	10.79	118.43	183.82	258.57	76.17	149.12	435.55	112.77	57.08
BTG1	11664.82	4095.0	2816.11	5479.15	3349.13	1977.24	1923.14	1477.58	698.41	356.05	2032.85	1250.98	1583.71	4038.61	1369.04	633.73	1447.15	928.3	1757.34	1191.69	1721.16	1857.6	2224.63	1183.45
BTK	2004.85	1745.2	638.15	854.13	249.73	153.34	368.65	99.43	16.63	2.34	334.46	77.25	164.42	620.67	111.99	5.28	137.14	98.73	229.72	50.63	84.63	242.88	81.14	41.22
C12orf42	158.79	63.45	58.3	77.25	1.66	0.0	8.19	0.0	0.0	0.0	5.5	0.0	0.55	45.53	8.06	0.0	0.97	0.0	11.38	2.1	6.21	6.36	0.0	0.0
C1orf200	17.38	11.55	10.08	30.12	0.0	5.32	15.56	3.72	0.0	0.0	4.46	0.53	0.54	6.11	0.54	0.0	1.17	0.0	0.0	0.0	0.0	1.17	1.69	0.0
C4BPA	26.47	2319.15	6.16	61.68	1.03	7.82	6.73	28.86	0.0	0.0	0.91	0.88	19.25	9.78	4.03	0.0	2.92	0.46	0.45	0.0	2.41	0.47	2.86	3.06
CAMK4	289.02	131.51	84.04	214.27	28.45	40.36	70.01	35.76	1.53	9.34	52.82	9.85	18.16	110.43	25.35	8.92	9.2	12.93	40.07	22.75	10.31	29.06	11.13	14.35
CARD11	961.07	674.59	387.02	995.0	291.04	547.75	332.14	84.63	8.0	2.73	214.27	30.78	91.41	329.84	82.87	6.36	49.91	80.01	124.37	33.06	63.89	199.85	24.63	31.22
CASP8	1199.98	896.64	1088.92	941.27	638.15	629.35	483.38	271.48	163.28	229.72	358.54	153.34	336.79	642.59	295.11	146.03	299.25	301.33	473.41	187.71	212.78	283.05	241.19	232.94
CCR7	3372.43	1167.14	376.41	2224.63	122.64	153.34	209.84	83.45	16.27	8.19	260.38	28.04	195.72	1096.5	158.79	6.52	181.28	146.03	147.06	37.85	36.01	64.8	52.45	94.01
CD5	1073.91	441.64	497.0	872.1	595.34	547.75	371.22	130.6	2.29	0.41	151.22	29.48	96.68	361.04	80.57	2.66	90.77	40.64	256.78	39.5	71.5	143.01	74.58	23.42
CD84	642.59	389.72	336.79	579.04	127.89	58.3	198.47	56.28	8.58	3.79	114.36	35.5	137.14	205.5	60.82	7.17	39.22	71.0	120.94	18.7	66.65	169.07	40.36	22.26
CDK5R1	134.3	112.77	48.52	96.68	51.71	27.64	20.11	27.84	3.35	6.21	34.02	8.85	17.77	126.12	22.43	7.88	14.67	19.68	24.46	20.26	16.63	66.65	14.78	5.68
CEACAM3	21.01	74.58	5.68	11.38	8.06	86.43	94.01	38.67	1.27	0.0	5.23	1.16	8.65	20.86	3.86	0.0	1.58	1.93	4.1	6.46	2.86	2.18	4.66	6.06
CTB-133G6.1	242.88	208.38	135.24	563.18	41.22	15.34	18.43	363.56	0.21	0.83	26.67	0.74	13.12	100.13	18.84	1.04	14.03	11.64	19.68	5.45	11.04	34.51	0.99	7.51
CTD-2207O23.3	56.68	74.58	25.91	212.78	11.64	0.0	7.75	348.71	0.0	0.0	4.39	0.0	4.5	34.75	6.06	0.0	5.28	3.76	0.0	0.0	0.0	13.22	0.0	0.0
CYTH4	1088.92	1008.9	493.56	791.35	236.21	379.04	733.19	145.02	31.45	21.16	435.55	137.14	226.54	669.92	148.09	14.35	100.13	127.89	215.77	126.12	120.94	309.83	83.45	97.36
DOCK2	1594.73	1250.98	830.75	1286.18	253.23	232.94	463.65	100.13	32.59	40.64	389.72	84.63	237.86	688.78	170.25	15.34	170.25	93.35	223.41	79.45	121.79	346.29	100.13	104.42
DOK3	988.12	1733.13	954.43	1051.79	297.17	460.44	693.58	279.14	18.7	16.51	497.0	120.94	231.32	616.37	142.01	28.45	183.82	139.07	208.38	151.22	145.02	397.93	87.65	93.35
ERCC6L	45.53	22.59	21.01	38.4	40.93	55.1	55.89	17.77	0.8	2.12	9.56	2.16	5.32	13.22	3.89	2.27	6.16	6.01	6.67	4.31	2.97	5.45	4.24	7.63
FAM129C	1529.73	1096.5	273.37	738.29	50.27	32.59	26.28	3.92	2.32	0.0	140.04	1.75	52.45	480.04	29.27	1.0	5.15	12.36	100.13	3.99	16.51	107.38	19.53	12.36
FAM26F	1639.59	1208.34	320.8	441.64	320.8	4419.52	1628.26	438.59	55.49	12.93	547.75	297.17	273.37	921.88	178.77	14.56	211.31	201.25	323.03	209.84	195.72	361.04	44.57	58.71
FCHO1	620.67	426.57	281.09	791.35	91.41	144.01	198.47	81.14	10.63	7.0	201.25	18.84	72.52	295.11	57.08	7.0	52.45	48.52	171.45	35.5	32.13	105.89	57.08	42.71
FCRL1	2895.31	1135.2	525.39	988.12	45.53	15.22	59.97	6.26	0.0	0.21	100.13	4.39	56.28	476.71	57.89	0.0	8.19	1.25	197.09	0.0	4.39	113.56	23.25	5.68
GAST	2.46	0.0	21026.65	2.86	1.598261246E7	2.4225111E7	1070607.81	8805660.77	0.0	0.0	0.0	0.0	0.0	2.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GPR15	1051.79	397.93	629.35	193.01	12.27	70.01	77.25	43.02	0.0	0.0	9.34	0.0	18.7	56.68	4.21	0.0	1.62	7.75	21.63	2.25	0.75	12.74	19.82	3.79
GPR174	460.44	309.83	145.02	334.46	29.91	15.45	52.08	13.62	0.77	0.0	57.49	8.65	45.53	223.41	45.85	2.61	22.43	36.53	53.19	18.16	27.64	49.91	23.08	24.81
GPR65	490.14	476.71	198.47	242.88	38.12	202.66	134.3	32.59	7.17	3.06	120.94	76.71	69.52	172.65	47.17	2.39	59.55	36.53	78.34	21.63	23.25	86.43	31.0	23.42
GPSM3	4836.35	3280.18	928.3	1697.45	559.28	1208.34	1745.2	412.0	93.35	49.56	1191.69	423.61	563.18	1819.35	490.14	63.45	563.18	346.29	571.05	358.54	525.39	808.0	285.03	320.8
GRAP2	486.75	260.38	215.77	480.04	86.43	175.07	392.44	39.79	5.82	0.79	98.73	15.34	75.11	198.47	43.02	14.14	41.81	62.56	81.71	34.26	38.12	70.51	42.41	100.83
GRIN3A	7.69	6.89	8.51	12.18	2.41	7.46	6.94	6.52	0.67	1.77	5.87	4.74	3.99	11.3	3.17	1.77	3.26	3.5	7.34	2.94	2.05	4.46	3.5	3.11
GZMB	1519.15	941.27	187.71	212.78	336.79	13776.25	878.17	127.0	8.78	6.46	371.22	34.26	150.17	620.67	86.43	9.63	72.01	115.97	96.01	44.25	9.78	11.64	43.63	23.08
HS3ST3B1	255.0	129.69	65.26	128.79	32.59	73.03	63.0	22.1	10.16	12.27	50.98	11.3	39.22	91.41	31.0	9.27	27.25	25.17	18.43	17.77	30.12	34.02	27.05	27.84
