	TCGA.AC.A2FG.01A.11R.A17B.07	GTEX.ZZPU.0626.SM.5E43T	GTEX.WXYG.2226.SM.4E3IM	GTEX.U3ZN.1926.SM.4DXSG	GTEX.13OVG.0326.SM.5KM57	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.HC.7736.01A.11R.2118.07	TCGA.HC.8259.01A.11R.2263.07
ADAP2	102.97	460.44	226.54	339.14	137.14	31.0	16.15	39.79	22.26	94.67	23.59
ADORA3	71.5	454.09	249.73	86.43	114.36	14.14	2.2	13.52	24.28	39.79	24.46
AIF1	872.1	4038.61	1030.12	1617.0	2915.45	127.0	31.0	312.0	307.69	379.04	175.07
AIF1L	329.84	1551.09	3039.3	1225.22	665.29	141.02	229.72	251.48	305.55	341.51	191.67
AL117190.3	0.66	1.83	1.19	4.21	0.0	0.0	0.0	0.0	0.0	0.55	0.0
ALDH3A1	13.32	65.26	137.14	91.41	146.03	11.47	0.55	3.72	10.55	10.16	9.27
ALOX5AP	536.45	2193.99	1697.45	497.0	7485.11	34.75	24.11	53.57	67.59	191.67	71.5
AMICA1	187.71	743.43	92.7	775.05	1233.75	28.65	8.19	64.34	83.45	183.82	55.49
AOAH	92.05	358.54	67.59	262.2	201.25	22.1	8.06	48.52	36.53	82.29	23.93
AP2B1	2895.31	1674.06	1721.16	2537.92	1794.29	1081.39	1037.29	1104.13	1277.29	1286.18	1191.69
APBB1IP	126.12	660.68	571.05	555.41	113.56	11.47	3.99	24.11	29.7	68.07	15.11
APOL5	0.34	1.25	1.66	2.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARHGAP9	133.36	371.22	190.34	764.36	165.57	21.32	21.47	53.57	98.73	143.01	48.87
ARL11	55.89	60.82	33.3	24.63	35.25	2.18	0.33	1.95	2.56	7.57	1.93
ARRB1	866.07	1781.89	2178.83	1037.29	1250.98	599.49	429.54	595.34	343.89	796.86	341.51
ARRB2	713.11	1508.65	878.17	1662.49	1950.0	234.57	420.68	412.0	476.71	490.14	325.29
BIN2	83.45	348.71	144.01	351.14	234.57	7.4	10.16	17.38	45.53	69.52	20.41
BTK	94.01	299.25	98.73	281.09	397.93	10.96	2.48	26.86	24.11	50.63	18.43
C10orf128	297.17	1721.16	1073.91	1674.06	698.41	31.22	18.29	76.17	69.03	155.5	49.21
C16orf54	35.0	164.42	101.54	143.01	93.35	3.79	23.76	15.68	20.41	38.67	5.41
C1orf162	348.71	1059.11	1051.79	412.0	2434.5	24.99	18.43	56.68	64.8	100.13	57.49
C3AR1	161.02	854.13	651.58	457.25	314.17	36.53	6.06	47.17	46.18	154.42	24.99
C5orf30	303.44	490.14	420.68	237.86	79.45	20.41	151.22	163.28	303.44	166.73	189.02
CARD6	67.12	395.18	267.73	264.03	83.45	3.99	2.43	11.91	12.55	28.45	9.13
CARD8	511.0	1088.92	679.29	995.0	450.94	265.87	224.97	339.14	329.84	438.59	283.05
CCR1	104.42	348.71	256.78	152.28	93.35	8.51	1.41	13.72	15.22	61.25	10.71
CCR2	78.34	373.81	273.37	251.48	29.7	4.62	3.59	10.55	23.76	38.95	7.0
CD300C	26.67	75.11	30.34	38.95	208.38	2.66	1.41	9.27	7.88	12.0	2.48
CD34	1175.27	6207.38	4419.52	4358.66	1857.6	87.65	134.3	264.03	283.05	647.07	267.73
CD4	432.53	1733.13	1023.0	1407.55	961.07	42.41	24.46	92.7	146.03	332.14	70.01
CD53	476.71	2287.2	1388.16	1151.06	1447.15	71.5	43.63	140.04	204.07	447.82	109.66
CD68	1378.57	6294.04	3716.2	7130.55	13776.25	141.02	61.25	267.73	559.28	1127.35	253.23
CD84	47.84	312.0	177.53	169.07	71.5	4.06	2.58	11.04	20.11	52.82	5.06
CD86	94.67	271.48	157.68	124.37	503.95	7.69	2.78	21.94	25.17	69.03	20.56
CD93	599.49	764.36	769.69	607.87	3212.66	30.56	55.49	118.43	92.7	432.53	79.45
CDH5	497.0	988.12	1059.11	921.88	2255.7	31.45	43.32	106.63	87.03	205.5	80.01
CGGBP1	1044.52	1427.22	1191.69	1081.39	1111.82	435.55	551.56	633.73	633.73	764.36	620.67
CLEC12A	24.28	204.07	6.78	90.77	713.11	2.27	2.84	19.68	6.41	20.26	5.23
CLEC4A	81.14	122.64	162.14	140.04	93.35	9.48	16.39	20.11	29.48	35.76	23.25
CLEC7A	125.24	441.64	525.39	36.27	1870.53	19.82	9.13	30.78	36.01	90.14	15.0
CLECL1	14.35	79.45	25.35	67.59	36.27	3.47	0.0	5.15	14.03	7.82	3.47
CPXM2	400.71	1111.82	423.61	1096.5	135.24	40.07	17.51	183.82	30.12	187.71	122.64
CRHR2	4.58	21.32	8.85	14.35	0.39	0.0	0.0	0.0	0.0	2.43	0.44
CS	2047.0	2627.46	3419.52	2997.45	1639.59	1662.49	1991.0	1685.71	2384.37	2451.44	2047.0
CTSS	1127.35	6935.54	1923.14	2875.3	5076.84	132.44	35.0	211.31	312.0	934.76	224.97
CXorf21	51.35	80.01	48.87	90.14	23.25	0.28	0.0	4.58	5.54	18.43	2.27
CYBB	224.97	2335.28	1594.73	612.11	728.11	27.64	6.57	52.82	62.12	226.54	37.32
CYTH4	123.5	521.76	211.31	525.39	212.78	12.93	8.92	42.41	55.49	71.0	27.25
DOCK2	105.89	555.41	316.37	555.41	417.77	13.83	18.16	30.56	52.82	109.66	24.28
EBI3	31.67	204.07	157.68	28.45	42.11	4.58	4.78	20.86	16.75	47.84	12.0
EGFLAM	301.33	381.68	1896.65	612.11	25.72	15.8	28.04	57.08	66.18	158.79	86.43
ELTD1	426.57	854.13	941.27	633.73	163.28	28.04	30.78	96.68	81.71	206.94	55.89
EPAS1	1397.83	2451.44	4512.4	3018.3	28923.41	198.47	525.39	536.45	872.1	1651.0	571.05
EVI2A	150.17	460.44	228.13	376.41	164.42	15.56	8.06	33.06	40.07	92.7	20.11
EVI2B	193.01	1388.16	647.07	406.31	1199.98	15.91	9.78	48.87	82.87	170.25	39.5
F8	264.03	454.09	825.0	490.14	417.77	91.41	162.14	154.42	147.06	232.94	137.14
FAM26F	156.59	802.41	159.9	289.02	159.9	19.97	5.32	50.63	31.0	75.11	44.25
FBXW2	890.44	1073.91	988.12	579.04	1167.14	511.0	511.0	543.96	525.39	896.64	540.19
FCER1G	988.12	4210.15	3303.0	2075.59	5255.91	191.67	65.72	312.0	450.94	718.08	260.38
FGD2	43.02	454.09	231.32	514.56	201.25	12.27	3.29	18.16	38.4	77.79	14.35
FMNL1	327.56	490.14	400.71	748.61	967.76	73.03	83.45	96.01	141.02	214.27	150.17
FPR3	126.12	607.87	327.56	454.09	124.37	10.24	5.36	20.11	44.25	98.73	20.26
GAB3	35.0	100.83	102.25	143.01	126.12	3.89	2.73	10.63	12.18	21.47	8.13
GAGE12I	0.0	0.0	0.0	0.0	3.2819999947E8	0.0	0.0	0.0	0.0	0.0	0.0
GFOD1	102.97	167.9	186.4	116.78	500.46	8.58	18.84	28.24	29.7	67.59	20.11
GNB4	138.1	651.58	429.54	271.48	133.36	10.79	9.78	20.26	23.93	72.52	20.11
GPR116	260.38	759.08	1369.04	607.87	22692.63	29.27	30.56	85.22	63.89	173.85	295.11
GRB2	3303.0	2178.83	2417.67	1498.22	1498.22	934.76	1199.98	1259.69	1359.57	1467.37	1167.14
GRIK3	45.53	400.71	108.9	115.16	0.39	1.27	1.0	1.06	3.89	15.68	13.52
HAVCR1	0.71	0.25	1.08	1.93	7.94	0.0	0.0	0.0	0.44	0.0	0.0
HAVCR2	109.66	318.57	145.02	180.02	108.14	12.74	5.54	15.8	29.91	56.28	17.38
HCLS1	483.38	2209.26	1378.57	698.41	1628.26	55.1	41.52	148.09	191.67	366.09	115.97
HMHA1	426.57	698.41	476.71	651.58	1268.46	114.36	260.38	165.57	202.66	244.57	409.15
HTR1F	2.76	20.71	4.94	7.4	14.03	0.0	0.0	0.0	0.39	4.5	0.74
IGSF6	107.38	457.25	146.03	457.25	140.04	17.51	6.21	26.86	64.34	130.6	28.65
IL10RA	173.85	775.05	438.59	1340.84	981.29	15.0	11.91	60.82	69.03	187.71	44.25
IL16	231.32	1119.56	571.05	444.72	860.08	13.52	12.09	41.22	78.34	141.02	29.91
IL17RA	201.25	332.14	229.72	201.25	214.27	90.14	90.77	121.79	133.36	182.55	114.36
IL2RA	14.24	114.36	41.52	43.32	37.32	3.41	0.61	7.88	3.72	30.56	6.78
ITGB2	656.11	2591.27	1191.69	813.63	1769.57	74.58	36.53	164.42	249.73	547.75	169.07
KIAA1239	1.46	2.2	14.67	11.73	0.0	0.28	0.0	0.0	0.0	0.0	0.33
KLF13	791.35	1950.0	1819.35	1208.34	7537.18	152.28	159.9	204.07	194.36	400.71	309.83
KLRC4-KLRK1	9.56	143.01	50.63	81.14	14.24	2.63	0.0	0.0	13.42	6.89	2.71
LAIR1	297.17	1242.34	483.38	1167.14	2018.8	51.71	20.71	82.87	110.43	237.86	309.83
LILRA1	9.78	30.12	17.51	30.12	16.63	0.64	1.01	4.24	5.63	11.47	2.46
LILRA6	17.77	113.56	51.35	212.78	132.44	6.57	1.41	5.28	5.28	38.67	7.28
LILRB2	40.64	114.36	175.07	107.38	152.28	13.32	5.11	32.82	29.91	56.28	16.03
LILRB4	175.07	1322.37	318.57	351.14	80.01	30.78	13.12	43.32	62.56	176.29	43.32
LPPR4	16.63	53.57	24.63	37.32	20.26	1.77	1.66	3.47	5.15	12.93	1.79
LRRC25	49.91	229.72	162.14	154.42	143.01	8.78	2.43	16.63	20.41	58.3	11.73
MILR1	38.4	137.14	88.88	75.11	57.89	4.66	5.11	12.93	10.31	22.75	5.11
MMP19	191.67	356.05	748.61	351.14	1662.49	19.39	21.32	37.85	25.35	175.07	24.28
MNDA	163.28	307.69	289.02	190.34	295.11	9.34	3.29	27.05	40.93	95.34	16.39
MPEG1	187.71	2163.77	1159.07	1073.91	336.79	25.17	4.31	57.49	84.63	197.09	44.25
MRGPRX2	1.75	5.19	7.06	7.4	1.04	0.0	0.0	0.0	0.0	0.55	0.0
MTHFD1	796.86	1151.06	1819.35	1304.15	579.04	583.07	902.89	748.61	934.76	1044.52	764.36
MYO1F	136.19	361.04	149.12	363.56	379.04	18.97	19.68	49.91	75.64	149.12	41.81
NBPF8	2.03	1.81	3.17	4.94	1.62	1.16	1.6	1.73	3.14	2.94	0.0
NCF2	137.14	543.96	275.28	417.77	848.22	13.52	11.38	36.53	34.51	120.94	27.64
NCF4	102.97	603.67	376.41	1023.0	432.53	27.05	5.59	38.67	38.95	131.51	26.86
NCKAP1L	127.0	759.08	339.14	358.54	532.74	11.38	6.26	26.67	43.94	115.97	36.01
NFAM1	50.98	153.34	61.25	90.14	115.16	4.62	2.07	7.46	11.38	35.0	6.78
NLRC4	18.16	74.06	52.08	28.04	102.25	2.16	5.23	6.31	11.73	10.96	6.62
NLRP3	41.22	129.69	53.95	60.82	138.1	6.16	0.61	6.06	5.73	46.84	14.67
NPL	100.83	567.1	343.89	470.14	312.0	38.12	49.91	42.71	98.73	115.97	40.93
P2RY13	68.55	384.34	178.77	136.19	109.66	6.89	0.88	9.06	14.03	27.64	7.57
PCDHGA12	31.22	146.03	64.8	96.01	139.07	1.69	4.21	9.48	11.55	19.97	19.82
PCYT1A	629.35	941.27	830.75	825.0	775.05	329.84	463.65	454.09	547.75	555.41	493.56
PDE1B	110.43	96.68	204.07	258.57	423.61	2.12	6.41	14.03	12.18	21.78	24.46
PGAM4	20.26	12.93	21.78	9.85	2.46	6.41	0.0	2.84	1.66	3.0	1.93
PIK3AP1	75.64	303.44	651.58	131.51	62.56	36.01	117.6	72.52	61.25	127.89	127.0
PIK3R5	43.02	208.38	137.14	117.6	842.36	7.51	6.78	14.14	16.03	48.87	34.02
PLCB2	104.42	246.28	351.14	607.87	466.88	23.25	28.24	97.36	76.17	112.77	90.14
PLEK	186.4	902.89	480.04	536.45	193.01	17.64	8.58	35.5	62.56	144.01	34.26
PPP1R16B	96.01	211.31	381.68	148.09	348.71	2.53	3.11	3.69	12.45	36.27	3.29
PSTPIP1	75.64	223.41	180.02	228.13	59.55	21.01	16.63	41.52	44.57	88.26	15.34
PTAFR	102.25	339.14	193.01	181.28	305.55	6.84	6.31	17.13	22.1	63.45	15.45
PTK2B	341.51	748.61	647.07	521.76	1519.15	202.66	638.15	387.02	599.49	928.3	454.09
PTPRB	199.85	507.46	463.65	334.46	2777.33	17.25	35.0	56.68	57.08	183.82	45.85
RASGRF2	55.89	95.34	123.5	115.97	60.82	9.34	12.0	29.27	25.17	60.39	21.16
RENBP	119.26	368.65	190.34	559.28	638.15	38.12	14.35	46.5	74.58	92.7	48.87
RGS18	21.63	143.01	50.98	69.03	108.9	3.99	0.0	7.63	9.2	20.41	3.76
RNASE6	356.05	1662.49	808.0	595.34	674.59	40.36	7.4	80.01	93.35	197.09	119.26
S1PR1	423.61	896.64	1143.1	624.99	1870.53	38.12	50.27	120.1	97.36	332.14	54.72
SASH3	163.28	403.5	258.57	256.78	656.11	13.52	8.45	37.05	79.45	90.14	35.5
SCARA5	149.12	9945.68	6037.61	2468.49	403.5	1.36	1.5	2.36	5.06	13.22	8.51
SELPLG	204.07	941.27	642.59	429.54	713.11	19.53	7.82	48.18	85.82	147.06	35.5
SEPT4	457.25	525.39	1088.92	642.59	1088.92	31.22	48.18	42.71	53.57	91.41	57.08
SIGLEC10	70.01	223.41	108.14	43.02	123.5	6.94	4.43	17.9	21.16	57.49	9.34
SIRPB2	30.12	153.34	84.63	66.65	185.11	3.59	3.56	5.45	11.47	39.22	7.82
SLC7A7	165.57	941.27	327.56	309.83	1923.14	16.51	10.16	33.78	68.07	91.41	28.45
SMAP2	890.44	1268.46	808.0	718.08	1561.89	460.44	684.02	775.05	791.35	1159.07	728.11
SSH2	191.67	423.61	497.0	244.57	921.88	101.54	109.66	110.43	129.69	125.24	195.72
TFEC	42.11	163.28	194.36	106.63	381.68	4.74	0.8	10.31	11.04	28.45	3.76
THEMIS2	212.78	447.82	432.53	426.57	6337.83	24.99	24.11	55.89	45.21	170.25	44.89
TLR7	34.75	176.29	43.94	113.56	38.4	8.85	0.39	4.66	8.58	21.01	4.9
TLR8	15.91	84.63	48.52	19.25	132.44	1.79	0.25	3.35	3.35	13.62	2.12
TMEM106A	97.36	234.57	159.9	244.57	42.11	6.41	6.06	12.74	22.75	62.56	12.93
TMEM127	1119.56	1745.2	1378.57	1369.04	842.36	463.65	575.03	599.49	603.67	854.13	555.41
TNFRSF10C	58.3	50.63	44.57	45.53	61.68	1.46	24.11	10.0	48.18	24.46	10.55
TSHR	5.68	6.67	3.63	27.84	0.56	2.1	1.22	2.86	0.52	3.03	1.28
TTC7A	232.94	571.05	457.25	476.71	753.83	106.63	161.02	127.89	221.86	183.82	191.67
TYROBP	2047.0	6164.49	3103.19	3235.01	9876.98	353.59	126.12	825.0	808.0	1259.69	575.03
VWF	1135.2	2664.15	2468.49	1617.0	2875.3	178.77	137.14	329.84	303.44	769.69	363.56
WAS	114.36	493.56	139.07	301.33	395.18	29.91	21.47	67.59	60.82	139.07	54.72
ZBTB43	142.01	189.02	130.6	122.64	341.51	63.0	80.57	69.52	88.88	271.48	90.14
ZNF366	29.27	118.43	118.43	86.43	13.12	1.06	4.74	11.91	7.46	23.25	4.35
