	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.A9UU.01A.11R.A42T.07	TCGA.L5.A8NH.01A.11R.A37I.31	GTEX.UJMC.1026.SM.4IHKN	TCGA.CV.7242.01A.11R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
AACS	1844.76	947.83	154.42	229.72	785.88	0.0	0.26
AANAT	7.34	12.45	2.36	3.03	3.66	0.0	0.22
ADIPOR2	1628.26	974.5	507.46	780.44	819.3	0.0	0.34
AK2	4512.4	4419.52	2335.28	1583.71	2384.37	0.0	0.96
ALKBH2	483.38	967.76	633.73	358.54	785.88	0.0	0.28
AP1AR	336.79	303.44	320.8	145.02	332.14	0.0	0.4
ARHGEF19	974.5	1350.18	183.82	336.79	995.0	0.0	0.23
ARHGEF37	251.48	307.69	58.71	124.37	68.55	0.0	0.18
ARPC5L	3564.78	3467.27	1437.15	638.15	1651.0	1594.73	493.56
BST2	71219.26	9606.86	1697.45	1697.45	7081.29	0.0	0.79
C14orf119	1417.35	2303.12	1119.56	941.27	1594.73	0.0	0.13
C19orf82	723.08	271.48	71.5	159.9	173.85	0.0	0.24
C1orf168	432.53	2.41	0.16	4.98	32.59	0.0	0.12
C1orf210	2796.65	197.09	45.21	5.41	208.38	0.0	0.0
C4orf33	403.5	217.27	181.28	107.38	199.85	0.0	0.42
CADM1	1561.89	295.11	50.27	154.42	642.59	142.01	212.78
CASZ1	1066.48	723.08	327.56	318.57	500.46	0.0	0.58
CCDC137	1199.98	1304.15	688.78	273.37	543.96	0.0	0.4
CCDC85C	429.54	1199.98	273.37	231.32	540.19	0.0	0.32
CD300LG	13.72	3.17	2.34	66.18	1.97	0.0	0.0
COASY	2351.53	2400.97	1457.23	1001.93	1662.49	0.0	0.71
CPT2	438.59	420.68	244.57	256.78	264.03	0.0	0.0
CSNK1A1	5517.27	3349.13	1508.65	2555.58	2319.15	1551.09	1437.15
CTXN3	5.45	10.88	0.0	4.31	0.61	0.0	0.0
DEPDC5	392.44	312.0	212.78	187.71	303.44	0.0	0.31
DPEP1	41.22	32.36	20.26	5.54	86.43	0.0	0.25
DPM2	1008.9	2468.49	902.89	693.58	1417.35	0.0	0.51
DYNLT3	2682.69	1322.37	529.06	733.19	2303.12	0.0	0.59
