	TCGA.E9.A1N9.01A.11R.A14D.07	TCGA.B6.A0IP.01A.11R.A034.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.A7.A0CH.11A.32R.A089.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BC.11A.22R.A089.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.G4.6315.01A.11R.1723.07	TCGA.RU.A8FL.01A.11R.A37K.07	TCGA.DM.A28H.01A.11R.A16W.07	GTEX.131YS.2926.SM.5EGKI	TCGA.38.4625.01A.01R.1206.07.1
ALDH1A3	334.46	162.14	412.0	830.75	743.43	1437.15	1923.14	2485.67	2537.92	3039.3	73.54	29.91	111.21	234.57	0.18
AMOTL2	332.14	514.56	540.19	1674.06	1277.29	2148.82	1936.53	1096.5	1044.52	1111.82	409.15	108.14	162.14	208.38	0.28
AMPD3	67.12	103.69	107.38	137.14	121.79	165.57	116.78	113.56	848.22	423.61	26.86	44.25	59.13	51.35	115.97
ANKK1	11.55	12.09	10.63	23.42	23.42	21.16	46.84	28.86	12.55	43.94	8.19	2.34	1.95	2.46	0.3
ARHGEF28	136.19	138.1	158.79	293.07	209.84	387.02	423.61	395.18	307.69	543.96	63.0	33.78	31.67	49.21	0.24
BBOX1	114.36	120.1	141.02	256.78	563.18	1183.45	1015.93	1794.29	5594.3	12853.63	0.0	0.0	1.73	8.92	0.04
BTBD11	40.07	29.7	71.5	45.85	75.64	72.01	94.01	108.9	4095.0	3742.05	11.55	0.57	1.53	2.41	0.37
BTG1	1662.49	2178.83	3103.19	3794.3	2417.67	3419.52	2701.35	3928.15	2627.46	8598.28	1175.27	587.13	813.63	1250.98	0.6
CDNF	32.59	27.84	36.27	96.01	90.77	108.9	117.6	178.77	49.91	116.78	14.35	23.25	33.78	30.34	0.0
CH25H	46.84	46.18	129.69	92.05	69.52	438.59	226.54	100.13	244.57	291.04	42.41	6.57	8.0	14.67	0.06
CLCN1	4.82	2.51	2.18	6.16	4.94	15.34	9.48	13.42	10.08	5.02	0.69	6.06	4.66	0.97	0.06
CLN8	73.03	175.07	269.6	281.09	244.57	389.72	212.78	223.41	764.36	543.96	79.45	36.79	66.65	112.77	0.4
CNGA1	39.79	13.83	9.56	50.27	117.6	99.43	104.42	123.5	253.23	177.53	19.25	2.23	8.65	11.47	0.01
COL17A1	412.0	571.05	1037.29	1991.0	2178.83	2271.4	3820.7	4181.07	1179708.33	1355129.16	392.44	98.73	35.25	74.06	0.6
CTD-2600O9.1	3.0	1.81	3.5	6.73	5.5	24.46	21.32	9.85	2816.11	10.31	0.0	0.0	0.0	0.0	0.0
DCUN1D3	96.68	96.01	140.04	305.55	191.67	363.56	232.94	170.25	429.54	279.14	80.57	52.82	60.39	94.01	0.21
DEFB1	163.28	371.22	156.59	1806.78	723.08	5791.62	638.15	1883.54	117311.73	125731.67	92.7	33.3	104.42	102.97	0.19
DLK2	27.44	54.33	30.12	81.14	154.42	122.64	285.03	205.5	1977.24	1313.23	11.21	10.63	18.84	2.39	0.28
EMP1	1417.35	1508.65	2855.44	6561.36	5292.48	13215.02	9876.98	9088.59	610654.84	191899.64	559.28	211.31	185.11	1572.76	0.43
FAT2	29.91	45.21	90.14	137.14	173.85	166.73	295.11	232.94	402881.61	171754.88	1.03	1.69	1.39	1.08	0.58
GPR87	26.28	31.67	35.25	85.22	36.01	242.88	154.42	260.38	654483.73	1514068.5	0.0	0.0	0.0	0.0	0.27
HAS3	31.45	13.93	32.82	389.72	224.97	981.29	2664.15	620.67	251464.33	11827.67	138.1	12.55	74.58	46.18	130.6
HCAR3	78.89	16.39	21.01	88.88	50.98	206.94	47.5	77.25	13306.94	4869.99	1.81	1.71	7.69	0.0	0.0
HPSE	33.06	14.89	40.64	29.06	117.6	103.69	50.98	33.54	620.67	291.04	14.89	12.0	31.67	23.93	0.1
IER5	309.83	665.29	579.04	571.05	733.19	890.44	854.13	1030.12	2573.36	698.41	176.29	327.56	232.94	166.73	0.27
IFNGR1	1199.98	1096.5	1359.57	2335.28	2701.35	3190.46	2224.63	3039.3	1369.04	4512.4	1073.91	723.08	457.25	967.76	223.41
ITPKC	316.37	400.71	497.0	525.39	500.46	1806.78	842.36	713.11	5555.65	2193.99	361.04	226.54	228.13	265.87	0.09
KLF6	1051.79	616.37	2835.7	2895.31	2018.8	6887.62	5219.6	4038.61	1216.75	8247.98	703.28	1159.07	571.05	1088.92	780.44
KLHL2	316.37	146.03	265.87	281.09	234.57	400.71	521.76	559.28	334.46	616.37	125.24	120.94	155.5	173.85	0.39
KLHL31	18.56	12.93	13.32	204.07	79.45	120.94	55.1	41.52	39.22	50.63	8.06	11.38	6.62	2.39	0.14
KLK5	128.79	190.34	285.03	941.27	909.17	3103.19	2555.58	2855.44	383800.28	3146.52	0.0	0.0	0.0	2.1	0.0
KLK7	26.86	66.65	137.14	320.8	267.73	1350.18	967.76	921.88	1196176.45	12502.12	7.57	5.87	4.58	0.13	866.07
KLRC1	7.0	2.92	4.1	12.18	8.65	18.43	15.22	47.5	100.13	267.73	1.57	0.0	0.0	0.0	0.21
KRT14	1487.87	4038.61	4543.8	18431.96	31870.96	33455.53	38966.94	54727.32	7.4879730316E8	1.0530509404E8	2.36	0.0	3.44	22.43	1.11
KRT15	1572.76	2555.58	37121.34	15075.35	13776.25	18689.27	39237.98	35118.87	1.054459145E7	2.10891839E7	212.78	74.58	16.51	21.94	0.93
KRT17	1044.52	2777.33	4512.4	21617.82	19082.0	33455.53	47974.16	39510.91	4953441.24	149521.18	78.34	19.25	11.91	37.85	0.43
KRT5	1183.45	2468.49	3491.39	13399.51	15715.58	20310.37	31432.17	47313.67	4.3607468381E8	8.2510357921E8	13.32	5.19	5.32	12.27	0.8
KRT6A	35.25	11.82	50.63	728.11	95.34	450.94	248.0	1447.15	2.01760973986E9	2.41604469791E9	12.18	10.79	0.0	0.0	1.17
KRT79	0.0	0.0	1.5	86.43	27.84	110.43	10.79	23.25	3257.52	134.3	0.0	0.0	0.0	0.0	0.0
LIPK	2.01	1.2	0.69	1.41	1.36	18.03	6.46	3.29	1286.18	902.89	0.0	0.0	0.0	0.0	0.13
MAFF	198.47	228.13	249.73	878.17	450.94	1857.6	1794.29	915.51	915.51	1008.9	214.27	595.34	204.07	133.36	0.0
MAP2	67.12	47.5	127.89	74.06	74.58	148.09	249.73	194.36	6294.04	1896.65	1.68	1.22	3.26	42.11	0.56
MUC15	63.0	45.21	19.68	155.5	55.89	457.25	567.1	438.59	150561.19	101420.22	0.0	0.0	3.17	0.62	158.79
NSG1	277.2	63.45	84.04	164.42	206.94	327.56	476.71	463.65	15499.21	38697.77	53.19	16.63	29.48	62.12	0.25
PFKFB3	316.37	361.04	591.22	3190.46	2915.45	3874.05	1991.0	1909.85	17804.06	2720.15	312.0	186.4	242.88	314.17	0.34
PLCH2	48.87	96.68	44.25	146.03	187.71	403.5	575.03	265.87	37639.55	43236.64	15.0	16.39	13.93	11.3	0.8
PLK3	281.09	190.34	575.03	543.96	521.76	1594.73	1304.15	642.59	1844.76	620.67	138.1	358.54	320.8	100.83	0.46
RNF39	102.25	68.55	97.36	158.79	122.64	356.05	395.18	323.03	20310.37	9474.59	19.53	15.45	15.91	8.13	0.32
SCN5A	3.53	2.25	4.46	12.64	6.16	15.0	47.17	23.59	6.73	39.22	14.14	2.18	1.08	4.21	0.22
SERPINB5	69.52	77.79	269.6	323.03	320.8	819.3	1369.04	890.44	1825675.85	1589343.01	44.57	7.28	1.99	5.63	0.45
SGK1	521.76	275.28	1457.23	2255.7	1769.57	5006.93	2664.15	3349.13	3419.52	16157.44	291.04	50.63	74.06	269.6	0.46
SLC27A6	20.11	16.27	45.85	42.41	70.51	260.38	264.03	205.5	1794.29	1313.23	1.04	0.0	0.78	7.46	0.0
SLC28A3	41.81	23.25	37.59	81.14	64.34	466.88	220.32	409.15	1001.93	1467.37	7.22	0.0	26.67	1.85	0.18
SPATA18	43.02	182.55	98.04	133.36	88.88	220.32	246.28	191.67	312.0	384.34	25.72	18.7	4.28	112.77	0.0
THBD	217.27	236.21	205.5	460.44	237.86	780.44	543.96	638.15	1073.91	2104.58	55.49	12.36	65.72	124.37	0.59
TIPARP	275.28	170.25	444.72	521.76	246.28	961.07	1350.18	872.1	2895.31	1519.15	164.42	108.9	114.36	183.82	0.2
TP63	195.72	170.25	264.03	297.17	231.32	403.5	1030.12	921.88	3290783.22	3313672.43	0.84	0.0	0.84	4.94	0.3
VLDLR	100.13	107.38	220.32	808.0	363.56	656.11	334.46	447.82	1250.98	500.46	88.26	60.82	66.65	309.83	0.53
