	TCGA.AY.5543.01A.01R.1653.07	TCGA.A6.5666.01A.01R.1653.07	TCGA.AA.A02Y.01A.43R.A32Y.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.ZS.A9CD.01A.11R.A37K.07	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.ZYT6.0626.SM.5E45V	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.13SLX.1226.SM.5S2Q6	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13VXU.0926.SM.5IFFH	TCGA.05.5420.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07	TCGA.05.5429.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.DC.4749.01A.01R.1736.07	TCGA.VQ.A94T.01A.11R.A414.31	TCGA.B7.5818.01A.11R.1602.13
AASS	18.84	22.1	69.03	27.25	68.55	189.02	808.0	1519.15	1508.65	571.05	323.03	775.05	1233.75	555.41	164.42	563.18	204.07	2997.45	466.88	131.51	0.0	28.24	0.78	35.76	124.37	14.67
AC002365.1	0.0	0.0	0.0	1.48	0.0	2.41	7.46	1.6	8.19	2.32	5.32	3.92	1.87	13.62	0.0	0.0	1.73	3.03	5.63	0.0	0.0	2.16	0.0	1.16	0.0	0.0
AC104809.3	0.0	0.0	0.0	0.0	1.22	13.72	12.45	12.09	4.13	12.55	17.13	17.0	22.75	22.75	1.69	4.35	1.27	5.54	37.59	1.93	0.0	8.65	0.15	0.0	8.99	2.25
ACOX2	860.08	738.29	733.19	3491.39	2193.99	17197.56	24832.5	19082.0	31650.8	8538.88	10585.95	19892.37	19618.49	21919.61	10225.32	7803.01	14867.79	19214.73	20030.74	376.41	0.0	108.14	0.45	336.79	244.57	18.56
ACSM2A	0.0	0.0	4.58	2163.77	4095.0	33688.23	68318.04	65082.31	105727.15	13033.07	12676.65	8134.41	87075.75	70727.3	11827.67	35856.82	18178.19	85283.74	38164.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADH4	7.57	0.28	40.93	329.84	7589.61	267651.2	348306.01	677564.08	360589.03	394590.4	322736.12	472513.8	447025.24	524287.0	121448.75	174152.51	402881.61	535303.41	619179.28	5.28	0.0	73.54	0.2	49.21	4.1	0.0
ANGPTL7	0.23	0.0	0.0	0.0	0.0	5.63	6.94	11.38	2.48	11.82	1.14	4.58	15.34	23.59	0.93	1.25	2.89	0.0	0.37	0.15	0.0	0.0	0.0	0.0	0.03	0.0
APOA2	14.24	25.91	0.0	1299926.74	945028.61	8330662.65	8564869.49	1.631844115E7	3113270.58	2.941400607E7	1.099237559E7	2.821580058E7	3806410.22	5611673.89	2.079884286E7	8330662.65	5308966.95	2.138357795E7	5890667.76	8134.41	0.0	0.0	0.55	16.63	0.0	0.0
BCHE	1.33	1.33	1.43	327.56	176.29	18431.96	23656.34	22692.63	13033.07	6745.86	8901.53	7803.01	12764.83	12676.65	1350.18	3303.0	19618.49	11664.82	27363.16	16.88	0.0	12.18	0.19	0.0	4.86	2.84
C19orf80	2.53	0.0	0.0	1135.2	2555.58	27745.15	23492.92	1295.13	8022.41	2090.03	45701.96	1359.57	7485.11	30151.71	4123.49	11112.3	2875.3	3212.66	17437.64	0.0	0.0	0.0	0.0	5.19	6.57	5.96
