	TCGA.GD.A3OS.01A.12R.A220.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.L5.A88Z.01A.11R.A36D.31	GTEX.11DYG.1926.SM.5H12I	GTEX.11OF3.2326.SM.5GU73	GTEX.OXRL.0726.SM.3NM9A	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.56.5898.01A.11R.1635.07	TCGA.34.2608.01A.02R.0851.07	TCGA.39.5022.01A.21R.1820.07	TCGA.51.4080.01A.01R.1100.07	GTEX.ZQG8.2126.SM.4YCF1
ABCA13	6.52	785.88	1487.87	708.18	0.91	0.26	0.0	0.0	0.14	162.14	138.1	58.71	212.78	3.76
ABHD17C	236.21	3018.3	2520.38	1059.11	139.07	90.14	161.02	0.0	0.74	1111.82	624.99	450.94	743.43	928.3
ACSL1	493.56	4736.79	3018.3	1250.98	665.29	470.14	915.51	0.0	0.31	1529.73	1143.1	1457.23	2976.74	3820.7
BTBD11	50.98	4095.0	3742.05	1225.22	13.42	1.25	4.31	0.0	0.37	89.51	182.55	116.78	525.39	1427.22
C17orf99	4.24	59.97	118.43	35.25	2.39	2.94	0.0	0.0	0.16	79.45	20.41	31.0	128.79	10.88
CARD18	29.91	12943.04	466.88	273.37	2.32	0.0	0.0	0.0	0.18	211.31	236.21	45.53	262.2	423.61
CD9	3901.01	131982.68	57448.23	76330.98	11992.79	6887.62	6471.02	9215.48	11504.21	28525.2	26067.14	12764.83	40621.74	63302.6
CERS3	19.68	875652.15	303217.87	6164.49	6.36	6.52	2.16	0.0	0.0	909.17	332.14	74.06	555.41	7331.05
CLCA2	37.85	3.801327429E7	3.15251512E7	2520.38	43.02	0.39	1.16	0.0	0.18	1037.29	2224.63	551.56	2935.74	20451.65
CYP4F11	6.67	4769.75	825.0	3235.01	24.11	1.06	10.16	0.0	0.3	283.05	470.14	915.51	2816.11	486.75
CYP4F3	15.8	25354.3	1359.57	4419.52	16.39	17.51	3.41	0.0	0.92	154.42	529.06	633.73	1936.53	2956.17
DEFB103A	5.77	239554.43	954.43	239.52	0.0	0.0	0.0	0.0	0.0	9.56	7.06	4.24	13.42	457.25
DEFB103B	5.77	11112.3	353.59	14.78	0.0	0.0	0.0	0.0	0.0	9.48	6.94	4.21	13.32	988.12
DGKA	866.07	33922.56	22850.48	5147.73	713.11	693.58	629.35	0.0	0.99	2537.92	1909.85	1183.45	2976.74	2303.12
DSG4	1.95	830.75	260.38	42.41	0.42	0.0	0.0	0.0	0.0	11.55	1.69	5.36	9.34	2.63
ESRP1	143.01	8247.98	7081.29	182.55	29.7	2.61	7.69	0.0	0.0	967.76	813.63	819.3	3982.99	2875.3
FAM83B	8.51	25887.07	18689.27	1135.2	4.13	0.0	1.41	0.0	0.32	291.04	190.34	94.01	395.18	1073.91
FGFBP1	159.9	4194303.0	767601.56	62431.08	105.89	1.91	4.35	0.0	0.03	1639.59	1277.29	1378.57	4152.18	49322.93
