	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.AO.A0JC.01A.11R.A056.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.DM.A1D6.01A.21R.A155.07	TCGA.JY.A6FA.01A.11R.A336.31	TCGA.CR.6482.01A.11R.1873.07	TCGA.38.7271.01A.11R.2039.07	TCGA.38.4625.01A.01R.1206.07	TCGA.44.6145.01A.11R.1755.07	TCGA.49.6743.01A.11R.1858.07	TCGA.85.A4PA.01A.11R.A24Z.07	TCGA.46.3767.01A.01R.0980.07	TCGA.85.7710.11A.01R.2125.07	GTEX.13QJC.0826.SM.5RQKC	TCGA.EO.A3AU.01A.21R.A19W.07
ABI3	61.25	547.75	223.41	15.56	71.0	669.92	743.43	0.0	305.55	151.22	1023.0	305.55	753.83	158.79	133.36
ACAP1	75.11	3491.39	532.74	24.63	115.97	514.56	1216.75	0.0	555.41	339.14	8421.31	473.41	2796.65	2090.03	147.06
AD000671.6	9.27	102.97	0.0	5.28	9.2	54.33	74.06	0.0	48.18	15.0	112.77	35.0	74.58	30.12	4.43
ADORA2A	18.97	420.68	23.08	9.2	49.91	249.73	267.73	0.0	147.06	108.14	759.08	194.36	500.46	135.24	45.53
ADPRH	34.26	267.73	281.09	28.65	25.17	291.04	299.25	0.0	105.15	148.09	289.02	220.32	412.0	166.73	43.02
AKNA	44.57	2351.53	100.13	181.28	107.38	830.75	1286.18	0.0	587.13	260.38	2664.15	346.29	1529.73	2047.0	265.87
ANKRD55	0.0	129.69	25.91	0.11	0.16	13.03	53.95	0.0	7.34	5.11	48.87	3.17	36.27	49.91	1.64
ARHGAP25	38.12	2701.35	536.45	17.51	63.0	642.59	884.29	0.0	426.57	229.72	1757.34	397.93	1331.57	616.37	97.36
ARID5A	209.84	1529.73	490.14	175.07	329.84	728.11	1143.1	0.0	406.31	339.14	2682.69	830.75	988.12	669.92	363.56
BEND4	0.0	31.9	4.1	0.0	0.0	6.06	15.22	0.0	2.58	1.27	38.4	3.89	37.59	13.93	0.59
BLK	0.31	1369.04	3.14	0.0	0.0	181.28	866.07	0.0	82.29	28.65	1883.54	99.43	878.17	3665.02	5.68
BTK	7.28	2004.85	132.44	8.19	23.76	368.65	567.1	0.0	285.03	125.24	1963.57	285.03	1745.2	624.99	48.87
BTLA	6.26	928.3	35.5	0.0	0.69	127.89	246.28	0.0	57.89	25.91	412.0	43.02	301.33	540.19	21.32
C12orf42	0.31	158.79	7.94	0.32	0.29	11.04	49.56	0.0	13.62	4.78	107.38	8.45	63.45	24.99	0.91
CD180	3.32	860.08	90.77	0.0	5.19	307.69	316.37	0.0	163.28	90.77	723.08	177.53	759.08	121.79	25.17
CD19	3.92	2240.11	0.0	1.33	8.38	325.29	878.17	55.89	187.71	85.82	4123.49	120.94	1159.07	1923.14	10.79
