	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.VR.AA4G.01A.11R.A37I.31	TCGA.LN.A49O.01A.11R.A24K.31	TCGA.LN.A5U7.01A.11R.A31P.31	TCGA.LN.A5U7.01A.11R.A31P.31.1	TCGA.JY.A6FE.01A.11R.A336.31	TCGA.IG.A3YA.01A.11R.A24K.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.11DXZ.1226.SM.5H11L	GTEX.11ONC.1526.SM.5GU6S	GTEX.P4QT.0626.SM.3NMCP	GTEX.131YS.1426.SM.5IJF7	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	GTEX.1399S.1626.SM.5P9GI	GTEX.S95S.0826.SM.4B64N
AC090616.2	7.94	9.93	0.0	0.0	0.0	0.0	0.34	0.0	1.43	21.32	41.22	22.59	10.0	0.0	0.0	3.41	4.13	6.36	4.82	9.56	23.08	2.14	108.9	108.14	603.67	41.22	53.19
ACADL	4.24	30.34	0.18	0.39	0.16	0.16	0.37	1.11	7.28	40.07	25.17	47.84	20.26	0.0	0.1	2.16	2.81	3.14	17.38	2.89	12.74	2.84	85.22	54.72	60.82	25.35	89.51
BCAS1	988.12	921.88	0.42	0.0	0.0	0.0	0.16	2.29	27.64	518.15	660.68	1651.0	412.0	0.0	0.16	62.12	36.27	7.57	162.14	33.78	137.14	51.35	7803.01	3928.15	3874.05	1417.35	1963.57
C8orf47	57.08	105.89	0.77	0.47	0.0	0.0	1.99	0.0	6.11	125.24	10.63	149.12	17.25	0.0	0.0	46.5	8.65	3.23	27.44	18.03	26.47	6.67	525.39	255.0	118.43	89.51	239.52
C9orf152	45.21	884.29	0.0	0.0	0.0	0.0	0.0	0.27	6.94	316.37	127.89	603.67	297.17	0.0	0.06	27.44	3.11	1.83	75.64	6.52	39.22	5.02	2720.15	1733.13	2018.8	785.88	642.59
CA2	3716.2	2004.85	77.79	94.01	31.22	31.22	4.21	13.62	46.18	457.25	633.73	3515.68	429.54	0.0	0.19	169.07	75.11	454.09	199.85	373.81	373.81	57.49	49322.93	50011.46	31215.04	13776.25	20593.91
CDC42EP1	2271.4	1529.73	536.45	848.22	507.46	507.46	728.11	567.1	1233.75	1397.83	3419.52	4298.64	3060.45	0.0	0.96	1508.65	1159.07	1369.04	2255.7	1936.53	2047.0	1233.75	11584.24	12502.12	9279.58	7180.15	5076.84
CHAD	19.25	14.56	2.1	0.0	1.46	1.46	0.38	1.07	4.06	35.25	57.49	149.12	62.12	0.0	0.44	3.99	4.24	29.06	34.02	8.13	29.27	11.04	679.29	346.29	624.99	255.0	195.72
CLDN23	109.66	173.85	9.13	20.71	9.56	9.56	16.63	17.9	26.67	217.27	88.26	301.33	109.66	0.0	0.28	71.5	57.08	83.45	209.84	72.52	155.5	29.7	1044.52	1191.69	603.67	457.25	620.67
CMTM4	236.21	226.54	86.43	71.5	66.18	66.18	87.03	97.36	147.06	198.47	480.04	579.04	314.17	0.0	0.45	72.52	96.68	96.01	189.02	118.43	146.03	102.25	2032.85	1605.83	1628.26	1208.34	1104.13
FA2H	1159.07	181.28	3.41	1.04	0.67	0.67	0.69	3.35	48.18	381.68	669.92	759.08	253.23	0.0	0.14	3.53	7.34	9.78	96.01	56.68	46.84	3.72	5517.27	4210.15	5872.48	1572.76	1467.37
FAM107B	872.1	579.04	89.51	119.26	63.89	63.89	85.22	186.4	201.25	1088.92	674.59	2287.2	353.59	0.0	0.67	392.44	147.06	256.78	463.65	305.55	460.44	275.28	6607.01	3955.48	3060.45	2485.67	1896.65
GALE	5403.7	2351.53	180.02	638.15	80.01	80.01	234.57	100.13	1639.59	3124.78	2875.3	3716.2	2627.46	0.0	0.31	1322.37	981.29	1167.14	1508.65	1304.15	1561.89	1175.27	7857.29	6164.49	8247.98	3690.52	3665.02
GHRL	1.41	89.51	0.0	0.0	0.0	0.0	0.0	0.0	1.79	44.89	169.07	15607.02	51.71	0.0	0.0	0.0	0.73	5.41	13.42	8.78	16.15	2.16	59063.35	40062.48	86474.27	1819.35	1313.23
GPT	104.42	51.35	9.93	12.27	3.69	3.69	1.73	12.93	30.56	183.82	150.17	291.04	567.1	0.0	0.58	42.41	15.91	53.95	90.77	23.08	86.43	28.24	1096.5	1081.39	1183.45	698.41	785.88
KCNE2	7.34	3.56	0.0	0.0	0.0	0.0	0.0	0.0	0.27	19.97	7.0	1066.48	35.25	0.0	0.09	0.37	3.35	6.01	7.34	3.66	0.79	0.57	11189.6	10733.74	35363.15	1909.85	1819.35
KCNQ1	96.68	35.76	12.18	6.67	5.45	5.45	8.25	14.35	9.41	54.72	49.91	1008.9	46.18	0.0	0.3	33.54	6.67	16.51	65.72	30.56	54.72	15.56	5672.41	6745.86	7695.57	1794.29	1950.0
KLHDC7A	417.77	543.96	0.0	0.0	0.0	0.0	0.0	0.0	11.82	35.0	54.33	27.84	90.14	0.0	0.0	14.67	8.06	2.41	40.64	12.83	22.59	7.34	262.2	256.78	86.43	53.57	127.0
MAGIX	463.65	493.56	11.38	5.68	10.24	10.24	25.91	27.84	60.39	150.17	231.32	351.14	155.5	0.0	0.14	53.57	33.06	78.34	111.99	78.34	123.5	74.58	693.58	743.43	915.51	483.38	423.61
