	TCGA.OL.A66H.01A.11R.A29R.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.AN.A041.01A.11R.A034.07	GTEX.13FTY.2226.SM.5J1ND	TCGA.DS.A7WH.01A.22R.A352.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ABHD10	738.29	525.39	1250.98	693.58	909.17	406.31	490.14	142.01	0.0	0.28
AC104667.3	88.26	75.11	153.34	49.91	132.44	13.62	31.22	3.47	0.0	0.0
ACAT1	3955.48	4972.34	2956.17	1277.29	4836.35	497.0	1044.52	366.09	0.0	0.56
ACYP2	703.28	587.13	813.63	599.49	848.22	117.6	341.51	98.04	0.0	0.47
APITD1	743.43	1030.12	813.63	483.38	1023.0	395.18	420.68	500.46	0.0	0.0
APOM	167.9	118.43	228.13	40.36	182.55	22.1	181.28	88.26	0.0	0.17
ATP6V0C	5594.3	6607.01	7280.4	3820.7	6745.86	4181.07	2335.28	3614.55	0.0	0.87
ATPAF1	1844.76	3212.66	2915.45	1594.73	3303.0	1001.93	1295.13	674.59	0.0	0.12
BTBD16	4.66	11.04	5.15	6.31	9.78	0.78	2.34	2.86	0.0	0.23
C12orf52	412.0	503.95	616.37	480.04	688.78	397.93	325.29	172.65	0.0	0.0
C1orf172	414.87	536.45	603.67	194.36	529.06	356.05	277.2	217.27	0.0	0.0
C21orf33	2335.28	2004.85	2502.97	1883.54	3564.78	1397.83	1844.76	470.14	0.0	0.52
C22orf39	599.49	599.49	785.88	253.23	579.04	567.1	397.93	303.44	0.0	0.55
C6orf203	536.45	444.72	819.3	466.88	607.87	295.11	358.54	169.07	0.0	0.0
C9orf152	595.34	802.41	830.75	693.58	1119.56	336.79	463.65	392.44	0.0	0.06
CAMLG	1794.29	1529.73	2287.2	1233.75	2119.22	642.59	688.78	483.38	0.0	0.57
CARS2	1322.37	1467.37	1397.83	665.29	2271.4	647.07	764.36	473.41	0.0	0.71
CCT6B	157.68	105.89	172.65	99.43	217.27	54.33	119.26	9.34	0.0	0.0
CDIPT	2335.28	3467.27	2591.27	2384.37	3874.05	2720.15	1572.76	1044.52	0.0	0.74
CPB1	721179.07	1578364.61	1155430.26	1715263.94	1026995.62	1535204.12	2.291835145E7	2.76	0.0	0.15
CRYAA	0.64	4.82	1.48	0.0	3.72	0.0	1.16	0.0	0.0	0.05
DGCR6	693.58	389.72	595.34	414.87	624.99	211.31	417.77	121.79	0.0	0.36
FAF1	836.53	583.07	1044.52	551.56	872.1	470.14	521.76	884.29	0.0	0.71
FAM149A	121.79	232.94	215.77	74.58	175.07	40.93	46.18	65.72	0.0	0.47
FAM174A	1167.14	813.63	1322.37	780.44	1286.18	334.46	503.95	275.28	0.0	0.34
FAM213B	1199.98	860.08	1388.16	521.76	1191.69	567.1	521.76	381.68	0.0	0.57
FAM86C1	171.45	194.36	175.07	94.01	186.4	194.36	85.22	35.76	0.0	0.0
FGFBP3	27.44	21.94	35.0	10.39	31.45	6.67	26.86	8.32	0.0	0.13
FOXD4	9.7	13.42	23.76	7.22	44.89	4.43	4.5	8.19	0.0	0.04
GEMIN6	423.61	392.44	563.18	314.17	432.53	366.09	242.88	211.31	0.0	0.0
GLTPD1	450.94	435.55	713.11	329.84	713.11	206.94	244.57	295.11	0.0	0.33
GNG5	5995.9	4066.71	7537.18	3794.3	6652.97	2720.15	1685.71	4671.57	0.0	1.03
GRPEL1	878.17	775.05	1199.98	775.05	1119.56	703.28	463.65	688.78	0.0	0.11
HS6ST1	1709.26	1208.34	2224.63	967.76	3235.01	890.44	620.67	323.03	0.0	0.59
IL17D	165.57	236.21	348.71	108.9	277.2	22.92	52.82	72.52	0.0	0.18
KEAP1	1662.49	1794.29	2502.97	1721.16	1909.85	1081.39	769.69	529.06	0.0	0.38
KIAA1522	1350.18	1594.73	2451.44	1151.06	2400.97	647.07	1572.76	1397.83	0.0	0.25
KLHL22	540.19	559.28	607.87	267.73	543.96	363.56	392.44	91.41	0.0	0.39
LIPT2	70.01	69.52	111.21	42.11	92.7	19.11	40.07	5.73	0.0	0.0
MFSD3	1159.07	941.27	796.86	251.48	1745.2	133.36	215.77	47.5	0.0	0.45
MSRA	361.04	283.05	309.83	177.53	271.48	101.54	234.57	224.97	0.0	0.55
MXD4	1051.79	1322.37	1051.79	529.06	1225.22	728.11	759.08	204.07	0.0	0.38
NDUFAF2	1208.34	813.63	1216.75	1001.93	1059.11	447.82	591.22	420.68	0.0	0.59
NECAB3	1950.0	1286.18	2351.53	1295.13	2133.97	902.89	1104.13	486.75	0.0	0.31
NFU1	1583.71	1745.2	2682.69	1407.55	1769.57	902.89	1295.13	583.07	0.0	0.64
PALM	607.87	713.11	571.05	185.11	759.08	220.32	124.37	123.5	0.0	0.73
PDHB	1757.34	2240.11	2303.12	1417.35	2468.49	1151.06	854.13	909.17	0.0	0.38
PIGP	1295.13	1066.48	1832.01	947.83	1769.57	988.12	555.41	291.04	0.0	0.0
