	GTEX.Y8LW.1226.SM.4WWDP	GTEX.ZLV1.1326.SM.4WWER	GTEX.11P7K.1826.SM.5HL5A	GTEX.11DXX.1926.SM.5EGJK	GTEX.V955.1626.SM.4JBHJ	GTEX.XOTO.2126.SM.4B64U	GTEX.11TUW.1326.SM.5EQKV	GTEX.11GSP.1826.SM.5N9DQ	GTEX.1212Z.2126.SM.5FQTM	GTEX.X4XY.1726.SM.46MVO	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12KS4.0726.SM.5FQSX
AAR2	775.05	915.51	928.3	791.35	698.41	287.01	387.02	291.04	353.59	325.29	125.24	624.99
ACO2	3742.05	3257.52	3665.02	2720.15	2915.45	1757.34	1259.69	1697.45	1733.13	928.3	164.42	1923.14
ACOT9	607.87	555.41	947.83	688.78	656.11	490.14	303.44	343.89	463.65	144.01	295.11	1697.45
ACTG2	194578.47	61146.25	233003.78	59063.35	61146.25	12943.04	9279.58	8901.53	16269.83	591.22	0.61	5147.73
ACTN1	8840.04	7081.29	14065.74	7180.15	6652.97	2816.11	2796.65	2075.59	2319.15	764.36	0.73	4639.29
ACTR1A	2193.99	2976.74	2555.58	2537.92	2555.58	1685.71	1487.87	1572.76	1721.16	1447.15	0.93	2451.44
ADH5	6745.86	5995.9	6079.61	6337.83	6516.03	1111.82	1427.22	1259.69	1963.57	540.19	0.34	2645.74
AIMP1	1242.34	988.12	1417.35	1059.11	1183.45	713.11	698.41	738.29	769.69	532.74	0.56	890.44
ANAPC15	2224.63	1639.59	2895.31	1832.01	1304.15	995.0	1447.15	1216.75	1733.13	563.18	0.48	1417.35
AOC3	4239.45	1794.29	4736.79	2335.28	2163.77	743.43	532.74	674.59	1242.34	161.02	180.02	4481.23
ATL1	395.18	289.02	575.03	183.82	329.84	35.5	52.08	43.94	75.64	20.71	0.13	131.51
ATP5A1	15715.58	10733.74	14663.09	12076.21	11189.6	6079.61	6652.97	7382.04	8963.45	2956.17	0.89	9025.81
ATP5B	23330.64	16269.83	19754.96	18178.19	18689.27	15075.35	13215.02	15934.98	15607.02	9344.14	1.43	16045.82
ATP5C1	8421.31	5791.62	7695.57	5751.61	6164.49	4543.8	3349.13	4210.15	5594.3	2351.53	1.0	5403.7
ATP5F1	11267.44	7642.41	8718.32	7433.4	7857.29	4972.34	4607.24	5329.3	5594.3	3589.58	0.59	7081.29
ATP5H	16496.96	11035.54	15180.22	9474.59	10225.32	5672.41	6207.38	6207.38	6935.54	2664.15	224.97	10225.32
