	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BT.A20Q.11A.11R.A14Y.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.12WSL.1626.SM.5GCMU	GTEX.111CU.0826.SM.5EGIJ	GTEX.P4PP.0626.SM.3NM9X	GTEX.11EQ9.0726.SM.5A5K2	GTEX.139YR.1726.SM.5IFFK	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.V955.1326.SM.4JBHR
AAGAB	529.06	536.45	660.68	591.22	463.65	551.56	595.34	698.41	624.99	769.69
ACAT2	211.31	182.55	4481.23	358.54	251.48	915.51	988.12	1617.0	273.37	947.83
ACER1	0.89	0.88	423.61	2.18	3.38	84.63	540.19	332.14	8.38	44.25
ANKHD1-EIF4EBP3	114.36	154.42	460.44	161.02	130.6	244.57	208.38	429.54	303.44	490.14
BPIFC	0.0	0.0	120.1	0.0	0.0	5.36	10.31	75.11	1.31	8.92
C14orf1	258.57	283.05	2417.67	348.71	297.17	563.18	575.03	934.76	400.71	1313.23
C16orf59	7.94	9.27	193.01	21.47	18.43	22.26	64.8	87.03	18.7	56.68
C16orf95	27.25	50.98	112.77	67.59	43.02	75.11	51.35	90.77	61.68	111.99
C5orf46	0.0	0.0	406.31	1.89	0.0	16.15	33.06	43.02	10.71	34.75
CALML5	0.0	0.0	1336472.68	4.54	32.59	2417.67	6471.02	7803.01	29.91	105.15
CAPN1	1794.29	2148.82	15499.21	2573.36	2148.82	6699.25	8022.41	6079.61	4268.94	5076.84
CERS3	4.9	0.92	875652.15	1.08	2.01	587.13	1304.15	2090.03	35.25	72.01
CLEC2A	0.0	0.0	366.09	0.0	0.0	2.61	3.82	2.86	0.0	25.35
CNFN	16.51	4.5	857631.47	35.76	26.67	55877.28	48643.87	62431.08	473.41	2178.83
CRCT1	0.0	0.0	1877002.62	1.14	8.45	10225.32	24490.61	38430.46	84.63	165.57
CTD-2616J11.4	0.0	0.0	33.78	1.48	1.22	7.88	1.48	4.5	4.06	14.89
DDIT4	1216.75	457.25	29943.43	2915.45	3419.52	9344.14	12764.83	13872.08	3168.41	6471.02
DHCR7	135.24	145.02	2240.11	190.34	136.19	708.18	1151.06	1540.37	503.95	1437.15
DLX4	0.91	0.0	68.55	2.81	2.84	8.51	19.68	45.53	15.68	26.28
DSC1	0.0	0.0	24.81	1.33	0.04	8.85	10.79	10.63	1.45	7.17
DSG1	0.0	0.0	21468.49	1.87	1.62	429.54	1844.76	2047.0	18.16	50.27
EBP	420.68	514.56	20737.16	1143.1	547.75	1977.24	2777.33	4671.57	1295.13	2520.38
EFNB3	4.9	3.99	131.51	14.78	4.46	77.79	56.68	63.45	31.22	70.51
FAM25G	0.0	0.0	1116072.03	0.0	0.0	185.11	934.76	1250.98	0.0	1844.76
FAM83F	0.46	1.79	7382.04	50.63	5.54	208.38	392.44	463.65	195.72	229.72
FDFT1	1551.09	1936.53	20310.37	2502.97	1605.83	3443.31	3589.58	7485.11	2303.12	7803.01
FDPS	1508.65	1685.71	13681.08	2609.3	1896.65	3955.48	5517.27	8078.22	2591.27	5594.3
FLG	1.35	3.53	3716.2	3.56	7.63	293.07	159.9	2609.3	12.64	26.1
FOLH1	13.72	7.94	57.89	24.28	10.08	19.11	28.24	45.53	13.93	73.54
FOXE1	0.0	0.0	402881.61	0.48	0.96	85.22	118.43	131.51	1.87	66.65
GPR115	0.0	0.0	4298.64	15.45	1.03	218.79	323.03	194.36	2.53	23.59
HIST1H4E	0.91	2.23	189.02	3.86	4.9	13.72	24.99	153.34	12.27	16.15
HMGCR	190.34	140.04	4066.71	387.02	163.28	1044.52	1350.18	2178.83	463.65	988.12
HSD17B7	78.89	51.71	521.76	205.5	133.36	361.04	327.56	679.29	178.77	429.54
IL36B	0.0	0.0	1340.84	0.0	0.0	68.07	255.0	87.03	0.0	57.49
KLK12	0.0	0.0	2343119.96	21.47	2.41	4181.07	17558.94	11992.79	101.54	189.02
KRT10	132.44	120.94	5041.77	316.37	353.59	6207.38	3212.66	5183.54	629.35	1259.69
KRTDAP	0.0	0.0	1622738.51	12.09	90.77	6935.54	45701.96	38430.46	25.72	660.68
LLGL2	48.87	68.55	11035.54	884.29	281.09	2434.5	3257.52	3614.55	2193.99	2701.35
LMTK3	1.79	0.91	1819.35	5.82	6.21	58.3	116.78	175.07	51.71	90.77
LPAR5	17.25	20.71	3794.3	87.03	34.51	361.04	507.46	591.22	547.75	314.17
LY6D	4.62	33.54	2.1503555688E8	22.92	14.03	15392.14	33688.23	31432.17	138.1	361.04
LY6K	15.11	12.0	2004.85	24.99	41.22	297.17	450.94	373.81	137.14	295.11
MMAB	454.09	624.99	1769.57	603.67	536.45	665.29	866.07	1286.18	808.0	2287.2
MSMO1	231.32	215.77	7180.15	323.03	166.73	2609.3	2609.3	6652.97	802.41	3540.14
MVD	463.65	620.67	5555.65	656.11	579.04	1583.71	1417.35	2758.13	848.22	1709.26
MVK	177.53	226.54	1709.26	267.73	186.4	872.1	878.17	1225.22	409.15	660.68
NSDHL	248.0	291.04	2417.67	343.89	277.2	684.02	974.5	2255.7	543.96	738.29
OTUB2	4.43	7.06	336.79	7.17	6.57	47.84	130.6	104.42	25.17	42.41
P2RY2	6.67	5.32	2701.35	24.11	12.36	476.71	651.58	532.74	332.14	133.36
PABPC3	3.08	2.66	11.55	4.86	5.63	29.27	11.04	19.68	6.73	15.45
PGD	1111.82	825.0	20170.07	1127.35	896.64	6607.01	15180.22	13586.57	4152.18	2351.53
PKP1	1.85	4.98	3.003205688E7	8.65	16.27	5954.47	11664.82	11112.3	20.26	258.57
PNPLA3	0.0	0.45	98.73	2.1	1.01	46.18	15.91	17.9	3.44	16.88
PQLC1	642.59	607.87	1617.0	995.0	860.08	1059.11	1008.9	1268.46	1111.82	1216.75
PRRG4	16.75	7.51	9673.69	105.15	17.9	447.82	629.35	684.02	152.28	215.77
RAD51AP2	0.0	0.88	5.96	0.21	0.68	1.91	5.5	5.02	1.73	8.0
RBM20	37.05	30.34	135.24	82.29	11.64	103.69	226.54	139.07	78.89	96.68
RTN4RL1	9.78	9.34	152.28	10.47	8.99	25.17	51.35	62.12	26.1	108.14
