	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.LN.A49K.01A.11R.A24K.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.2H.A9GM.01A.11R.A37I.31	TCGA.CN.5360.01A.01R.1436.07	TCGA.CV.7242.01A.11R.2016.07	TCGA.H7.A6C5.11A.11R.A30B.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQUD.2126.SM.51MSY	GTEX.XGQ4.2626.SM.4AT6B	GTEX.11NV4.1926.SM.5N9D4	GTEX.13VXT.1726.SM.5IFF5	GTEX.14B4R.1426.SM.5Q5CG	GTEX.13OVL.2926.SM.5IFG3	GTEX.X3Y1.1926.SM.4PQZO
AC005003.1	17.77	29.48	27.64	23.42	15.56	50.27	9.85	14.67	0.0	0.06	3.11	3.99	7.75	5.28	12.74	7.17	3.29
AGTPBP1	97.36	105.15	158.79	140.04	173.85	107.38	190.34	125.24	0.0	0.39	72.01	124.37	67.59	53.95	65.26	70.01	81.71
AKIRIN2	902.89	612.11	1073.91	1447.15	848.22	1023.0	1313.23	616.37	0.0	0.74	669.92	703.28	480.04	629.35	842.36	684.02	738.29
ANKRD11	1151.06	1081.39	1427.22	1733.13	1059.11	1259.69	1369.04	866.07	0.0	0.93	540.19	713.11	866.07	872.1	902.89	669.92	764.36
ARHGAP24	226.54	221.86	113.56	109.66	61.68	454.09	651.58	368.65	0.0	0.51	39.79	132.44	98.73	26.47	76.71	36.27	37.85
BCL7A	289.02	473.41	224.97	118.43	94.67	476.71	358.54	239.52	0.0	0.35	66.18	195.72	111.99	87.03	139.07	65.72	111.21
BTG4	59.55	228.13	13.83	3.86	0.96	2.39	15.91	67.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BTNL2	1.87	2.07	0.0	2.78	0.99	4.21	1.83	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.77	0.0	0.0
C20orf194	277.2	269.6	255.0	162.14	120.1	392.44	221.86	134.3	0.0	0.52	108.14	96.68	80.57	51.35	69.03	77.25	127.0
C4orf46	57.49	77.79	126.12	181.28	143.01	108.14	103.69	56.68	0.0	0.28	53.95	56.28	38.95	46.84	27.05	27.44	44.89
CAMSAP2	165.57	265.87	435.55	400.71	291.04	599.49	536.45	176.29	0.0	0.35	143.01	318.57	191.67	116.78	124.37	150.17	135.24
