	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.DD.AACA.01A.11R.A41C.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.DD.A3A2.01A.11R.A213.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.13O3O.1826.SM.5IFGW	GTEX.14C38.1526.SM.5RQJ7	TCGA.86.8671.01A.11R.2403.07	TCGA.38.4625.01A.01R.1206.07	TCGA.49.AARR.01A.11R.A41B.07	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.MX.A663.01A.11R.A31P.31
ABHD17A	1745.2	1277.29	1268.46	1286.18	748.61	389.72	579.04	595.34	1104.13	1073.91	1745.2	0.0	1467.37	1208.34	1167.14	1331.57
ABTB1	1857.6	1295.13	450.94	660.68	248.0	748.61	660.68	237.86	152.28	438.59	896.64	0.0	1023.0	1001.93	808.0	703.28
AGER	255.0	221.86	40.36	149.12	45.21	97.36	90.14	80.57	43.02	47.17	2701.35	0.0	5995.9	164.42	190.34	141.02
AIRE	23.93	22.1	0.44	0.89	0.0	0.57	1.6	0.0	1.22	2.81	3.53	0.0	1.71	4.7	5.5	11.3
AL031663.2	10.96	9.06	2.01	6.16	0.0	1.17	1.93	5.41	3.08	2.86	9.13	0.0	22.1	18.97	13.12	15.22
ANKDD1A	116.78	44.89	15.56	76.17	7.82	16.63	12.93	9.63	12.93	28.45	90.77	0.0	124.37	146.03	132.44	75.64
ANO9	587.13	647.07	5.5	197.09	3.92	5.73	11.55	10.31	24.46	6.21	791.35	0.0	587.13	1199.98	483.38	1015.93
APOBEC3F	156.59	356.05	68.07	70.51	12.55	8.51	10.0	35.5	14.24	32.59	258.57	217.27	185.11	193.01	161.02	127.89
ARTN	39.79	88.26	4.43	22.75	5.63	4.62	1.71	4.31	2.86	18.43	26.67	0.0	90.14	32.36	22.1	43.32
ASB12	48.18	0.0	1.39	5.92	1.23	0.0	1.5	1.83	0.0	0.0	5.82	0.0	3.86	9.48	14.89	8.65
ASIC2	108.9	285.03	0.31	23.08	0.38	0.0	0.0	0.0	0.0	0.0	2.81	0.0	3.23	5.41	4.66	8.71
ASTL	0.0	3.08	0.0	4.35	0.0	0.0	0.0	0.0	0.0	0.0	6.67	0.0	5.54	8.78	7.94	3.53
ATP13A5	0.0	0.0	0.0	2.01	0.0	0.0	0.0	0.0	0.79	0.0	7.22	0.0	14.89	1.16	23.25	0.6
B3GNT2	497.0	674.59	130.6	327.56	262.2	166.73	79.45	493.56	144.01	201.25	432.53	0.0	460.44	665.29	493.56	395.18
BTC	81.71	299.25	2.66	25.35	0.0	0.67	11.3	2.76	3.63	0.21	91.41	0.0	161.02	57.89	96.01	60.82
C10orf131	3.2	5.73	0.43	2.97	0.0	0.57	1.66	0.0	0.99	0.0	1.07	0.0	0.0	10.16	3.03	6.46
C10orf82	297.17	71.5	0.0	5.82	0.0	0.0	0.0	0.0	0.96	0.33	1.97	0.0	2.39	7.0	9.7	143.01
C1QTNF4	74.58	57.08	3.5	25.35	10.88	12.36	0.0	5.77	0.0	7.88	18.84	0.0	26.86	27.05	16.03	64.8
C1orf127	6.06	8.0	2.51	9.7	0.35	1.27	3.14	2.2	3.76	0.0	29.7	0.0	12.93	14.56	17.77	3.32
C2CD4C	52.45	68.07	1.85	40.64	1.19	8.51	2.53	39.22	8.32	3.03	10.47	0.0	18.84	22.92	19.11	18.97
CAV3	4.21	2.92	0.0	4.1	0.0	0.0	1.91	0.66	0.0	0.67	2.29	0.0	21.32	1.16	3.29	3.29
CCDC178	212.78	87.03	1.64	10.79	0.0	0.0	0.0	4.1	13.32	0.0	16.51	0.0	13.83	27.64	41.81	36.53
CD1C	17.77	87.65	6.94	85.82	12.64	11.82	6.73	4.78	7.88	0.0	183.82	0.0	84.04	175.07	141.02	19.68
