	TCGA.DK.A3WY.01A.11R.A22U.07	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.A3.3378.01A.02R.1325.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.A4.7828.01A.11R.2139.07	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.R53T.0326.SM.48FEC	TCGA.ET.A2MX.01A.11R.A23N.07	TCGA.ET.A3DT.01A.11R.A19O.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VD.01A.11R.A23N.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.BJ.A0Z3.01A.11R.A13Y.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.EL.A4JX.01A.12R.A250.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.BJ.A28Z.01A.11R.A16R.07	TCGA.DJ.A3UU.01A.11R.A22L.07	TCGA.DJ.A3V2.01A.11R.A22U.07	GTEX.11TT1.1126.SM.5P9GV
ABCD2	13.42	2.41	15.8	21.63	1.07	2.92	1.77	0.71	0.48	0.0	24.11	3.72	4.39	1.41	2.39	11.38	1.46	9.7	1.13	10.71	1.45	17.25	0.75	15.8	4.43	9.41	8.65
ADAM28	529.06	68.07	7749.1	769.69	2047.0	197.09	23.59	23.08	12.74	14.78	341.51	76.17	99.43	25.54	32.59	176.29	60.82	202.66	28.24	133.36	29.91	256.78	20.41	220.32	67.59	116.78	40.36
AKNA	1733.13	102.97	612.11	647.07	397.93	420.68	130.6	77.25	42.41	85.22	1015.93	387.02	780.44	229.72	334.46	836.53	275.28	769.69	397.93	660.68	660.68	860.08	249.73	642.59	406.31	483.38	148.09
AOAH	208.38	28.24	500.46	1259.69	42.71	187.71	248.0	139.07	71.0	19.68	293.07	65.26	115.97	27.44	16.63	108.9	6.73	138.1	16.15	149.12	26.86	181.28	11.04	256.78	52.08	197.09	12.55
APOBEC3D	358.54	10.55	71.5	163.28	112.77	103.69	49.56	33.06	21.47	15.91	208.38	63.89	76.71	13.32	18.43	142.01	45.85	76.17	50.98	108.14	28.86	202.66	18.97	153.34	77.79	111.21	31.67
APOBEC3F	214.27	17.64	156.59	167.9	175.07	220.32	151.22	88.88	85.22	78.89	242.88	136.19	176.29	96.01	133.36	183.82	127.89	165.57	135.24	189.02	108.14	217.27	108.9	226.54	149.12	137.14	193.01
APOBEC3G	1259.69	65.26	507.46	896.64	277.2	397.93	138.1	104.42	111.99	148.09	928.3	454.09	563.18	283.05	312.0	633.73	224.97	473.41	236.21	511.0	295.11	713.11	198.47	915.51	406.31	603.67	194.36
ARRDC5	25.91	1.33	1.46	21.78	3.29	3.35	0.0	3.72	0.24	0.0	10.0	2.56	5.92	1.07	1.07	5.82	0.0	11.3	0.0	3.82	1.46	12.45	0.0	4.74	2.97	4.82	0.91
ATP1A3	56.68	78.34	20.86	16.63	0.39	2.97	5.92	1.81	0.21	1.62	15.56	6.89	9.85	0.93	0.93	13.83	0.59	10.88	0.6	12.0	2.63	14.78	1.57	21.01	3.63	11.04	0.09
BTN2A2	825.0	121.79	209.84	1030.12	237.86	279.14	176.29	167.9	108.9	105.15	521.76	237.86	329.84	159.9	154.42	363.56	148.09	547.75	211.31	366.09	175.07	483.38	178.77	470.14	267.73	229.72	162.14
CARD8	1066.48	457.25	518.15	1135.2	379.04	555.41	271.48	624.99	232.94	221.86	769.69	532.74	607.87	483.38	376.41	693.58	420.68	733.19	525.39	633.73	490.14	624.99	389.72	669.92	579.04	603.67	514.56
CCR5	108.9	20.71	107.38	346.29	52.08	46.18	45.85	19.11	13.52	8.13	130.6	50.98	50.27	13.83	23.93	107.38	11.82	71.5	14.14	75.11	18.97	131.51	13.03	182.55	43.94	105.15	21.01
CD226	58.3	5.11	10.0	124.37	12.55	11.73	26.86	53.57	40.64	1.45	56.28	11.13	24.63	2.32	4.86	31.0	5.59	45.85	5.63	22.43	7.75	43.63	6.36	43.02	12.36	19.25	4.62
CD38	1322.37	19.82	38.12	348.71	7.34	15.56	120.94	102.97	50.63	7.0	514.56	63.45	176.29	3.79	7.22	204.07	5.11	173.85	21.16	182.55	20.71	389.72	4.9	351.14	69.03	127.89	8.85
