	GTEX.PX3G.0826.SM.48TZS	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.R53T.0326.SM.48FEC	TCGA.97.A4M7.01A.11R.A24X.07	TCGA.55.6543.01A.11R.1755.07	TCGA.38.4625.01A.01R.1206.07	TCGA.86.8280.01A.11R.2287.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.44.5645.01A.01R.1628.07	TCGA.44.2661.01A.01R.1107.07	TCGA.44.5645.01A.01R.A278.07	TCGA.44.5645.11A.01R.1628.07	GTEX.X3Y1.0626.SM.3P5YS	GTEX.WYVS.0526.SM.3NM9W
AC002472.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	189.02	2.73	0.0	143.01	0.0	201.25	25.17	113.56	27.25	121.79	44.25
AC004017.1	0.0	0.0	0.0	0.0	6.89	0.0	0.0	12.64	32.36	0.0	21.47	0.0	94.67	46.84	47.5	8.45	49.91	36.27
AC090616.2	29.06	8.65	7.57	7.34	9.34	11.13	9.93	24.81	29.27	0.0	45.53	0.0	74.06	51.35	84.63	175.07	165.57	93.35
AC104809.3	26.1	12.09	10.79	17.0	25.17	10.08	22.59	206.94	38.4	0.0	74.06	0.15	218.79	10.24	373.81	53.57	339.14	148.09
ADGB	0.0	0.0	0.0	0.0	2.39	1.58	0.0	125.24	14.89	0.0	32.82	0.0	106.63	19.68	124.37	56.68	189.02	98.73
AKAP14	2.1	0.0	0.0	0.0	0.0	28.04	0.0	145.02	7.94	0.0	70.01	0.0	470.14	120.1	395.18	119.26	647.07	928.3
AKNA	199.85	164.42	68.07	93.35	130.6	77.25	42.41	647.07	271.48	0.0	607.87	0.8	808.0	373.81	718.08	616.37	7642.41	764.36
ANKRD45	2.46	1.57	5.23	3.23	0.74	0.0	2.16	62.56	13.62	0.0	77.79	0.0	267.73	82.29	277.2	46.5	229.72	291.04
ANKRD66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.15	1.22	0.0	63.89	0.0	166.73	42.71	172.65	76.17	447.82	457.25
ARMC2	22.43	21.16	29.48	3.56	25.35	16.15	22.26	113.56	43.02	0.0	104.42	0.11	189.02	74.06	181.28	92.7	170.25	156.59
ARMC3	0.49	0.0	0.0	2.94	29.7	0.0	8.06	151.22	93.35	0.0	138.1	0.0	366.09	50.27	540.19	86.43	567.1	476.71
ARX	0.0	0.0	0.91	0.0	0.0	0.97	0.0	40.93	0.24	0.0	22.75	0.0	31.67	2.58	6.11	11.73	101.54	16.51
BTG4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.41	0.0	0.0	8.13	0.0	12.45	6.41	15.11	2.18	41.22	15.22
C11orf16	0.0	0.0	0.95	0.0	0.0	0.0	1.97	149.12	7.11	0.0	159.9	0.0	327.56	54.72	242.88	90.14	470.14	246.28
C11orf88	5.92	0.0	0.0	8.58	2.39	0.0	6.16	511.0	3.26	0.0	279.14	0.0	854.13	242.88	651.58	497.0	3190.46	2047.0
C15orf65	8.99	5.73	12.27	6.67	25.54	8.13	31.0	75.64	123.5	0.0	85.22	0.0	231.32	111.99	171.45	98.73	162.14	120.1
C16orf71	11.55	2.53	3.66	25.91	5.45	19.82	18.43	108.9	58.71	0.0	64.34	0.0	149.12	39.22	120.94	51.71	273.37	267.73
C17orf72	10.16	8.25	8.32	19.53	10.08	16.75	6.11	320.8	114.36	0.0	199.85	0.25	332.14	128.79	239.52	224.97	1388.16	392.44
C1orf141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.87	0.0	0.0	11.73	0.0	44.89	13.12	55.1	13.83	57.08	52.45
