	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.55.5899.01A.11R.1628.07	TCGA.NJ.A55R.01A.11R.A262.07	TCGA.FE.A232.01A.11R.A14Y.07
AC011294.3	0.0	0.13	52.08	1.2	0.0
AC110615.1	0.0	0.0	43.32	39.5	0.0
ACSS3	0.0	0.32	1051.79	31.45	136.19
ADAM32	0.0	0.6	154.42	72.01	4.82
ADAMTSL2	0.0	0.72	1477.58	186.4	255.0
AGT	0.0	0.61	29736.59	1066.48	255.0
AKR7A3	0.0	0.69	2664.15	3768.09	13.03
AL953854.2	0.0	0.35	96.01	18.16	2.27
ALG13	0.0	0.82	1519.15	802.41	674.59
AMACR	0.0	0.0	14361.31	660.68	178.77
ANKEF1	0.0	0.0	237.86	90.14	45.85
ANXA13	0.0	0.0	571.05	50.63	1.79
APOA5	0.0	0.0	11.3	10.47	2.66
APOBEC2	0.0	0.11	33.3	1.89	7.88
APOH	0.0	0.0	466.88	325.29	2.48
APOLD1	100.83	77.79	332.14	139.07	281.09
AQP7	0.0	0.13	305.55	420.68	16.63
ARFIP1	0.0	0.27	1963.57	441.64	381.68
ARG2	0.0	0.37	2209.26	1015.93	599.49
ARHGAP18	0.0	0.34	902.89	87.65	420.68
ASB4	0.0	0.0	43.32	19.11	6.57
ASTN1	0.0	0.04	151.22	54.72	1.51
ATP6AP1	0.0	0.78	8078.22	5555.65	5006.93
B3GALT2	0.0	0.0	332.14	42.11	3.44
BANF2	0.0	0.0	22.26	2.39	2.39
BEGAIN	0.0	0.4	336.79	29.27	8.25
BMP5	0.0	0.23	603.67	23.59	5.54
BTBD16	0.0	0.23	281.09	13.83	3.41
BTG1	0.0	0.6	6699.25	2502.97	878.17
C16orf96	0.0	0.0	16.75	4.5	3.89
C1QTNF3	0.0	0.47	16496.96	283.05	28.04
C1orf105	0.0	0.08	93.35	14.56	0.0
C5	0.0	0.15	450.94	157.68	49.21
C5orf47	0.0	0.0	5.28	0.82	0.19
C7orf76	0.0	0.0	30.78	0.41	0.0
CALR3	0.0	0.01	7.28	5.23	1.71
CAPN9	0.0	0.02	376.41	109.66	0.25
CCDC53	0.0	0.01	3639.7	902.89	802.41
CD209	0.0	0.23	190.34	29.7	26.28
CEACAM16	0.0	0.06	92.05	10.88	0.0
CEL	0.0	0.83	4869.99	72.01	954.43
CELF6	0.0	0.0	3.56	0.0	0.0
CGA	0.0	0.0	753.83	684.02	2.36
CHGB	0.0	0.33	19618.49	15607.02	56.68
CLEC2A	0.0	0.0	679.29	0.0	0.0
CLNK	0.0	0.03	37.85	8.13	4.24
CLPS	0.0	0.0	503.95	18.7	5.6748223844E8
CNGA3	0.0	0.18	158.79	52.82	0.8
COLEC10	0.0	0.0	2075.59	3.38	3.23
COX7B2	0.0	0.0	206.94	825.0	0.0
CPA5	0.0	0.06	842.36	21.63	0.27
CPB2	0.0	0.0	429.54	21.94	0.36
CPN1	0.0	0.0	197.09	17.77	0.0
CTD-2144E22.5	0.0	0.0	111.99	0.66	0.0
CTSO	0.0	0.36	1508.65	395.18	470.14
CXorf40A	0.0	0.34	629.35	336.79	363.56
CYB5D2	0.0	0.1	961.07	525.39	514.56
CYP2E1	0.0	0.68	819.3	279.14	45.53
DDC	0.0	0.0	4210.15	2287.2	2.39
DECR1	0.0	0.66	3467.27	1721.16	1594.73
